Date,Open,High,Low,Close,Volume
1970-01-02,0.37,0.37,0.36,0.36,475200
1970-01-05,0.36,0.36,0.36,0.36,669600
1970-01-06,0.36,0.36,0.36,0.36,568800
1970-01-07,0.36,0.36,0.36,0.36,892800
1970-01-08,0.36,0.36,0.36,0.36,496800
1970-01-09,0.36,0.36,0.36,0.36,1634400
1970-01-12,0.36,0.36,0.36,0.36,648000
1970-01-13,0.36,0.36,0.36,0.36,1159200
1970-01-14,0.36,0.36,0.35,0.36,525600
1970-01-15,0.36,0.36,0.36,0.36,1058400
1970-01-16,0.36,0.36,0.35,0.36,1720800
1970-01-19,0.36,0.36,0.35,0.35,3110400
1970-01-20,0.35,0.35,0.35,0.35,871200
1970-01-21,0.35,0.36,0.35,0.36,1044000
1970-01-22,0.36,0.36,0.35,0.36,792000
1970-01-23,0.36,0.36,0.35,0.35,972000
1970-01-26,0.35,0.35,0.34,0.34,1252800
1970-01-27,0.34,0.34,0.33,0.34,1605600
1970-01-28,0.34,0.34,0.33,0.33,914400
1970-01-29,0.33,0.34,0.32,0.33,1216800
1970-01-30,0.33,0.34,0.33,0.33,1454400
1970-02-02,0.33,0.33,0.33,0.33,813600
1970-02-03,0.34,0.36,0.34,0.36,2181600
1970-02-04,0.35,0.35,0.34,0.35,1476000
1970-02-05,0.35,0.35,0.35,0.35,489600
1970-02-06,0.35,0.35,0.34,0.35,302400
1970-02-09,0.35,0.35,0.35,0.35,784800
1970-02-10,0.35,0.35,0.35,0.35,439200
1970-02-11,0.35,0.35,0.35,0.35,367200
1970-02-12,0.35,0.36,0.35,0.35,590400
1970-02-13,0.35,0.36,0.35,0.36,597600
1970-02-16,0.36,0.36,0.36,0.36,698400
1970-02-17,0.36,0.36,0.36,0.36,1641600
1970-02-18,0.36,0.36,0.35,0.35,1713600
1970-02-19,0.35,0.35,0.35,0.35,921600
1970-02-20,0.35,0.36,0.35,0.36,1274400
1970-02-24,0.36,0.36,0.36,0.36,770400
1970-02-25,0.36,0.36,0.36,0.36,1346400
1970-02-26,0.36,0.36,0.36,0.36,2030400
1970-02-27,0.36,0.36,0.35,0.35,1447200
1970-03-02,0.35,0.36,0.35,0.35,583200
1970-03-03,0.35,0.35,0.35,0.35,1288800
1970-03-04,0.35,0.35,0.35,0.35,792000
1970-03-05,0.35,0.35,0.34,0.34,532800
1970-03-06,0.35,0.35,0.35,0.35,432000
1970-03-09,0.34,0.34,0.34,0.34,669600
1970-03-10,0.34,0.35,0.33,0.34,1195200
1970-03-11,0.34,0.34,0.33,0.34,979200
1970-03-12,0.34,0.34,0.33,0.33,1339200
1970-03-13,0.32,0.32,0.32,0.32,3304800
1970-03-16,0.32,0.32,0.31,0.32,1706400
1970-03-17,0.32,0.32,0.31,0.32,1094400
1970-03-18,0.32,0.33,0.32,0.33,1461600
1970-03-19,0.33,0.33,0.32,0.33,1216800
1970-03-20,0.33,0.33,0.31,0.32,1274400
1970-03-23,0.32,0.32,0.32,0.32,482400
1970-03-24,0.33,0.33,0.33,0.33,1519200
1970-03-25,0.33,0.34,0.33,0.34,1087200
1970-03-26,0.34,0.34,0.33,0.34,1051200
1970-03-30,0.34,0.34,0.33,0.34,540000
1970-03-31,0.33,0.33,0.33,0.33,1137600
1970-04-01,0.33,0.34,0.33,0.33,957600
1970-04-02,0.33,0.33,0.33,0.33,504000
1970-04-03,0.33,0.33,0.32,0.32,1087200
1970-04-06,0.32,0.33,0.32,0.32,712800
1970-04-07,0.32,0.32,0.32,0.32,705600
1970-04-08,0.32,0.33,0.32,0.33,684000
1970-04-09,0.33,0.34,0.32,0.33,2959200
1970-04-10,0.33,0.33,0.32,0.32,871200
1970-04-13,0.32,0.33,0.32,0.32,986400
1970-04-14,0.32,0.32,0.31,0.32,1576800
1970-04-15,0.32,0.33,0.32,0.32,799200
1970-04-16,0.32,0.32,0.32,0.32,1274400
1970-04-17,0.32,0.32,0.31,0.31,1591200
1970-04-20,0.31,0.32,0.31,0.31,763200
1970-04-21,0.31,0.32,0.31,0.31,1101600
1970-04-22,0.31,0.32,0.31,0.31,1044000
1970-04-23,0.31,0.31,0.3,0.3,1663200
1970-04-24,0.3,0.3,0.3,0.3,1166400
1970-04-27,0.3,0.31,0.3,0.3,669600
1970-04-28,0.3,0.31,0.3,0.3,1620000
1970-04-29,0.3,0.31,0.3,0.31,2188800
1970-04-30,0.31,0.31,0.3,0.31,1656000
1970-05-01,0.31,0.31,0.3,0.31,1080000
1970-05-04,0.3,0.3,0.3,0.3,2692800
1970-05-05,0.3,0.3,0.29,0.3,1836000
1970-05-06,0.3,0.3,0.3,0.3,1324800
1970-05-07,0.3,0.3,0.3,0.3,705600
1970-05-08,0.3,0.3,0.3,0.3,1195200
1970-05-11,0.3,0.3,0.3,0.3,554400
1970-05-12,0.3,0.3,0.3,0.3,1353600
1970-05-13,0.29,0.29,0.29,0.29,1872000
1970-05-14,0.29,0.3,0.29,0.29,1303200
1970-05-15,0.29,0.29,0.29,0.29,1641600
1970-05-18,0.29,0.29,0.29,0.29,2030400
1970-05-19,0.29,0.3,0.29,0.29,633600
1970-05-20,0.29,0.29,0.28,0.28,813600
1970-05-21,0.28,0.28,0.27,0.27,3830400
1970-05-22,0.27,0.27,0.27,0.27,2008800
1970-05-25,0.27,0.27,0.27,0.27,1065600
1970-05-26,0.27,0.27,0.26,0.26,5824800
1970-05-27,0.26,0.27,0.26,0.27,2347200
1970-05-28,0.27,0.27,0.27,0.27,1684800
1970-05-29,0.27,0.28,0.27,0.27,2476800
1970-06-01,0.27,0.28,0.27,0.28,1072800
1970-06-02,0.28,0.28,0.28,0.28,1101600
1970-06-03,0.28,0.29,0.28,0.29,972000
1970-06-04,0.29,0.29,0.28,0.28,1850400
1970-06-05,0.28,0.29,0.28,0.28,1670400
