Date,Open,High,Low,Close,Volume
1993-02-23,3.45,3.5,3.3,3.34,40594800.0
1993-02-24,3.39,3.48,3.35,3.44,9426400.0
1993-02-25,3.45,3.52,3.44,3.52,5229200.0
1993-02-26,3.52,3.57,3.46,3.57,2761200.0
1993-03-01,3.53,3.54,3.45,3.45,3014400.0
1993-03-02,3.48,3.56,3.46,3.54,3022800.0
1993-03-03,3.53,3.58,3.5,3.53,2808800.0
1993-03-04,3.52,3.56,3.52,3.52,1783600.0
1993-03-05,3.5,3.6,3.45,3.58,3868800.0
1993-03-08,3.56,3.58,3.53,3.57,2516000.0
1993-03-09,3.56,3.72,3.56,3.68,2449200.0
1993-03-10,3.65,3.84,3.64,3.83,3192800.0
1993-03-11,3.87,3.87,3.79,3.83,1276400.0
1993-03-12,3.8,3.91,3.66,3.89,2958800.0
1993-03-15,3.88,3.88,3.8,3.83,1858400.0
1993-03-16,3.8,3.84,3.73,3.75,2182000.0
1993-03-17,3.75,3.79,3.7,3.79,2413600.0
1993-03-18,3.77,3.89,3.77,3.88,1765200.0
1993-03-19,3.91,3.91,3.84,3.84,2397600.0
1993-03-22,3.85,3.85,3.79,3.83,729200.0
1993-03-23,3.83,3.83,3.75,3.75,924000.0
1993-03-24,3.75,3.75,3.6,3.7,1787600.0
1993-03-25,3.68,3.7,3.62,3.7,1080400.0
1993-03-26,3.83,3.95,3.81,3.95,2376800.0
1993-03-29,3.92,3.99,3.85,3.99,1273600.0
1993-03-30,4.04,4.14,4.0,4.14,1463600.0
1993-03-31,4.15,4.23,4.12,4.14,1856000.0
1993-04-01,4.08,4.1,3.96,3.99,1410000.0
1993-04-02,3.93,4.0,3.84,3.84,1338800.0
1993-04-05,3.83,3.92,3.83,3.91,873200.0
1993-04-06,3.92,3.93,3.85,3.85,763200.0
1993-04-07,3.84,3.92,3.84,3.91,240400.0
1993-04-08,3.91,3.91,3.88,3.89,304000.0
1993-04-12,3.89,3.99,3.89,3.99,217600.0
1993-04-13,4.04,4.14,4.04,4.11,937600.0
1993-04-14,4.11,4.23,4.11,4.22,689600.0
1993-04-15,4.16,4.16,3.99,4.04,1319600.0
1993-04-16,4.07,4.1,4.01,4.03,1452400.0
1993-04-19,4.0,4.03,3.92,3.93,861600.0
1993-04-20,3.97,4.0,3.73,3.81,2764000.0
1993-04-21,3.81,3.87,3.76,3.76,1372800.0
1993-04-22,3.76,3.83,3.75,3.76,1387600.0
1993-04-23,3.75,3.76,3.66,3.7,660400.0
1993-04-26,3.72,3.75,3.58,3.62,1847200.0
1993-04-27,3.58,3.66,3.52,3.66,1674000.0
1993-04-28,3.69,3.75,3.65,3.73,726800.0
1993-04-29,3.73,3.76,3.72,3.72,228800.0
1993-04-30,3.73,4.2,3.73,4.18,3105600.0
1993-05-03,4.1,4.1,3.93,3.96,2001200.0
1993-05-04,3.99,4.01,3.95,3.99,826000.0
1993-05-05,3.97,3.97,3.93,3.95,512000.0
1993-05-06,3.95,3.95,3.88,3.92,183200.0
1993-05-07,3.93,3.96,3.92,3.93,245200.0
1993-05-10,3.95,4.01,3.95,3.99,708800.0
1993-05-11,3.99,3.99,3.93,3.97,568800.0
1993-05-12,3.97,4.0,3.95,3.97,258000.0
1993-05-13,3.95,3.95,3.88,3.88,163200.0
1993-05-14,3.87,3.87,3.7,3.77,848000.0
1993-05-17,3.77,3.87,3.76,3.84,382000.0
1993-05-18,3.83,3.83,3.76,3.8,883600.0
1993-05-19,3.79,3.87,3.79,3.84,514800.0
1993-05-20,3.87,3.87,3.75,3.77,936800.0
1993-05-21,3.75,3.75,3.65,3.66,834000.0
1993-05-24,3.65,3.73,3.64,3.73,262400.0
1993-05-25,3.78,3.79,3.73,3.76,662400.0
1993-05-26,3.76,4.01,3.76,3.99,659200.0
1993-05-27,3.98,4.02,3.82,3.83,1011600.0
1993-05-28,3.82,3.82,3.72,3.75,1338800.0
1993-06-01,3.75,3.79,3.75,3.78,330400.0
1993-06-02,3.78,3.82,3.78,3.8,295600.0
1993-06-03,3.82,3.82,3.73,3.73,178800.0
1993-06-04,3.71,3.76,3.69,3.69,211200.0
1993-06-07,3.69,3.71,3.67,3.69,314400.0
1993-06-08,3.69,3.71,3.68,3.69,295200.0
1993-06-09,3.69,3.75,3.69,3.75,341200.0
1993-06-10,3.75,3.75,3.69,3.71,166000.0
1993-06-11,3.72,3.75,3.71,3.73,148000.0
1993-06-14,3.73,3.79,3.73,3.75,449200.0
1993-06-15,3.75,3.75,3.68,3.71,208800.0
1993-06-16,3.71,3.84,3.71,3.82,1311600.0
1993-06-17,3.8,3.86,3.8,3.83,305200.0
1993-06-18,3.83,3.83,3.72,3.72,1043600.0
1993-06-21,3.69,3.71,3.57,3.69,2092400.0
1993-06-22,3.69,3.69,3.58,3.69,1855600.0
1993-06-23,3.69,3.71,3.67,3.69,1940400.0
1993-06-24,3.8,3.86,3.76,3.83,2887600.0
1993-06-25,3.83,3.97,3.83,3.95,1870400.0
1993-06-28,3.95,4.25,3.95,4.23,3107600.0
1993-06-29,4.14,4.16,4.03,4.06,2186800.0
