Date,Open,High,Low,Close,Volume
2007-11-15,21.59,26.7,20.71,24.5,11770500
2007-11-16,24.38,24.38,22.15,23.43,1242900
2007-11-19,23.19,24.17,23.02,24.17,469500
2007-11-20,23.86,27.42,23.71,25.64,522200
2007-11-21,25.34,25.46,24.35,25.01,167500
2007-11-23,25.62,26.59,25.17,25.72,100700
2007-11-26,26.27,27.68,25.84,26.09,438300
2007-11-27,26.5,26.98,24.67,25.32,305800
2007-11-28,25.45,25.92,25.04,25.62,273600
2007-11-29,24.98,26.27,24.97,25.62,110600
2007-11-30,25.91,26.94,25.44,25.95,524000
2007-12-03,26.0,26.47,25.72,26.25,83600
2007-12-04,26.01,27.92,25.57,27.55,387400
2007-12-05,30.67,30.67,27.12,27.48,207200
2007-12-06,27.22,27.61,26.69,27.13,97700
2007-12-07,27.28,27.31,26.75,27.11,82500
2007-12-10,26.83,28.11,26.83,27.22,177900
2007-12-11,27.21,27.59,26.52,27.22,236200
2007-12-12,27.56,27.56,26.56,26.73,64700
2007-12-13,26.21,27.22,26.21,27.16,78000
2007-12-14,27.06,27.16,26.59,26.96,118200
2007-12-17,26.22,27.28,25.97,26.26,128600
2007-12-18,26.28,27.03,26.28,26.75,132400
2007-12-19,26.81,27.55,26.81,27.17,197600
2007-12-20,27.17,27.23,27.12,27.12,197800
2007-12-21,27.69,32.22,27.59,31.65,498600
2007-12-24,31.54,32.29,30.55,31.84,142000
2007-12-26,31.84,33.79,31.72,32.24,228300
2007-12-27,32.24,34.91,31.72,34.31,194600
2007-12-28,34.21,35.92,33.79,35.03,165900
2007-12-31,35.15,36.04,33.79,36.04,136200
2008-01-02,35.5,35.62,31.09,31.77,442900
2008-01-03,31.77,31.77,28.68,28.9,395900
2008-01-04,26.98,29.1,26.38,28.3,354100
2008-01-07,27.92,27.92,26.05,26.41,383000
2008-01-08,26.28,26.42,24.41,24.99,183900
2008-01-09,25.62,27.92,23.22,26.06,383400
2008-01-10,27.5,29.47,25.15,27.82,531500
2008-01-11,27.61,30.76,27.42,28.56,121900
2008-01-14,28.25,28.63,27.92,28.63,198300
2008-01-15,28.63,29.03,27.89,28.82,74200
2008-01-16,28.87,28.87,26.75,27.5,123700
2008-01-17,27.64,27.64,26.89,27.21,122400
2008-01-18,27.89,27.92,27.22,27.52,238900
2008-01-22,26.42,27.41,25.65,27.13,193000
2008-01-23,27.2,30.48,26.64,29.25,193100
2008-01-24,28.89,30.97,28.38,30.19,305000
2008-01-25,30.41,30.58,29.22,29.83,148700
2008-01-28,29.38,31.91,28.19,31.03,222500
2008-01-29,30.66,31.41,30.36,30.77,142600
2008-01-30,30.76,30.97,29.1,30.69,117300
2008-01-31,30.5,30.97,30.13,30.95,114800
2008-02-01,30.95,33.76,30.41,32.48,134600
2008-02-04,32.48,32.76,30.97,31.42,75300
2008-02-05,31.42,31.42,30.02,30.85,109100
2008-02-06,30.69,30.71,29.18,29.44,146000
2008-02-07,29.47,30.03,27.71,27.89,128000
2008-02-08,28.3,29.41,28.29,29.41,103400
2008-02-11,29.42,29.99,29.1,29.5,94600
2008-02-12,29.33,29.98,28.56,29.38,147800
2008-02-13,29.28,31.79,29.28,31.75,114200
2008-02-14,31.53,31.72,30.18,31.24,103100
2008-02-15,31.24,31.27,28.47,29.79,142700
