Date,Open,High,Low,Close,Volume
1977-01-03,3.02,3.09,3.02,3.03,227800.0
1977-01-04,3.01,3.01,2.96,2.96,164100.0
1977-01-05,2.97,3.03,2.97,2.97,193000.0
1977-01-06,2.97,2.99,2.95,2.95,139200.0
1977-01-07,2.95,2.97,2.91,2.91,119300.0
1977-01-10,2.91,2.92,2.86,2.88,235700.0
1977-01-11,2.86,2.86,2.8,2.8,201900.0
1977-01-12,2.8,2.8,2.73,2.77,184000.0
1977-01-13,2.8,2.81,2.8,2.8,241700.0
1977-01-14,2.8,2.84,2.78,2.83,761100.0
1977-01-17,2.83,2.84,2.82,2.84,672600.0
1977-01-18,2.84,2.85,2.84,2.84,222800.0
1977-01-19,2.84,2.89,2.84,2.89,94500.0
1977-01-20,2.9,2.94,2.9,2.9,176100.0
1977-01-21,2.9,2.92,2.9,2.91,1066600.0
1977-01-24,2.91,2.93,2.89,2.9,511400.0
1977-01-25,2.9,2.9,2.82,2.82,317400.0
1977-01-26,2.82,2.85,2.81,2.82,117400.0
1977-01-27,2.78,2.78,2.71,2.73,254700.0
1977-01-28,2.74,2.78,2.74,2.77,112400.0
1977-01-31,2.77,2.77,2.69,2.73,202900.0
1977-02-01,2.73,2.75,2.72,2.74,81500.0
1977-02-02,2.74,2.76,2.71,2.71,538200.0
1977-02-03,2.71,2.71,2.69,2.69,126300.0
1977-02-04,2.69,2.69,2.59,2.61,359100.0
1977-02-07,2.61,2.61,2.51,2.51,299400.0
1977-02-08,2.51,2.56,2.51,2.54,422800.0
1977-02-09,2.54,2.54,2.5,2.5,14900.0
1977-02-10,2.5,2.51,2.48,2.48,269600.0
1977-02-11,2.48,2.5,2.48,2.5,292500.0
1977-02-14,2.5,2.52,2.48,2.52,306400.0
1977-02-15,2.52,2.53,2.51,2.51,502400.0
1977-02-16,2.51,2.54,2.51,2.52,328300.0
1977-02-17,2.51,2.51,2.48,2.48,142200.0
1977-02-18,2.47,2.47,2.36,2.44,305400.0
1977-02-22,2.44,2.44,2.42,2.43,133300.0
1977-02-23,2.43,2.43,2.41,2.42,69600.0
1977-02-24,2.41,2.41,2.37,2.37,154200.0
1977-02-25,2.37,2.4,2.36,2.4,309400.0
1977-02-28,2.4,2.4,2.39,2.4,140200.0
1977-03-01,2.4,2.46,2.4,2.46,340200.0
1977-03-02,2.46,2.48,2.46,2.46,327300.0
1977-03-03,2.47,2.56,2.47,2.55,267600.0
1977-03-04,2.55,2.56,2.53,2.56,217800.0
1977-03-07,2.56,2.59,2.56,2.59,143200.0
1977-03-08,2.59,2.59,2.55,2.56,295500.0
1977-03-09,2.54,2.54,2.5,2.5,114400.0
1977-03-10,2.5,2.52,2.46,2.52,264600.0
1977-03-11,2.52,2.54,2.52,2.52,92500.0
1977-03-14,2.52,2.59,2.52,2.58,175100.0
1977-03-15,2.59,2.63,2.59,2.61,298500.0
1977-03-16,2.61,2.64,2.61,2.63,240700.0
1977-03-17,2.63,2.67,2.63,2.66,266600.0
1977-03-18,2.66,2.69,2.66,2.66,200900.0
1977-03-21,2.66,2.67,2.62,2.63,324300.0
1977-03-22,2.64,2.64,2.6,2.64,175100.0
1977-03-23,2.64,2.64,2.55,2.56,193000.0
1977-03-24,2.56,2.59,2.51,2.52,309400.0
1977-03-25,2.52,2.52,2.49,2.51,163100.0
1977-03-28,2.5,2.5,2.48,2.49,188000.0
1977-03-29,2.49,2.52,2.49,2.49,239700.0
1977-03-30,2.49,2.53,2.49,2.49,210900.0
1977-03-31,2.49,2.52,2.49,2.51,67600.0
1977-04-01,2.51,2.54,2.49,2.54,163100.0
1977-04-04,2.54,2.55,2.49,2.49,119300.0
1977-04-05,2.49,2.51,2.49,2.51,130300.0
1977-04-06,2.51,2.51,2.49,2.49,171100.0
1977-04-07,2.49,2.49,2.48,2.48,92500.0
1977-04-11,2.48,2.49,2.45,2.45,433800.0
1977-04-12,2.45,2.45,2.43,2.43,153200.0
1977-04-13,2.43,2.44,2.43,2.44,90500.0
1977-04-14,2.45,2.52,2.45,2.51,573100.0
1977-04-15,2.51,2.52,2.5,2.51,115300.0
1977-04-18,2.51,2.51,2.49,2.51,140200.0
1977-04-19,2.51,2.51,2.45,2.45,121300.0
1977-04-20,2.45,2.48,2.43,2.45,364100.0
1977-04-21,2.45,2.45,2.38,2.39,152200.0
1977-04-22,2.39,2.39,2.29,2.3,239700.0
1977-04-25,2.31,2.35,2.31,2.32,167100.0
1977-04-26,2.32,2.34,2.3,2.3,121300.0
1977-04-27,2.3,2.37,2.3,2.37,214900.0
1977-04-28,2.37,2.38,2.34,2.34,329300.0
1977-04-29,2.34,2.37,2.34,2.36,107400.0
1977-05-02,2.36,2.39,2.36,2.39,205900.0
1977-05-03,2.39,2.39,2.35,2.35,420800.0
1977-05-04,2.35,2.39,2.34,2.36,1386000.0
1977-05-05,2.36,2.41,2.36,2.41,394000.0
1977-05-06,2.41,2.41,2.39,2.4,205900.0
1977-05-09,2.4,2.43,2.4,2.43,219800.0
1977-05-10,2.42,2.42,2.39,2.39,214900.0
1977-05-11,2.39,2.42,2.39,2.39,313400.0
1977-05-12,2.36,2.36,2.33,2.35,744200.0
1977-05-13,2.36,2.39,2.36,2.39,184000.0
1977-05-16,2.39,2.4,2.36,2.39,121300.0
1977-05-17,2.39,2.39,2.36,2.37,285500.0
1977-05-18,2.37,2.39,2.36,2.39,473600.0
1977-05-19,2.39,2.39,2.34,2.36,178100.0
1977-05-20,2.36,2.37,2.34,2.34,74600.0
1977-05-23,2.34,2.34,2.32,2.32,241700.0
1977-05-24,2.32,2.32,2.29,2.3,221800.0
1977-05-25,2.3,2.3,2.2,2.21,680500.0
1977-05-26,2.19,2.19,2.15,2.16,795900.0
1977-05-27,2.15,2.15,2.09,2.09,341200.0
1977-05-31,2.07,2.07,1.98,1.99,309400.0
1977-06-01,1.99,2.06,1.99,2.06,876500.0
1977-06-02,2.06,2.09,2.03,2.05,378000.0
1977-06-03,2.06,2.11,2.06,2.1,504400.0
1977-06-06,2.1,2.12,2.06,2.06,355200.0
1977-06-07,2.06,2.06,2.03,2.05,689500.0
1977-06-08,2.06,2.1,2.06,2.09,470600.0
1977-06-09,2.09,2.12,2.08,2.11,416800.0
1977-06-10,2.11,2.15,2.11,2.15,426800.0
1977-06-13,2.17,2.21,2.17,2.19,412900.0
1977-06-14,2.21,2.26,2.21,2.26,438700.0
1977-06-15,2.26,2.28,2.23,2.25,265600.0
1977-06-16,2.25,2.3,2.24,2.27,463600.0
1977-06-17,2.28,2.3,2.28,2.28,324300.0
