Date,Open,High,Low,Close,Volume
1988-02-29,0.0,0.23,0.21,0.23,15153600
1988-03-01,0.0,0.23,0.22,0.22,3385600
1988-03-02,0.0,0.22,0.21,0.22,1044800
1988-03-03,0.0,0.22,0.21,0.22,6923200
1988-03-04,0.0,0.22,0.21,0.22,521600
1988-03-07,0.0,0.22,0.21,0.21,596800
1988-03-08,0.0,0.22,0.21,0.22,1313600
1988-03-09,0.0,0.22,0.21,0.21,800000
1988-03-10,0.0,0.24,0.22,0.24,2547200
1988-03-11,0.0,0.24,0.22,0.23,444800
1988-03-14,0.0,0.23,0.23,0.23,915200
1988-03-15,0.0,0.23,0.22,0.22,140800
1988-03-16,0.0,0.23,0.22,0.23,337600
1988-03-17,0.0,0.22,0.22,0.22,772800
1988-03-18,0.0,0.23,0.22,0.22,299200
1988-03-21,0.0,0.22,0.22,0.22,504000
1988-03-22,0.0,0.22,0.21,0.22,792000
1988-03-23,0.0,0.22,0.21,0.21,105600
1988-03-24,0.0,0.22,0.2,0.21,291200
1988-03-25,0.0,0.21,0.2,0.21,123200
1988-03-28,0.0,0.2,0.2,0.2,56000
1988-03-29,0.0,0.22,0.2,0.22,6508800
1988-03-30,0.0,0.23,0.22,0.22,25600
1988-03-31,0.0,0.23,0.21,0.23,534400
1988-04-04,0.0,0.23,0.22,0.23,1292800
1988-04-05,0.0,0.23,0.22,0.23,35200
1988-04-06,0.0,0.23,0.21,0.23,4108800
1988-04-07,0.0,0.24,0.23,0.23,112000
1988-04-08,0.0,0.24,0.23,0.24,435200
1988-04-11,0.0,0.24,0.24,0.24,27200
1988-04-12,0.0,0.23,0.22,0.23,307200
1988-04-13,0.0,0.23,0.23,0.23,9600
1988-04-14,0.0,0.23,0.22,0.22,555200
1988-04-15,0.0,0.22,0.21,0.22,486400
1988-04-18,0.0,0.21,0.21,0.21,8000
1988-04-19,0.0,0.22,0.21,0.21,712000
1988-04-20,0.0,0.21,0.21,0.21,896000
1988-04-21,0.21,0.21,0.21,0.21,0
1988-04-22,0.0,0.22,0.22,0.22,6400
1988-04-25,0.0,0.22,0.21,0.22,104000
1988-04-26,0.0,0.22,0.21,0.22,88000
1988-04-27,0.0,0.22,0.22,0.22,115200
1988-04-28,0.0,0.22,0.22,0.22,100800
1988-04-29,0.0,0.22,0.21,0.21,283200
1988-05-02,0.0,0.22,0.22,0.22,456000
1988-05-03,0.0,0.22,0.22,0.22,289600
1988-05-04,0.0,0.22,0.22,0.22,163200
1988-05-05,0.0,0.22,0.22,0.22,240000
1988-05-06,0.0,0.23,0.22,0.23,1899200
1988-05-09,0.0,0.23,0.22,0.23,545600
1988-05-10,0.0,0.23,0.21,0.23,4561600
1988-05-11,0.0,0.22,0.22,0.22,8000
1988-05-12,0.0,0.22,0.22,0.22,65600
1988-05-13,0.0,0.23,0.22,0.22,291200
1988-05-16,0.0,0.23,0.22,0.22,470400
1988-05-17,0.0,0.22,0.21,0.21,868800
1988-05-18,0.0,0.22,0.21,0.21,155200
1988-05-19,0.0,0.22,0.21,0.22,731200
1988-05-20,0.0,0.22,0.22,0.22,323200
1988-05-23,0.0,0.22,0.21,0.21,1480000
1988-05-24,0.0,0.22,0.21,0.22,1520000
1988-05-25,0.0,0.23,0.22,0.22,1867200
1988-05-26,0.0,0.23,0.23,0.23,1600
1988-05-27,0.0,0.23,0.22,0.23,132800
1988-05-31,0.0,0.24,0.22,0.23,8800000
1988-06-01,0.0,0.23,0.22,0.22,2083200
1988-06-02,0.0,0.23,0.22,0.22,264000
1988-06-03,0.0,0.23,0.22,0.22,14400
1988-06-06,0.0,0.23,0.22,0.22,278400
1988-06-07,0.0,0.23,0.22,0.22,244800
1988-06-08,0.0,0.23,0.22,0.23,1107200
1988-06-09,0.0,0.26,0.22,0.25,2318400
1988-06-10,0.0,0.25,0.24,0.24,1174400
1988-06-13,0.0,0.27,0.24,0.27,1224000
1988-06-14,0.0,0.27,0.26,0.27,3115200
1988-06-15,0.0,0.27,0.27,0.27,563200
