Date,Open,High,Low,Close,Volume
1980-03-17,0.0,1.65,1.61,1.61,405600
1980-03-18,0.0,1.78,1.74,1.74,672400
1980-03-19,0.0,1.78,1.74,1.74,274800
1980-03-20,0.0,1.78,1.74,1.74,212400
1980-03-21,0.0,1.76,1.72,1.72,259600
1980-03-24,0.0,1.68,1.64,1.64,315200
1980-03-25,0.0,1.66,1.62,1.62,298400
1980-03-26,0.0,1.7,1.66,1.66,476800
1980-03-27,0.0,1.61,1.57,1.57,604800
1980-03-28,0.0,1.66,1.62,1.62,747600
1980-03-31,0.0,1.74,1.7,1.7,343600
1980-04-01,0.0,1.81,1.77,1.77,712800
1980-04-02,0.0,1.81,1.77,1.77,231200
1980-04-03,0.0,1.8,1.76,1.76,402000
1980-04-07,0.0,1.73,1.69,1.69,232800
1980-04-08,0.0,1.74,1.7,1.7,541200
1980-04-09,0.0,1.77,1.73,1.73,447600
1980-04-10,0.0,1.8,1.76,1.76,379600
1980-04-11,0.0,1.8,1.76,1.76,426800
1980-04-14,0.0,1.78,1.74,1.74,195600
1980-04-15,0.0,1.8,1.76,1.76,292800
1980-04-16,0.0,1.78,1.74,1.74,471600
1980-04-17,0.0,1.76,1.72,1.72,235600
1980-04-18,0.0,1.77,1.73,1.73,166800
1980-04-21,0.0,1.73,1.69,1.69,120400
1980-04-22,0.0,1.84,1.8,1.8,487600
1980-04-23,0.0,1.84,1.8,1.8,388400
1980-04-24,0.0,1.87,1.82,1.82,234800
1980-04-25,0.0,1.85,1.81,1.81,270400
1980-04-28,0.0,1.89,1.85,1.85,230400
1980-04-29,0.0,1.93,1.89,1.89,349200
1980-04-30,0.0,1.92,1.88,1.88,425200
1980-05-01,0.0,1.93,1.89,1.89,679600
1980-05-02,0.0,1.96,1.92,1.92,420800
1980-05-05,0.0,1.99,1.95,1.95,290000
1980-05-06,0.0,1.97,1.93,1.93,434800
1980-05-07,0.0,1.99,1.95,1.95,457200
1980-05-08,0.0,1.96,1.92,1.92,596800
1980-05-09,0.0,1.89,1.85,1.85,237600
1980-05-12,0.0,1.85,1.81,1.81,326800
1980-05-13,0.0,1.88,1.84,1.84,358000
1980-05-14,0.0,1.91,1.87,1.87,169600
1980-05-15,0.0,2.0,1.96,1.96,694800
1980-05-16,0.0,2.01,1.97,1.97,511600
1980-05-19,0.0,2.03,1.99,1.99,207200
1980-05-20,0.0,2.05,2.01,2.01,533200
1980-05-21,0.0,2.07,2.03,2.03,205200
1980-05-22,0.0,2.12,2.08,2.08,338400
1980-05-23,0.0,2.11,2.07,2.07,108000
1980-05-27,0.0,2.15,2.11,2.11,164000
1980-05-28,0.0,2.12,2.08,2.08,418800
1980-05-29,0.0,2.11,2.07,2.07,368800
1980-05-30,0.0,2.14,2.09,2.09,440400
1980-06-02,0.0,2.09,2.05,2.05,308000
1980-06-03,0.0,2.11,2.07,2.07,389200
1980-06-04,0.0,2.14,2.09,2.09,534000
1980-06-05,0.0,2.15,2.11,2.11,481200
1980-06-06,0.0,2.19,2.15,2.15,479600
1980-06-09,0.0,2.2,2.16,2.16,640400
1980-06-10,0.0,2.26,2.16,2.24,283200
1980-06-11,0.0,2.35,2.23,2.29,311600
1980-06-12,0.0,2.32,2.26,2.26,162400
1980-06-13,0.0,2.24,2.19,2.22,101600
1980-06-16,0.0,2.26,2.16,2.18,151600
1980-06-17,0.0,2.34,2.23,2.31,211600
1980-06-18,0.0,2.39,2.29,2.3,263200
1980-06-19,0.0,2.37,2.32,2.32,194400
1980-06-20,0.0,2.32,2.27,2.28,92000
1980-06-23,0.0,2.3,2.27,2.27,124000
1980-06-24,0.0,2.41,2.3,2.39,369600
1980-06-25,0.0,2.53,2.39,2.43,420800
1980-06-26,0.0,2.46,2.43,2.46,100800
1980-06-27,0.0,2.48,2.38,2.41,123200
1980-06-30,0.0,2.43,2.31,2.31,97200
1980-07-01,0.0,2.35,2.3,2.31,145600
1980-07-02,0.0,2.32,2.28,2.31,117600
1980-07-03,0.0,2.38,2.28,2.38,159600
1980-07-07,0.0,2.47,2.41,2.46,228400
1980-07-08,0.0,2.53,2.44,2.49,367200
1980-07-09,0.0,2.6,2.49,2.57,362400
1980-07-10,0.0,2.66,2.57,2.57,421600
1980-07-11,0.0,2.65,2.57,2.62,150800
1980-07-14,0.0,2.66,2.6,2.6,215200
1980-07-15,0.0,2.66,2.58,2.63,140800
1980-07-16,0.0,2.64,2.6,2.63,184800
