Date,Open,High,Low,Close,Volume
1973-02-21,0.0,0.58,0.57,0.57,23200
1973-02-22,0.0,0.58,0.57,0.58,8800
1973-02-23,0.0,0.59,0.58,0.59,23200
1973-02-26,0.0,0.61,0.59,0.59,71200
1973-02-27,0.0,0.6,0.59,0.59,70000
1973-02-28,0.0,0.6,0.59,0.6,28400
1973-03-01,0.0,0.61,0.6,0.61,36000
1973-03-02,0.0,0.61,0.6,0.61,31200
1973-03-05,0.0,0.61,0.61,0.61,32400
1973-03-06,0.0,0.62,0.61,0.61,33200
1973-03-07,0.0,0.62,0.61,0.62,42400
1973-03-08,0.0,0.62,0.61,0.61,23200
1973-03-09,0.0,0.62,0.61,0.61,52800
1973-03-12,0.0,0.62,0.61,0.61,22400
1973-03-13,0.0,0.63,0.62,0.63,44000
1973-03-14,0.0,0.63,0.62,0.62,44000
1973-03-15,0.0,0.62,0.61,0.61,28800
1973-03-16,0.0,0.61,0.58,0.58,109600
1973-03-19,0.0,0.58,0.57,0.58,78000
1973-03-20,0.0,0.58,0.57,0.58,217600
1973-03-21,0.0,0.58,0.57,0.57,67600
1973-03-22,0.0,0.57,0.56,0.57,39600
1973-03-23,0.0,0.57,0.56,0.56,190400
1973-03-26,0.0,0.55,0.54,0.54,64400
1973-03-27,0.0,0.55,0.54,0.55,68400
1973-03-28,0.0,0.57,0.55,0.55,118400
1973-03-29,0.0,0.55,0.53,0.54,27200
1973-03-30,0.0,0.54,0.54,0.54,18800
1973-04-02,0.0,0.54,0.53,0.54,41600
1973-04-03,0.0,0.54,0.53,0.53,31600
1973-04-04,0.0,0.56,0.53,0.55,187600
1973-04-05,0.0,0.56,0.55,0.55,37600
1973-04-06,0.0,0.56,0.55,0.56,36400
1973-04-09,0.0,0.56,0.55,0.56,24800
1973-04-10,0.0,0.58,0.56,0.58,50000
1973-04-11,0.0,0.6,0.59,0.6,102400
1973-04-12,0.0,0.61,0.6,0.6,76400
1973-04-13,0.0,0.6,0.59,0.59,35200
1973-04-16,0.0,0.61,0.59,0.61,19600
1973-04-17,0.0,0.61,0.6,0.6,67600
1973-04-18,0.0,0.61,0.6,0.61,236400
1973-04-19,0.0,0.62,0.61,0.61,44000
1973-04-23,0.0,0.62,0.61,0.61,136400
1973-04-24,0.0,0.61,0.6,0.6,148000
1973-04-25,0.0,0.6,0.6,0.6,18000
1973-04-26,0.0,0.6,0.59,0.59,417600
1973-04-27,0.0,0.6,0.6,0.6,92800
1973-04-30,0.0,0.61,0.6,0.61,26400
1973-05-01,0.0,0.61,0.6,0.6,122400
1973-05-02,0.0,0.61,0.6,0.6,75200
1973-05-03,0.0,0.62,0.61,0.61,60800
1973-05-04,0.0,0.62,0.62,0.62,90800
1973-05-07,0.0,0.62,0.61,0.61,253600
1973-05-08,0.0,0.62,0.61,0.61,30400
1973-05-09,0.0,0.62,0.61,0.61,77200
1973-05-10,0.0,0.62,0.61,0.62,16800
1973-05-11,0.0,0.62,0.61,0.61,22800
1973-05-14,0.0,0.61,0.59,0.6,80400
1973-05-15,0.0,0.6,0.59,0.6,37200
1973-05-16,0.0,0.61,0.61,0.61,50800
1973-05-17,0.0,0.61,0.61,0.61,14400
1973-05-18,0.0,0.61,0.6,0.6,26000
1973-05-21,0.0,0.6,0.6,0.6,37200
1973-05-22,0.0,0.59,0.58,0.59,70400
1973-05-23,0.0,0.59,0.58,0.58,24000
1973-05-24,0.0,0.6,0.59,0.6,34000
1973-05-25,0.0,0.61,0.6,0.61,56400
1973-05-29,0.0,0.61,0.6,0.61,22800
1973-05-30,0.0,0.62,0.61,0.61,37600
1973-05-31,0.0,0.61,0.6,0.61,60400
1973-06-01,0.0,0.61,0.6,0.6,41200
1973-06-04,0.0,0.6,0.59,0.6,18000
1973-06-05,0.0,0.61,0.6,0.61,20400
1973-06-06,0.0,0.61,0.61,0.61,105200
1973-06-07,0.0,0.61,0.61,0.61,26800
1973-06-08,0.0,0.61,0.61,0.61,51200
1973-06-11,0.0,0.61,0.61,0.61,63600
1973-06-12,0.0,0.61,0.61,0.61,86000
1973-06-13,0.0,0.62,0.61,0.61,53200
1973-06-14,0.0,0.61,0.61,0.61,19600
1973-06-15,0.0,0.61,0.6,0.6,200800
1973-06-18,0.0,0.6,0.59,0.59,16400
1973-06-19,0.0,0.59,0.58,0.59,59200
1973-06-20,0.0,0.6,0.59,0.59,32000
1973-06-21,0.0,0.59,0.58,0.58,41600
1973-06-22,0.0,0.6,0.58,0.59,174000
1973-06-25,0.0,0.59,0.57,0.58,42400
1973-06-26,0.0,0.58,0.58,0.58,7200
1973-06-27,0.0,0.59,0.58,0.58,22800
1973-06-28,0.0,0.58,0.58,0.58,127200
1973-06-29,0.0,0.58,0.57,0.57,166800
1973-07-02,0.0,0.57,0.56,0.56,57200
1973-07-03,0.0,0.56,0.55,0.56,85200
1973-07-05,0.0,0.56,0.56,0.56,38000
1973-07-06,0.0,0.56,0.55,0.55,25600
1973-07-09,0.0,0.55,0.55,0.55,42400
1973-07-10,0.0,0.56,0.55,0.55,73600
1973-07-11,0.0,0.56,0.55,0.55,40000
1973-07-12,0.0,0.55,0.55,0.55,293200
1973-07-13,0.0,0.55,0.55,0.55,146000
1973-07-16,0.0,0.55,0.55,0.55,25600
1973-07-17,0.0,0.55,0.55,0.55,246000
1973-07-18,0.0,0.55,0.55,0.55,27600
1973-07-19,0.0,0.56,0.55,0.55,16000
1973-07-20,0.0,0.56,0.56,0.56,193200
1973-07-23,0.0,0.57,0.56,0.57,63200
1973-07-24,0.0,0.57,0.56,0.57,47200
1973-07-25,0.0,0.58,0.57,0.57,70800
1973-07-26,0.0,0.57,0.56,0.57,33200
1973-07-27,0.0,0.56,0.55,0.56,80800
1973-07-30,0.0,0.56,0.55,0.56,18800
1973-07-31,0.0,0.56,0.55,0.55,97600
1973-08-01,0.0,0.55,0.55,0.55,44000
1973-08-02,0.0,0.55,0.53,0.53,89200
1973-08-03,0.0,0.54,0.53,0.53,10400
1973-08-06,0.0,0.54,0.53,0.54,44000
1973-08-07,0.0,0.54,0.54,0.54,30800
1973-08-08,0.0,0.54,0.54,0.54,110400
1973-08-09,0.0,0.54,0.53,0.53,51600
1973-08-10,0.0,0.54,0.53,0.53,60800
1973-08-13,0.0,0.53,0.52,0.52,82400
1973-08-14,0.0,0.52,0.52,0.52,40000
1973-08-15,0.0,0.52,0.51,0.52,15600
1973-08-16,0.0,0.52,0.52,0.52,60400
1973-08-17,0.0,0.52,0.52,0.52,14800
1973-08-20,0.0,0.53,0.52,0.53,24400
1973-08-21,0.0,0.53,0.52,0.52,38400
1973-08-22,0.0,0.52,0.52,0.52,37200
1973-08-23,0.0,0.53,0.52,0.52,37600
1973-08-24,0.0,0.53,0.52,0.53,20400
1973-08-27,0.0,0.53,0.52,0.53,26800
1973-08-28,0.0,0.53,0.52,0.52,64000
1973-08-29,0.0,0.53,0.52,0.52,40000
1973-08-30,0.0,0.54,0.52,0.53,96000
1973-08-31,0.0,0.54,0.53,0.53,6400
1973-09-04,0.0,0.54,0.53,0.54,25600
1973-09-05,0.0,0.55,0.54,0.54,148800
1973-09-06,0.0,0.56,0.54,0.56,76800
1973-09-07,0.0,0.57,0.56,0.57,198800
1973-09-10,0.0,0.57,0.56,0.56,15600
1973-09-11,0.0,0.56,0.56,0.56,25200
1973-09-12,0.0,0.56,0.55,0.55,77600
1973-09-13,0.0,0.55,0.55,0.55,28400
1973-09-14,0.0,0.56,0.55,0.56,17600
1973-09-17,0.0,0.57,0.56,0.56,67600
1973-09-18,0.0,0.56,0.55,0.56,39200
1973-09-19,0.0,0.57,0.56,0.56,39200
1973-09-20,0.0,0.57,0.56,0.56,61200
1973-09-21,0.0,0.58,0.56,0.57,125200
1973-09-24,0.0,0.6,0.58,0.59,26000
1973-09-25,0.0,0.6,0.57,0.59,48800
1973-09-26,0.0,0.62,0.6,0.61,122800
1973-09-27,0.0,0.62,0.6,0.61,37600
1973-09-28,0.0,0.61,0.6,0.6,88400
1973-10-01,0.0,0.6,0.58,0.58,37600
1973-10-02,0.0,0.6,0.59,0.59,52000
1973-10-03,0.0,0.6,0.59,0.59,24400
1973-10-04,0.0,0.59,0.58,0.59,29200
1973-10-05,0.0,0.6,0.59,0.6,30000
1973-10-08,0.0,0.59,0.59,0.59,69600
1973-10-09,0.0,0.59,0.58,0.59,55600
1973-10-10,0.0,0.59,0.57,0.57,116800
1973-10-11,0.0,0.59,0.58,0.58,121600
1973-10-12,0.0,0.59,0.59,0.59,29600
1973-10-15,0.0,0.59,0.58,0.58,17600
1973-10-16,0.0,0.58,0.57,0.58,25600
1973-10-17,0.0,0.58,0.58,0.58,214400
1973-10-18,0.0,0.59,0.58,0.58,158800
1973-10-19,0.0,0.59,0.58,0.59,88800
1973-10-22,0.0,0.59,0.58,0.58,42400
1973-10-23,0.0,0.6,0.58,0.59,46000
1973-10-24,0.0,0.59,0.58,0.59,22000
1973-10-25,0.0,0.59,0.59,0.59,59200
1973-10-26,0.0,0.6,0.59,0.6,86800
1973-10-29,0.0,0.61,0.6,0.61,36400
1973-10-30,0.0,0.61,0.6,0.61,90400
1973-10-31,0.0,0.6,0.59,0.6,32800
1973-11-01,0.0,0.59,0.58,0.58,41600
1973-11-02,0.0,0.59,0.57,0.59,73200
1973-11-05,0.0,0.59,0.55,0.55,140800
1973-11-06,0.0,0.57,0.55,0.55,46400
1973-11-07,0.0,0.55,0.55,0.55,103600
1973-11-08,0.0,0.55,0.52,0.53,51600
1973-11-09,0.0,0.53,0.51,0.52,104400
1973-11-12,0.0,0.52,0.51,0.52,52400
1973-11-13,0.0,0.52,0.51,0.51,75600
1973-11-14,0.0,0.51,0.49,0.49,64400
1973-11-15,0.0,0.51,0.49,0.51,107200
1973-11-16,0.0,0.52,0.5,0.51,177600
1973-11-19,0.0,0.51,0.5,0.5,105600
1973-11-20,0.0,0.5,0.49,0.5,41200
1973-11-21,0.0,0.5,0.48,0.49,84800
1973-11-23,0.0,0.5,0.49,0.49,35600
1973-11-26,0.0,0.5,0.49,0.49,62800
1973-11-27,0.0,0.49,0.48,0.49,57600
1973-11-28,0.0,0.49,0.45,0.46,169600
1973-11-29,0.0,0.46,0.45,0.46,140400
1973-11-30,0.0,0.46,0.43,0.44,82800
1973-12-03,0.0,0.43,0.38,0.4,163200
1973-12-04,0.0,0.41,0.4,0.41,276400
1973-12-05,0.0,0.41,0.4,0.4,94800
1973-12-06,0.0,0.41,0.39,0.4,246400
1973-12-07,0.0,0.42,0.39,0.42,118800
1973-12-10,0.0,0.45,0.41,0.45,75600
1973-12-11,0.0,0.46,0.42,0.42,90400
1973-12-12,0.0,0.43,0.4,0.4,76800
