Date,Open,High,Low,Close,Volume
1980-03-17,0.0,6.45,6.18,6.37,519300.0
1980-03-18,0.0,6.53,5.89,6.53,659200.0
1980-03-19,0.0,6.72,6.41,6.68,408000.0
1980-03-20,0.0,6.82,6.55,6.7,607100.0
1980-03-21,0.0,6.72,6.41,6.61,229100.0
1980-03-24,0.0,6.57,6.1,6.16,256800.0
1980-03-25,0.0,6.26,6.02,6.24,315700.0
1980-03-26,0.0,6.3,6.12,6.12,315000.0
1980-03-27,0.0,6.06,5.4,5.79,609000.0
1980-03-28,0.0,6.2,5.79,6.2,277100.0
1980-03-31,0.0,6.53,6.28,6.35,419200.0
1980-04-01,0.0,6.41,6.18,6.18,162700.0
1980-04-02,0.0,5.95,5.83,5.91,419200.0
1980-04-03,0.0,5.91,5.68,5.71,352500.0
1980-04-07,0.0,5.68,5.58,5.62,187500.0
1980-04-08,0.0,5.99,5.58,5.99,624300.0
1980-04-09,0.0,6.28,6.16,6.2,207300.0
1980-04-10,0.0,6.3,6.06,6.12,176200.0
1980-04-11,0.0,6.12,5.83,5.87,222300.0
1980-04-14,0.0,5.93,5.81,5.83,558700.0
1980-04-15,0.0,5.81,5.64,5.64,106500.0
1980-04-16,0.0,5.71,5.42,5.42,121100.0
1980-04-17,0.0,5.4,5.29,5.31,173600.0
1980-04-18,0.0,5.37,5.25,5.31,228000.0
1980-04-21,0.0,5.44,5.29,5.29,127800.0
1980-04-22,0.0,5.66,5.46,5.66,196500.0
1980-04-23,0.0,5.87,5.6,5.81,178800.0
1980-04-24,0.0,6.04,5.75,5.91,229100.0
1980-04-25,0.0,6.16,5.87,5.95,325800.0
1980-04-28,0.0,6.02,5.79,5.79,151800.0
1980-04-29,0.0,5.87,5.81,5.81,126700.0
1980-04-30,0.0,5.85,5.79,5.85,63000.0
1980-05-01,0.0,5.85,5.46,5.46,157500.0
1980-05-02,0.0,5.62,5.29,5.6,258000.0
1980-05-05,0.0,5.56,5.42,5.48,84700.0
1980-05-06,0.0,5.54,5.33,5.42,178800.0
1980-05-07,0.0,5.54,5.37,5.37,150300.0
1980-05-08,0.0,5.44,5.21,5.33,230600.0
1980-05-09,0.0,5.29,5.09,5.17,110200.0
1980-05-12,0.0,5.25,5.04,5.17,271500.0
1980-05-13,0.0,5.35,5.15,5.31,480000.0
1980-05-14,0.0,5.52,5.35,5.52,195000.0
1980-05-15,0.0,5.75,5.5,5.68,117000.0
1980-05-16,0.0,5.95,5.71,5.87,255000.0
1980-05-19,0.0,6.24,5.83,5.95,269200.0
1980-05-20,0.0,5.95,5.85,5.95,287600.0
1980-05-21,0.0,6.12,5.91,6.04,290200.0
1980-05-22,0.0,6.08,5.97,6.04,194600.0
1980-05-23,0.0,6.37,6.12,6.3,319800.0
