Date,Open,High,Low,Close,Volume
1973-02-21,0.0,0.93,0.93,0.93,34100.0
1973-02-22,0.0,0.91,0.91,0.91,20800.0
1973-02-23,0.0,0.92,0.92,0.92,55900.0
1973-02-26,0.0,0.91,0.91,0.91,17300.0
1973-02-27,0.0,0.91,0.91,0.91,8600.0
1973-02-28,0.0,0.9,0.9,0.9,21300.0
1973-03-01,0.0,0.89,0.89,0.89,10100.0
1973-03-02,0.0,0.88,0.88,0.88,26400.0
1973-03-05,0.0,0.88,0.88,0.88,68700.0
1973-03-06,0.0,0.88,0.88,0.88,25400.0
1973-03-07,0.0,0.88,0.88,0.88,13700.0
1973-03-08,0.0,0.88,0.88,0.88,12700.0
1973-03-09,0.0,0.87,0.87,0.87,39100.0
1973-03-12,0.0,0.86,0.86,0.86,14700.0
1973-03-13,0.0,0.88,0.88,0.88,14700.0
1973-03-14,0.0,0.88,0.88,0.88,21300.0
1973-03-15,0.0,0.86,0.86,0.86,60000.0
1973-03-16,0.0,0.84,0.84,0.84,233100.0
1973-03-19,0.0,0.85,0.85,0.85,36100.0
1973-03-20,0.0,0.84,0.84,0.84,58000.0
1973-03-21,0.0,0.85,0.85,0.85,8600.0
1973-03-22,0.0,0.85,0.85,0.85,17300.0
1973-03-23,0.0,0.84,0.84,0.84,23900.0
1973-03-26,0.0,0.84,0.84,0.84,16700.0
1973-03-27,0.0,0.83,0.83,0.83,37600.0
1973-03-28,0.0,0.84,0.84,0.84,89500.0
1973-03-29,0.0,0.85,0.85,0.85,21300.0
1973-03-30,0.0,0.86,0.86,0.86,14200.0
1973-04-02,0.0,0.86,0.86,0.86,25900.0
1973-04-03,0.0,0.86,0.86,0.86,11700.0
1973-04-04,0.0,0.87,0.87,0.87,25900.0
1973-04-05,0.0,0.87,0.87,0.87,22900.0
1973-04-06,0.0,0.87,0.87,0.87,19800.0
1973-04-09,0.0,0.88,0.88,0.88,13700.0
1973-04-10,0.0,0.86,0.86,0.86,37100.0
1973-04-11,0.0,0.87,0.87,0.87,51900.0
1973-04-12,0.0,0.88,0.88,0.88,13200.0
1973-04-13,0.0,0.86,0.86,0.86,138400.0
1973-04-16,0.0,0.87,0.87,0.87,8600.0
1973-04-17,0.0,0.88,0.88,0.88,133800.0
1973-04-18,0.0,0.87,0.87,0.87,4000.0
1973-04-19,0.0,0.86,0.86,0.86,22300.0
1973-04-23,0.0,0.87,0.87,0.87,12700.0
1973-04-24,0.0,0.86,0.86,0.86,27400.0
1973-04-25,0.0,0.85,0.85,0.85,39100.0
1973-04-26,0.0,0.85,0.85,0.85,7600.0
1973-04-27,0.0,0.84,0.84,0.84,23900.0
1973-04-30,0.0,0.83,0.83,0.83,194900.0
1973-05-01,0.0,0.82,0.82,0.82,32000.0
1973-05-02,0.0,0.82,0.82,0.82,34100.0
1973-05-03,0.0,0.83,0.83,0.83,37600.0
1973-05-04,0.0,0.85,0.84,0.85,23900.0
1973-05-07,0.0,0.86,0.84,0.85,10600.0
1973-05-08,0.0,0.87,0.86,0.87,26900.0
1973-05-09,0.0,0.88,0.87,0.88,7600.0
1973-05-10,0.0,0.88,0.87,0.87,36100.0
1973-05-11,0.0,0.88,0.87,0.87,15200.0
1973-05-14,0.0,0.88,0.87,0.87,13200.0
1973-05-15,0.0,0.88,0.86,0.87,53400.0
1973-05-16,0.0,0.87,0.87,0.87,19300.0
1973-05-17,0.0,0.87,0.86,0.86,30500.0
1973-05-18,0.0,0.87,0.86,0.87,61000.0
1973-05-21,0.0,0.87,0.86,0.87,25900.0
1973-05-22,0.0,0.88,0.87,0.88,7100.0
1973-05-23,0.0,0.89,0.87,0.89,14200.0
1973-05-24,0.0,0.89,0.88,0.88,34100.0
1973-05-25,0.0,0.9,0.88,0.89,19800.0
1973-05-29,0.0,0.9,0.89,0.89,20300.0
