Date,Open,High,Low,Close,Volume
2011-01-27,19.81,20.56,19.81,20.2,5809300
2011-01-28,20.2,20.2,19.89,19.89,2611900
2011-01-31,19.87,21.08,19.69,20.74,2505300
2011-02-01,21.04,21.18,20.28,20.48,2155300
2011-02-02,20.66,20.94,20.47,20.64,1173100
2011-02-03,20.49,20.74,20.48,20.64,668300
2011-02-04,20.72,21.56,20.48,20.74,720200
2011-02-07,20.72,20.84,20.39,20.51,1204800
2011-02-08,20.44,20.73,20.4,20.7,3632000
2011-02-09,20.66,20.84,20.31,20.35,873200
2011-02-10,20.28,20.39,19.89,20.2,1149600
2011-02-11,20.7,20.7,19.97,20.06,2107900
2011-02-14,20.26,20.26,19.97,20.18,1122500
2011-02-15,20.14,20.22,19.93,20.19,887500
2011-02-16,20.13,20.68,20.13,20.68,853400
2011-02-17,20.59,21.64,20.59,21.48,1733100
2011-02-18,21.54,22.14,21.4,22.02,1360800
2011-02-22,21.6,21.87,20.85,21.01,1109400
2011-02-23,20.8,21.25,20.66,21.21,1125400
2011-02-24,21.05,21.09,20.63,20.64,496900
2011-02-25,20.71,20.81,20.51,20.67,556100
2011-02-28,20.77,21.27,20.65,21.15,872400
2011-03-01,20.68,21.87,20.62,21.58,1033500
2011-03-02,21.52,21.67,21.27,21.41,419700
2011-03-03,21.35,21.43,20.74,21.27,2173600
2011-03-04,21.09,21.51,20.94,21.12,719100
2011-03-07,21.69,22.14,21.36,21.48,1476600
2011-03-08,21.48,21.87,21.4,21.56,921300
2011-03-09,21.48,21.62,21.22,21.45,470800
2011-03-10,21.05,21.43,20.58,20.7,1128300
2011-03-11,20.53,21.06,20.53,20.68,706900
2011-03-14,20.51,21.28,20.5,21.05,786600
2011-03-15,20.6,21.14,20.53,20.95,859600
2011-03-16,20.94,20.98,20.45,20.7,1261100
2011-03-17,21.02,21.07,20.71,20.75,363600
2011-03-18,20.84,21.21,20.84,21.19,663900
2011-03-21,21.2,21.52,21.03,21.48,377600
2011-03-22,21.4,21.85,21.33,21.6,720600
2011-03-23,21.48,21.78,21.18,21.3,812000
2011-03-24,21.36,21.59,21.02,21.52,225200
2011-03-25,21.64,22.39,21.64,21.97,475200
2011-03-28,21.94,22.29,21.75,21.87,605300
2011-03-29,21.89,22.22,21.72,22.22,410800
2011-03-30,22.28,22.39,21.97,22.13,912000
2011-03-31,22.14,22.23,21.6,21.72,5847400
2011-04-01,21.79,22.0,21.48,21.71,609800
2011-04-04,21.7,22.27,21.7,22.07,945500
2011-04-05,21.98,21.98,21.61,21.8,273400
2011-04-06,21.87,21.9,21.52,21.87,653900
2011-04-07,21.79,21.96,21.43,21.86,242400
2011-04-08,22.09,22.09,21.4,21.5,446100
2011-04-11,21.48,22.25,21.38,21.99,483700
2011-04-12,21.86,22.48,21.73,22.33,1260300
2011-04-13,22.41,22.61,22.22,22.33,1031600
2011-04-14,22.25,22.31,21.86,22.0,161600
2011-04-15,21.98,22.3,21.91,22.29,246800
2011-04-18,22.03,22.18,21.65,21.71,311500
2011-04-19,21.71,22.42,21.69,21.95,371200
2011-04-20,22.21,22.27,21.59,21.7,1493500
2011-04-21,21.86,23.25,21.86,22.87,1009500
2011-04-25,22.96,23.11,22.12,22.75,1074200
2011-04-26,22.75,22.86,22.34,22.65,491200
2011-04-27,22.72,23.15,22.68,22.84,848500
2011-04-28,22.88,25.06,22.79,23.32,2091200
2011-04-29,23.37,23.94,23.28,23.77,1065600
2011-05-02,23.77,23.98,23.66,23.73,437800
2011-05-03,23.74,23.82,23.27,23.35,470700
2011-05-04,23.46,23.53,22.73,22.95,599000
2011-05-05,22.88,23.73,22.87,23.68,415600
2011-05-06,23.81,23.97,23.54,23.73,198500
2011-05-09,23.78,24.48,23.69,24.09,742200
2011-05-10,24.2,24.54,23.93,24.04,328500
2011-05-11,24.19,24.26,23.89,24.01,701900
2011-05-12,23.93,24.28,23.35,24.08,657000
2011-05-13,24.16,24.43,23.79,24.34,383700
2011-05-16,24.25,25.03,24.02,24.58,694400
2011-05-17,24.57,25.95,24.57,25.5,1846300
2011-05-18,24.76,25.72,24.44,25.48,1327400
2011-05-19,25.37,25.57,24.94,25.21,643200
