Date,Open,High,Low,Close,Volume
1996-10-29,4.03,4.03,3.84,3.86,13418900
1996-10-30,3.89,4.51,3.89,4.37,2777800
1996-10-31,4.37,4.53,4.34,4.46,2769300
1996-11-01,4.46,4.49,4.17,4.22,1621800
1996-11-04,4.25,4.27,4.17,4.17,314900
1996-11-05,4.17,4.2,4.15,4.15,325600
1996-11-06,4.17,4.22,4.13,4.2,198700
1996-11-07,4.17,4.25,4.15,4.25,273200
1996-11-08,4.27,4.46,4.25,4.41,439100
1996-11-11,4.44,4.58,4.44,4.51,358400
1996-11-12,4.51,4.65,4.51,4.61,261700
1996-11-13,4.7,5.01,4.63,4.89,815700
1996-11-14,4.94,5.13,4.94,5.04,675600
1996-11-15,5.09,5.11,4.97,5.01,548700
1996-11-18,4.99,4.99,4.77,4.89,397400
1996-11-19,4.94,4.94,4.87,4.94,103300
1996-11-20,4.94,4.97,4.92,4.92,192900
1996-11-21,4.94,4.94,4.87,4.87,507000
1996-11-22,4.92,5.11,4.87,4.89,491000
1996-11-25,4.92,5.23,4.92,5.18,285600
1996-11-26,5.23,5.45,5.23,5.28,841900
1996-11-27,5.33,5.37,5.3,5.37,64300
1996-11-29,5.42,5.42,5.4,5.42,8400
1996-12-02,5.42,5.42,5.3,5.37,239100
1996-12-03,5.37,5.59,5.37,5.59,363700
1996-12-04,5.59,5.59,5.47,5.47,361500
1996-12-05,5.52,5.57,5.42,5.52,70900
1996-12-06,5.47,5.49,5.33,5.37,63800
1996-12-09,5.4,5.57,5.4,5.52,114800
1996-12-10,5.52,5.52,5.33,5.33,46100
1996-12-11,5.3,5.3,4.97,5.01,91800
1996-12-12,5.06,5.16,5.06,5.16,72300
1996-12-13,5.18,5.18,5.11,5.13,170700
1996-12-16,5.16,5.28,5.16,5.28,135200
1996-12-17,5.3,5.33,5.28,5.33,94400
1996-12-18,5.35,5.35,5.23,5.3,238600
1996-12-19,5.52,5.71,5.52,5.57,287800
1996-12-20,5.61,5.83,5.61,5.76,113100
1996-12-23,5.81,5.85,5.78,5.78,399600
1996-12-24,5.83,5.85,5.83,5.83,9300
1996-12-26,5.85,5.85,5.81,5.83,75400
1996-12-27,5.73,5.78,5.69,5.69,118800
1996-12-30,5.66,5.71,5.66,5.71,48700
1996-12-31,5.66,5.9,5.66,5.9,98900
1997-01-02,5.85,5.9,5.81,5.88,64700
1997-01-03,5.88,5.88,5.76,5.76,108600
1997-01-06,5.78,5.81,5.78,5.78,86900
1997-01-07,5.76,5.85,5.69,5.81,339700
1997-01-08,5.83,5.83,5.76,5.81,227100
1997-01-09,5.83,6.16,5.83,6.12,131300
1997-01-10,6.07,6.38,6.04,6.38,51000
1997-01-13,6.36,6.38,6.28,6.28,34600
1997-01-14,6.31,6.31,6.16,6.28,254600
1997-01-15,6.28,6.91,6.28,6.91,343700
1997-01-16,6.96,7.41,6.96,7.29,604600
1997-01-17,7.29,7.29,6.88,6.91,106900
1997-01-20,6.86,6.93,6.79,6.79,58900
1997-01-21,6.81,6.81,6.43,6.69,464800
1997-01-22,6.64,6.67,6.5,6.57,346000
1997-01-23,6.6,6.6,6.38,6.38,266100
1997-01-24,6.45,6.45,6.16,6.16,143200
1997-01-27,6.21,6.28,6.04,6.04,106900
1997-01-28,6.09,6.28,6.09,6.14,370800
1997-01-29,6.16,6.19,6.0,6.16,613400
1997-01-30,6.19,6.26,6.09,6.12,282500
1997-01-31,6.14,6.14,6.09,6.14,860100
1997-02-03,6.16,6.24,6.16,6.16,600600
1997-02-04,6.19,6.19,5.57,5.71,518100
1997-02-05,5.76,5.97,5.76,5.93,1271800
1997-02-06,5.97,5.97,5.83,5.83,133000
1997-02-07,5.78,5.85,5.61,5.76,154300
1997-02-10,5.73,5.73,5.37,5.57,370800
1997-02-11,5.61,5.76,5.59,5.73,980300
1997-02-12,5.76,6.36,5.76,6.33,280700
1997-02-13,6.33,6.64,6.33,6.43,623200
1997-02-14,6.43,6.64,6.43,6.64,243500
1997-02-18,6.64,6.72,6.6,6.69,173400
1997-02-19,6.72,6.74,6.62,6.64,121900
1997-02-20,6.64,6.64,6.5,6.55,174700
1997-02-21,6.57,6.57,6.28,6.33,73600
1997-02-24,6.36,6.4,6.33,6.33,135700
1997-02-25,6.36,6.38,6.31,6.33,5300
1997-02-26,6.33,6.36,6.21,6.21,130400
1997-02-27,6.19,6.19,5.95,5.95,65200
1997-02-28,5.93,5.93,5.83,5.9,140100
1997-03-03,5.9,5.95,5.85,5.95,157400
1997-03-04,6.0,6.21,6.0,6.16,82500
1997-03-05,6.19,6.69,6.19,6.6,190700
1997-03-06,6.55,6.62,6.5,6.5,179200
1997-03-07,6.48,6.52,6.48,6.5,276300
1997-03-10,6.5,6.5,6.43,6.43,23000
1997-03-11,6.43,6.43,6.4,6.4,62900
1997-03-12,6.4,6.4,6.31,6.33,50100
1997-03-13,6.09,6.16,6.02,6.04,145500
1997-03-14,6.02,6.19,6.0,6.12,94900
1997-03-17,6.04,6.12,6.04,6.09,121100
1997-03-18,6.12,6.4,6.07,6.38,142800
1997-03-19,6.38,6.38,6.21,6.26,62100
1997-03-20,6.31,6.31,6.14,6.19,48700
1997-03-21,6.16,6.16,6.12,6.12,39000
1997-03-24,6.12,6.12,6.09,6.09,27900
1997-03-25,6.07,6.07,6.02,6.02,251000
1997-03-26,6.04,6.33,6.04,6.28,264300
1997-03-27,6.28,6.36,6.19,6.19,540700
1997-03-31,6.19,6.52,6.07,6.14,387700
1997-04-01,6.16,6.21,6.12,6.12,139700
1997-04-02,6.14,6.43,6.14,6.26,106000
1997-04-03,6.26,6.26,6.14,6.14,235900
1997-04-04,6.09,6.19,6.07,6.19,56700
1997-04-07,6.21,6.33,6.21,6.28,20400
1997-04-08,6.38,6.62,6.21,6.62,66500
1997-04-09,6.62,6.96,6.62,6.96,146300
1997-04-10,6.96,7.03,6.91,7.0,99800
1997-04-11,7.0,7.0,6.84,6.93,294500
1997-04-14,6.93,7.1,6.93,7.0,43400
1997-04-15,7.0,7.29,7.0,7.22,212000
1997-04-16,7.27,7.27,7.24,7.24,34100
1997-04-17,7.29,7.34,7.27,7.29,449300
1997-04-18,7.27,7.27,7.1,7.1,99300
1997-04-21,7.08,7.08,6.93,6.93,95800
1997-04-22,6.96,7.03,6.96,7.0,275900
1997-04-23,6.98,6.98,6.91,6.91,88700
1997-04-24,6.93,6.93,6.91,6.91,14100
1997-04-25,6.91,6.91,6.88,6.91,259900
1997-04-28,6.88,6.96,6.88,6.93,112600
1997-04-29,6.96,7.08,6.96,7.08,55800
1997-04-30,7.1,7.6,7.08,7.46,185400
1997-05-01,7.46,7.72,7.46,7.48,220000
1997-05-02,7.51,7.51,7.46,7.48,301200
1997-05-05,7.46,7.6,7.46,7.6,476800
1997-05-06,7.6,7.68,7.48,7.51,189400
1997-05-07,7.51,7.51,7.46,7.48,20400
1997-05-08,7.46,7.63,7.44,7.63,39900
1997-05-09,7.6,7.63,7.56,7.58,82500
1997-05-12,7.58,7.58,7.48,7.51,117500
1997-05-13,7.53,7.53,7.44,7.51,20400
1997-05-14,7.87,7.92,7.72,7.92,923100
1997-05-15,7.96,8.2,7.96,8.2,975000
1997-05-16,8.2,8.42,8.18,8.42,1059700
1997-05-19,8.59,8.78,8.54,8.73,701700
1997-05-20,8.73,8.88,8.64,8.88,694600
1997-05-21,8.85,9.28,8.85,9.28,1250000
1997-05-22,9.28,9.45,9.09,9.21,451500
1997-05-23,9.24,9.38,9.24,9.38,663600
1997-05-27,9.36,9.5,9.33,9.48,270500
1997-05-28,9.48,9.48,9.31,9.38,97500
1997-05-29,9.38,9.38,9.0,9.28,334000
1997-05-30,9.26,9.33,9.19,9.28,242200
1997-06-02,9.33,9.79,9.33,9.72,234200
1997-06-03,9.76,10.07,9.76,10.07,376100
1997-06-04,10.07,10.17,9.98,10.12,223500
1997-06-05,10.1,10.19,9.96,10.19,361000
1997-06-06,10.15,10.27,10.07,10.27,507900
1997-06-09,9.88,9.88,9.36,9.69,1073000
1997-06-10,9.69,9.69,9.5,9.67,540300
1997-06-11,9.69,9.69,9.52,9.62,338900
1997-06-12,9.57,9.6,9.52,9.6,179600
1997-06-13,9.57,9.64,9.52,9.62,272800
1997-06-16,9.62,10.27,9.62,10.1,337100
1997-06-17,10.1,10.65,10.07,10.55,258100
1997-06-18,10.58,10.58,10.43,10.48,286500
1997-06-19,10.43,10.43,10.24,10.27,364600
1997-06-20,10.24,10.31,10.19,10.22,169400
1997-06-23,10.22,10.22,10.07,10.1,280300
1997-06-24,10.1,10.17,10.1,10.1,215500
1997-06-25,10.15,10.15,10.11,10.12,139700
1997-06-26,10.12,10.27,10.11,10.27,229300
1997-06-27,10.36,10.79,10.36,10.7,762900
1997-06-30,10.79,11.08,10.79,11.03,840600
1997-07-01,10.94,10.99,10.89,10.97,272300
1997-07-02,10.96,11.01,10.94,10.95,445300
1997-07-03,10.95,10.95,10.81,10.82,52700
1997-07-07,10.83,10.84,10.6,10.67,245700
1997-07-08,10.6,10.65,10.59,10.65,65600
1997-07-09,10.65,10.67,10.31,10.34,283000
1997-07-10,10.31,10.35,10.24,10.29,210200
1997-07-11,10.34,10.37,10.17,10.17,165400
1997-07-14,10.17,10.17,9.62,9.69,435100
1997-07-15,9.72,9.79,9.72,9.78,222600
1997-07-16,9.79,9.79,9.74,9.76,931100
1997-07-17,10.07,10.53,10.07,10.46,477300
1997-07-18,10.43,10.67,10.36,10.59,216000
1997-07-21,10.55,10.61,10.41,10.53,183600
1997-07-22,10.52,10.65,10.52,10.65,351300
1997-07-23,10.65,10.82,10.65,10.76,301600
1997-07-24,11.13,11.55,11.08,11.38,516700
1997-07-25,11.37,11.96,11.31,11.84,481700
1997-07-28,11.86,11.86,11.72,11.72,67400
1997-07-29,11.67,11.75,11.66,11.75,281200
1997-07-30,11.73,12.04,11.73,11.93,343300
1997-07-31,11.93,11.95,11.9,11.91,181800
1997-08-01,11.86,11.86,11.71,11.72,53600
1997-08-04,11.72,11.72,11.38,11.59,251900
1997-08-05,11.55,11.55,11.49,11.5,34600
1997-08-06,11.5,11.51,11.49,11.51,95800
1997-08-07,11.51,11.61,11.51,11.56,234600
1997-08-08,11.51,11.51,11.3,11.41,650300
1997-08-11,11.38,11.38,11.17,11.31,210700
1997-08-12,11.31,11.56,11.31,11.56,153900
1997-08-13,11.61,11.75,11.59,11.74,157900
1997-08-14,11.75,11.75,11.61,11.72,342400
1997-08-15,11.72,11.78,11.62,11.77,125500
1997-08-18,11.74,11.8,11.71,11.71,75400
1997-08-19,11.83,11.99,11.74,11.99,405000
1997-08-20,11.99,12.01,11.93,11.97,103800
1997-08-21,12.01,12.02,11.6,11.66,256800
1997-08-22,11.59,11.59,11.32,11.41,365900
1997-08-25,11.31,11.38,10.94,10.95,284300
1997-08-26,10.9,10.93,10.66,10.89,454200
1997-08-27,10.89,11.18,10.89,11.18,433800
1997-08-28,11.27,11.92,11.25,11.87,775800
1997-08-29,11.9,11.9,11.61,11.81,160500
1997-09-02,11.83,12.21,11.83,12.19,356200
1997-09-03,12.19,12.52,12.19,12.4,270100
1997-09-04,12.37,12.43,12.37,12.38,122800
1997-09-05,12.39,12.47,12.34,12.46,300700
1997-09-08,12.5,12.5,12.15,12.17,256400
1997-09-09,12.17,12.17,11.62,11.63,425800
1997-09-10,11.62,11.68,11.61,11.63,362800
1997-09-11,11.63,11.63,11.47,11.51,400500
1997-09-12,11.54,11.95,11.54,11.85,835700
1997-09-15,11.99,11.99,11.57,11.59,443100
1997-09-16,11.9,12.47,11.86,12.39,1734400
1997-09-17,12.44,12.95,12.41,12.76,1660300
1997-09-18,12.86,12.97,12.86,12.86,515900
1997-09-19,12.71,12.88,12.68,12.88,387700
1997-09-22,13.15,13.24,12.98,13.24,247900
1997-09-23,13.24,13.24,12.93,12.93,280300
1997-09-24,12.93,12.94,12.55,12.56,369900
1997-09-25,12.56,12.65,12.56,12.65,241700
1997-09-26,13.24,13.29,12.98,13.23,824600
1997-09-29,13.3,13.66,13.28,13.63,456900
1997-09-30,13.58,14.39,13.58,14.36,605000
1997-10-01,14.33,14.87,14.33,14.85,446200
1997-10-02,14.9,15.09,14.86,15.09,1336500
1997-10-03,15.21,15.56,15.09,15.11,1314300
1997-10-06,15.15,15.57,15.15,15.46,1486000
1997-10-07,15.46,15.57,15.42,15.52,369000
1997-10-08,15.54,15.69,15.33,15.36,294900
1997-10-09,15.32,15.7,15.11,15.56,338400
1997-10-10,15.58,16.31,15.54,16.17,869800
1997-10-13,16.46,17.06,15.81,15.86,1751300
1997-10-14,15.88,15.99,14.78,15.21,1347600
1997-10-15,15.11,15.12,14.32,14.37,1723800
1997-10-16,14.39,14.57,14.03,14.06,624500
1997-10-17,14.1,14.33,13.43,13.91,1458500
1997-10-20,14.06,15.02,13.94,14.91,918600
1997-10-21,15.04,15.39,14.92,15.39,869800
1997-10-22,15.38,15.59,15.16,15.16,310900
1997-10-23,14.82,15.21,14.73,14.91,545100
1997-10-24,15.26,15.59,15.09,15.09,532700
1997-10-27,15.06,15.06,14.01,14.01,577500
1997-10-28,13.91,15.03,13.84,14.92,1120000
1997-10-29,15.06,15.34,14.6,14.6,672900
1997-10-30,14.55,14.72,14.2,14.55,949700
1997-10-31,14.87,14.92,14.64,14.69,396100
1997-11-03,14.82,14.99,14.78,14.92,261200
1997-11-04,15.21,15.56,15.21,15.48,649400
1997-11-05,15.58,16.36,15.51,16.26,777100
1997-11-06,16.31,16.61,16.22,16.29,567800
1997-11-07,16.22,16.26,15.94,15.98,534500
1997-11-10,16.12,16.55,16.0,16.01,794900
1997-11-11,16.01,16.01,15.3,15.51,368100
1997-11-12,15.45,15.45,14.46,14.68,932400
1997-11-13,14.49,14.81,13.24,13.97,1505500
1997-11-14,14.08,14.37,13.53,13.91,713700
1997-11-17,14.3,14.39,14.2,14.27,906700
1997-11-18,14.32,14.56,13.19,13.19,1593400
1997-11-19,12.45,12.67,11.03,11.51,2109500
1997-11-20,12.04,12.86,11.9,12.43,1590300
1997-11-21,12.95,12.95,12.19,12.26,513000
1997-11-24,12.21,12.23,11.23,11.47,728800
1997-11-25,11.9,12.47,11.03,11.66,1272400
1997-11-26,11.99,12.47,11.99,12.11,936600
1997-11-28,12.21,12.33,12.14,12.16,165600
1997-12-01,12.11,12.28,10.7,12.09,1095200
1997-12-02,11.9,12.4,11.9,12.35,706400
1997-12-03,12.86,13.67,12.57,13.67,1181900
1997-12-04,13.67,14.25,13.29,13.41,1131100
1997-12-05,13.24,13.79,12.91,13.58,514300
1997-12-08,13.48,13.94,13.43,13.77,281400
1997-12-09,13.79,13.79,13.05,13.31,351300
1997-12-10,13.41,13.43,13.12,13.22,454400
1997-12-11,12.86,12.86,11.9,12.14,2237200
1997-12-12,12.38,12.47,11.63,11.83,659800
1997-12-15,11.73,11.75,11.15,11.32,613400
1997-12-16,11.42,12.5,11.42,12.5,939700
1997-12-17,12.52,13.1,12.23,12.67,752300
1997-12-18,12.71,12.71,12.04,12.09,285400
1997-12-19,11.85,12.31,11.54,12.31,281400
1997-12-22,12.35,12.59,11.85,11.9,303400
1997-12-23,11.8,11.92,11.42,11.44,173200
1997-12-24,11.42,11.56,10.94,11.51,306300
1997-12-26,11.47,11.66,11.23,11.59,134400
1997-12-29,11.68,11.95,11.68,11.95,251700
1997-12-30,12.04,12.86,12.02,12.79,742500
1997-12-31,12.76,13.22,12.76,13.12,362800
1998-01-02,13.22,13.22,12.79,12.95,210000
1998-01-05,13.03,13.03,12.55,12.67,284500
1998-01-06,11.95,11.97,10.94,11.61,658700
1998-01-07,11.71,12.64,11.35,12.64,603200
1998-01-08,12.04,12.09,11.87,11.9,438900
1998-01-09,11.51,11.51,10.75,11.47,772300
1998-01-12,10.94,11.42,10.39,10.51,557100
1998-01-13,10.6,10.89,10.27,10.36,798700
1998-01-14,10.39,10.65,10.03,10.36,790200
1998-01-15,10.17,10.63,10.17,10.24,493900
1998-01-16,10.55,10.79,10.36,10.75,619700
1998-01-20,10.94,11.3,10.79,11.3,684600
1998-01-21,10.94,11.15,10.77,11.13,486600
1998-01-22,10.55,10.55,9.4,9.52,754300
1998-01-23,9.6,9.79,8.92,9.16,807300
1998-01-26,9.26,9.6,8.73,9.6,925700
1998-01-27,9.6,9.98,9.55,9.88,870300
1998-01-28,9.93,9.98,9.64,9.96,591000
1998-01-29,10.07,10.82,10.07,10.67,1080600
1998-01-30,10.48,10.53,10.03,10.17,220900
1998-02-02,10.75,10.77,10.31,10.43,853700
1998-02-03,10.43,10.82,10.43,10.82,731200
