Date,Open,High,Low,Close,Volume
2003-12-02,8.53,8.64,8.53,8.64,160000
2003-12-03,8.76,8.76,8.76,8.76,300000
2003-12-04,9.09,9.09,9.09,9.09,50000
2003-12-05,9.09,9.09,9.09,9.09,0
2003-12-08,9.43,9.79,9.43,9.79,954000
2003-12-09,9.79,10.22,9.79,9.94,3014200
2003-12-10,9.99,10.33,9.99,10.1,2994600
2003-12-11,10.22,10.33,10.16,10.28,2203200
2003-12-12,10.33,10.35,10.29,10.31,709000
2003-12-15,10.28,10.28,10.06,10.06,1287000
2003-12-16,10.04,10.04,9.79,9.86,885600
2003-12-17,9.83,9.83,9.61,9.63,1150800
2003-12-18,9.63,9.68,9.63,9.68,2425200
2003-12-19,9.68,9.79,9.68,9.79,1421800
2003-12-22,9.72,9.79,9.72,9.72,5200
2003-12-23,9.74,9.81,9.74,9.79,133800
2003-12-24,9.79,9.81,9.79,9.81,20200
2003-12-26,9.81,9.81,9.81,9.81,1000
2003-12-29,9.79,9.79,9.79,9.79,1200
2003-12-30,9.81,9.83,9.81,9.83,31600
2003-12-31,9.83,9.88,9.83,9.83,14200
2004-01-02,9.88,10.08,9.86,10.08,557600
2004-01-05,10.08,10.1,10.01,10.06,136000
2004-01-06,10.06,10.1,10.05,10.08,160600
2004-01-07,10.06,10.06,9.88,9.99,283400
2004-01-08,10.04,10.04,9.97,10.0,385200
2004-01-09,10.01,10.01,9.5,9.5,3456200
2004-01-12,9.54,9.54,9.52,9.52,17800
2004-01-13,9.54,9.59,9.41,9.43,1069600
2004-01-14,9.45,9.48,9.43,9.43,208600
2004-01-15,9.43,9.43,9.32,9.36,54200
2004-01-16,9.32,9.39,9.32,9.34,493800
2004-01-20,9.43,9.45,9.42,9.43,856600
2004-01-21,9.45,9.5,9.43,9.43,969600
2004-01-22,9.48,9.7,9.48,9.65,863600
2004-01-23,9.65,9.65,9.48,9.52,748400
2004-01-26,9.52,9.52,9.36,9.36,291600
2004-01-27,9.36,9.36,9.3,9.31,994600
2004-01-28,9.32,9.32,9.18,9.21,100000
2004-01-29,9.21,9.21,8.87,8.98,1169000
2004-01-30,8.98,9.09,8.98,8.98,341200
2004-02-02,8.98,9.14,8.98,9.05,80800
2004-02-03,8.98,9.12,8.98,9.12,1379200
