Date,Open,High,Low,Close,Volume
1999-01-22,1.61,1.8,1.43,1.51,67867200.0
1999-01-25,1.63,1.69,1.51,1.67,12762000.0
1999-01-26,1.69,1.72,1.52,1.54,8580000.0
1999-01-27,1.55,1.58,1.46,1.54,6109200.0
1999-01-28,1.54,1.55,1.52,1.53,5688000.0
1999-01-29,1.53,1.54,1.46,1.46,6100800.0
1999-02-01,1.46,1.5,1.46,1.49,3867600.0
1999-02-02,1.46,1.5,1.33,1.37,6602400.0
1999-02-03,1.35,1.42,1.34,1.4,1878000.0
1999-02-04,1.42,1.52,1.4,1.48,4548000.0
1999-02-05,1.5,1.54,1.46,1.52,3421200.0
1999-02-08,1.53,1.54,1.47,1.47,3852000.0
1999-02-09,1.5,1.51,1.39,1.41,2174400.0
1999-02-10,1.41,1.45,1.37,1.4,3705600.0
1999-02-11,1.4,1.57,1.4,1.52,3306000.0
1999-02-12,1.54,1.61,1.54,1.6,2743200.0
1999-02-16,1.63,1.7,1.45,1.61,5275200.0
1999-02-17,1.57,1.59,1.5,1.53,1693200.0
1999-02-18,1.57,1.59,1.51,1.55,1767600.0
1999-02-19,1.54,1.63,1.52,1.6,1884000.0
1999-02-22,1.63,1.65,1.53,1.61,5131200.0
1999-02-23,1.65,1.72,1.56,1.69,3452400.0
1999-02-24,1.94,2.02,1.78,1.82,15319200.0
1999-02-25,1.9,1.96,1.74,1.77,3728400.0
1999-02-26,1.79,1.84,1.67,1.68,4315200.0
1999-03-01,1.73,1.77,1.61,1.69,2304000.0
1999-03-02,1.69,1.7,1.65,1.68,1381200.0
1999-03-03,1.69,1.69,1.56,1.56,1534800.0
1999-03-04,1.64,1.65,1.52,1.53,1434000.0
1999-03-05,1.55,1.62,1.55,1.62,1969200.0
1999-03-08,1.57,1.69,1.55,1.64,1897200.0
1999-03-09,1.64,1.72,1.64,1.69,3579600.0
1999-03-10,1.72,1.72,1.64,1.67,5883600.0
1999-03-11,1.64,1.67,1.59,1.59,1357200.0
1999-03-12,1.6,1.6,1.54,1.56,2269200.0
1999-03-15,1.6,1.65,1.59,1.63,2720400.0
1999-03-16,1.64,1.66,1.56,1.58,1978800.0
1999-03-17,1.59,1.62,1.55,1.59,1284000.0
1999-03-18,1.59,1.63,1.56,1.61,1158000.0
1999-03-19,1.6,1.66,1.6,1.61,2632800.0
1999-03-22,1.65,1.65,1.56,1.56,916800.0
1999-03-23,1.57,1.57,1.44,1.47,4099200.0
1999-03-24,1.46,1.47,1.4,1.46,1521600.0
