Date,Open,High,Low,Close,Volume
2013-06-19,14.27,15.17,14.19,14.75,31981500
2013-06-20,15.28,15.28,14.24,14.28,9274200
2013-06-21,14.66,14.75,14.38,14.58,8323500
2013-06-24,14.6,14.79,14.19,14.5,4279700
2013-06-25,14.52,14.7,14.33,14.68,3577300
2013-06-26,14.65,14.65,14.17,14.38,14755100
2013-06-27,14.32,14.82,13.86,14.47,12121700
2013-06-28,14.47,14.72,14.24,14.24,16988100
2013-07-01,13.81,14.56,13.77,13.81,25839400
2013-07-02,13.72,14.12,13.72,14.0,30520100
2013-07-03,13.96,14.09,13.75,13.88,8542600
2013-07-05,13.96,14.89,13.9,14.62,12427000
2013-07-08,14.59,14.98,14.47,14.9,15345100
2013-07-09,14.74,14.91,14.47,14.67,9936400
2013-07-10,14.47,14.54,14.14,14.37,16327000
2013-07-11,14.56,14.56,13.97,14.13,17029600
2013-07-12,14.07,14.12,13.91,13.94,10426300
2013-07-15,13.94,14.03,13.43,13.7,20636400
2013-07-16,13.6,14.32,13.6,14.27,9328500
2013-07-17,14.34,14.9,14.28,14.84,13411100
2013-07-18,14.88,15.03,14.31,14.44,10825700
2013-07-19,14.33,15.01,14.25,14.91,11658700
2013-07-22,15.02,15.06,14.57,14.69,6141600
2013-07-23,14.65,14.82,14.51,14.61,9298400
2013-07-24,14.61,14.84,14.4,14.67,6205200
2013-07-25,14.62,14.82,14.42,14.54,7069700
2013-07-26,14.51,14.91,14.29,14.84,5884800
2013-07-29,14.82,14.82,14.38,14.48,9020200
2013-07-30,14.56,14.9,14.43,14.89,12798200
2013-07-31,14.94,15.13,14.78,14.87,7681500
2013-08-01,14.88,15.2,14.88,15.13,10303300
2013-08-02,15.08,15.38,15.05,15.26,8258600
2013-08-05,15.25,15.25,14.84,14.94,8754100
2013-08-06,14.93,15.17,14.77,15.11,6232000
2013-08-07,15.08,15.08,14.8,14.89,4755000
2013-08-08,15.0,15.23,14.85,15.06,7110400
2013-08-09,15.02,15.09,14.9,14.92,4293800
2013-08-12,14.83,14.99,14.7,14.86,4882400
2013-08-13,14.85,14.89,14.75,14.78,3615400
2013-08-14,14.78,14.95,14.62,14.84,3940500
2013-08-15,14.74,15.12,14.66,15.03,5160000
2013-08-16,14.98,15.17,14.9,14.92,6373200
2013-08-19,14.98,14.99,14.65,14.66,6123600
2013-08-20,14.78,14.78,14.49,14.66,4265600
2013-08-21,14.57,14.73,14.46,14.71,5040000
2013-08-22,14.71,14.77,14.59,14.67,3731700
2013-08-23,14.67,14.74,14.54,14.7,3981300
2013-08-26,14.74,14.84,14.67,14.81,4125000
2013-08-27,14.7,14.94,14.65,14.69,9059500
2013-08-28,14.71,14.76,14.64,14.71,11099300
2013-08-29,14.69,14.84,14.6,14.72,2795500
2013-08-30,14.7,14.73,14.56,14.66,5386300
2013-09-03,14.84,14.97,14.65,14.73,3783600
2013-09-04,14.74,15.01,14.71,14.97,4992000
2013-09-05,14.91,15.19,14.83,15.16,3521200
2013-09-06,15.23,15.26,15.01,15.12,3358700
2013-09-09,15.09,15.26,15.09,15.26,3668900
2013-09-10,15.29,15.47,15.17,15.45,4292100
2013-09-11,15.55,15.93,15.4,15.92,7562700
2013-09-12,15.98,16.11,15.82,15.97,4836500
2013-09-13,15.93,15.95,15.66,15.77,2717700
2013-09-16,15.98,16.06,15.67,15.83,5758300
2013-09-17,15.9,16.03,15.77,15.87,2538500
