Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.52,0.5,0.5,25600
1980-03-18,0.0,0.52,0.5,0.5,81600
1980-03-19,0.0,0.52,0.51,0.51,40000
1980-03-20,0.0,0.52,0.5,0.5,11200
1980-03-21,0.0,0.51,0.5,0.5,19200
1980-03-24,0.0,0.5,0.48,0.48,112000
1980-03-25,0.0,0.5,0.48,0.48,49600
1980-03-26,0.0,0.5,0.48,0.48,17600
1980-03-27,0.0,0.5,0.48,0.48,78400
1980-03-28,0.0,0.5,0.48,0.48,16000
1980-03-31,0.0,0.47,0.46,0.46,128000
1980-04-01,0.0,0.47,0.45,0.45,54400
1980-04-02,0.0,0.47,0.46,0.46,20800
1980-04-03,0.0,0.47,0.45,0.45,8000
1980-04-07,0.0,0.46,0.45,0.45,43200
1980-04-08,0.0,0.46,0.45,0.45,62400
1980-04-09,0.0,0.47,0.45,0.45,33600
1980-04-10,0.0,0.48,0.46,0.46,24000
1980-04-11,0.0,0.48,0.47,0.47,33600
1980-04-14,0.0,0.48,0.46,0.46,32000
1980-04-15,0.0,0.48,0.46,0.46,33600
1980-04-16,0.0,0.48,0.46,0.46,76800
1980-04-17,0.0,0.48,0.46,0.46,8000
1980-04-18,0.0,0.5,0.48,0.48,52800
1980-04-21,0.0,0.48,0.46,0.46,70400
1980-04-22,0.0,0.5,0.48,0.48,83200
1980-04-23,0.0,0.5,0.48,0.48,19200
1980-04-24,0.0,0.5,0.48,0.48,3200
1980-04-25,0.0,0.49,0.47,0.47,17600
1980-04-28,0.0,0.5,0.48,0.48,56000
1980-04-29,0.0,0.51,0.5,0.5,64000
1980-04-30,0.0,0.51,0.5,0.5,4800
1980-05-01,0.0,0.51,0.5,0.5,108800
1980-05-02,0.0,0.51,0.5,0.5,17600
1980-05-05,0.0,0.51,0.5,0.5,48000
1980-05-06,0.0,0.51,0.5,0.5,14400
1980-05-07,0.0,0.51,0.49,0.49,32000
1980-05-08,0.0,0.5,0.48,0.48,102400
1980-05-09,0.0,0.5,0.48,0.48,62400
1980-05-12,0.0,0.49,0.47,0.47,17600
1980-05-13,0.0,0.49,0.47,0.47,8000
1980-05-14,0.0,0.49,0.47,0.47,20800
1980-05-15,0.0,0.51,0.49,0.49,140800
1980-05-16,0.0,0.51,0.49,0.49,116800
1980-05-19,0.0,0.51,0.5,0.5,44800
1980-05-20,0.0,0.51,0.49,0.49,134400
1980-05-21,0.0,0.52,0.5,0.5,76800
1980-05-22,0.0,0.52,0.5,0.5,49600
1980-05-23,0.0,0.52,0.51,0.51,38400
1980-05-27,0.0,0.52,0.51,0.51,12800
1980-05-28,0.0,0.54,0.53,0.53,83200
1980-05-29,0.0,0.53,0.52,0.52,57600
1980-05-30,0.0,0.53,0.52,0.52,24000
1980-06-02,0.0,0.53,0.52,0.52,22400
1980-06-03,0.0,0.53,0.51,0.51,22400
1980-06-04,0.0,0.53,0.51,0.51,30400
1980-06-05,0.0,0.53,0.51,0.51,57600
1980-06-06,0.0,0.53,0.51,0.51,11200
1980-06-09,0.0,0.53,0.51,0.51,38400
1980-06-10,0.0,0.54,0.52,0.52,44800
1980-06-11,0.0,0.55,0.53,0.53,96000
1980-06-12,0.0,0.55,0.54,0.54,16000
1980-06-13,0.0,0.55,0.54,0.54,12800
1980-06-16,0.0,0.56,0.54,0.54,32000
1980-06-17,0.0,0.56,0.55,0.55,6400
1980-06-18,0.0,0.56,0.55,0.55,11200
1980-06-19,0.0,0.56,0.55,0.55,56000
1980-06-20,0.0,0.56,0.54,0.54,49600
1980-06-23,0.0,0.57,0.55,0.55,36800
1980-06-24,0.0,0.57,0.55,0.55,25600
1980-06-25,0.0,0.57,0.55,0.55,3200
1980-06-26,0.0,0.57,0.55,0.55,94400
1980-06-27,0.0,0.57,0.55,0.55,12800
1980-06-30,0.0,0.57,0.55,0.55,20800
1980-07-01,0.0,0.57,0.55,0.55,22400
1980-07-02,0.0,0.57,0.55,0.55,6400
1980-07-03,0.0,0.57,0.55,0.55,59200
1980-07-07,0.0,0.57,0.56,0.56,30400
1980-07-08,0.0,0.58,0.58,0.58,49600
1980-07-09,0.0,0.61,0.6,0.6,182400
1980-07-10,0.0,0.61,0.6,0.6,60800
1980-07-11,0.0,0.61,0.6,0.6,28800
1980-07-14,0.0,0.62,0.61,0.61,96000
1980-07-15,0.0,0.62,0.61,0.61,27200
1980-07-16,0.0,0.63,0.62,0.62,76800
1980-07-17,0.0,0.64,0.63,0.63,417600
1980-07-18,0.0,0.64,0.63,0.63,44800
1980-07-21,0.0,0.65,0.63,0.63,33600
1980-07-22,0.0,0.65,0.64,0.64,40000
1980-07-23,0.0,0.65,0.64,0.64,22400
1980-07-24,0.0,0.65,0.64,0.64,72000
1980-07-25,0.0,0.65,0.64,0.64,115200
1980-07-28,0.0,0.67,0.66,0.66,83200
1980-07-29,0.0,0.7,0.7,0.7,120000
1980-07-30,0.0,0.72,0.72,0.72,108800
1980-07-31,0.0,0.73,0.72,0.72,273600
1980-08-01,0.0,0.74,0.73,0.73,217600
1980-08-04,0.0,0.74,0.73,0.73,57600
1980-08-05,0.0,0.74,0.73,0.73,148800
1980-08-06,0.0,0.74,0.73,0.73,67200
1980-08-07,0.0,0.74,0.73,0.73,243200
1980-08-08,0.0,0.75,0.74,0.74,67200
1980-08-11,0.0,0.76,0.75,0.75,120000
1980-08-12,0.0,0.75,0.75,0.75,60800
1980-08-13,0.0,0.72,0.71,0.71,305600
1980-08-14,0.0,0.71,0.7,0.7,64000
1980-08-15,0.0,0.72,0.71,0.71,59200
1980-08-18,0.0,0.68,0.67,0.67,204800
