Date,Open,High,Low,Close,Volume
1988-07-06,0.0,0.27,0.26,0.26,3750600
1988-07-07,0.0,0.27,0.26,0.26,2330300
1988-07-08,0.0,0.28,0.26,0.28,1597800
1988-07-11,0.0,0.29,0.27,0.29,941200
1988-07-12,0.0,0.29,0.28,0.29,895800
1988-07-13,0.0,0.29,0.29,0.29,1342700
1988-07-14,0.0,0.29,0.29,0.29,809100
1988-07-15,0.0,0.29,0.29,0.29,272100
1988-07-18,0.0,0.29,0.29,0.29,294800
1988-07-19,0.0,0.29,0.29,0.29,508600
1988-07-20,0.0,0.29,0.29,0.29,453800
1988-07-21,0.0,0.29,0.29,0.29,270400
1988-07-22,0.0,0.29,0.29,0.29,403800
1988-07-25,0.0,0.29,0.28,0.29,1023300
1988-07-26,0.0,0.29,0.28,0.29,192700
1988-07-27,0.0,0.29,0.28,0.28,133500
1988-07-28,0.0,0.29,0.28,0.28,91900
1988-07-29,0.0,0.29,0.28,0.29,113400
1988-08-01,0.0,0.29,0.28,0.28,102000
1988-08-02,0.0,0.29,0.28,0.28,336400
1988-08-03,0.0,0.29,0.28,0.29,94700
1988-08-04,0.0,0.29,0.28,0.29,381700
1988-08-05,0.0,0.29,0.29,0.29,505800
1988-08-08,0.0,0.29,0.29,0.29,157000
1988-08-09,0.0,0.29,0.28,0.29,201600
1988-08-10,0.0,0.29,0.28,0.29,88200
1988-08-11,0.0,0.29,0.28,0.29,138800
1988-08-12,0.0,0.29,0.28,0.28,156200
1988-08-15,0.0,0.29,0.29,0.29,17000
1988-08-16,0.0,0.29,0.28,0.28,45500
1988-08-17,0.0,0.28,0.28,0.28,166300
1988-08-18,0.0,0.28,0.28,0.28,411300
1988-08-19,0.0,0.28,0.28,0.28,13200
1988-08-22,0.0,0.28,0.28,0.28,72000
1988-08-23,0.0,0.28,0.28,0.28,115200
1988-08-24,0.0,0.28,0.28,0.28,51200
1988-08-25,0.0,0.28,0.28,0.28,65100
1988-08-26,0.0,0.28,0.28,0.28,21000
1988-08-29,0.0,0.28,0.28,0.28,22800
1988-08-30,0.0,0.28,0.28,0.28,84000
1988-08-31,0.0,0.28,0.28,0.28,156200
1988-09-01,0.0,0.28,0.27,0.28,222300
1988-09-02,0.0,0.27,0.26,0.26,128700
1988-09-06,0.0,0.27,0.26,0.27,244000
1988-09-07,0.0,0.27,0.26,0.26,76800
1988-09-08,0.0,0.27,0.26,0.26,127800
1988-09-09,0.0,0.26,0.26,0.26,31000
1988-09-12,0.0,0.26,0.26,0.26,22600
1988-09-13,0.0,0.27,0.27,0.27,1200
1988-09-14,0.0,0.27,0.26,0.26,170100
1988-09-15,0.0,0.27,0.26,0.26,72000
1988-09-16,0.0,0.27,0.26,0.26,36700
1988-09-19,0.0,0.27,0.26,0.26,55600
1988-09-20,0.0,0.27,0.26,0.27,31000
1988-09-21,0.0,0.27,0.26,0.26,85200
1988-09-22,0.0,0.27,0.26,0.26,195500
1988-09-23,0.0,0.27,0.26,0.27,15300
1988-09-26,0.0,0.27,0.26,0.26,8400
1988-09-27,0.0,0.27,0.26,0.27,139200
1988-09-28,0.0,0.27,0.26,0.26,64200
1988-09-29,0.0,0.27,0.26,0.26,4600
1988-09-30,0.0,0.26,0.26,0.26,17000
1988-10-03,0.0,0.27,0.26,0.26,18200
1988-10-04,0.0,0.26,0.26,0.26,35200
1988-10-05,0.0,0.25,0.25,0.25,21000
1988-10-06,0.0,0.26,0.25,0.26,15300
1988-10-07,0.0,0.26,0.25,0.25,1800
1988-10-10,0.0,0.26,0.25,0.25,36700
1988-10-11,0.0,0.26,0.25,0.26,53700
1988-10-12,0.0,0.26,0.25,0.26,31000
1988-10-13,0.0,0.25,0.25,0.25,79300
1988-10-14,0.0,0.26,0.25,0.25,28500
1988-10-17,0.0,0.27,0.26,0.26,174700
1988-10-18,0.0,0.27,0.26,0.26,714400
1988-10-19,0.0,0.27,0.26,0.26,106600
1988-10-20,0.0,0.26,0.26,0.26,103300
1988-10-21,0.0,0.27,0.26,0.26,279700
1988-10-24,0.0,0.26,0.26,0.26,164600
1988-10-25,0.0,0.26,0.26,0.26,98200
1988-10-26,0.0,0.27,0.26,0.26,48000
1988-10-27,0.0,0.27,0.25,0.25,123000
1988-10-28,0.0,0.26,0.25,0.26,22800
1988-10-31,0.0,0.26,0.25,0.25,59800
1988-11-01,0.0,0.25,0.25,0.25,138800
1988-11-02,0.0,0.25,0.25,0.25,385700
1988-11-03,0.0,0.25,0.25,0.25,177000
1988-11-04,0.0,0.25,0.25,0.25,52200
1988-11-07,0.0,0.25,0.24,0.24,375400
1988-11-08,0.0,0.25,0.24,0.25,255100
1988-11-09,0.0,0.25,0.24,0.25,323100
1988-11-10,0.0,0.25,0.24,0.25,214400
1988-11-11,0.0,0.25,0.24,0.25,57900
1988-11-14,0.0,0.24,0.24,0.24,5800
1988-11-15,0.0,0.25,0.24,0.25,45500
1988-11-16,0.0,0.25,0.24,0.24,79300
1988-11-17,0.0,0.25,0.25,0.25,59800
1988-11-18,0.0,0.25,0.25,0.25,22800
1988-11-21,0.0,0.25,0.24,0.24,42400
1988-11-22,0.0,0.25,0.24,0.25,112300
1988-11-23,0.0,0.25,0.25,0.25,68000
1988-11-25,0.0,0.25,0.25,0.25,13200
1988-11-28,0.0,0.25,0.25,0.25,207200
1988-11-29,0.0,0.25,0.25,0.25,183300
1988-11-30,0.0,0.25,0.25,0.25,317700
1988-12-01,0.0,0.25,0.25,0.25,189800
1988-12-02,0.0,0.25,0.25,0.25,5800
1988-12-05,0.0,0.25,0.24,0.25,90900
1988-12-06,0.0,0.25,0.24,0.25,46600
1988-12-07,0.0,0.25,0.24,0.25,60600
1988-12-08,0.0,0.25,0.25,0.25,99500
1988-12-09,0.0,0.25,0.24,0.24,35200
1988-12-12,0.0,0.25,0.24,0.24,157700
1988-12-13,0.0,0.24,0.24,0.24,28300
1988-12-14,0.0,0.24,0.24,0.24,21600
1988-12-15,0.0,0.25,0.24,0.24,34000
1988-12-16,0.0,0.25,0.24,0.24,14000
1988-12-19,0.0,0.25,0.24,0.24,297900
1988-12-20,0.0,0.25,0.24,0.24,100300
1988-12-21,0.0,0.24,0.24,0.24,144400
1988-12-22,0.0,0.24,0.24,0.24,179700
1988-12-23,0.0,0.24,0.23,0.23,90900
1988-12-27,0.0,0.24,0.23,0.24,144900
1988-12-28,0.0,0.24,0.23,0.23,263500
1988-12-29,0.0,0.24,0.23,0.24,965700
1988-12-30,0.0,0.25,0.23,0.24,1035900
1989-01-03,0.0,0.25,0.23,0.24,76800
1989-01-04,0.0,0.25,0.23,0.24,122200
1989-01-05,0.0,0.25,0.23,0.25,473300
1989-01-06,0.0,0.25,0.24,0.24,82500
1989-01-09,0.0,0.25,0.24,0.25,61300
1989-01-10,0.0,0.25,0.24,0.25,347100
1989-01-11,0.0,0.25,0.24,0.25,84000
1989-01-12,0.0,0.25,0.24,0.25,157000
1989-01-13,0.0,0.25,0.24,0.24,34200
1989-01-16,0.0,0.25,0.24,0.24,62500
1989-01-17,0.0,0.25,0.24,0.25,54100
1989-01-18,0.0,0.25,0.24,0.24,218100
1989-01-19,0.0,0.25,0.24,0.25,289300
1989-01-20,0.0,0.25,0.24,0.24,648200
1989-01-23,0.0,0.25,0.24,0.25,54100
1989-01-24,0.0,0.25,0.24,0.25,113600
1989-01-25,0.0,0.25,0.25,0.25,393100
1989-01-26,0.0,0.26,0.25,0.26,112300
1989-01-27,0.0,0.26,0.26,0.26,439700
1989-01-30,0.0,0.27,0.26,0.27,553900
1989-01-31,0.0,0.27,0.27,0.27,391400
1989-02-01,0.0,0.28,0.27,0.27,132300
1989-02-02,0.0,0.28,0.27,0.27,25400
1989-02-03,0.0,0.27,0.27,0.27,81200
1989-02-06,0.0,0.27,0.26,0.27,26600
1989-02-07,0.0,0.27,0.27,0.27,147600
1989-02-08,0.0,0.27,0.27,0.27,31500
1989-02-09,0.0,0.27,0.27,0.27,89600
1989-02-10,0.0,0.27,0.27,0.27,139200
1989-02-13,0.0,0.27,0.27,0.27,165600
1989-02-14,0.0,0.27,0.27,0.27,108900
1989-02-15,0.0,0.28,0.27,0.27,464900
1989-02-16,0.0,0.28,0.27,0.28,554600
1989-02-17,0.0,0.28,0.27,0.28,106000
1989-02-21,0.0,0.28,0.27,0.27,177000
1989-02-22,0.0,0.28,0.27,0.27,250700
1989-02-23,0.0,0.28,0.27,0.27,195500
1989-02-24,0.0,0.28,0.27,0.27,123000
1989-02-27,0.0,0.28,0.27,0.28,175700
1989-02-28,0.0,0.28,0.27,0.27,26600
1989-03-01,0.0,0.27,0.27,0.27,34200
1989-03-02,0.0,0.27,0.27,0.27,223800
1989-03-03,0.0,0.27,0.27,0.27,26600
1989-03-06,0.0,0.27,0.27,0.27,364700
1989-03-07,0.0,0.27,0.27,0.27,178500
1989-03-08,0.0,0.27,0.27,0.27,69300
1989-03-09,0.0,0.27,0.27,0.27,94700
1989-03-10,0.0,0.27,0.27,0.27,225100
1989-03-13,0.0,0.27,0.27,0.27,3100
1989-03-14,0.0,0.27,0.27,0.27,28500
