Date,Open,High,Low,Close,Volume
1980-01-02,0.47,0.47,0.47,0.47,61800
1980-01-03,0.47,0.47,0.47,0.47,82400
1980-01-04,0.47,0.47,0.47,0.47,41000
1980-01-07,0.47,0.47,0.47,0.47,36600
1980-01-08,0.47,0.48,0.47,0.47,46200
1980-01-09,0.47,0.47,0.46,0.47,288200
1980-01-10,0.47,0.47,0.46,0.47,35000
1980-01-11,0.47,0.47,0.46,0.46,59400
1980-01-14,0.46,0.47,0.46,0.46,52400
1980-01-15,0.46,0.47,0.46,0.46,62000
1980-01-16,0.46,0.47,0.46,0.47,72800
1980-01-17,0.47,0.47,0.46,0.46,218600
1980-01-18,0.46,0.46,0.45,0.45,157200
1980-01-21,0.45,0.46,0.44,0.44,132800
1980-01-22,0.44,0.45,0.44,0.45,86000
1980-01-23,0.45,0.45,0.45,0.45,46200
1980-01-24,0.45,0.45,0.44,0.44,83400
1980-01-25,0.44,0.45,0.44,0.44,239600
1980-01-28,0.44,0.45,0.44,0.44,127200
1980-01-29,0.44,0.45,0.44,0.45,80000
1980-01-30,0.45,0.45,0.43,0.43,314600
1980-01-31,0.43,0.44,0.43,0.44,62000
1980-02-01,0.44,0.44,0.43,0.44,55400
1980-02-04,0.44,0.44,0.44,0.44,220200
1980-02-05,0.44,0.44,0.43,0.43,178400
1980-02-06,0.43,0.44,0.43,0.44,54800
1980-02-07,0.44,0.44,0.43,0.44,142200
1980-02-08,0.44,0.45,0.43,0.44,129600
1980-02-11,0.44,0.44,0.43,0.43,115400
1980-02-12,0.43,0.43,0.41,0.41,169400
1980-02-13,0.41,0.42,0.41,0.42,289200
1980-02-14,0.42,0.42,0.41,0.42,57600
1980-02-15,0.42,0.42,0.41,0.41,161600
1980-02-19,0.41,0.41,0.4,0.4,209000
1980-02-20,0.4,0.41,0.4,0.4,179600
1980-02-21,0.4,0.41,0.4,0.41,145400
1980-02-22,0.41,0.41,0.4,0.41,150800
1980-02-25,0.41,0.41,0.4,0.41,112200
1980-02-26,0.41,0.41,0.4,0.41,88800
1980-02-27,0.41,0.41,0.4,0.4,183800
1980-02-28,0.4,0.41,0.4,0.4,99800
1980-02-29,0.4,0.43,0.4,0.43,98600
