Date,Open,High,Low,Close,Volume
1962-01-02,0.0,0.01,0.01,0.01,192000
1962-01-03,0.0,0.01,0.01,0.01,428800
1962-01-04,0.0,0.01,0.01,0.01,326400
1962-01-05,0.0,0.01,0.01,0.01,544000
1962-01-08,0.0,0.01,0.01,0.01,1523200
1962-01-09,0.0,0.01,0.01,0.01,499200
1962-01-10,0.0,0.01,0.01,0.01,300800
1962-01-11,0.0,0.01,0.01,0.01,371200
1962-01-12,0.0,0.01,0.01,0.01,390400
1962-01-15,0.0,0.01,0.01,0.01,281600
1962-01-16,0.0,0.01,0.01,0.01,236800
1962-01-17,0.0,0.01,0.01,0.01,377600
1962-01-18,0.0,0.01,0.01,0.01,544000
1962-01-19,0.0,0.01,0.01,0.01,697600
1962-01-22,0.0,0.01,0.01,0.01,646400
1962-01-23,0.0,0.01,0.01,0.01,332800
1962-01-24,0.0,0.01,0.01,0.01,422400
1962-01-25,0.0,0.01,0.01,0.01,294400
1962-01-26,0.0,0.01,0.01,0.01,230400
1962-01-29,0.0,0.01,0.01,0.01,313600
1962-01-30,0.0,0.01,0.01,0.01,294400
1962-01-31,0.0,0.01,0.01,0.01,422400
1962-02-01,0.0,0.01,0.01,0.01,435200
1962-02-02,0.0,0.01,0.01,0.01,595200
1962-02-05,0.0,0.01,0.01,0.01,396800
1962-02-06,0.0,0.01,0.01,0.01,249600
1962-02-07,0.0,0.01,0.01,0.01,268800
1962-02-08,0.0,0.01,0.01,0.01,403200
1962-02-09,0.0,0.01,0.01,0.01,396800
1962-02-12,0.0,0.01,0.01,0.01,134400
1962-02-13,0.0,0.01,0.01,0.01,345600
1962-02-14,0.0,0.01,0.01,0.01,422400
1962-02-15,0.0,0.01,0.01,0.01,281600
1962-02-16,0.0,0.01,0.01,0.01,486400
1962-02-19,0.0,0.01,0.01,0.01,281600
1962-02-20,0.0,0.01,0.01,0.01,460800
1962-02-21,0.0,0.01,0.01,0.01,531200
1962-02-23,0.0,0.01,0.01,0.01,332800
1962-02-26,0.0,0.01,0.01,0.01,326400
1962-02-27,0.0,0.01,0.01,0.01,480000
1962-02-28,0.0,0.01,0.01,0.01,326400
1962-03-01,0.0,0.01,0.01,0.01,268800
1962-03-02,0.0,0.01,0.01,0.01,313600
1962-03-05,0.0,0.01,0.01,0.01,198400
1962-03-06,0.0,0.01,0.01,0.01,294400
1962-03-07,0.0,0.01,0.01,0.01,275200
1962-03-08,0.0,0.01,0.01,0.01,390400
1962-03-09,0.0,0.01,0.01,0.01,358400
1962-03-12,0.0,0.01,0.01,0.01,332800
1962-03-13,0.0,0.01,0.01,0.01,473600
1962-03-14,0.0,0.01,0.01,0.01,480000
1962-03-15,0.0,0.01,0.01,0.01,512000
1962-03-16,0.0,0.01,0.01,0.01,211200
1962-03-19,0.0,0.01,0.01,0.01,262400
1962-03-20,0.0,0.01,0.01,0.01,256000
1962-03-21,0.0,0.01,0.01,0.01,640000
1962-03-22,0.0,0.01,0.01,0.01,390400
1962-03-23,0.0,0.01,0.01,0.01,345600
1962-03-26,0.0,0.01,0.01,0.01,249600
1962-03-27,0.0,0.01,0.01,0.01,185600
1962-03-28,0.0,0.01,0.01,0.01,256000
1962-03-29,0.0,0.01,0.01,0.01,288000
1962-03-30,0.0,0.01,0.01,0.01,876800
1962-04-02,0.0,0.01,0.01,0.01,691200
1962-04-03,0.0,0.01,0.01,0.01,364800
1962-04-04,0.0,0.01,0.01,0.01,281600
1962-04-05,0.0,0.01,0.01,0.01,364800
1962-04-06,0.0,0.01,0.01,0.01,364800
1962-04-09,0.0,0.01,0.01,0.01,320000
1962-04-10,0.0,0.01,0.01,0.01,544000
1962-04-11,0.0,0.01,0.01,0.01,172800
1962-04-12,0.0,0.01,0.01,0.01,307200
1962-04-13,0.0,0.01,0.01,0.01,332800
1962-04-16,0.0,0.01,0.01,0.01,288000
1962-04-17,0.0,0.01,0.01,0.01,224000
1962-04-18,0.0,0.01,0.01,0.01,288000
1962-04-19,0.0,0.01,0.01,0.01,243200
1962-04-23,0.0,0.01,0.01,0.01,409600
1962-04-24,0.0,0.01,0.01,0.01,262400
1962-04-25,0.0,0.01,0.01,0.01,288000
1962-04-26,0.0,0.01,0.01,0.01,384000
1962-04-27,0.0,0.01,0.01,0.01,352000
1962-04-30,0.0,0.01,0.01,0.01,454400
1962-05-01,0.0,0.01,0.01,0.01,665600
1962-05-02,0.0,0.01,0.01,0.01,550400
1962-05-03,0.0,0.01,0.01,0.01,448000
1962-05-04,0.0,0.01,0.01,0.01,224000
1962-05-07,0.0,0.01,0.01,0.01,339200
1962-05-08,0.0,0.01,0.01,0.01,307200
1962-05-09,0.0,0.01,0.01,0.01,249600
1962-05-10,0.0,0.01,0.01,0.01,435200
1962-05-11,0.0,0.01,0.01,0.01,563200
1962-05-14,0.0,0.01,0.01,0.01,710400
1962-05-15,0.0,0.01,0.01,0.01,473600
1962-05-16,0.0,0.01,0.01,0.01,480000
1962-05-17,0.0,0.01,0.01,0.01,672000
1962-05-18,0.0,0.01,0.01,0.01,428800
1962-05-21,0.0,0.01,0.01,0.01,198400
1962-05-22,0.0,0.01,0.01,0.01,243200
1962-05-23,0.0,0.01,0.01,0.01,377600
1962-05-24,0.0,0.01,0.01,0.01,627200
1962-05-25,0.0,0.01,0.01,0.01,627200
1962-05-28,0.0,0.01,0.01,0.01,934400
1962-05-29,0.0,0.01,0.01,0.01,1555200
1962-05-31,0.0,0.01,0.01,0.01,825600
1962-06-01,0.0,0.01,0.01,0.01,595200
1962-06-04,0.0,0.01,0.01,0.01,595200
1962-06-05,0.0,0.01,0.01,0.01,697600
1962-06-06,0.0,0.01,0.01,0.01,518400
1962-06-07,0.0,0.01,0.01,0.01,300800
1962-06-08,0.0,0.01,0.01,0.01,460800
1962-06-11,0.0,0.01,0.01,0.01,320000
1962-06-12,0.0,0.01,0.01,0.01,550400
1962-06-13,0.0,0.01,0.01,0.01,704000
1962-06-14,0.0,0.01,0.01,0.01,755200
1962-06-15,0.0,0.01,0.01,0.01,1088000
1962-06-18,0.0,0.01,0.01,0.01,518400
1962-06-19,0.0,0.01,0.01,0.01,236800
1962-06-20,0.0,0.01,0.01,0.01,377600
1962-06-21,0.0,0.01,0.01,0.01,563200
1962-06-22,0.0,0.01,0.01,0.01,800000
1962-06-25,0.0,0.01,0.01,0.01,1164800
1962-06-26,0.0,0.01,0.01,0.01,646400
1962-06-27,0.0,0.01,0.01,0.01,377600
1962-06-28,0.0,0.01,0.01,0.01,748800
1962-06-29,0.0,0.01,0.01,0.01,409600
1962-07-02,0.0,0.01,0.01,0.01,428800
1962-07-03,0.0,0.01,0.01,0.01,390400
1962-07-05,0.0,0.01,0.01,0.01,512000
1962-07-06,0.0,0.01,0.01,0.01,307200
1962-07-09,0.0,0.01,0.01,0.01,294400
1962-07-10,0.0,0.01,0.01,0.01,710400
1962-07-11,0.0,0.01,0.01,0.01,409600
1962-07-12,0.0,0.01,0.01,0.01,326400
1962-07-13,0.0,0.01,0.01,0.01,377600
1962-07-16,0.0,0.01,0.01,0.01,160000
1962-07-17,0.0,0.01,0.01,0.01,384000
1962-07-18,0.0,0.01,0.01,0.01,300800
1962-07-19,0.0,0.01,0.01,0.01,224000
1962-07-20,0.0,0.01,0.01,0.01,268800
1962-07-23,0.0,0.01,0.01,0.01,217600
1962-07-24,0.0,0.01,0.01,0.01,211200
1962-07-25,0.0,0.01,0.01,0.01,243200
1962-07-26,0.0,0.01,0.01,0.01,288000
1962-07-27,0.0,0.01,0.01,0.01,384000
1962-07-30,0.0,0.01,0.01,0.01,204800
1962-07-31,0.0,0.01,0.01,0.01,352000
1962-08-01,0.0,0.01,0.01,0.01,275200
1962-08-02,0.0,0.01,0.01,0.01,249600
1962-08-03,0.0,0.01,0.01,0.01,166400
1962-08-06,0.0,0.01,0.01,0.01,512000
1962-08-07,0.0,0.01,0.01,0.01,236800
1962-08-08,0.0,0.01,0.01,0.01,358400
1962-08-09,0.0,0.01,0.01,0.01,166400
1962-08-10,0.0,0.01,0.01,0.01,224000
1962-08-13,0.0,0.01,0.01,0.01,192000
1962-08-14,0.0,0.01,0.01,0.01,409600
1962-08-15,0.0,0.01,0.01,0.01,179200
1962-08-16,0.0,0.01,0.01,0.01,243200
1962-08-17,0.0,0.01,0.01,0.01,288000
1962-08-20,0.0,0.01,0.01,0.01,499200
1962-08-21,0.0,0.01,0.01,0.01,326400
1962-08-22,0.0,0.01,0.01,0.01,192000
1962-08-23,0.0,0.01,0.01,0.01,396800
1962-08-24,0.0,0.01,0.01,0.01,192000
1962-08-27,0.0,0.01,0.01,0.01,204800
1962-08-28,0.0,0.01,0.01,0.01,243200
1962-08-29,0.0,0.01,0.01,0.01,172800
1962-08-30,0.0,0.01,0.01,0.01,224000
1962-08-31,0.0,0.01,0.01,0.01,153600
1962-09-04,0.0,0.01,0.01,0.01,230400
1962-09-05,0.0,0.01,0.01,0.01,640000
1962-09-06,0.0,0.01,0.01,0.01,659200
1962-09-07,0.0,0.01,0.01,0.01,294400
1962-09-10,0.0,0.01,0.01,0.01,121600
1962-09-11,0.0,0.01,0.01,0.01,198400
1962-09-12,0.0,0.01,0.01,0.01,160000
1962-09-13,0.0,0.01,0.01,0.01,428800
1962-09-14,0.0,0.01,0.01,0.01,243200
1962-09-17,0.0,0.01,0.01,0.01,185600
1962-09-18,0.0,0.01,0.01,0.01,307200
1962-09-19,0.0,0.01,0.01,0.01,153600
1962-09-20,0.0,0.01,0.01,0.01,198400
1962-09-21,0.0,0.01,0.01,0.01,352000
1962-09-24,0.0,0.01,0.01,0.01,448000
1962-09-25,0.0,0.01,0.01,0.01,307200
1962-09-26,0.0,0.01,0.01,0.01,390400
1962-09-27,0.0,0.01,0.01,0.01,332800
1962-09-28,0.0,0.01,0.01,0.01,224000
1962-10-01,0.0,0.01,0.01,0.01,268800
1962-10-02,0.0,0.01,0.01,0.01,236800
1962-10-03,0.0,0.01,0.01,0.01,467200
1962-10-04,0.0,0.01,0.01,0.01,224000
1962-10-05,0.0,0.01,0.01,0.01,275200
1962-10-08,0.0,0.01,0.01,0.01,185600
1962-10-09,0.0,0.01,0.01,0.01,217600
1962-10-10,0.0,0.01,0.01,0.01,345600
1962-10-11,0.0,0.01,0.01,0.01,320000
1962-10-12,0.0,0.01,0.01,0.01,108800
1962-10-15,0.0,0.01,0.01,0.01,192000
1962-10-16,0.0,0.01,0.01,0.01,294400
1962-10-17,0.0,0.01,0.01,0.01,556800
1962-10-18,0.0,0.01,0.01,0.01,326400
1962-10-19,0.0,0.01,0.01,0.01,332800
1962-10-22,0.0,0.01,0.01,0.01,371200
1962-10-23,0.0,0.01,0.01,0.01,339200
1962-10-24,0.0,0.01,0.01,0.01,704000
1962-10-25,0.0,0.01,0.01,0.01,332800
1962-10-26,0.0,0.01,0.01,0.01,179200
1962-10-29,0.0,0.01,0.01,0.01,480000
1962-10-30,0.0,0.01,0.01,0.01,563200
1962-10-31,0.0,0.01,0.01,0.01,371200
1962-11-01,0.0,0.01,0.01,0.01,320000
1962-11-02,0.0,0.01,0.01,0.01,1088000
1962-11-05,0.0,0.01,0.01,0.01,371200
1962-11-07,0.0,0.01,0.01,0.01,294400
1962-11-08,0.0,0.01,0.01,0.01,416000
1962-11-09,0.0,0.01,0.01,0.01,281600
1962-11-12,0.0,0.01,0.01,0.01,307200
1962-11-13,0.0,0.01,0.01,0.01,12800
1962-11-14,0.0,0.01,0.01,0.01,460800
1962-11-15,0.0,0.01,0.01,0.01,595200
1962-11-16,0.0,0.01,0.01,0.01,358400
1962-11-19,0.0,0.01,0.01,0.01,211200
1962-11-20,0.0,0.01,0.01,0.01,217600
1962-11-21,0.0,0.01,0.01,0.01,294400
1962-11-23,0.0,0.01,0.01,0.01,640000
1962-11-26,0.0,0.01,0.01,0.01,659200
1962-11-27,0.0,0.01,0.01,0.01,556800
1962-11-28,0.0,0.01,0.01,0.01,268800
1962-11-29,0.0,0.01,0.01,0.01,313600
1962-11-30,0.0,0.01,0.01,0.01,384000
1962-12-03,0.0,0.01,0.01,0.01,358400
1962-12-04,0.0,0.01,0.01,0.01,320000
1962-12-05,0.0,0.01,0.01,0.01,262400
1962-12-06,0.0,0.01,0.01,0.01,435200
1962-12-07,0.0,0.01,0.01,0.01,198400
1962-12-10,0.0,0.01,0.01,0.01,134400
1962-12-11,0.0,0.01,0.01,0.01,268800
1962-12-12,0.0,0.01,0.01,0.01,243200
1962-12-13,0.0,0.01,0.01,0.01,179200
1962-12-14,0.0,0.01,0.01,0.01,313600
1962-12-17,0.0,0.01,0.01,0.01,243200
1962-12-18,0.0,0.01,0.01,0.01,332800
1962-12-19,0.0,0.01,0.01,0.01,313600
1962-12-20,0.0,0.01,0.01,0.01,275200
1962-12-21,0.0,0.01,0.01,0.01,294400
1962-12-24,0.0,0.01,0.01,0.01,364800
1962-12-26,0.0,0.01,0.01,0.01,198400
1962-12-27,0.0,0.01,0.01,0.01,332800
1962-12-28,0.0,0.01,0.01,0.01,275200
1962-12-31,0.0,0.01,0.01,0.01,256000
1963-01-02,0.0,0.01,0.01,0.01,134400
1963-01-03,0.0,0.01,0.01,0.01,172800
1963-01-04,0.0,0.01,0.01,0.01,640000
1963-01-07,0.0,0.01,0.01,0.01,281600
1963-01-08,0.0,0.01,0.01,0.01,345600
1963-01-09,0.0,0.01,0.01,0.01,339200
1963-01-10,0.0,0.01,0.01,0.01,230400
1963-01-11,0.0,0.01,0.01,0.01,326400
1963-01-14,0.0,0.01,0.01,0.01,364800
1963-01-15,0.0,0.01,0.01,0.01,236800
1963-01-16,0.0,0.01,0.01,0.01,396800
1963-01-17,0.0,0.01,0.01,0.01,313600
1963-01-18,0.0,0.01,0.01,0.01,390400
1963-01-21,0.0,0.01,0.01,0.01,352000
1963-01-22,0.0,0.01,0.01,0.01,384000
1963-01-23,0.0,0.01,0.01,0.01,531200
1963-01-24,0.0,0.01,0.01,0.01,345600
1963-01-25,0.0,0.01,0.01,0.01,211200
1963-01-28,0.0,0.01,0.01,0.01,435200
1963-01-29,0.0,0.01,0.01,0.01,384000
1963-01-30,0.0,0.01,0.01,0.01,480000
1963-01-31,0.0,0.01,0.01,0.01,499200
1963-02-01,0.0,0.01,0.01,0.01,262400
1963-02-04,0.0,0.01,0.01,0.01,249600
1963-02-05,0.0,0.01,0.01,0.01,332800
1963-02-06,0.0,0.01,0.01,0.01,243200
1963-02-07,0.0,0.01,0.01,0.01,288000
1963-02-08,0.0,0.01,0.01,0.01,281600
1963-02-11,0.0,0.01,0.01,0.01,288000
1963-02-12,0.0,0.01,0.01,0.01,153600
1963-02-13,0.0,0.01,0.01,0.01,236800
1963-02-14,0.0,0.01,0.01,0.01,249600
1963-02-15,0.0,0.01,0.01,0.01,396800
1963-02-18,0.0,0.01,0.01,0.01,275200
1963-02-19,0.0,0.01,0.01,0.01,364800
1963-02-20,0.0,0.01,0.01,0.01,204800
1963-02-21,0.0,0.01,0.01,0.01,198400
1963-02-25,0.0,0.01,0.01,0.01,313600
1963-02-26,0.0,0.01,0.01,0.01,172800
1963-02-27,0.0,0.01,0.01,0.01,147200
1963-02-28,0.0,0.01,0.01,0.01,307200
1963-03-01,0.0,0.01,0.01,0.01,153600
1963-03-04,0.0,0.01,0.01,0.01,307200
1963-03-05,0.0,0.01,0.01,0.01,166400
1963-03-06,0.0,0.01,0.01,0.01,134400
1963-03-07,0.0,0.01,0.01,0.01,179200
1963-03-08,0.0,0.01,0.01,0.01,179200
1963-03-11,0.0,0.01,0.01,0.01,172800
1963-03-12,0.0,0.01,0.01,0.01,217600
1963-03-13,0.0,0.01,0.01,0.01,262400
1963-03-14,0.0,0.01,0.01,0.01,128000
1963-03-15,0.0,0.01,0.01,0.01,172800
1963-03-18,0.0,0.01,0.01,0.01,153600
1963-03-19,0.0,0.01,0.01,0.01,140800
1963-03-20,0.0,0.01,0.01,0.01,121600
1963-03-21,0.0,0.01,0.01,0.01,256000
1963-03-22,0.0,0.01,0.01,0.01,230400
1963-03-25,0.0,0.01,0.01,0.01,217600
1963-03-26,0.0,0.01,0.01,0.01,198400
1963-03-27,0.0,0.01,0.01,0.01,960000
1963-03-28,0.0,0.01,0.01,0.01,384000
1963-03-29,0.0,0.01,0.01,0.01,217600
1963-04-01,0.0,0.01,0.01,0.01,288000
1963-04-02,0.0,0.01,0.01,0.01,320000
1963-04-03,0.0,0.01,0.01,0.01,198400
1963-04-04,0.0,0.01,0.01,0.01,601600
1963-04-05,0.0,0.01,0.01,0.01,384000
1963-04-08,0.0,0.01,0.01,0.01,614400
1963-04-09,0.0,0.01,0.01,0.01,281600
1963-04-10,0.0,0.01,0.01,0.01,480000
1963-04-11,0.0,0.01,0.01,0.01,281600
1963-04-15,0.0,0.01,0.01,0.01,352000
1963-04-16,0.0,0.01,0.01,0.01,396800
1963-04-17,0.0,0.01,0.01,0.01,403200
1963-04-18,0.0,0.01,0.01,0.01,377600
1963-04-19,0.0,0.01,0.01,0.01,166400
1963-04-22,0.0,0.01,0.01,0.01,313600
1963-04-23,0.0,0.01,0.01,0.01,134400
1963-04-24,0.0,0.01,0.01,0.01,262400
1963-04-25,0.0,0.01,0.01,0.01,544000
1963-04-26,0.0,0.01,0.01,0.01,582400
1963-04-29,0.0,0.01,0.01,0.01,448000
1963-04-30,0.0,0.01,0.01,0.01,371200
1963-05-01,0.0,0.01,0.01,0.01,204800
1963-05-02,0.0,0.01,0.01,0.01,300800
1963-05-03,0.0,0.01,0.01,0.01,352000
1963-05-06,0.0,0.01,0.01,0.01,320000
1963-05-07,0.0,0.01,0.01,0.01,268800
1963-05-08,0.0,0.01,0.01,0.01,288000
1963-05-09,0.0,0.01,0.01,0.01,294400
1963-05-10,0.0,0.01,0.01,0.01,204800
1963-05-13,0.0,0.01,0.01,0.01,249600
1963-05-14,0.0,0.01,0.01,0.01,352000
1963-05-15,0.0,0.01,0.01,0.01,192000
1963-05-16,0.0,0.01,0.01,0.01,275200
1963-05-17,0.0,0.01,0.01,0.01,249600
1963-05-20,0.0,0.01,0.01,0.01,268800
1963-05-21,0.0,0.01,0.01,0.01,281600
1963-05-22,0.0,0.01,0.01,0.01,198400
1963-05-23,0.0,0.01,0.01,0.01,128000
1963-05-24,0.0,0.01,0.01,0.01,204800
1963-05-27,0.0,0.01,0.01,0.01,185600
1963-05-28,0.0,0.01,0.01,0.01,147200
1963-05-29,0.0,0.01,0.01,0.01,275200
1963-05-31,0.0,0.01,0.01,0.01,160000
1963-06-03,0.0,0.01,0.01,0.01,262400
1963-06-04,0.0,0.01,0.01,0.01,236800
1963-06-05,0.0,0.01,0.01,0.01,409600
1963-06-06,0.0,0.01,0.01,0.01,249600
1963-06-07,0.0,0.01,0.01,0.01,300800
1963-06-10,0.0,0.01,0.01,0.01,172800
1963-06-11,0.0,0.01,0.01,0.01,236800
1963-06-12,0.0,0.01,0.01,0.01,531200
1963-06-13,0.0,0.01,0.01,0.01,185600
1963-06-14,0.0,0.01,0.01,0.01,390400
1963-06-17,0.0,0.01,0.01,0.01,160000
1963-06-18,0.0,0.01,0.01,0.01,294400
1963-06-19,0.0,0.01,0.01,0.01,185600
1963-06-20,0.0,0.01,0.01,0.01,416000
1963-06-21,0.0,0.01,0.01,0.01,332800
1963-06-24,0.0,0.01,0.01,0.01,512000
1963-06-25,0.0,0.01,0.01,0.01,275200
1963-06-26,0.0,0.01,0.01,0.01,275200
1963-06-27,0.0,0.01,0.01,0.01,217600
1963-06-28,0.0,0.01,0.01,0.01,172800
1963-07-01,0.0,0.01,0.01,0.01,230400
1963-07-02,0.0,0.01,0.01,0.01,236800
1963-07-03,0.0,0.01,0.01,0.01,320000
1963-07-05,0.0,0.01,0.01,0.01,262400
1963-07-08,0.0,0.01,0.01,0.01,134400
1963-07-09,0.0,0.01,0.01,0.01,249600
1963-07-10,0.0,0.01,0.01,0.01,243200
1963-07-11,0.0,0.01,0.01,0.01,224000
1963-07-12,0.0,0.01,0.01,0.01,179200
1963-07-15,0.0,0.01,0.01,0.01,320000
1963-07-16,0.0,0.01,0.01,0.01,211200
1963-07-17,0.0,0.01,0.01,0.01,345600
1963-07-18,0.0,0.01,0.01,0.01,262400
1963-07-19,0.0,0.01,0.01,0.01,160000
1963-07-22,0.0,0.01,0.01,0.01,172800
1963-07-23,0.0,0.01,0.01,0.01,224000
1963-07-24,0.0,0.01,0.01,0.01,166400
1963-07-25,0.0,0.01,0.01,0.01,364800
1963-07-26,0.0,0.01,0.01,0.01,416000
1963-07-29,0.0,0.01,0.01,0.01,140800
1963-07-30,0.0,0.01,0.01,0.01,153600
1963-07-31,0.0,0.01,0.01,0.01,384000
1963-08-01,0.0,0.01,0.01,0.01,198400
1963-08-02,0.0,0.01,0.01,0.01,441600
1963-08-05,0.0,0.01,0.01,0.01,108800
1963-08-06,0.0,0.01,0.01,0.01,115200
1963-08-07,0.0,0.01,0.01,0.01,204800
1963-08-08,0.0,0.01,0.01,0.01,128000
1963-08-09,0.0,0.01,0.01,0.01,102400
