Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.03,0.03,0.03,1576800.0
1980-03-18,0.0,0.03,0.03,0.03,831600.0
1980-03-19,0.0,0.03,0.03,0.03,226800.0
1980-03-20,0.0,0.03,0.03,0.03,655200.0
1980-03-21,0.0,0.03,0.03,0.03,2073600.0
1980-03-24,0.0,0.03,0.03,0.03,3279600.0
1980-03-25,0.0,0.03,0.03,0.03,324000.0
1980-03-26,0.0,0.03,0.03,0.03,1868400.0
1980-03-27,0.0,0.02,0.02,0.02,2289600.0
1980-03-28,0.0,0.02,0.02,0.02,1900800.0
1980-03-31,0.0,0.03,0.02,0.02,2307600.0
1980-04-01,0.0,0.03,0.03,0.03,590400.0
1980-04-02,0.0,0.03,0.03,0.03,1821600.0
1980-04-03,0.0,0.03,0.03,0.03,104400.0
1980-04-07,0.0,0.03,0.03,0.03,979200.0
1980-04-08,0.0,0.03,0.03,0.03,759600.0
1980-04-09,0.0,0.03,0.03,0.03,4914000.0
1980-04-10,0.0,0.03,0.03,0.03,2851200.0
1980-04-11,0.0,0.03,0.03,0.03,396000.0
1980-04-14,0.0,0.03,0.03,0.03,435600.0
1980-04-15,0.0,0.03,0.03,0.03,435600.0
1980-04-16,0.0,0.03,0.03,0.03,226800.0
1980-04-17,0.0,0.03,0.03,0.03,176400.0
1980-04-18,0.0,0.03,0.03,0.03,396000.0
1980-04-21,0.03,0.03,0.03,0.03,0.0
1980-04-22,0.0,0.03,0.03,0.03,5320800.0
1980-04-23,0.0,0.03,0.03,0.03,1317600.0
1980-04-24,0.0,0.03,0.03,0.03,1213200.0
1980-04-25,0.0,0.03,0.03,0.03,727200.0
1980-04-28,0.0,0.03,0.03,0.03,151200.0
1980-04-29,0.0,0.03,0.03,0.03,1821600.0
1980-04-30,0.0,0.03,0.03,0.03,2365200.0
1980-05-01,0.0,0.03,0.03,0.03,2041200.0
1980-05-02,0.0,0.03,0.03,0.03,558000.0
1980-05-05,0.0,0.03,0.03,0.03,7200.0
1980-05-06,0.0,0.03,0.03,0.03,727200.0
1980-05-07,0.0,0.03,0.03,0.03,1051200.0
1980-05-08,0.0,0.04,0.03,0.03,727200.0
1980-05-09,0.0,0.04,0.03,0.03,396000.0
1980-05-12,0.0,0.04,0.03,0.03,338400.0
1980-05-13,0.03,0.03,0.03,0.03,0.0
1980-05-14,0.0,0.04,0.03,0.03,396000.0
1980-05-15,0.0,0.04,0.04,0.04,1213200.0
1980-05-16,0.0,0.04,0.04,0.04,1382400.0
1980-05-19,0.0,0.04,0.04,0.04,7200.0
1980-05-20,0.0,0.04,0.04,0.04,2192400.0
1980-05-21,0.0,0.04,0.04,0.04,486000.0
1980-05-22,0.0,0.04,0.04,0.04,1051200.0
1980-05-23,0.0,0.04,0.04,0.04,979200.0
1980-05-27,0.0,0.04,0.04,0.04,921600.0
1980-05-28,0.0,0.04,0.04,0.04,1317600.0
1980-05-29,0.0,0.04,0.04,0.04,1213200.0
1980-05-30,0.0,0.04,0.04,0.04,979200.0
1980-06-02,0.0,0.04,0.04,0.04,104400.0
1980-06-03,0.0,0.04,0.04,0.04,979200.0
1980-06-04,0.0,0.04,0.04,0.04,226800.0
1980-06-05,0.04,0.04,0.04,0.04,0.0
