Date,Open,High,Low,Close,Volume
2000-01-28,6.99,7.1,6.99,6.99,11192000
2000-01-31,6.99,7.03,6.99,7.03,1880900
2000-02-01,6.99,7.03,6.99,6.99,367100
2000-02-02,6.99,7.03,6.99,7.03,697400
2000-02-03,6.99,7.03,6.99,6.99,579800
2000-02-04,6.99,7.03,6.56,6.63,1681900
2000-02-07,6.48,6.48,6.12,6.3,927200
2000-02-08,6.26,6.34,5.68,5.76,795400
2000-02-09,5.76,5.97,5.68,5.9,1710100
2000-02-10,6.12,6.56,6.08,6.19,571500
2000-02-11,6.26,6.37,5.83,5.86,1062000
2000-02-14,5.94,6.01,5.68,5.72,289000
2000-02-15,5.83,6.19,5.79,6.08,541400
2000-02-16,6.16,6.19,5.97,6.16,360700
2000-02-17,6.34,6.34,5.97,6.05,291600
2000-02-18,6.12,6.26,6.01,6.12,330700
2000-02-22,5.97,6.19,5.76,6.01,314500
2000-02-23,5.79,6.01,5.72,5.9,494300
2000-02-24,5.9,6.01,5.76,5.79,919900
2000-02-25,6.01,6.19,5.83,6.08,1095500
2000-02-28,5.97,6.01,5.83,5.9,366800
2000-02-29,5.9,6.56,5.83,6.34,1652500
2000-03-01,6.34,6.56,6.34,6.41,266700
2000-03-02,6.34,6.96,6.3,6.7,890300
2000-03-03,6.7,6.7,6.34,6.37,160300
2000-03-06,6.12,6.3,6.05,6.26,242800
2000-03-07,6.19,6.26,5.86,5.97,393500
2000-03-08,5.94,6.12,5.76,6.05,424200
2000-03-09,6.01,6.3,5.97,6.12,310100
2000-03-10,6.12,6.12,5.83,5.97,168900
2000-03-13,5.83,5.9,5.57,5.68,1767400
2000-03-14,5.68,5.9,5.68,5.76,660500
2000-03-15,5.76,5.76,5.39,5.61,1231100
2000-03-16,5.72,5.97,5.54,5.68,404100
2000-03-17,5.68,5.79,5.39,5.57,814800
2000-03-20,5.65,5.76,5.54,5.61,473200
2000-03-21,5.57,5.72,5.54,5.61,176200
2000-03-22,5.61,5.68,5.54,5.57,430300
2000-03-23,5.54,5.72,5.54,5.65,477400
2000-03-24,5.57,5.76,5.57,5.68,236700
2000-03-27,5.68,5.83,5.68,5.76,67600
2000-03-28,5.76,5.83,5.68,5.72,157900
2000-03-29,5.72,5.79,5.72,5.72,253000
2000-03-30,5.72,5.9,5.72,5.72,235200
2000-03-31,5.72,6.12,5.68,6.12,627300
2000-04-03,6.05,6.05,5.86,6.01,108400
2000-04-04,6.05,6.05,5.83,5.86,411000
2000-04-05,5.79,6.05,5.76,5.97,196100
2000-04-06,5.97,6.48,5.9,6.3,296700
2000-04-07,6.12,6.19,5.97,6.12,262800
2000-04-10,6.12,6.26,5.97,6.01,139400
2000-04-11,5.97,6.19,5.97,6.16,315000
2000-04-12,6.16,6.41,6.16,6.3,392000
2000-04-13,6.23,6.3,6.19,6.19,243200
2000-04-14,6.12,6.19,5.83,5.9,269900
2000-04-17,5.83,6.05,5.83,6.05,321300
2000-04-18,6.05,6.3,5.97,6.19,862200
2000-04-19,6.12,6.56,6.12,6.37,531900
2000-04-20,6.37,6.41,6.19,6.19,193500
2000-04-24,6.26,6.63,6.26,6.34,355700
2000-04-25,6.45,6.74,6.41,6.56,621900
2000-04-26,6.56,6.63,6.41,6.41,391800
2000-04-27,6.41,6.56,6.3,6.3,246300
2000-04-28,6.48,6.92,6.41,6.92,284100
2000-05-01,6.85,6.96,6.63,6.77,138900
2000-05-02,6.92,6.92,6.74,6.85,159200
2000-05-03,6.77,6.81,6.7,6.74,105600
2000-05-04,6.74,6.85,6.7,6.85,180500
2000-05-05,6.77,6.99,6.74,6.96,240000
2000-05-08,6.92,6.99,6.85,6.92,117900
2000-05-09,6.85,6.92,6.77,6.88,87000
2000-05-10,6.85,7.03,6.74,6.99,383700
2000-05-11,6.92,7.03,6.85,6.99,404400
2000-05-12,6.99,7.07,6.96,6.99,171600
2000-05-15,6.99,7.43,6.99,7.36,227300
2000-05-16,7.28,7.36,7.07,7.21,251500
2000-05-17,7.18,7.25,7.14,7.21,195300
2000-05-18,7.14,7.18,6.96,6.99,94500
2000-05-19,6.99,7.14,6.99,7.07,334900
2000-05-22,7.03,7.1,6.88,6.88,522400
2000-05-23,6.85,6.92,6.63,6.77,258000
2000-05-24,6.7,6.74,6.56,6.63,209300
2000-05-25,6.56,6.7,6.56,6.67,526000
2000-05-26,6.67,6.92,6.63,6.92,159000
2000-05-30,6.7,6.81,6.56,6.81,217400
2000-05-31,6.74,6.85,6.7,6.7,204900
2000-06-01,6.63,6.85,6.41,6.56,359100
2000-06-02,6.56,6.63,6.41,6.45,183500
2000-06-05,6.45,6.63,6.41,6.48,102800
2000-06-06,6.48,6.59,6.48,6.59,353700
2000-06-07,6.59,6.63,6.41,6.56,303500
2000-06-08,6.52,6.56,6.45,6.45,279300
2000-06-09,6.45,6.63,6.41,6.56,136600
2000-06-12,6.48,6.63,6.41,6.63,215100
2000-06-13,6.63,6.7,6.48,6.7,128400
2000-06-14,6.7,6.81,6.59,6.74,137200
2000-06-15,6.74,6.88,6.48,6.56,140000
2000-06-16,6.48,6.48,6.23,6.23,417700
2000-06-19,6.26,6.48,6.19,6.41,178200
2000-06-20,6.3,6.34,5.9,6.12,183500
2000-06-21,5.97,6.41,5.97,6.41,122900
2000-06-22,6.34,6.41,5.97,6.23,205200
2000-06-23,6.08,6.19,6.01,6.12,69700
2000-06-26,6.05,6.23,5.97,6.19,307100
2000-06-27,6.12,6.41,6.12,6.41,203500
2000-06-28,6.34,6.92,6.3,6.77,199200
2000-06-29,6.77,7.21,6.63,7.07,292900
2000-06-30,7.14,7.28,5.9,5.9,1202100
2000-07-03,6.34,6.63,6.34,6.59,174800
2000-07-05,6.63,6.63,6.41,6.56,161500
2000-07-06,6.48,6.56,6.34,6.56,58700
2000-07-07,6.48,6.56,6.34,6.48,82700
2000-07-10,6.48,6.59,6.41,6.41,103000
2000-07-11,6.41,6.59,6.34,6.56,206700
2000-07-12,6.56,6.7,6.56,6.7,54300
2000-07-13,6.67,6.92,6.67,6.81,146800
2000-07-14,6.77,6.96,6.74,6.92,173100
2000-07-17,6.88,6.99,6.85,6.96,148600
