Date,Open,High,Low,Close,Volume
1973-02-21,0.27,0.27,0.27,0.27,59200
1973-02-22,0.27,0.27,0.27,0.27,49600
1973-02-23,0.26,0.26,0.26,0.26,92800
1973-02-26,0.27,0.27,0.27,0.27,73600
1973-02-27,0.26,0.26,0.26,0.26,131200
1973-02-28,0.27,0.27,0.27,0.27,57600
1973-03-01,0.26,0.26,0.26,0.26,68800
1973-03-02,0.26,0.26,0.26,0.26,182400
1973-03-05,0.26,0.26,0.26,0.26,44800
1973-03-06,0.26,0.26,0.26,0.26,41600
1973-03-07,0.29,0.29,0.29,0.29,148800
1973-03-08,0.29,0.29,0.29,0.29,35200
1973-03-09,0.28,0.28,0.28,0.28,59200
1973-03-12,0.27,0.27,0.27,0.27,38400
1973-03-13,0.28,0.28,0.28,0.28,134400
1973-03-14,0.28,0.28,0.28,0.28,51200
1973-03-15,0.27,0.27,0.27,0.27,41600
1973-03-16,0.27,0.27,0.27,0.27,54400
1973-03-19,0.27,0.27,0.27,0.27,46400
1973-03-20,0.27,0.27,0.27,0.27,14400
1973-03-21,0.26,0.26,0.26,0.26,62400
1973-03-22,0.26,0.26,0.26,0.26,112000
1973-03-23,0.27,0.27,0.27,0.27,97600
1973-03-26,0.28,0.28,0.28,0.28,139200
1973-03-27,0.28,0.28,0.28,0.28,67200
1973-03-28,0.28,0.28,0.28,0.28,91200
1973-03-29,0.28,0.28,0.28,0.28,51200
1973-03-30,0.28,0.28,0.28,0.28,48000
1973-04-02,0.28,0.28,0.28,0.28,40000
1973-04-03,0.27,0.27,0.27,0.27,67200
1973-04-04,0.27,0.27,0.27,0.27,46400
1973-04-05,0.26,0.26,0.26,0.26,20800
1973-04-06,0.26,0.26,0.26,0.26,134400
1973-04-09,0.26,0.26,0.26,0.26,96000
1973-04-10,0.27,0.27,0.27,0.27,145600
1973-04-11,0.26,0.26,0.26,0.26,137600
1973-04-12,0.27,0.27,0.27,0.27,145600
1973-04-13,0.29,0.29,0.29,0.29,92800
1973-04-16,0.29,0.29,0.29,0.29,112000
1973-04-17,0.28,0.28,0.28,0.28,120000
1973-04-18,0.28,0.28,0.28,0.28,116800
1973-04-19,0.27,0.27,0.27,0.27,73600
1973-04-23,0.27,0.27,0.27,0.27,99200
1973-04-24,0.25,0.25,0.25,0.25,171200
1973-04-25,0.23,0.23,0.23,0.23,136000
1973-04-26,0.23,0.23,0.23,0.23,96000
1973-04-27,0.23,0.23,0.23,0.23,84800
1973-04-30,0.23,0.23,0.23,0.23,161600
1973-05-01,0.24,0.24,0.24,0.24,86400
1973-05-02,0.26,0.26,0.26,0.26,184000
1973-05-03,0.0,0.27,0.24,0.27,142400
1973-05-04,0.0,0.27,0.26,0.26,153600
1973-05-07,0.0,0.26,0.25,0.26,38400
1973-05-08,0.0,0.26,0.25,0.26,80000
1973-05-09,0.0,0.26,0.26,0.26,57600
1973-05-10,0.0,0.26,0.25,0.25,80000
1973-05-11,0.0,0.27,0.25,0.26,182400
1973-05-14,0.0,0.26,0.25,0.25,65600
1973-05-15,0.0,0.25,0.24,0.25,112000
1973-05-16,0.0,0.25,0.24,0.25,115200
1973-05-17,0.0,0.25,0.24,0.24,136000
1973-05-18,0.0,0.24,0.22,0.22,86400
1973-05-21,0.0,0.22,0.18,0.19,336000
1973-05-22,0.0,0.2,0.19,0.19,318400
1973-05-23,0.0,0.2,0.19,0.19,118400
1973-05-24,0.0,0.2,0.19,0.2,150400
1973-05-25,0.0,0.22,0.2,0.22,179200
1973-05-29,0.0,0.22,0.22,0.22,147200
1973-05-30,0.0,0.22,0.21,0.21,126400
1973-05-31,0.0,0.21,0.2,0.2,60800
1973-06-01,0.0,0.2,0.19,0.2,60800
1973-06-04,0.0,0.19,0.18,0.19,233600
1973-06-05,0.0,0.19,0.19,0.19,91200
1973-06-06,0.0,0.2,0.19,0.19,36800
1973-06-07,0.0,0.19,0.19,0.19,59200
1973-06-08,0.0,0.21,0.19,0.21,80000
1973-06-11,0.0,0.21,0.2,0.2,54400
1973-06-12,0.0,0.21,0.21,0.21,54400
