Date,Open,High,Low,Close,Volume
1975-11-17,0.0,0.55,0.55,0.55,4000
1975-11-18,0.0,0.54,0.54,0.54,39200
1975-11-19,0.0,0.53,0.53,0.53,22400
1975-11-20,0.0,0.52,0.52,0.52,24800
1975-11-21,0.0,0.53,0.53,0.53,22400
1975-11-24,0.0,0.52,0.52,0.52,5600
1975-11-25,0.0,0.52,0.52,0.52,24000
1975-11-26,0.0,0.51,0.51,0.51,35200
1975-11-28,0.0,0.5,0.5,0.5,19200
1975-12-01,0.0,0.5,0.5,0.5,7200
1975-12-02,0.0,0.49,0.49,0.49,24000
1975-12-03,0.0,0.47,0.47,0.47,40800
1975-12-04,0.0,0.47,0.47,0.47,16000
1975-12-05,0.0,0.45,0.45,0.45,36000
1975-12-08,0.0,0.45,0.45,0.45,37600
1975-12-09,0.0,0.46,0.46,0.46,64000
1975-12-10,0.0,0.46,0.46,0.46,22400
1975-12-11,0.0,0.46,0.46,0.46,15200
1975-12-12,0.0,0.47,0.47,0.47,119200
1975-12-15,0.0,0.47,0.47,0.47,45600
1975-12-16,0.0,0.47,0.47,0.47,53600
1975-12-17,0.0,0.47,0.47,0.47,47200
1975-12-18,0.0,0.48,0.48,0.48,26400
1975-12-19,0.0,0.48,0.48,0.48,8000
1975-12-22,0.0,0.48,0.48,0.48,24800
1975-12-23,0.0,0.48,0.48,0.48,52000
1975-12-24,0.0,0.48,0.48,0.48,8800
1975-12-26,0.0,0.49,0.49,0.49,12800
1975-12-29,0.0,0.49,0.49,0.49,8800
1975-12-30,0.0,0.49,0.49,0.49,20000
1975-12-31,0.0,0.49,0.49,0.49,12000
1976-01-02,0.0,0.49,0.49,0.49,4800
1976-01-05,0.0,0.5,0.5,0.5,27200
1976-01-06,0.0,0.53,0.53,0.53,65600
1976-01-07,0.0,0.53,0.53,0.53,25600
1976-01-08,0.0,0.54,0.54,0.54,13600
1976-01-09,0.0,0.53,0.53,0.53,24800
1976-01-12,0.0,0.54,0.54,0.54,35200
1976-01-13,0.0,0.55,0.55,0.55,23200
1976-01-14,0.0,0.58,0.58,0.58,50400
1976-01-15,0.0,0.56,0.56,0.56,52800
1976-01-16,0.0,0.59,0.59,0.59,48000
1976-01-19,0.0,0.59,0.59,0.59,17600
1976-01-20,0.0,0.58,0.58,0.58,25600
1976-01-21,0.0,0.58,0.58,0.58,19200
1976-01-22,0.0,0.56,0.56,0.56,23200
1976-01-23,0.0,0.57,0.57,0.57,32000
1976-01-26,0.0,0.58,0.58,0.58,31200
1976-01-27,0.0,0.58,0.58,0.58,13600
1976-01-28,0.0,0.58,0.58,0.58,4800
1976-01-29,0.0,0.59,0.57,0.57,17600
1976-01-30,0.0,0.6,0.58,0.58,24800
1976-02-02,0.0,0.6,0.58,0.58,18400
1976-02-03,0.0,0.63,0.61,0.61,26400
