Date,Open,High,Low,Close,Volume
1991-12-17,8.87,10.42,8.87,10.31,15815400
1991-12-18,10.19,10.31,10.08,10.19,2662600
1991-12-19,10.08,10.19,9.86,9.97,1017600
1991-12-20,10.19,10.31,9.97,10.19,513800
1991-12-23,10.08,10.53,10.08,10.53,493200
1991-12-24,10.53,10.75,10.31,10.64,492400
1991-12-26,10.53,12.19,10.53,11.97,582600
1991-12-27,11.97,12.08,11.41,11.97,720800
1991-12-30,11.86,13.63,11.86,12.63,1435000
1991-12-31,12.85,13.19,12.63,13.19,440800
1992-01-02,12.85,13.08,12.3,12.63,1389600
1992-01-03,12.63,13.52,12.63,13.41,353800
1992-01-06,13.41,13.74,13.19,13.74,442800
1992-01-07,13.63,13.63,13.19,13.3,666200
1992-01-08,13.08,13.63,12.97,13.3,975000
1992-01-09,13.41,13.41,12.85,12.85,376800
1992-01-10,13.08,13.19,12.85,13.19,426600
1992-01-13,13.3,13.52,12.97,13.52,62600
1992-01-14,13.52,13.57,13.19,13.41,56800
1992-01-15,13.3,13.52,13.19,13.3,251600
1992-01-16,13.19,13.41,12.74,13.08,801000
1992-01-17,12.85,12.97,12.63,12.74,288400
1992-01-20,12.74,12.97,12.08,12.08,242800
1992-01-21,11.97,12.08,10.75,11.97,823200
1992-01-22,11.86,12.3,11.86,12.19,171400
1992-01-23,12.63,13.19,12.41,13.08,578800
1992-01-24,13.3,13.85,12.97,13.74,591600
1992-01-27,13.63,13.96,13.63,13.74,484800
1992-01-28,13.96,13.96,13.63,13.85,556200
1992-01-29,13.96,14.41,13.85,14.07,410000
1992-01-30,13.85,14.18,13.85,14.13,195000
1992-01-31,13.96,14.41,13.96,14.18,194600
1992-02-03,14.18,14.41,14.18,14.41,70600
1992-02-04,14.41,14.74,14.18,14.52,494600
1992-02-05,14.52,14.63,14.41,14.41,196400
1992-02-06,14.41,14.63,14.41,14.63,524000
1992-02-07,14.63,14.74,14.41,14.74,183600
1992-02-10,14.74,14.96,14.52,14.96,125000
1992-02-11,14.96,15.18,14.18,14.74,517400
1992-02-12,14.85,14.96,14.63,14.74,153800
1992-02-13,15.02,15.07,14.52,14.63,292800
1992-02-14,14.52,14.63,14.29,14.41,234400
1992-02-18,14.41,14.63,14.29,14.52,171800
1992-02-19,14.63,14.63,14.07,14.18,278200
1992-02-20,14.41,14.85,14.18,14.52,613600
1992-02-21,14.85,15.85,14.74,15.74,600800
1992-02-24,15.74,15.74,14.74,14.74,348800
1992-02-25,14.85,14.85,13.85,14.29,304600
1992-02-26,14.07,14.52,14.07,14.41,104800
1992-02-27,14.41,14.41,13.63,13.96,199400
1992-02-28,13.63,13.96,13.63,13.96,106200
1992-03-02,13.96,13.96,13.3,13.52,503600
1992-03-03,13.3,13.52,12.97,13.19,274000
1992-03-04,13.08,13.08,12.74,13.02,810200
1992-03-05,12.97,13.85,12.97,13.41,378400
1992-03-06,13.41,13.52,13.08,13.08,163800
1992-03-09,13.41,13.52,13.08,13.41,108400
1992-03-10,13.52,13.96,13.41,13.96,144200
1992-03-11,13.96,13.96,13.35,13.63,189600
1992-03-12,13.52,13.74,13.41,13.74,78200
1992-03-13,13.52,13.74,13.52,13.52,47200
1992-03-16,13.74,13.74,13.3,13.63,51400
1992-03-17,13.63,13.63,13.19,13.52,164000
1992-03-18,13.41,13.41,12.97,13.19,250800
1992-03-19,13.19,13.19,12.97,13.08,131400
1992-03-20,13.19,13.74,13.02,13.57,89400
1992-03-23,13.63,13.96,13.41,13.74,239200
1992-03-24,13.63,13.96,13.63,13.96,141000
1992-03-25,13.96,13.96,13.63,13.91,9200
1992-03-26,13.96,14.63,13.91,14.52,101800
