Date,Open,High,Low,Close,Volume
2001-12-13,19.14,19.74,19.08,19.28,49466000
2001-12-14,19.67,19.8,19.42,19.53,9676300
2001-12-17,19.7,19.7,19.34,19.37,5110900
2001-12-18,19.41,19.7,19.34,19.7,5167700
2001-12-19,19.64,19.86,19.49,19.84,3693200
2001-12-20,19.9,20.38,19.82,19.85,3914200
2001-12-21,20.0,20.39,19.9,20.39,3429100
2001-12-24,20.23,20.72,20.23,20.69,976900
2001-12-26,20.72,21.54,20.72,21.18,2456300
2001-12-27,21.18,21.69,20.74,21.61,4447500
2001-12-28,21.62,21.78,21.43,21.67,4174800
2001-12-31,21.78,22.2,21.53,21.84,5532800
2002-01-02,21.45,21.58,20.47,20.59,5168900
2002-01-03,20.59,21.55,20.28,20.56,2906500
2002-01-04,20.53,21.05,20.46,21.02,3086000
2002-01-07,20.89,21.09,20.64,21.02,2449300
2002-01-08,20.56,20.95,20.56,20.91,1766500
2002-01-09,21.02,21.02,20.56,20.59,1639100
2002-01-10,20.47,20.84,20.4,20.4,1689400
2002-01-11,20.4,20.49,20.23,20.33,1966200
2002-01-14,20.23,20.23,19.43,19.77,3160000
2002-01-15,20.0,20.47,19.68,20.25,1962400
2002-01-16,20.12,20.49,20.03,20.18,1881100
2002-01-17,20.32,20.39,19.93,20.08,1739800
2002-01-18,20.0,20.03,19.57,19.9,1531400
2002-01-22,20.06,20.56,20.0,20.56,2322700
2002-01-23,20.82,20.86,20.08,20.08,2460800
2002-01-24,20.13,20.18,19.74,19.9,3064100
2002-01-25,19.74,20.07,19.67,20.02,2373600
2002-01-28,20.16,20.42,20.1,20.35,2450800
2002-01-29,19.74,20.32,19.74,19.99,2512800
2002-01-30,20.07,20.11,19.61,19.84,3533700
2002-01-31,20.05,20.51,19.95,20.43,3986900
2002-02-01,20.36,20.36,20.0,20.13,3200100
2002-02-04,20.13,20.38,20.07,20.32,3193400
2002-02-05,20.3,20.79,20.24,20.43,2397200
2002-02-06,20.53,20.53,20.32,20.49,2107700
2002-02-07,20.36,20.43,20.08,20.14,1801500
2002-02-08,20.11,20.41,20.1,20.41,1399300
2002-02-11,20.2,20.98,20.18,20.89,1904300
2002-02-12,20.66,20.95,20.56,20.72,2038700
2002-02-13,20.53,21.2,20.3,21.11,3779900
2002-02-14,21.09,21.24,20.99,21.07,2200800
2002-02-15,20.94,21.01,20.41,20.72,1649600
2002-02-19,20.39,20.46,19.74,19.91,2983900
2002-02-20,20.07,20.22,19.8,20.16,2283100
2002-02-21,20.03,20.31,20.03,20.29,1929100
2002-02-22,20.1,20.16,19.74,19.89,1655900
2002-02-25,19.9,19.95,19.78,19.92,2355800
2002-02-26,19.99,20.19,19.95,20.07,2309100
2002-02-27,20.13,20.14,19.93,19.97,2937000
2002-02-28,19.97,20.23,19.97,20.11,2012600
2002-03-01,20.19,20.32,20.0,20.3,2189500
2002-03-04,20.32,20.71,20.2,20.2,2321500
2002-03-05,20.2,20.72,20.01,20.68,3350200
2002-03-06,20.39,20.66,20.39,20.66,1593000
2002-03-07,20.53,20.84,20.46,20.77,2412800
2002-03-08,20.95,21.09,20.69,20.89,2561600
2002-03-11,20.95,20.99,20.53,20.62,2237500
2002-03-12,20.39,20.62,20.19,20.33,2054000
2002-03-13,20.15,20.33,20.13,20.15,2077400
2002-03-14,20.2,20.39,20.2,20.37,2493400
2002-03-15,20.19,20.64,20.19,20.46,3211200
2002-03-18,20.76,20.79,20.36,20.65,2275600
2002-03-19,20.59,20.91,20.59,20.66,2259500
2002-03-20,20.56,20.72,20.54,20.62,2410100
2002-03-21,20.51,20.62,20.39,20.56,2524800
2002-03-22,20.3,20.59,20.28,20.56,1674300
2002-03-25,20.53,20.69,20.49,20.53,930200
2002-03-26,20.43,20.71,20.43,20.68,1693800
2002-03-27,20.56,20.72,20.55,20.64,1764400
2002-03-28,20.64,20.65,20.36,20.43,2681600
2002-04-01,20.49,20.59,20.35,20.43,1553000
2002-04-02,20.39,20.66,20.39,20.62,1753400
2002-04-03,20.57,20.72,20.56,20.62,1495100
2002-04-04,20.62,20.96,20.57,20.95,2076000
2002-04-05,21.02,21.51,20.95,21.26,4725700
2002-04-08,21.26,21.68,21.18,21.53,3018900
2002-04-09,21.69,21.78,21.57,21.71,2337500
2002-04-10,21.61,21.84,21.43,21.57,1632600
2002-04-11,21.57,21.7,21.41,21.45,1634600
2002-04-12,21.38,21.72,21.38,21.39,1411400
2002-04-15,21.45,21.51,21.09,21.1,1747700
2002-04-16,21.28,21.45,21.15,21.45,2570900
2002-04-17,21.38,21.45,21.18,21.2,941600
2002-04-18,21.25,21.3,20.83,20.95,1454600
2002-04-19,20.95,21.12,20.92,20.99,1913500
2002-04-22,21.05,21.55,20.99,21.55,1806000
2002-04-23,21.55,21.78,21.18,21.45,2370800
2002-04-24,21.38,21.77,21.37,21.64,2491200
2002-04-25,21.32,21.68,21.14,21.37,1359300
2002-04-26,21.37,21.37,20.86,20.9,2279200
2002-04-29,20.95,21.09,20.95,21.05,1452400
2002-04-30,21.05,21.18,20.89,21.12,1590700
2002-05-01,21.15,21.15,20.89,21.12,1795500
2002-05-02,21.09,21.22,20.89,21.12,2629900
2002-05-03,21.05,21.14,20.89,21.12,1339300
2002-05-06,21.07,21.12,20.72,20.84,1193500
2002-05-07,20.79,20.85,20.3,20.5,1933300
2002-05-08,21.38,21.97,21.18,21.89,4102600
2002-05-09,21.97,22.2,21.58,21.58,2806100
2002-05-10,21.61,21.78,21.22,21.7,2126300
2002-05-13,21.78,22.02,21.55,21.82,2401600
2002-05-14,22.07,22.36,21.91,22.3,3015400
2002-05-15,22.04,22.2,21.77,22.14,2529000
2002-05-16,22.27,22.3,21.96,22.05,1654200
2002-05-17,21.97,22.51,21.91,22.45,1505100
2002-05-20,22.11,22.39,22.11,22.34,1537700
2002-05-21,22.43,22.43,21.97,22.17,2285400
2002-05-22,22.14,22.14,21.74,21.9,2163000
2002-05-23,21.58,22.63,21.58,22.4,4392700
