Date,Open,High,Low,Close,Volume
2012-04-12,27.12,27.9,26.1,27.73,654700
2012-04-13,27.73,30.55,27.66,30.18,1685000
2012-04-16,30.18,30.18,29.36,29.81,550200
2012-04-17,29.69,29.98,29.36,29.36,179600
2012-04-18,29.36,29.72,28.14,29.36,207100
2012-04-19,29.36,30.36,29.2,29.36,598100
2012-04-20,29.45,30.18,29.45,29.63,149700
2012-04-23,29.56,29.56,28.89,29.1,95700
2012-04-24,29.36,29.36,28.29,28.34,124500
2012-04-25,28.39,28.96,28.14,28.34,266200
2012-04-26,28.23,28.54,28.09,28.51,183900
2012-04-27,28.75,28.75,27.71,27.82,536000
2012-04-30,28.01,28.47,27.73,27.77,4105700
2012-05-01,27.52,27.81,26.57,26.72,6878600
2012-05-02,26.59,26.65,25.8,26.1,11287600
2012-05-03,26.04,26.09,25.33,25.6,11800000
2012-05-04,25.16,25.36,24.57,24.6,10881000
2012-05-07,24.55,24.92,23.86,23.94,12257200
2012-05-08,23.73,24.8,23.45,24.55,14601300
2012-05-09,24.32,26.83,24.25,26.5,13990000
2012-05-10,26.96,27.2,25.71,26.49,8862000
2012-05-11,25.88,26.22,25.61,25.96,4460100
2012-05-14,25.44,25.76,25.1,25.55,6398200
2012-05-15,25.57,26.36,25.33,25.83,6362800
2012-05-16,25.66,26.42,25.49,26.18,6118600
2012-05-17,26.01,26.1,25.45,25.5,5850500
2012-05-18,25.64,25.85,25.28,25.6,7940800
2012-05-21,25.47,26.38,25.25,26.26,5480100
2012-05-22,26.0,26.32,25.55,25.8,5415000
2012-05-23,25.57,25.69,25.19,25.62,5268900
2012-05-24,25.63,25.64,25.08,25.39,4210400
2012-05-25,25.29,25.62,25.15,25.53,3217900
2012-05-29,25.51,25.87,25.17,25.29,3979600
2012-05-30,25.11,25.15,24.62,24.83,6000600
2012-05-31,24.68,24.76,24.24,24.49,8098000
2012-06-01,24.06,24.61,23.96,24.4,5701700
2012-06-04,23.9,24.63,23.86,24.09,4844900
2012-06-05,23.96,24.55,23.92,24.39,4046500
2012-06-06,24.49,26.1,24.32,25.72,8609400
2012-06-07,26.16,26.71,25.89,25.96,7694300
2012-06-08,25.82,26.39,25.7,26.2,4302100
2012-06-11,26.47,26.96,26.29,26.59,5999000
2012-06-12,26.56,27.52,26.5,27.32,6809900
2012-06-13,27.14,27.32,26.54,26.73,2876200
2012-06-14,26.73,27.44,26.35,27.35,4460000
2012-06-15,27.41,28.48,27.23,28.47,9892400
2012-06-18,28.04,28.14,27.59,27.62,4254400
2012-06-19,27.78,28.17,27.51,27.62,4873500
2012-06-20,27.56,28.43,27.31,28.27,4628400
2012-06-21,28.3,28.35,26.97,27.31,3489900
2012-06-22,27.45,28.31,26.94,27.86,4359500
2012-06-25,27.48,27.48,26.72,26.81,3518600
2012-06-26,26.76,27.72,26.43,26.57,3274700
2012-06-27,26.6,27.24,25.63,26.01,3615600
2012-06-28,25.73,26.43,25.52,26.35,3115900
2012-06-29,26.74,27.23,26.63,27.11,4599500
2012-07-02,27.4,27.99,27.22,27.73,3868500
2012-07-03,27.75,28.25,27.59,27.93,3647400
2012-07-05,27.59,27.93,27.36,27.57,2711300
2012-07-06,27.24,27.47,26.85,27.22,1907800
2012-07-09,26.98,27.54,26.63,27.12,2264600
2012-07-10,27.3,27.3,26.51,26.66,2972900
2012-07-11,26.64,27.44,26.39,27.31,2583000
2012-07-12,27.04,27.07,26.55,26.93,3505600
2012-07-13,27.41,28.61,27.33,28.5,4801300
2012-07-16,28.3,29.46,28.19,29.45,4895700
2012-07-17,29.49,30.02,29.25,29.93,3604100
2012-07-18,29.89,30.73,29.85,30.26,2839200
2012-07-19,30.28,30.34,29.11,29.2,3758600
2012-07-20,28.85,29.06,28.63,28.97,3290000
2012-07-23,28.53,28.93,28.29,28.72,3245900
2012-07-24,28.91,29.05,28.38,28.89,2351600
2012-07-25,29.2,29.43,28.6,29.03,3551300
2012-07-26,29.33,29.57,29.19,29.49,2951300
2012-07-27,29.71,30.27,29.44,29.95,6158600
2012-07-30,30.23,30.88,30.2,30.88,2830300
2012-07-31,30.95,31.46,30.76,30.84,6958400
2012-08-01,32.05,32.95,30.98,31.38,6639700
2012-08-02,31.11,32.04,31.03,31.41,4434800
2012-08-03,31.66,32.68,31.66,32.53,4516000
2012-08-06,32.75,33.09,32.62,32.86,3405100
2012-08-07,33.12,33.48,32.47,32.62,4636800
2012-08-08,32.48,32.97,32.36,32.93,4002600
2012-08-09,32.72,33.3,32.71,33.07,2888200
2012-08-10,33.02,33.16,32.6,32.8,2107700
2012-08-13,32.69,33.09,32.62,32.93,2213500
2012-08-14,32.96,33.17,32.64,32.75,2533900
2012-08-15,33.25,33.34,32.75,33.1,4009400
2012-08-16,33.24,33.84,33.11,33.77,3862100
2012-08-17,34.13,35.21,34.01,35.08,5536300
2012-08-20,35.16,35.63,35.06,35.32,3809500
2012-08-21,35.58,35.58,34.03,34.07,4469400
2012-08-22,33.92,34.06,33.15,34.02,4384500
2012-08-23,34.02,34.14,33.66,33.89,1996300
2012-08-24,33.75,34.07,33.41,33.92,2562300
2012-08-27,33.98,34.76,33.6,33.68,3779200
2012-08-28,33.54,34.83,33.54,34.41,3770300
2012-08-29,34.36,34.76,34.16,34.43,2674300
2012-08-30,34.27,35.02,34.13,34.84,2523800
