Date,Open,High,Low,Close,Volume
1991-12-13,0.37,0.41,0.37,0.39,143667200
1991-12-16,0.39,0.4,0.38,0.39,22585600
1991-12-17,0.4,0.4,0.38,0.39,16176000
1991-12-18,0.39,0.4,0.39,0.4,10899200
1991-12-19,0.4,0.4,0.38,0.38,7299200
1991-12-20,0.38,0.4,0.38,0.39,5235200
1991-12-23,0.4,0.4,0.38,0.39,7894400
1991-12-24,0.38,0.42,0.38,0.42,7129600
1991-12-26,0.41,0.48,0.41,0.48,8672000
1991-12-27,0.48,0.48,0.45,0.46,6396800
1991-12-30,0.46,0.47,0.45,0.47,6627200
1991-12-31,0.47,0.54,0.47,0.54,12572800
1992-01-02,0.54,0.6,0.53,0.6,22121600
1992-01-03,0.6,0.62,0.59,0.61,6092800
1992-01-06,0.63,0.63,0.53,0.57,15987200
1992-01-07,0.57,0.58,0.55,0.56,4940800
1992-01-08,0.56,0.56,0.47,0.49,36828800
1992-01-09,0.51,0.54,0.5,0.54,20809600
1992-01-10,0.54,0.55,0.51,0.52,7961600
1992-01-13,0.53,0.58,0.52,0.57,8499200
1992-01-14,0.58,0.58,0.56,0.57,3628800
1992-01-15,0.58,0.59,0.57,0.58,5910400
1992-01-16,0.58,0.59,0.54,0.56,3654400
1992-01-17,0.55,0.57,0.55,0.55,1574400
1992-01-20,0.54,0.56,0.52,0.54,3350400
1992-01-21,0.56,0.56,0.51,0.52,3724800
1992-01-22,0.52,0.54,0.51,0.54,5132800
1992-01-23,0.56,0.56,0.51,0.51,3248000
1992-01-24,0.51,0.53,0.51,0.52,355200
1992-01-27,0.53,0.53,0.5,0.51,2675200
1992-01-28,0.51,0.51,0.48,0.49,3673600
1992-01-29,0.5,0.51,0.48,0.5,1702400
1992-01-30,0.5,0.53,0.5,0.52,2505600
1992-01-31,0.52,0.52,0.51,0.52,1702400
1992-02-03,0.52,0.56,0.52,0.54,2611200
1992-02-04,0.54,0.56,0.53,0.54,4233600
1992-02-05,0.54,0.55,0.54,0.54,3280000
1992-02-06,0.56,0.56,0.53,0.53,7232000
1992-02-07,0.54,0.54,0.47,0.51,8979200
1992-02-10,0.5,0.51,0.48,0.49,4940800
1992-02-11,0.5,0.51,0.48,0.5,1667200
1992-02-12,0.5,0.54,0.48,0.52,3603200
1992-02-13,0.53,0.53,0.5,0.5,1398400
1992-02-14,0.51,0.51,0.49,0.51,2825600
1992-02-18,0.51,0.51,0.48,0.5,1078400
1992-02-19,0.48,0.5,0.47,0.48,1408000
1992-02-20,0.48,0.51,0.48,0.51,5705600
1992-02-21,0.49,0.51,0.46,0.46,3836800
1992-02-24,0.46,0.47,0.4,0.43,12384000
1992-02-25,0.44,0.45,0.42,0.44,3513600
1992-02-26,0.46,0.46,0.44,0.45,3200000
1992-02-27,0.45,0.45,0.42,0.44,1209600
1992-02-28,0.45,0.45,0.43,0.45,3011200
1992-03-02,0.45,0.45,0.43,0.45,1257600
1992-03-03,0.45,0.46,0.43,0.43,4022400
1992-03-04,0.44,0.44,0.42,0.42,5580800
1992-03-05,0.43,0.43,0.41,0.41,1920000
1992-03-06,0.42,0.42,0.38,0.4,6329600
1992-03-09,0.41,0.41,0.38,0.4,2809600
1992-03-10,0.41,0.43,0.4,0.43,1900800
1992-03-11,0.43,0.44,0.4,0.4,5577600
1992-03-12,0.41,0.43,0.4,0.42,1644800
1992-03-13,0.41,0.44,0.41,0.42,4976000
1992-03-16,0.42,0.42,0.4,0.4,739200
1992-03-17,0.41,0.42,0.41,0.41,1865600
1992-03-18,0.43,0.45,0.42,0.44,3753600
1992-03-19,0.45,0.47,0.44,0.47,6108800
1992-03-20,0.48,0.51,0.48,0.48,5392000
1992-03-23,0.5,0.5,0.46,0.47,5219200
1992-03-24,0.48,0.49,0.46,0.47,5760000
1992-03-25,0.48,0.48,0.47,0.48,3718400
1992-03-26,0.49,0.49,0.47,0.48,2089600
1992-03-27,0.47,0.48,0.47,0.47,1456000
1992-03-30,0.47,0.48,0.45,0.47,2339200
1992-03-31,0.45,0.51,0.43,0.5,5353600
1992-04-01,0.47,0.5,0.47,0.48,3868800
1992-04-02,0.48,0.48,0.42,0.45,2947200
1992-04-03,0.44,0.48,0.44,0.45,3414400
1992-04-06,0.46,0.46,0.44,0.46,2742400
1992-04-07,0.47,0.48,0.46,0.46,2579200
1992-04-08,0.45,0.48,0.45,0.46,3123200
1992-04-09,0.46,0.47,0.45,0.46,4313600
1992-04-10,0.47,0.47,0.46,0.47,592000
1992-04-13,0.47,0.48,0.46,0.48,2115200
1992-04-14,0.48,0.51,0.48,0.49,1955200
1992-04-15,0.51,0.52,0.48,0.51,6112000
1992-04-16,0.52,0.52,0.5,0.5,2646400
1992-04-20,0.49,0.53,0.49,0.5,3318400
1992-04-21,0.52,0.52,0.5,0.51,1952000
1992-04-22,0.52,0.52,0.5,0.52,2198400
1992-04-23,0.51,0.52,0.49,0.51,1555200
1992-04-24,0.5,0.51,0.5,0.5,2112000
1992-04-27,0.51,0.51,0.49,0.49,1984000
1992-04-28,0.51,0.51,0.46,0.46,1923200
1992-04-29,0.47,0.47,0.46,0.47,563200
1992-04-30,0.47,0.47,0.45,0.46,3433600
1992-05-01,0.46,0.46,0.45,0.46,1120000
1992-05-04,0.46,0.47,0.45,0.46,3014400
1992-05-05,0.47,0.48,0.46,0.47,300800
1992-05-06,0.48,0.48,0.46,0.47,1779200
1992-05-07,0.48,0.48,0.46,0.46,412800
1992-05-08,0.46,0.48,0.46,0.46,179200
1992-05-11,0.48,0.48,0.45,0.46,1318400
1992-05-12,0.46,0.46,0.44,0.44,1654400
1992-05-13,0.45,0.45,0.41,0.42,3331200
1992-05-14,0.43,0.43,0.41,0.42,6102400
1992-05-15,0.41,0.42,0.4,0.41,1612800
1992-05-18,0.42,0.42,0.4,0.41,2275200
1992-05-19,0.41,0.41,0.4,0.4,1500800
1992-05-20,0.41,0.41,0.38,0.39,7673600
1992-05-21,0.39,0.4,0.38,0.39,4457600
1992-05-22,0.39,0.4,0.38,0.4,1846400
1992-05-26,0.4,0.41,0.39,0.41,3257600
1992-05-27,0.41,0.41,0.39,0.4,4080000
1992-05-28,0.39,0.4,0.39,0.39,630400
1992-05-29,0.4,0.4,0.39,0.4,1504000
1992-06-01,0.4,0.42,0.4,0.41,2649600
1992-06-02,0.42,0.43,0.4,0.4,2208000
1992-06-03,0.42,0.42,0.41,0.42,3337600
1992-06-04,0.44,0.45,0.42,0.44,8780800
1992-06-05,0.44,0.45,0.43,0.44,1609600
1992-06-08,0.43,0.44,0.41,0.41,2060800
1992-06-09,0.41,0.41,0.39,0.4,2982400
1992-06-10,0.39,0.41,0.38,0.39,5728000
1992-06-11,0.4,0.41,0.39,0.41,11107200
1992-06-12,0.42,0.45,0.41,0.45,4480000
1992-06-15,0.43,0.45,0.43,0.45,3379200
1992-06-16,0.44,0.44,0.42,0.42,857600
1992-06-17,0.42,0.42,0.39,0.4,2147200
1992-06-18,0.4,0.41,0.39,0.39,4064000
1992-06-19,0.4,0.4,0.39,0.39,1315200
1992-06-22,0.39,0.4,0.37,0.38,2668800
1992-06-23,0.39,0.39,0.38,0.39,2051200
1992-06-24,0.39,0.4,0.39,0.39,496000
1992-06-25,0.4,0.4,0.39,0.39,1321600
1992-06-26,0.4,0.4,0.39,0.39,451200
1992-06-29,0.41,0.41,0.4,0.41,1881600
1992-06-30,0.41,0.42,0.4,0.42,1715200
1992-07-01,0.42,0.43,0.41,0.42,1414400
1992-07-02,0.44,0.44,0.42,0.42,1993600
1992-07-06,0.42,0.42,0.41,0.41,710400
1992-07-07,0.42,0.42,0.41,0.41,752000
1992-07-08,0.41,0.42,0.41,0.42,774400
1992-07-09,0.41,0.42,0.41,0.41,777600
1992-07-10,0.41,0.42,0.41,0.41,2630400
1992-07-13,0.41,0.42,0.41,0.41,300800
1992-07-14,0.42,0.42,0.41,0.42,428800
1992-07-15,0.42,0.42,0.38,0.39,13004800
1992-07-16,0.39,0.4,0.39,0.39,1001600
1992-07-17,0.39,0.4,0.39,0.39,777600
1992-07-20,0.39,0.39,0.37,0.38,2838400
1992-07-21,0.39,0.39,0.33,0.35,8291200
1992-07-22,0.35,0.35,0.33,0.33,11747200
1992-07-23,0.33,0.35,0.33,0.35,1884800
1992-07-24,0.35,0.35,0.34,0.34,1491200
1992-07-27,0.35,0.35,0.34,0.34,1593600
1992-07-28,0.35,0.38,0.35,0.38,4758400
1992-07-29,0.38,0.38,0.37,0.38,4019200
1992-07-30,0.37,0.39,0.37,0.38,2569600
1992-07-31,0.39,0.39,0.37,0.39,5424000
1992-08-03,0.39,0.4,0.38,0.39,1891200
1992-08-04,0.4,0.4,0.38,0.38,1555200
1992-08-05,0.37,0.38,0.36,0.36,1139200
1992-08-06,0.37,0.37,0.34,0.34,2902400
1992-08-07,0.34,0.35,0.34,0.35,992000
1992-08-10,0.35,0.35,0.34,0.34,697600
1992-08-11,0.35,0.35,0.34,0.34,1587200
1992-08-12,0.35,0.35,0.34,0.35,1267200
1992-08-13,0.35,0.35,0.34,0.35,1209600
1992-08-14,0.35,0.35,0.34,0.35,528000
1992-08-17,0.35,0.37,0.34,0.35,1110400
1992-08-18,0.36,0.36,0.34,0.35,246400
1992-08-19,0.36,0.36,0.33,0.34,1856000
1992-08-20,0.35,0.35,0.33,0.34,4016000
1992-08-21,0.34,0.35,0.33,0.34,2390400
1992-08-24,0.33,0.35,0.33,0.33,1260800
1992-08-25,0.33,0.35,0.33,0.34,659200
1992-08-26,0.33,0.35,0.33,0.33,412800
1992-08-27,0.35,0.35,0.33,0.34,774400
1992-08-28,0.35,0.35,0.33,0.35,134400
1992-08-31,0.34,0.35,0.33,0.34,486400
1992-09-01,0.34,0.34,0.33,0.34,2883200
1992-09-02,0.33,0.35,0.33,0.35,92800
1992-09-03,0.34,0.35,0.34,0.35,4720000
1992-09-04,0.35,0.35,0.34,0.34,1820800
1992-09-08,0.34,0.35,0.34,0.34,1862400
1992-09-09,0.34,0.35,0.34,0.34,3600000
1992-09-10,0.33,0.33,0.32,0.33,6096000
1992-09-11,0.32,0.33,0.32,0.32,1609600
1992-09-14,0.33,0.33,0.32,0.32,2246400
1992-09-15,0.33,0.33,0.3,0.31,2947200
1992-09-16,0.31,0.31,0.28,0.29,5097600
1992-09-17,0.3,0.31,0.3,0.3,2224000
1992-09-18,0.31,0.32,0.3,0.31,2092800
1992-09-21,0.31,0.31,0.29,0.29,2947200
1992-09-22,0.29,0.31,0.27,0.29,3654400
1992-09-23,0.29,0.29,0.27,0.29,3980800
1992-09-24,0.28,0.31,0.28,0.31,4643200
1992-09-25,0.31,0.31,0.29,0.3,1804800
1992-09-28,0.31,0.31,0.29,0.3,4886400
1992-09-29,0.29,0.31,0.29,0.3,5763200
1992-09-30,0.34,0.4,0.33,0.39,29603200
1992-10-01,0.4,0.4,0.37,0.38,13654400
1992-10-02,0.39,0.39,0.35,0.37,1785600
1992-10-05,0.37,0.38,0.35,0.38,3696000
1992-10-06,0.38,0.44,0.37,0.42,7840000
1992-10-07,0.44,0.46,0.42,0.44,15251200
1992-10-08,0.44,0.45,0.42,0.45,7385600
1992-10-09,0.45,0.45,0.42,0.43,7398400
1992-10-12,0.44,0.46,0.42,0.45,5132800
1992-10-13,0.45,0.46,0.44,0.44,3923200
1992-10-14,0.45,0.45,0.43,0.43,1308800
1992-10-15,0.45,0.46,0.43,0.45,5321600
1992-10-16,0.46,0.54,0.45,0.51,15766400
1992-10-19,0.52,0.53,0.5,0.5,5532800
1992-10-20,0.52,0.52,0.5,0.51,4726400
1992-10-21,0.52,0.54,0.51,0.54,6848000
1992-10-22,0.53,0.54,0.52,0.54,2755200
1992-10-23,0.54,0.55,0.53,0.54,13619200
1992-10-26,0.54,0.55,0.53,0.54,1868800
1992-10-27,0.53,0.54,0.47,0.5,15824000
