Date,Open,High,Low,Close,Volume
1995-10-03,13.31,14.11,13.13,13.93,10364800
1995-10-04,13.84,13.93,13.31,13.31,1810800
1995-10-05,13.58,13.84,13.49,13.75,1216500
1995-10-06,13.93,14.11,13.75,14.11,1538100
1995-10-09,14.11,14.11,13.75,13.75,869200
1995-10-10,13.75,13.84,13.49,13.67,840800
1995-10-11,13.75,13.84,13.67,13.75,630400
1995-10-12,13.75,13.84,13.58,13.75,519700
1995-10-13,13.84,14.2,13.84,14.2,557300
1995-10-16,14.29,14.29,13.93,14.02,188700
1995-10-17,14.02,14.11,13.93,14.02,244600
1995-10-18,13.93,14.02,13.84,13.93,152500
1995-10-19,13.84,13.93,13.84,13.93,180400
1995-10-20,13.93,14.02,13.75,13.84,298900
1995-10-23,13.67,13.75,13.58,13.67,731100
1995-10-24,13.75,13.75,13.49,13.49,670500
1995-10-25,13.58,13.67,13.49,13.49,749900
1995-10-26,13.58,13.58,13.49,13.49,810900
1995-10-27,13.49,13.67,13.49,13.67,460500
1995-10-30,13.75,13.75,13.67,13.67,76200
1995-10-31,14.73,14.73,14.11,14.46,2034100
1995-11-01,14.38,14.55,14.2,14.46,398600
1995-11-02,14.46,14.55,14.46,14.55,221200
1995-11-03,14.55,14.82,14.46,14.73,306800
1995-11-06,14.64,15.09,14.64,14.64,137200
1995-11-07,14.64,14.64,14.46,14.64,566300
1995-11-08,14.55,14.82,14.55,14.73,264700
1995-11-09,14.64,14.73,14.64,14.73,70700
1995-11-10,14.64,14.64,14.46,14.46,190500
1995-11-13,14.46,14.64,14.46,14.55,135900
1995-11-14,14.64,14.73,14.55,14.64,206900
1995-11-15,14.55,14.64,14.38,14.55,615500
1995-11-16,14.75,14.93,14.49,14.49,381400
1995-11-17,14.57,14.84,14.49,14.66,178000
1995-11-20,14.75,15.2,14.57,14.57,377000
1995-11-21,14.66,14.75,14.57,14.75,391400
1995-11-22,14.57,14.84,14.57,14.84,92600
1995-11-24,14.84,14.84,14.75,14.84,7900
1995-11-27,14.75,15.02,14.66,14.75,455000
1995-11-28,14.93,14.93,14.75,14.75,130200
1995-11-29,14.75,14.84,14.75,14.75,59500
1995-11-30,14.66,14.93,14.66,14.84,180100
1995-12-01,14.93,15.11,14.84,15.11,94400
1995-12-04,15.11,15.11,14.93,14.93,228600
1995-12-05,14.93,15.02,14.84,15.02,251400
1995-12-06,15.11,15.11,14.93,14.93,109900
1995-12-07,15.11,15.37,15.11,15.2,171800
1995-12-08,15.02,15.2,14.93,15.11,224000
1995-12-11,15.11,15.46,15.11,15.29,123800
1995-12-12,15.29,15.37,15.11,15.29,192100
1995-12-13,15.29,15.55,15.2,15.37,81800
1995-12-14,15.55,15.91,15.55,15.55,251200
1995-12-15,15.64,16.0,15.64,15.82,220800
1995-12-18,15.73,15.73,15.55,15.73,320900
1995-12-19,15.64,16.35,15.55,16.35,361400
1995-12-20,16.53,16.62,15.91,15.91,168300
1995-12-21,15.91,16.35,15.91,16.26,90300
1995-12-22,16.35,16.35,16.09,16.26,104500
1995-12-26,16.09,16.35,16.09,16.35,109100
1995-12-27,16.35,16.35,16.17,16.26,108400
1995-12-28,16.35,16.35,16.09,16.09,74100
1995-12-29,16.09,16.71,16.09,16.62,230800
1996-01-02,16.53,16.53,15.82,16.26,237100
1996-01-03,16.17,16.26,16.0,16.17,249500
1996-01-04,16.0,16.0,15.64,15.82,276800
1996-01-05,15.82,16.0,15.82,16.0,171100
1996-01-08,16.0,16.0,15.82,15.91,62200
1996-01-09,16.0,16.0,15.64,15.91,65300
1996-01-10,15.82,16.09,15.73,15.91,535400
1996-01-11,15.91,15.91,15.64,15.82,83400
1996-01-12,15.82,16.0,15.82,15.91,60200
1996-01-15,16.0,16.09,15.82,15.82,76800
1996-01-16,15.91,16.09,15.73,15.82,81000
1996-01-17,16.0,16.09,15.82,15.91,50800
1996-01-18,15.73,15.91,15.64,15.64,972000
1996-01-19,15.55,15.64,15.2,15.64,102800
1996-01-22,15.46,15.46,14.49,14.75,449000
