Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.57,0.54,0.54,38000
1980-03-18,0.0,0.57,0.54,0.54,23700
1980-03-19,0.0,0.57,0.54,0.54,3200
1980-03-20,0.0,0.57,0.54,0.54,1900
1980-03-21,0.0,0.57,0.54,0.54,4100
1980-03-24,0.54,0.54,0.54,0.54,0
1980-03-25,0.0,0.57,0.54,0.54,46600
1980-03-26,0.0,0.57,0.54,0.54,12800
1980-03-27,0.0,0.56,0.53,0.53,74800
1980-03-28,0.0,0.57,0.53,0.53,3200
1980-03-31,0.0,0.57,0.54,0.54,19500
1980-04-01,0.0,0.6,0.57,0.57,40000
1980-04-02,0.0,0.63,0.6,0.6,50800
1980-04-03,0.0,0.63,0.6,0.6,1900
1980-04-07,0.0,0.61,0.58,0.58,31300
1980-04-08,0.0,0.61,0.58,0.58,17200
1980-04-09,0.0,0.61,0.58,0.58,6400
1980-04-10,0.0,0.61,0.58,0.58,9600
1980-04-11,0.0,0.61,0.58,0.58,27100
1980-04-14,0.0,0.61,0.58,0.58,7400
1980-04-15,0.0,0.61,0.58,0.58,27100
1980-04-16,0.0,0.63,0.6,0.6,62900
1980-04-17,0.0,0.62,0.59,0.59,21700
1980-04-18,0.0,0.63,0.6,0.6,74800
1980-04-21,0.0,0.63,0.6,0.6,9600
1980-04-22,0.0,0.63,0.6,0.6,900
1980-04-23,0.0,0.65,0.62,0.62,45400
1980-04-24,0.0,0.65,0.62,0.62,73800
1980-04-25,0.0,0.65,0.62,0.62,7400
1980-04-28,0.0,0.65,0.62,0.62,1900
1980-04-29,0.0,0.64,0.61,0.61,12800
1980-04-30,0.0,0.64,0.61,0.61,7400
1980-05-01,0.0,0.64,0.61,0.61,16200
1980-05-02,0.0,0.64,0.61,0.61,9600
1980-05-05,0.0,0.64,0.61,0.61,7400
1980-05-06,0.0,0.64,0.61,0.61,57500
1980-05-07,0.0,0.64,0.61,0.61,10800
1980-05-08,0.0,0.64,0.61,0.61,12800
1980-05-09,0.0,0.64,0.61,0.61,12800
1980-05-12,0.0,0.64,0.61,0.61,7400
1980-05-13,0.0,0.64,0.61,0.61,900
1980-05-14,0.0,0.64,0.61,0.61,11800
1980-05-15,0.0,0.63,0.6,0.6,19500
1980-05-16,0.0,0.63,0.6,0.6,33500
1980-05-19,0.0,0.63,0.6,0.6,24900
1980-05-20,0.0,0.63,0.6,0.6,27100
1980-05-21,0.0,0.63,0.6,0.6,12800
1980-05-22,0.0,0.63,0.6,0.6,28100
1980-05-23,0.0,0.63,0.6,0.6,6400
1980-05-27,0.0,0.63,0.6,0.6,6400
1980-05-28,0.6,0.6,0.6,0.6,0
1980-05-29,0.0,0.63,0.6,0.6,12800
1980-05-30,0.6,0.6,0.6,0.6,0
1980-06-02,0.0,0.62,0.59,0.59,15000
1980-06-03,0.0,0.61,0.58,0.58,22700
1980-06-04,0.0,0.61,0.58,0.58,21700
1980-06-05,0.0,0.61,0.58,0.58,6400
1980-06-06,0.0,0.61,0.58,0.58,11800
1980-06-09,0.0,0.61,0.58,0.58,29100
1980-06-10,0.0,0.61,0.58,0.58,40000
1980-06-11,0.0,0.61,0.58,0.58,16200
1980-06-12,0.0,0.62,0.59,0.59,24900
1980-06-13,0.0,0.63,0.6,0.6,53000
1980-06-16,0.0,0.63,0.6,0.6,4100
1980-06-17,0.0,0.63,0.6,0.6,7400
1980-06-18,0.6,0.6,0.6,0.6,0
1980-06-19,0.0,0.65,0.62,0.62,56200
1980-06-20,0.0,0.65,0.62,0.62,30300
1980-06-23,0.0,0.65,0.62,0.62,5400
1980-06-24,0.62,0.62,0.62,0.62,0
1980-06-25,0.0,0.65,0.62,0.62,19500
1980-06-26,0.0,0.65,0.62,0.62,11800
1980-06-27,0.0,0.65,0.62,0.62,11800
1980-06-30,0.0,0.65,0.62,0.62,15000
1980-07-01,0.0,0.64,0.61,0.61,69300
1980-07-02,0.0,0.64,0.61,0.61,900
1980-07-03,0.0,0.63,0.6,0.6,11800
1980-07-07,0.0,0.63,0.62,0.62,6400
1980-07-08,0.0,0.63,0.62,0.62,23700
1980-07-09,0.0,0.63,0.62,0.62,6400
1980-07-10,0.0,0.63,0.61,0.61,109600
1980-07-11,0.0,0.63,0.62,0.62,42200
1980-07-14,0.0,0.63,0.62,0.62,23700
1980-07-15,0.0,0.64,0.62,0.62,68300
1980-07-16,0.0,0.64,0.63,0.63,100900
1980-07-17,0.0,0.65,0.63,0.63,30300
1980-07-18,0.0,0.67,0.64,0.64,42200
1980-07-21,0.0,0.67,0.65,0.65,34500
1980-07-22,0.0,0.67,0.66,0.66,33500
1980-07-23,0.0,0.67,0.65,0.65,20400
1980-07-24,0.0,0.67,0.67,0.67,21700
1980-07-25,0.0,0.68,0.67,0.67,23700
1980-07-28,0.0,0.69,0.67,0.67,77000
1980-07-29,0.0,0.7,0.68,0.68,1900
1980-07-30,0.0,0.71,0.69,0.69,162900
1980-07-31,0.0,0.71,0.7,0.7,23700
1980-08-01,0.0,0.72,0.7,0.7,156300
1980-08-04,0.0,0.72,0.7,0.7,5400
1980-08-05,0.0,0.72,0.7,0.7,53000
1980-08-06,0.0,0.72,0.7,0.7,41200
1980-08-07,0.0,0.74,0.71,0.71,40000
1980-08-08,0.0,0.74,0.73,0.73,27100
1980-08-11,0.0,0.77,0.75,0.75,118200
1980-08-12,0.0,0.77,0.76,0.76,90100
1980-08-13,0.0,0.77,0.76,0.76,45400
1980-08-14,0.0,0.77,0.76,0.76,17200
1980-08-15,0.0,0.77,0.76,0.76,18200
1980-08-18,0.0,0.77,0.76,0.76,63900
1980-08-19,0.0,0.77,0.76,0.76,19500
1980-08-20,0.0,0.77,0.76,0.76,100900
1980-08-21,0.0,0.77,0.76,0.76,36700
1980-08-22,0.0,0.77,0.76,0.76,937500
1980-08-25,0.0,0.77,0.75,0.75,139000
1980-08-26,0.0,0.77,0.75,0.75,11800
1980-08-27,0.0,0.77,0.75,0.75,91100
1980-08-28,0.0,0.77,0.75,0.75,6400
1980-08-29,0.0,0.77,0.75,0.75,4100
1980-09-02,0.0,0.77,0.75,0.75,15000
1980-09-03,0.0,0.77,0.75,0.75,55300
