Date,Open,High,Low,Close,Volume
1983-07-01,0.0,0.46,0.45,0.45,2399500
1983-07-05,0.0,0.44,0.43,0.43,1357600
1983-07-06,0.0,0.46,0.45,0.45,513100
1983-07-07,0.0,0.44,0.43,0.43,560200
1983-07-08,0.0,0.44,0.42,0.42,171400
1983-07-11,0.0,0.44,0.42,0.42,125700
1983-07-12,0.0,0.43,0.42,0.42,200700
1983-07-13,0.0,0.43,0.42,0.42,166900
1983-07-14,0.0,0.42,0.41,0.41,71100
1983-07-15,0.0,0.4,0.39,0.39,259300
1983-07-18,0.0,0.39,0.38,0.38,105300
1983-07-19,0.0,0.39,0.38,0.38,221500
1983-07-20,0.0,0.4,0.39,0.39,273600
1983-07-21,0.0,0.4,0.39,0.39,197700
1983-07-22,0.0,0.42,0.4,0.4,145900
1983-07-25,0.0,0.43,0.42,0.42,116700
1983-07-26,0.0,0.45,0.43,0.43,259300
1983-07-27,0.0,0.44,0.42,0.42,249000
1983-07-28,0.42,0.42,0.42,0.42,0
1983-07-29,0.0,0.43,0.42,0.42,96000
1983-08-01,0.0,0.43,0.42,0.42,141000
1983-08-02,0.0,0.44,0.42,0.42,33700
1983-08-03,0.0,0.43,0.42,0.42,75700
1983-08-04,0.0,0.43,0.42,0.42,65700
1983-08-05,0.0,0.43,0.42,0.42,14100
1983-08-08,0.0,0.43,0.41,0.41,33700
1983-08-09,0.0,0.42,0.41,0.41,13500
1983-08-10,0.0,0.42,0.41,0.41,16300
1983-08-11,0.0,0.42,0.41,0.41,45400
1983-08-12,0.0,0.42,0.4,0.4,182200
1983-08-15,0.0,0.41,0.39,0.39,27600
1983-08-16,0.0,0.4,0.39,0.39,21100
1983-08-17,0.0,0.4,0.39,0.39,20200
1983-08-18,0.0,0.39,0.38,0.38,27600
1983-08-19,0.0,0.39,0.38,0.38,10900
1983-08-22,0.0,0.39,0.37,0.37,54900
1983-08-23,0.0,0.38,0.37,0.37,89200
1983-08-24,0.0,0.38,0.37,0.37,27100
1983-08-25,0.0,0.38,0.37,0.37,75700
1983-08-26,0.0,0.38,0.37,0.37,38400
1983-08-29,0.0,0.38,0.37,0.37,43800
1983-08-30,0.0,0.37,0.36,0.36,27600
1983-08-31,0.0,0.37,0.36,0.36,14100
1983-09-01,0.0,0.37,0.36,0.36,21100
1983-09-02,0.0,0.37,0.36,0.36,23100
1983-09-06,0.0,0.37,0.36,0.36,14100
1983-09-07,0.0,0.37,0.36,0.36,60900
1983-09-08,0.0,0.37,0.36,0.36,33700
1983-09-09,0.0,0.37,0.36,0.36,7300
1983-09-12,0.0,0.37,0.36,0.36,40600
1983-09-13,0.0,0.36,0.35,0.35,58900
1983-09-14,0.0,0.36,0.35,0.35,45400
1983-09-15,0.0,0.36,0.35,0.35,50500
1983-09-16,0.0,0.36,0.35,0.35,13500
1983-09-19,0.0,0.36,0.35,0.35,13500
1983-09-20,0.0,0.36,0.35,0.35,10900
1983-09-21,0.0,0.36,0.35,0.35,77800
1983-09-22,0.0,0.36,0.34,0.34,36600
1983-09-23,0.0,0.36,0.34,0.34,16300
1983-09-26,0.0,0.36,0.34,0.34,18100
1983-09-27,0.0,0.36,0.34,0.34,10900
1983-09-28,0.0,0.35,0.34,0.34,102100
1983-09-29,0.0,0.35,0.34,0.34,31600
1983-09-30,0.0,0.34,0.33,0.33,41400
1983-10-03,0.0,0.34,0.32,0.32,48600
1983-10-04,0.0,0.33,0.31,0.31,40600
1983-10-05,0.0,0.33,0.31,0.31,27100
1983-10-06,0.0,0.33,0.31,0.31,40600
1983-10-07,0.0,0.34,0.32,0.32,106600
1983-10-10,0.0,0.34,0.32,0.32,9400
1983-10-11,0.0,0.34,0.33,0.33,43800
1983-10-12,0.0,0.34,0.33,0.33,14100
1983-10-13,0.0,0.34,0.32,0.32,21100
1983-10-14,0.0,0.33,0.32,0.32,27100
1983-10-17,0.0,0.33,0.32,0.32,4200
1983-10-18,0.0,0.32,0.31,0.31,58900
1983-10-19,0.0,0.31,0.3,0.3,40600
1983-10-20,0.0,0.31,0.3,0.3,50500
1983-10-21,0.0,0.31,0.29,0.29,120300
1983-10-24,0.0,0.3,0.28,0.28,34600
1983-10-25,0.0,0.3,0.28,0.28,27600
1983-10-26,0.0,0.3,0.28,0.28,20200
1983-10-27,0.0,0.3,0.28,0.28,6300
1983-10-28,0.0,0.3,0.28,0.28,20200
1983-10-31,0.0,0.3,0.28,0.28,18100
1983-11-01,0.0,0.29,0.28,0.28,27600
1983-11-02,0.0,0.29,0.28,0.28,20200
1983-11-03,0.0,0.29,0.28,0.28,7300
1983-11-04,0.0,0.29,0.28,0.28,54600
1983-11-07,0.0,0.29,0.28,0.28,47400
1983-11-08,0.0,0.28,0.27,0.27,54600
1983-11-09,0.0,0.28,0.27,0.27,34600
1983-11-10,0.0,0.28,0.27,0.27,100
1983-11-11,0.0,0.29,0.28,0.28,27600
1983-11-14,0.0,0.29,0.28,0.28,41400
1983-11-15,0.0,0.3,0.28,0.28,58900
1983-11-16,0.0,0.3,0.28,0.28,136900
1983-11-17,0.0,0.3,0.28,0.28,154800
1983-11-18,0.0,0.3,0.29,0.29,269200
1983-11-21,0.0,0.31,0.31,0.31,197700
1983-11-22,0.0,0.34,0.32,0.32,150000
1983-11-23,0.0,0.34,0.34,0.34,82300
1983-11-25,0.0,0.34,0.33,0.33,13500
1983-11-28,0.0,0.34,0.32,0.32,88300
1983-11-29,0.0,0.34,0.32,0.32,20200
1983-11-30,0.0,0.34,0.32,0.32,13500
1983-12-01,0.0,0.33,0.31,0.31,57600
1983-12-02,0.0,0.32,0.31,0.31,130500
1983-12-05,0.0,0.32,0.31,0.31,24400
1983-12-06,0.0,0.32,0.31,0.31,20200
1983-12-07,0.0,0.32,0.31,0.31,9400
1983-12-08,0.0,0.32,0.31,0.31,27100
1983-12-09,0.0,0.31,0.3,0.3,43800
1983-12-12,0.0,0.31,0.29,0.29,36600
1983-12-13,0.0,0.31,0.29,0.29,48600
1983-12-14,0.0,0.3,0.29,0.29,68800
1983-12-15,0.0,0.3,0.28,0.28,27600
1983-12-16,0.0,0.3,0.28,0.28,9400
1983-12-19,0.0,0.3,0.29,0.29,57600
1983-12-20,0.0,0.3,0.29,0.29,127500
1983-12-21,0.0,0.3,0.28,0.28,68100
1983-12-22,0.0,0.29,0.28,0.28,156700
1983-12-23,0.0,0.29,0.28,0.28,64000
1983-12-27,0.0,0.28,0.28,0.28,74800
1983-12-28,0.0,0.28,0.28,0.28,170200
1983-12-29,0.0,0.28,0.28,0.28,89200
1983-12-30,0.0,0.28,0.28,0.28,249000
1984-01-03,0.0,0.29,0.28,0.28,109300
1984-01-04,0.0,0.29,0.28,0.28,45400
1984-01-05,0.0,0.3,0.28,0.28,161200
1984-01-06,0.0,0.3,0.28,0.28,118800
1984-01-09,0.0,0.31,0.29,0.29,125700
1984-01-10,0.0,0.31,0.29,0.29,31600
1984-01-11,0.0,0.31,0.3,0.3,51900
1984-01-12,0.0,0.31,0.29,0.29,34600
1984-01-13,0.0,0.32,0.31,0.31,122800
1984-01-16,0.0,0.32,0.31,0.31,2800
1984-01-17,0.0,0.32,0.31,0.31,23100
1984-01-18,0.0,0.32,0.31,0.31,23100
1984-01-19,0.0,0.31,0.3,0.3,57600
1984-01-20,0.0,0.31,0.3,0.3,23100
1984-01-23,0.0,0.31,0.29,0.29,10900
1984-01-24,0.0,0.3,0.29,0.29,16300
1984-01-25,0.0,0.3,0.28,0.28,41400
1984-01-26,0.0,0.3,0.29,0.29,38400
1984-01-27,0.0,0.3,0.29,0.29,10900
1984-01-30,0.0,0.31,0.29,0.29,7300
1984-01-31,0.0,0.3,0.28,0.28,2800
1984-02-01,0.0,0.31,0.29,0.29,58900
1984-02-02,0.0,0.31,0.29,0.29,10900
1984-02-03,0.0,0.3,0.28,0.28,10900
1984-02-06,0.0,0.3,0.28,0.28,60900
1984-02-07,0.0,0.29,0.28,0.28,7300
1984-02-08,0.0,0.28,0.27,0.27,36600
1984-02-09,0.0,0.28,0.26,0.26,62100
1984-02-10,0.0,0.28,0.26,0.26,60900
1984-02-13,0.0,0.28,0.26,0.26,2800
1984-02-14,0.0,0.28,0.26,0.26,24400
1984-02-15,0.0,0.28,0.26,0.26,9400
1984-02-16,0.0,0.26,0.25,0.25,43800
1984-02-17,0.0,0.26,0.25,0.25,40600
1984-02-21,0.0,0.26,0.24,0.24,50500
1984-02-22,0.0,0.25,0.24,0.24,27600
1984-02-23,0.0,0.25,0.24,0.24,31600
1984-02-24,0.0,0.25,0.24,0.24,6300
1984-02-27,0.0,0.27,0.25,0.25,129600
1984-02-28,0.0,0.28,0.25,0.25,13500
1984-02-29,0.0,0.27,0.25,0.25,20200
1984-03-01,0.0,0.27,0.25,0.25,7300
1984-03-02,0.0,0.27,0.25,0.25,18100
1984-03-05,0.0,0.27,0.25,0.25,2800
1984-03-06,0.0,0.27,0.25,0.25,31600
1984-03-07,0.0,0.26,0.25,0.25,72900
1984-03-08,0.0,0.26,0.25,0.25,9400
1984-03-09,0.0,0.25,0.25,0.25,13500
1984-03-12,0.0,0.25,0.25,0.25,9400
1984-03-13,0.0,0.26,0.25,0.25,6300
1984-03-14,0.0,0.25,0.24,0.24,100
1984-03-15,0.0,0.25,0.24,0.24,100
1984-03-16,0.0,0.25,0.24,0.24,34600
1984-03-19,0.0,0.25,0.24,0.24,41400
1984-03-20,0.0,0.26,0.25,0.25,43800
1984-03-21,0.0,0.26,0.25,0.25,7300
1984-03-22,0.0,0.26,0.25,0.25,7300
1984-03-23,0.0,0.26,0.25,0.25,9400
1984-03-26,0.0,0.26,0.25,0.25,23100
1984-03-27,0.0,0.25,0.24,0.24,7300
1984-03-28,0.0,0.25,0.24,0.24,23100
1984-03-29,0.24,0.24,0.24,0.24,0
1984-03-30,0.0,0.25,0.24,0.24,9400
1984-04-02,0.0,0.25,0.23,0.23,27100
1984-04-03,0.0,0.25,0.23,0.23,2800
1984-04-04,0.0,0.25,0.23,0.23,9400
1984-04-05,0.0,0.24,0.23,0.23,54600
1984-04-06,0.0,0.25,0.22,0.22,16300
1984-04-09,0.0,0.25,0.22,0.22,2800
1984-04-10,0.0,0.25,0.22,0.22,2800
1984-04-11,0.0,0.24,0.22,0.22,9400
1984-04-12,0.0,0.23,0.22,0.22,43800
1984-04-13,0.0,0.24,0.22,0.22,13500
1984-04-16,0.0,0.24,0.22,0.22,10900
1984-04-17,0.0,0.24,0.23,0.23,68800
1984-04-18,0.0,0.24,0.23,0.23,2800
1984-04-19,0.0,0.24,0.22,0.22,18100
1984-04-23,0.0,0.24,0.22,0.22,36600
1984-04-24,0.0,0.24,0.22,0.22,6300
