Date,Open,High,Low,Close,Volume
1997-06-12,27.06,27.8,26.01,26.54,19963800
1997-06-13,26.75,27.7,26.75,27.27,3661100
1997-06-16,27.17,27.38,25.8,26.01,2481700
1997-06-17,25.38,25.48,24.54,25.06,2283800
1997-06-18,25.06,25.06,23.69,23.9,1749900
1997-06-19,24.01,24.96,23.8,24.75,1269900
1997-06-20,24.85,25.48,24.75,24.85,859100
1997-06-23,25.17,25.17,23.69,23.8,725000
1997-06-24,24.01,24.96,22.85,24.33,1212100
1997-06-25,24.54,24.54,23.69,24.17,726600
1997-06-26,23.69,24.01,23.27,23.8,534500
1997-06-27,23.69,23.9,22.9,22.96,441500
1997-06-30,22.85,23.27,22.11,23.06,796900
1997-07-01,22.96,23.01,22.32,22.69,621300
1997-07-02,22.69,23.54,22.43,23.43,818700
1997-07-03,23.22,23.75,22.54,23.64,696800
1997-07-07,24.01,24.11,22.75,22.85,1180500
1997-07-08,22.96,23.32,22.85,23.32,595000
1997-07-09,23.32,23.32,22.22,22.43,958000
1997-07-10,22.11,22.17,21.17,21.48,1069200
1997-07-11,21.59,22.01,21.38,21.85,674600
1997-07-14,22.06,22.11,21.43,21.64,471200
1997-07-15,21.32,21.53,21.06,21.43,513000
1997-07-16,21.53,21.53,20.01,20.06,899600
1997-07-17,20.22,22.11,20.17,21.96,1286200
1997-07-18,22.01,22.32,21.32,21.8,346200
1997-07-21,21.75,21.75,21.06,21.32,216600
1997-07-22,21.17,21.8,21.17,21.59,351200
1997-07-23,21.59,22.01,21.06,21.06,507100
1997-07-24,21.06,21.69,20.43,20.74,412800
1997-07-25,20.96,21.06,20.38,20.74,253000
1997-07-28,20.96,21.43,20.53,21.27,953700
1997-07-29,21.48,22.48,21.48,22.48,1028100
1997-07-30,22.59,23.54,22.48,23.38,801700
1997-07-31,23.48,23.59,22.48,22.59,458400
1997-08-01,22.17,22.75,22.11,22.43,250100
1997-08-04,22.22,23.48,22.11,23.27,629700
1997-08-05,23.69,23.96,22.32,22.8,1157400
1997-08-06,22.8,22.85,22.11,22.32,350500
1997-08-07,22.32,22.48,21.69,21.69,456200
1997-08-08,21.48,21.64,20.85,21.27,576100
1997-08-11,21.38,21.38,20.64,20.85,370400
1997-08-12,21.06,21.43,20.48,20.48,910300
1997-08-13,20.64,21.22,20.06,20.53,416500
1997-08-14,20.74,20.85,20.17,20.22,309000
1997-08-15,20.22,20.22,19.27,19.43,1385300
1997-08-18,19.85,19.96,19.32,19.8,551500
1997-08-19,19.69,20.43,19.69,20.43,380800
1997-08-20,20.96,21.59,20.8,21.59,621500
1997-08-21,21.38,21.53,20.64,20.85,479600
1997-08-22,20.32,20.74,20.22,20.64,408100
1997-08-25,21.06,21.11,20.38,20.48,230200
1997-08-26,20.43,21.01,20.32,20.8,296300
1997-08-27,21.01,21.06,20.43,20.64,619500
1997-08-28,20.64,21.38,20.53,21.32,492400
1997-08-29,21.32,22.64,21.27,22.11,686100
1997-09-02,22.22,22.27,21.48,22.11,414700
1997-09-03,22.11,22.22,21.9,21.96,265000
1997-09-04,21.9,22.17,21.48,21.69,237400
1997-09-05,22.11,22.27,21.53,21.8,151100
1997-09-08,21.69,21.9,21.32,21.38,91200
1997-09-09,21.27,21.48,20.74,20.96,318400
1997-09-10,20.96,20.96,20.38,20.43,365900
1997-09-11,20.22,20.85,20.22,20.43,721200
1997-09-12,20.53,20.74,20.22,20.59,234000
