Date,Open,High,Low,Close,Volume
1995-06-02,0.66,0.66,0.58,0.59,14915200
1995-06-05,0.59,0.6,0.56,0.56,4787200
1995-06-06,0.58,0.58,0.56,0.56,4769600
1995-06-07,0.56,0.56,0.53,0.56,4793600
1995-06-08,0.56,0.62,0.55,0.62,7235200
1995-06-09,0.62,0.63,0.6,0.62,4771200
1995-06-12,0.63,0.63,0.6,0.63,4409600
1995-06-13,0.63,0.63,0.6,0.6,2212800
1995-06-14,0.62,0.62,0.6,0.6,4632000
1995-06-15,0.62,0.62,0.6,0.61,896000
1995-06-16,0.6,0.62,0.6,0.6,388800
1995-06-19,0.62,0.62,0.6,0.61,374400
1995-06-20,0.6,0.62,0.6,0.6,201600
1995-06-21,0.6,0.62,0.6,0.62,481600
1995-06-22,0.62,0.62,0.6,0.62,5576000
1995-06-23,0.61,0.66,0.6,0.66,2844800
1995-06-26,0.62,0.66,0.62,0.63,825600
1995-06-27,0.66,0.66,0.62,0.66,1020800
1995-06-28,0.62,0.66,0.62,0.66,193600
1995-06-29,0.66,0.66,0.62,0.66,104000
1995-06-30,0.66,0.66,0.66,0.66,14400
1995-07-03,0.66,0.66,0.66,0.66,32000
1995-07-05,0.63,0.71,0.63,0.69,417600
1995-07-06,0.69,0.73,0.69,0.73,691200
1995-07-07,0.7,0.78,0.7,0.75,1740800
1995-07-10,0.77,0.79,0.75,0.77,1068800
1995-07-11,0.79,0.79,0.71,0.71,432000
1995-07-12,0.74,0.77,0.74,0.77,708800
1995-07-13,0.77,0.77,0.74,0.77,337600
1995-07-14,0.77,0.78,0.77,0.78,513600
1995-07-17,0.75,0.78,0.75,0.78,60800
1995-07-18,0.78,0.78,0.73,0.77,192000
1995-07-19,0.77,0.77,0.7,0.73,332800
1995-07-20,0.73,0.73,0.73,0.73,0
1995-07-21,0.73,0.73,0.7,0.7,176000
1995-07-24,0.69,0.73,0.69,0.73,3200
1995-07-25,0.73,0.73,0.7,0.7,46400
1995-07-26,0.73,0.74,0.7,0.74,187200
1995-07-27,0.74,0.78,0.73,0.78,979200
1995-07-28,0.78,0.79,0.78,0.79,9600
1995-07-31,0.75,0.79,0.75,0.75,89600
1995-08-01,0.79,0.79,0.79,0.79,9600
1995-08-02,0.79,0.79,0.75,0.75,38400
1995-08-03,0.75,0.79,0.75,0.79,59200
1995-08-04,0.75,0.75,0.75,0.75,11200
1995-08-07,0.78,0.78,0.75,0.75,14400
1995-08-08,0.75,0.78,0.75,0.78,216000
1995-08-09,0.78,0.78,0.75,0.75,182400
1995-08-10,0.78,0.78,0.78,0.78,9600
1995-08-11,0.75,0.78,0.75,0.78,8000
1995-08-14,0.78,0.78,0.75,0.77,107200
1995-08-15,0.78,0.78,0.78,0.78,4800
1995-08-16,0.78,0.78,0.78,0.78,8000
1995-08-17,0.78,0.78,0.75,0.78,99200
1995-08-18,0.75,0.78,0.75,0.75,257600
1995-08-21,0.78,0.78,0.77,0.77,401600
1995-08-22,0.82,0.82,0.78,0.82,2531200
1995-08-23,0.82,0.82,0.8,0.82,928000
1995-08-24,0.82,0.82,0.78,0.78,9324800
1995-08-25,0.82,0.82,0.78,0.82,86400
1995-08-28,0.82,0.82,0.78,0.78,65600
1995-08-29,0.82,0.82,0.78,0.82,784000
1995-08-30,0.78,0.82,0.78,0.82,33600
1995-08-31,0.82,0.82,0.82,0.82,27200
1995-09-01,0.82,0.82,0.82,0.82,75200
1995-09-05,0.78,0.82,0.78,0.82,38400
1995-09-06,0.82,0.85,0.78,0.85,1896000
1995-09-07,0.81,0.86,0.81,0.86,769600
1995-09-08,0.86,0.88,0.85,0.88,2222400
1995-09-11,0.88,0.89,0.86,0.89,1158400
1995-09-12,0.85,0.9,0.85,0.9,427200
1995-09-13,0.89,0.89,0.89,0.89,6400
1995-09-14,0.89,0.92,0.86,0.92,452800
1995-09-15,0.92,0.92,0.88,0.92,51200
1995-09-18,0.92,0.92,0.88,0.92,30400
1995-09-19,0.92,0.96,0.88,0.96,2232000
1995-09-20,0.93,0.96,0.93,0.96,4377600
1995-09-21,0.93,0.99,0.93,0.99,132800
1995-09-22,0.93,0.99,0.93,0.99,24000
1995-09-25,0.93,0.99,0.93,0.97,80000
1995-09-26,0.99,0.99,0.93,0.97,80000
1995-09-27,0.93,0.93,0.93,0.93,152000
1995-09-28,0.93,0.97,0.93,0.94,284800
1995-09-29,0.95,0.97,0.95,0.97,209600
1995-10-02,0.93,0.97,0.93,0.97,17600
1995-10-03,0.96,0.97,0.93,0.93,3403200
1995-10-04,0.93,0.94,0.9,0.9,5144000
1995-10-05,0.9,0.92,0.86,0.86,334400
1995-10-06,0.86,0.89,0.84,0.85,329600
1995-10-09,0.89,0.89,0.82,0.85,129600
1995-10-10,0.81,0.85,0.78,0.79,379200
1995-10-11,0.77,0.81,0.77,0.79,163200
1995-10-12,0.81,0.81,0.77,0.79,206400
1995-10-13,0.81,0.81,0.75,0.75,620800
1995-10-16,0.79,0.79,0.75,0.75,846400
1995-10-17,0.79,0.79,0.75,0.75,641600
1995-10-18,0.78,0.79,0.77,0.77,892800
1995-10-19,0.79,0.79,0.77,0.79,1720000
1995-10-20,0.79,0.79,0.79,0.79,20800
1995-10-23,0.78,0.82,0.77,0.82,30400
1995-10-24,0.82,0.88,0.79,0.88,411200
1995-10-25,0.88,0.89,0.85,0.89,116800
1995-10-26,0.85,0.88,0.85,0.88,17600
1995-10-27,0.85,0.85,0.85,0.85,64000
1995-10-30,0.84,0.84,0.84,0.84,11200
1995-10-31,0.82,0.82,0.82,0.82,32000
1995-11-01,0.82,0.88,0.82,0.88,107200
1995-11-02,0.86,0.86,0.82,0.82,608000
1995-11-03,0.88,0.88,0.84,0.85,57600
1995-11-06,0.85,0.88,0.84,0.88,3225600
1995-11-07,0.86,0.88,0.86,0.88,99200
1995-11-08,0.88,0.88,0.88,0.88,83200
1995-11-09,0.82,0.82,0.82,0.82,3200
1995-11-10,0.88,0.88,0.88,0.88,3200
1995-11-13,0.82,0.82,0.82,0.82,30400
1995-11-14,0.88,0.88,0.82,0.82,36800
1995-11-15,0.82,0.82,0.82,0.82,1600
1995-11-16,0.88,0.88,0.88,0.88,8000
1995-11-17,0.88,0.88,0.88,0.88,16000
1995-11-20,0.82,0.83,0.75,0.81,974400
1995-11-21,0.81,0.81,0.66,0.73,3339200
1995-11-22,0.74,0.79,0.73,0.75,2400000
1995-11-24,0.79,0.79,0.79,0.79,1600
1995-11-27,0.75,0.79,0.74,0.74,270400
1995-11-28,0.74,0.79,0.74,0.74,68800
1995-11-29,0.79,0.79,0.74,0.78,2116800
1995-11-30,0.77,0.79,0.77,0.78,1398400
1995-12-01,0.79,0.79,0.74,0.74,11200
1995-12-04,0.74,0.79,0.74,0.74,604800
1995-12-05,0.73,0.77,0.71,0.77,334400
1995-12-06,0.71,0.71,0.71,0.71,152000
1995-12-07,0.77,0.77,0.71,0.71,27200
1995-12-08,0.71,0.77,0.71,0.71,376000
1995-12-11,0.77,0.77,0.71,0.73,150400
1995-12-12,0.71,0.77,0.71,0.74,329600
1995-12-13,0.71,0.72,0.66,0.7,1412800
1995-12-14,0.7,0.7,0.66,0.69,1313600
1995-12-15,0.67,0.7,0.66,0.66,395200
1995-12-18,0.7,0.7,0.58,0.58,1806400
1995-12-19,0.6,0.63,0.58,0.58,670400
1995-12-20,0.63,0.63,0.58,0.63,5107200
1995-12-21,0.63,0.7,0.59,0.7,1656000
1995-12-22,0.7,0.7,0.69,0.7,265600
1995-12-26,0.7,0.7,0.64,0.64,209600
1995-12-27,0.7,0.7,0.7,0.7,1600
1995-12-28,0.7,0.71,0.66,0.7,1139200
1995-12-29,0.71,0.71,0.66,0.71,78400
1996-01-02,0.71,0.71,0.66,0.66,980800
1996-01-03,0.66,0.71,0.66,0.67,1232000
1996-01-04,0.71,0.71,0.71,0.71,14400
1996-01-05,0.71,0.71,0.66,0.66,51200
1996-01-08,0.71,0.71,0.71,0.71,1600
1996-01-09,0.71,0.77,0.71,0.77,3515200
1996-01-10,0.77,0.77,0.75,0.75,25600
1996-01-11,0.77,0.77,0.71,0.77,211200
1996-01-12,0.77,0.77,0.74,0.74,230400
1996-01-15,0.74,0.75,0.74,0.75,524800
1996-01-16,0.76,0.77,0.71,0.71,128000
1996-01-17,0.71,0.75,0.71,0.74,828800
1996-01-18,0.77,0.77,0.77,0.77,22400
1996-01-19,0.77,0.77,0.71,0.71,25600
1996-01-22,0.77,0.77,0.71,0.77,41600
1996-01-23,0.77,0.77,0.77,0.77,6400
1996-01-24,0.77,0.77,0.71,0.77,217600
1996-01-25,0.77,0.77,0.71,0.71,1278400
1996-01-26,0.77,0.77,0.71,0.72,121600
1996-01-29,0.73,0.77,0.73,0.77,284800
1996-01-30,0.77,0.77,0.73,0.73,120000
1996-01-31,0.77,0.77,0.73,0.73,46400
1996-02-01,0.77,0.77,0.73,0.77,54400
1996-02-02,0.77,0.77,0.73,0.73,216000
1996-02-05,0.75,0.77,0.73,0.77,102400
1996-02-06,0.73,0.77,0.73,0.77,134400
1996-02-07,0.73,0.77,0.73,0.73,236800
1996-02-08,0.77,0.77,0.73,0.73,116800
1996-02-09,0.73,0.77,0.73,0.73,326400
1996-02-12,0.71,0.71,0.69,0.69,155200
1996-02-13,0.66,0.69,0.63,0.69,3276800
1996-02-14,0.69,0.69,0.64,0.66,1576000
1996-02-15,0.64,0.69,0.62,0.65,406400
1996-02-16,0.66,0.67,0.62,0.65,169600
1996-02-20,0.67,0.67,0.62,0.62,118400
1996-02-21,0.62,0.63,0.62,0.62,70400
1996-02-22,0.67,0.67,0.55,0.58,352000
1996-02-23,0.59,0.59,0.55,0.59,1764800
1996-02-26,0.59,0.59,0.55,0.59,457600
1996-02-27,0.55,0.59,0.55,0.59,57600
1996-02-28,0.6,0.62,0.59,0.61,424000
1996-02-29,0.62,0.62,0.57,0.59,3638400
1996-03-01,0.58,0.63,0.58,0.58,312000
1996-03-04,0.63,0.66,0.61,0.64,860800
1996-03-05,0.65,0.66,0.62,0.65,123200
1996-03-06,0.65,0.66,0.64,0.66,3032000
1996-03-07,0.66,0.66,0.64,0.65,1787200
1996-03-08,0.64,0.66,0.64,0.65,702400
1996-03-11,0.62,0.66,0.62,0.66,56000
1996-03-12,0.66,0.66,0.62,0.66,288000
1996-03-13,0.62,0.66,0.62,0.66,1992000
1996-03-14,0.66,0.66,0.62,0.63,217600
1996-03-15,0.66,0.66,0.62,0.64,588800
1996-03-18,0.64,0.66,0.62,0.62,737600
1996-03-19,0.62,0.66,0.62,0.66,102400
1996-03-20,0.64,0.66,0.64,0.66,755200
1996-03-21,0.66,0.75,0.62,0.75,1276800
1996-03-22,0.75,0.78,0.73,0.78,1144000
1996-03-25,0.78,0.78,0.73,0.73,2024000
1996-03-26,0.73,0.77,0.73,0.75,164800
1996-03-27,0.77,0.77,0.73,0.77,1656000
1996-03-28,0.77,0.77,0.74,0.77,224000
1996-03-29,0.77,0.77,0.73,0.73,115200
1996-04-01,0.73,0.77,0.73,0.77,864000
1996-04-02,0.77,0.77,0.73,0.73,120000
1996-04-03,0.78,0.78,0.73,0.77,76800
1996-04-04,0.77,0.77,0.73,0.73,184000
1996-04-08,0.78,0.78,0.73,0.77,19200
1996-04-09,0.77,0.78,0.73,0.73,217600
1996-04-10,0.73,0.77,0.73,0.77,1478400
1996-04-11,0.77,0.78,0.74,0.78,1067200
1996-04-12,0.78,0.79,0.77,0.79,281600
1996-04-15,0.79,0.79,0.75,0.75,43200
1996-04-16,0.75,0.79,0.75,0.77,172800
1996-04-17,0.77,0.77,0.77,0.77,0
1996-04-18,0.75,0.75,0.75,0.75,30400
1996-04-19,0.79,0.79,0.74,0.74,156800
1996-04-22,0.79,0.79,0.74,0.74,91200
1996-04-23,0.79,0.79,0.74,0.79,76800
1996-04-24,0.74,0.79,0.74,0.79,20800
1996-04-25,0.74,0.78,0.74,0.74,142400
1996-04-26,0.77,0.77,0.69,0.69,544000
1996-04-29,0.74,0.75,0.7,0.75,108800
1996-04-30,0.75,0.75,0.69,0.69,193600
1996-05-01,0.73,0.73,0.69,0.69,1603200
1996-05-02,0.69,0.73,0.69,0.69,529600
1996-05-03,0.69,0.73,0.69,0.73,54400
1996-05-06,0.73,0.73,0.69,0.71,137600
1996-05-07,0.73,0.73,0.69,0.69,192000
1996-05-08,0.69,0.74,0.69,0.73,184000
1996-05-09,0.74,0.74,0.7,0.74,65600
1996-05-10,0.74,0.75,0.73,0.74,155200
1996-05-13,0.78,0.82,0.77,0.82,254400
1996-05-14,0.77,0.82,0.77,0.82,404800
1996-05-15,0.78,0.88,0.78,0.88,875200
1996-05-16,0.82,0.88,0.82,0.88,86400
1996-05-17,0.88,0.97,0.88,0.97,334400
1996-05-20,0.93,0.94,0.9,0.94,240000
1996-05-21,0.9,0.95,0.9,0.91,467200
1996-05-22,0.9,0.95,0.9,0.95,700800
1996-05-23,0.95,0.95,0.95,0.95,0
1996-05-24,0.89,0.95,0.89,0.9,268800
1996-05-28,0.9,0.95,0.89,0.93,350400
1996-05-29,0.89,0.89,0.89,0.89,99200
1996-05-30,0.95,0.95,0.95,0.95,1600
1996-05-31,0.89,0.95,0.89,0.95,57600
1996-06-03,0.95,0.95,0.89,0.95,6400
1996-06-04,0.95,0.95,0.89,0.89,44800
1996-06-05,0.89,0.9,0.89,0.9,763200
1996-06-06,0.89,0.93,0.89,0.93,17600
1996-06-07,0.88,0.88,0.82,0.84,204800
1996-06-10,0.86,0.88,0.84,0.84,182400
1996-06-11,0.85,0.85,0.79,0.79,660800
1996-06-12,0.84,0.99,0.84,0.88,9472000
1996-06-13,0.93,0.95,0.89,0.89,1057600
1996-06-14,0.95,0.95,0.89,0.89,41600
1996-06-17,0.89,0.93,0.89,0.93,424000
1996-06-18,0.95,0.95,0.89,0.89,94400
1996-06-19,0.95,0.95,0.89,0.89,54400
1996-06-20,0.89,0.92,0.88,0.88,187200
1996-06-21,0.92,0.92,0.88,0.92,57600
1996-06-24,0.88,0.92,0.88,0.92,54400
1996-06-25,0.88,0.88,0.88,0.88,43200
1996-06-26,0.88,0.92,0.88,0.88,112000
1996-06-27,0.92,0.92,0.88,0.88,91200
1996-06-28,0.88,0.91,0.85,0.85,348800
1996-07-01,0.89,0.89,0.85,0.89,515200
1996-07-02,0.86,0.9,0.86,0.9,99200
1996-07-03,0.86,0.86,0.86,0.86,3200
1996-07-05,0.92,0.92,0.92,0.92,1600
1996-07-08,0.92,0.92,0.92,0.92,0
1996-07-09,0.93,0.93,0.89,0.89,729600
1996-07-10,0.89,0.91,0.89,0.91,409600
1996-07-11,0.93,0.93,0.88,0.93,123200
1996-07-12,0.93,0.93,0.93,0.93,3200
1996-07-15,0.93,0.93,0.88,0.93,168000
1996-07-16,0.88,0.93,0.88,0.88,132800
1996-07-17,0.93,0.93,0.88,0.88,118400
1996-07-18,0.93,0.93,0.88,0.93,203200
1996-07-19,0.93,0.93,0.93,0.93,8000
1996-07-22,0.88,0.92,0.88,0.92,67200
1996-07-23,0.88,0.89,0.85,0.85,64000
1996-07-24,0.85,0.85,0.81,0.85,244800
1996-07-25,0.85,0.85,0.82,0.85,251200
1996-07-26,0.82,0.86,0.82,0.82,11200
1996-07-29,0.86,0.86,0.86,0.86,14400
1996-07-30,0.86,0.86,0.83,0.83,113600
1996-07-31,0.88,0.88,0.88,0.88,1600
1996-08-01,0.88,0.88,0.82,0.88,139200
1996-08-02,0.88,0.88,0.82,0.88,81600
1996-08-05,0.88,0.88,0.88,0.88,3200
1996-08-06,0.88,0.88,0.82,0.85,275200
