Date,Open,High,Low,Close,Volume
1992-02-13,1.63,1.71,1.63,1.67,18506400
1992-02-14,1.69,1.86,1.69,1.84,3128000
1992-02-18,1.81,1.86,1.69,1.69,2584800
1992-02-19,1.71,1.76,1.66,1.76,2454400
1992-02-20,1.74,1.86,1.74,1.81,1304000
1992-02-21,1.81,1.86,1.81,1.86,616800
1992-02-24,1.81,1.89,1.81,1.89,772800
1992-02-25,1.85,1.89,1.84,1.86,517600
1992-02-26,1.89,1.92,1.84,1.92,851200
1992-02-27,1.86,1.99,1.86,1.97,555200
1992-02-28,1.99,2.12,1.94,2.07,1108800
1992-03-02,2.12,2.13,2.02,2.09,873600
1992-03-03,2.08,2.09,1.99,2.02,512000
1992-03-04,2.02,2.07,1.99,1.99,163200
1992-03-05,2.07,2.07,1.92,1.92,707200
1992-03-06,1.95,1.99,1.92,1.92,765600
1992-03-09,1.92,1.99,1.92,1.95,766400
1992-03-10,1.92,1.99,1.92,1.99,93600
1992-03-11,2.04,2.07,1.99,2.01,222400
1992-03-12,1.99,2.07,1.99,1.99,89600
1992-03-13,1.99,2.09,1.99,2.07,211200
1992-03-16,2.04,2.09,2.04,2.09,94400
1992-03-17,2.02,2.09,2.02,2.02,150400
1992-03-18,2.02,2.02,2.02,2.02,52000
1992-03-19,2.09,2.09,1.99,1.99,68800
1992-03-20,1.99,2.07,1.99,2.07,124800
1992-03-23,1.99,2.06,1.99,2.03,314400
1992-03-24,2.02,2.06,1.99,1.99,437600
1992-03-25,2.07,2.07,1.99,2.02,79200
1992-03-26,1.97,1.98,1.97,1.97,47200
1992-03-27,2.04,2.04,1.99,2.04,79200
1992-03-30,1.99,2.04,1.99,2.02,46400
1992-03-31,1.99,2.04,1.99,2.04,107200
1992-04-01,1.99,2.04,1.97,1.99,356000
1992-04-02,2.04,2.04,1.99,2.02,51200
1992-04-03,1.99,2.04,1.99,2.02,116800
1992-04-06,1.99,2.04,1.99,1.99,71200
1992-04-07,1.99,2.09,1.99,2.04,116000
1992-04-08,1.99,2.04,1.99,2.04,247200
1992-04-09,1.99,2.07,1.99,2.02,36000
1992-04-10,2.02,2.07,2.02,2.02,87200
1992-04-13,2.02,2.07,2.02,2.02,16000
1992-04-14,2.07,2.07,2.02,2.02,25600
1992-04-15,2.02,2.04,1.99,1.99,84800
1992-04-16,2.02,2.04,1.99,1.99,62400
1992-04-20,1.97,1.97,1.95,1.95,59200
1992-04-21,1.95,1.95,1.95,1.95,7200
1992-04-22,1.95,2.02,1.95,2.02,7200
1992-04-23,1.95,1.98,1.95,1.95,179200
1992-04-24,1.95,2.0,1.92,1.97,252800
1992-04-27,1.92,2.0,1.92,1.92,62400
1992-04-28,1.89,1.92,1.84,1.84,99200
1992-04-29,1.92,1.92,1.84,1.87,552000
1992-04-30,1.92,1.92,1.84,1.84,128000
1992-05-01,1.89,1.89,1.89,1.89,6400
1992-05-04,1.84,1.89,1.84,1.89,38400
1992-05-05,1.84,1.84,1.8,1.84,55200
1992-05-06,1.79,1.84,1.79,1.79,461600
1992-05-07,1.79,1.79,1.74,1.74,28800
1992-05-08,1.74,1.84,1.74,1.77,551200
1992-05-11,1.77,1.84,1.77,1.84,135200
1992-05-12,1.77,1.92,1.77,1.82,291200
1992-05-13,1.89,1.89,1.83,1.83,52800
1992-05-14,1.82,1.83,1.82,1.82,326400
1992-05-15,1.82,1.82,1.82,1.82,800
1992-05-18,1.82,1.82,1.82,1.82,2400
1992-05-19,1.82,1.82,1.82,1.82,27200
1992-05-20,1.79,1.84,1.77,1.77,62400
1992-05-21,1.77,1.77,1.66,1.71,151200
1992-05-22,1.71,1.71,1.66,1.69,77600
1992-05-26,1.59,1.59,1.43,1.57,1848800
1992-05-27,1.54,1.64,1.54,1.61,980000
1992-05-28,1.57,1.64,1.51,1.55,801600
1992-05-29,1.56,1.56,1.52,1.54,256000
1992-06-01,1.51,1.56,1.48,1.54,144800
1992-06-02,1.56,1.56,1.48,1.52,235200
1992-06-03,1.56,1.56,1.48,1.48,50400
1992-06-04,1.48,1.54,1.48,1.54,874400
1992-06-05,1.54,1.54,1.54,1.54,4000
1992-06-08,1.56,1.56,1.56,1.56,1600
1992-06-09,1.48,1.54,1.48,1.5,1157600
1992-06-10,1.54,1.54,1.48,1.48,16800
1992-06-11,1.51,1.54,1.48,1.54,36000
1992-06-12,1.54,1.54,1.48,1.48,104000
1992-06-15,1.48,1.48,1.41,1.43,316800
1992-06-16,1.46,1.46,1.41,1.46,108000
1992-06-17,1.41,1.43,1.41,1.42,243200
1992-06-18,1.38,1.39,1.36,1.38,1378400
1992-06-19,1.36,1.43,1.36,1.43,1427200
1992-06-22,1.43,1.43,1.38,1.38,14400
1992-06-23,1.36,1.41,1.36,1.41,6400
1992-06-24,1.4,1.4,1.36,1.37,1123200
1992-06-25,1.44,1.44,1.33,1.33,159200
1992-06-26,1.31,1.36,1.21,1.28,258400
1992-06-29,1.28,1.31,1.28,1.31,1517600
1992-06-30,1.31,1.31,1.21,1.3,27200
1992-07-01,1.31,1.33,1.31,1.31,194400
1992-07-02,1.39,1.39,1.31,1.33,143200
1992-07-06,1.32,1.33,1.32,1.33,400000
1992-07-07,1.39,1.39,1.28,1.28,1510400
1992-07-08,1.28,1.33,1.23,1.25,1468000
1992-07-09,1.21,1.33,1.21,1.26,408800
1992-07-10,1.28,1.36,1.28,1.35,88000
1992-07-13,1.36,1.36,1.27,1.3,198400
1992-07-14,1.26,1.28,1.26,1.28,644000
1992-07-15,1.32,1.36,1.31,1.35,330400
1992-07-16,1.33,1.33,1.27,1.3,175200
1992-07-17,1.23,1.23,1.18,1.22,673600
1992-07-20,1.23,1.28,1.18,1.23,31200
1992-07-21,1.26,1.26,1.26,1.26,5600
1992-07-22,1.18,1.28,1.18,1.18,659200
1992-07-23,1.28,1.28,1.18,1.26,177600
1992-07-24,1.18,1.22,1.18,1.22,48000
1992-07-27,1.18,1.26,1.18,1.26,4000
1992-07-28,1.23,1.25,1.21,1.21,587200
1992-07-29,1.21,1.26,1.21,1.26,30400
1992-07-30,1.22,1.33,1.21,1.33,1344000
1992-07-31,1.33,1.33,1.28,1.28,6400
1992-08-03,1.28,1.39,1.28,1.39,77600
1992-08-04,1.33,1.37,1.33,1.33,247200
1992-08-05,1.4,1.41,1.39,1.39,283200
1992-08-06,1.33,1.4,1.33,1.4,7200
1992-08-07,1.33,1.36,1.33,1.36,301600
1992-08-10,1.41,1.41,1.4,1.4,80000
1992-08-11,1.37,1.39,1.33,1.33,299200
1992-08-12,1.44,1.44,1.28,1.33,232000
1992-08-13,1.28,1.28,1.26,1.27,480000
1992-08-14,1.31,1.31,1.31,1.31,6400
1992-08-17,1.31,1.31,1.26,1.26,576800
1992-08-18,1.31,1.31,1.26,1.27,142400
1992-08-19,1.26,1.28,1.26,1.27,177600
1992-08-20,1.27,1.27,1.27,1.27,0
1992-08-21,1.26,1.28,1.26,1.28,27200
1992-08-24,1.21,1.31,1.21,1.31,38400
1992-08-25,1.25,1.26,1.23,1.25,196000
1992-08-26,1.21,1.28,1.21,1.25,2765600
1992-08-27,1.21,1.25,1.21,1.22,93600
1992-08-28,1.26,1.26,1.26,1.26,8000
1992-08-31,1.28,1.28,1.21,1.21,10400
1992-09-01,1.21,1.27,1.21,1.23,138400
1992-09-02,1.21,1.21,1.21,1.21,20000
1992-09-03,1.28,1.31,1.23,1.28,556000
1992-09-04,1.23,1.3,1.23,1.3,5600
1992-09-08,1.27,1.28,1.23,1.25,352800
1992-09-09,1.23,1.3,1.23,1.3,652000
1992-09-10,1.26,1.33,1.26,1.26,26400
1992-09-11,1.36,1.44,1.33,1.39,232800
1992-09-14,1.49,1.85,1.49,1.57,1387200
1992-09-15,1.59,1.59,1.49,1.59,123200
1992-09-16,1.54,1.8,1.54,1.76,944800
1992-09-17,1.8,1.8,1.62,1.62,203200
1992-09-18,1.67,1.67,1.64,1.64,519200
1992-09-21,1.67,1.69,1.58,1.69,1224000
1992-09-22,1.6,1.69,1.6,1.66,854400
1992-09-23,1.69,1.69,1.59,1.69,35200
1992-09-24,1.69,1.69,1.59,1.67,23200
1992-09-25,1.59,1.64,1.59,1.64,62400
1992-09-28,1.59,1.67,1.59,1.6,144800
1992-09-29,1.64,1.69,1.6,1.69,18400
1992-09-30,1.59,1.59,1.59,1.59,3200
1992-10-01,1.69,1.69,1.69,1.69,41600
1992-10-02,1.69,1.71,1.67,1.69,102400
1992-10-05,1.61,1.63,1.61,1.63,156000
1992-10-06,1.6,1.67,1.6,1.6,102400
1992-10-07,1.6,1.65,1.6,1.65,18400
1992-10-08,1.65,1.67,1.6,1.67,456800
1992-10-09,1.67,1.67,1.62,1.62,23200
1992-10-12,1.67,1.67,1.6,1.6,6400
1992-10-13,1.6,1.78,1.6,1.72,253600
1992-10-14,1.7,1.74,1.7,1.74,105600
1992-10-15,1.67,1.75,1.67,1.7,129600
1992-10-16,1.67,1.75,1.67,1.75,6400
1992-10-19,1.75,1.75,1.7,1.72,457600
1992-10-20,1.75,1.78,1.7,1.74,261600
1992-10-21,1.76,1.76,1.7,1.76,244000
1992-10-22,1.7,1.76,1.7,1.7,113600
1992-10-23,1.78,1.78,1.75,1.75,140800
1992-10-26,1.72,1.8,1.72,1.78,62400
1992-10-27,1.8,1.96,1.78,1.88,782400
1992-10-28,1.96,1.96,1.85,1.96,16000
1992-10-29,1.94,1.96,1.85,1.96,102400
1992-10-30,1.85,1.98,1.85,1.85,77600
1992-11-02,1.85,1.85,1.85,1.85,0
1992-11-03,1.85,1.9,1.85,1.9,4000
1992-11-04,1.9,1.98,1.9,1.9,116000
1992-11-05,1.98,1.98,1.9,1.9,134400
1992-11-06,1.96,1.96,1.93,1.96,13600
1992-11-09,1.96,2.01,1.9,1.93,91200
1992-11-10,2.01,2.08,1.9,2.06,419200
1992-11-11,2.01,2.08,2.01,2.08,46400
1992-11-12,2.08,2.08,2.01,2.08,24800
1992-11-13,2.01,2.06,1.88,1.88,148800
1992-11-16,1.98,1.98,1.88,1.88,132800
1992-11-17,1.92,1.94,1.75,1.75,285600
1992-11-18,1.75,1.76,1.67,1.75,566400
1992-11-19,1.75,1.8,1.72,1.78,196800
1992-11-20,1.75,1.89,1.75,1.85,126400
1992-11-23,1.85,1.85,1.85,1.85,0
1992-11-24,1.81,1.88,1.78,1.78,260800
1992-11-25,1.87,1.93,1.85,1.93,173600
1992-11-27,1.88,1.93,1.88,1.92,17600
1992-11-30,1.85,1.93,1.85,1.85,397600
1992-12-01,1.85,1.93,1.85,1.92,77600
1992-12-02,1.85,1.93,1.85,1.92,92000
1992-12-03,1.89,1.93,1.87,1.93,105600
1992-12-04,1.85,1.93,1.85,1.93,29600
1992-12-07,1.88,1.88,1.88,1.88,8000
1992-12-08,1.88,1.93,1.88,1.93,46400
1992-12-09,1.93,2.03,1.93,1.96,76800
1992-12-10,2.01,2.03,1.93,1.93,82400
1992-12-11,1.93,1.93,1.93,1.93,1600
1992-12-14,1.93,1.93,1.93,1.93,4000
1992-12-15,2.03,2.03,1.93,1.96,26400
1992-12-16,1.93,1.98,1.83,1.83,81600
1992-12-17,1.85,1.88,1.83,1.88,16800
1992-12-18,1.88,1.88,1.85,1.88,16800
1992-12-21,1.88,1.88,1.88,1.88,48000
1992-12-22,1.85,1.88,1.83,1.85,154400
1992-12-23,1.88,1.88,1.83,1.85,6400
1992-12-24,1.88,1.88,1.88,1.88,4800
1992-12-28,1.83,1.88,1.83,1.88,20800
1992-12-29,1.83,1.85,1.83,1.85,8000
1992-12-30,1.8,1.9,1.8,1.88,76000
1992-12-31,1.83,1.88,1.81,1.85,167200
1993-01-04,1.83,1.85,1.83,1.85,177600
1993-01-05,1.85,1.96,1.85,1.96,1566400
1993-01-06,1.96,2.03,1.96,2.01,880000
1993-01-07,2.01,2.06,1.98,2.05,764800
1993-01-08,2.06,2.06,1.98,1.98,374400
1993-01-11,2.01,2.03,1.98,2.03,1232000
1993-01-12,2.03,2.06,2.01,2.03,466400
1993-01-13,1.98,2.06,1.98,2.06,69600
1993-01-14,2.06,2.06,2.01,2.06,330400
1993-01-15,2.06,2.29,1.98,2.29,2082400
1993-01-18,2.26,2.34,2.14,2.14,349600
1993-01-19,2.14,2.27,2.14,2.2,583200
1993-01-20,2.24,2.24,2.19,2.24,1062400
1993-01-21,2.27,2.27,2.17,2.22,488000
1993-01-22,2.27,2.27,2.19,2.23,1213600
1993-01-25,2.27,2.35,2.24,2.35,1308000
1993-01-26,2.35,2.37,2.27,2.37,651200
1993-01-27,2.37,2.37,2.29,2.37,475200
1993-01-28,2.4,2.4,2.32,2.35,194400
1993-01-29,2.37,2.6,2.37,2.58,576000
1993-02-01,2.6,2.73,2.53,2.53,1063200
1993-02-02,2.58,2.6,2.53,2.6,83200
1993-02-03,2.58,2.6,2.48,2.58,951200
1993-02-04,2.55,2.68,2.53,2.55,686400
1993-02-05,2.66,2.66,2.53,2.55,64000
1993-02-08,2.6,2.66,2.58,2.66,898400
1993-02-09,2.66,2.94,2.66,2.91,453600
1993-02-10,2.84,2.94,2.71,2.78,339200
1993-02-11,2.81,2.86,2.78,2.84,339200
1993-02-12,2.94,2.97,2.86,2.86,350400
1993-02-16,2.84,2.91,2.73,2.84,432000
1993-02-17,2.76,2.84,2.66,2.78,116800
1993-02-18,2.78,2.78,2.68,2.68,224800
1993-02-19,2.73,2.73,2.68,2.73,930400
1993-02-22,2.73,2.76,2.62,2.66,1428800
1993-02-23,2.63,2.68,2.55,2.6,221600
1993-02-24,2.6,3.17,2.57,3.17,3927200
1993-02-25,3.12,3.22,3.12,3.12,1496000
1993-02-26,3.12,3.27,3.12,3.27,816000
1993-03-01,3.27,3.51,3.17,3.4,733600
1993-03-02,3.45,3.61,3.38,3.61,1752000
1993-03-03,3.61,3.64,3.45,3.56,1473600
1993-03-04,3.53,3.64,3.51,3.53,533600
1993-03-05,3.64,3.71,3.53,3.71,661600
1993-03-08,3.71,3.76,3.66,3.76,314400
1993-03-09,3.69,4.02,3.69,3.89,1983200
1993-03-10,3.92,3.92,3.76,3.82,79200
1993-03-11,3.82,3.87,3.66,3.71,684800
1993-03-12,3.66,3.67,3.2,3.56,887200
1993-03-15,3.56,3.56,3.4,3.49,571200
1993-03-16,3.43,3.48,3.43,3.48,1286400
1993-03-17,3.48,3.53,3.44,3.53,894400
1993-03-18,3.53,3.53,3.45,3.51,600000
1993-03-19,3.53,3.53,3.45,3.53,16800
1993-03-22,3.48,3.48,2.89,2.89,1813600
1993-03-23,2.91,3.09,2.89,3.02,816000
1993-03-24,3.09,3.09,2.97,3.09,145600
1993-03-25,3.09,3.29,2.97,3.17,215200
1993-03-26,3.27,3.43,3.25,3.35,157600
1993-03-29,3.33,3.33,3.2,3.3,148000
1993-03-30,3.3,3.4,3.22,3.4,127200
1993-03-31,3.4,3.4,3.25,3.4,59200
1993-04-01,3.4,3.4,3.25,3.35,476800
1993-04-02,3.33,3.35,3.2,3.3,180000
1993-04-05,3.61,3.71,3.46,3.66,423200
1993-04-06,3.71,3.71,3.53,3.61,302400
1993-04-07,3.61,3.74,3.56,3.61,309600
1993-04-08,3.61,3.74,3.61,3.71,136000
1993-04-12,3.74,3.74,3.66,3.74,60000
1993-04-13,3.74,3.74,3.66,3.74,147200
1993-04-14,3.66,3.76,3.53,3.66,355200
1993-04-15,3.76,3.97,3.69,3.82,455200
1993-04-16,3.82,3.92,3.71,3.82,179200
1993-04-19,3.71,3.8,3.56,3.66,210400
1993-04-20,3.61,3.76,3.61,3.61,419200
1993-04-21,3.61,3.71,3.61,3.71,63200
1993-04-22,3.66,3.92,3.66,3.92,336800
1993-04-23,3.82,3.82,3.71,3.71,570400
1993-04-26,3.71,3.87,3.71,3.76,158400
1993-04-27,3.74,3.76,3.71,3.74,480000
1993-04-28,3.71,3.82,3.71,3.82,273600
1993-04-29,3.82,3.92,3.76,3.92,138400
1993-04-30,3.84,3.94,3.82,3.94,600800
1993-05-03,3.94,4.02,3.87,4.0,252800
1993-05-04,3.97,4.23,3.92,4.23,560800
1993-05-05,4.13,4.31,4.12,4.18,375200
1993-05-06,4.19,4.28,4.08,4.28,621600
1993-05-07,4.28,4.28,4.08,4.23,20800
1993-05-10,4.28,4.28,4.08,4.08,40800
1993-05-11,4.28,4.41,4.13,4.41,839200
1993-05-12,4.35,4.41,4.23,4.23,342400
1993-05-13,4.41,4.41,4.23,4.23,484000
