Date,Open,High,Low,Close,Volume
1999-06-16,9.05,9.3,8.11,8.86,5718100
1999-06-17,8.74,8.86,7.74,8.68,542200
1999-06-18,8.55,9.11,8.55,8.99,557600
1999-06-21,9.05,9.74,8.99,9.24,218000
1999-06-22,9.05,9.49,8.99,9.05,281400
1999-06-23,8.99,9.49,8.99,9.36,395200
1999-06-24,9.36,9.61,8.99,9.11,238100
1999-06-25,9.11,9.21,8.99,9.17,172400
1999-06-28,8.99,9.36,8.99,9.24,81400
1999-06-29,9.36,10.24,9.24,9.36,321500
1999-06-30,9.36,10.11,9.36,9.67,429900
1999-07-01,9.8,10.36,9.49,9.92,363500
1999-07-02,10.11,10.86,10.11,10.86,460800
1999-07-06,10.86,10.98,10.49,10.67,565900
1999-07-07,10.67,11.11,10.36,10.86,270500
1999-07-08,11.73,12.98,11.36,12.23,1793800
1999-07-09,12.23,13.73,12.17,13.48,1738400
1999-07-12,13.98,15.35,13.61,14.79,5465000
1999-07-13,15.29,15.29,12.61,13.36,2568600
1999-07-14,13.73,13.73,11.86,13.36,970700
1999-07-15,13.79,13.98,12.73,13.11,572700
1999-07-16,13.36,14.23,13.17,13.98,793100
1999-07-19,14.23,14.35,13.48,13.98,336500
1999-07-20,13.98,14.04,12.48,12.92,324300
1999-07-21,12.98,13.29,12.48,12.48,237600
1999-07-22,12.73,12.73,11.86,11.98,165100
1999-07-23,12.11,12.23,10.98,11.48,178500
1999-07-26,11.48,11.48,9.74,10.36,363400
1999-07-27,10.39,10.86,9.86,10.36,312600
1999-07-28,10.55,11.86,10.24,11.23,176700
1999-07-29,10.98,11.73,10.55,11.36,165400
1999-07-30,11.36,12.05,10.49,11.11,237500
1999-08-02,11.48,13.23,10.86,11.23,503900
1999-08-03,11.73,12.48,11.61,12.11,265300
1999-08-04,11.98,12.05,11.23,11.48,186900
1999-08-05,11.36,11.61,10.24,11.61,188600
1999-08-06,11.48,11.48,10.49,10.98,77400
1999-08-09,11.05,11.42,9.86,9.99,105900
1999-08-10,9.86,10.24,9.05,9.14,369700
1999-08-11,9.49,9.99,9.11,9.86,351000
1999-08-12,10.42,11.48,9.99,10.92,413900
1999-08-13,11.36,11.61,10.61,10.98,275600
1999-08-16,11.23,11.23,10.73,10.86,98900
1999-08-17,10.98,11.48,10.86,11.48,149100
1999-08-18,11.48,11.61,10.92,10.92,100300
1999-08-19,10.95,11.3,10.73,11.11,39200
1999-08-20,11.23,11.36,10.98,11.23,42400
1999-08-23,11.42,11.48,10.86,10.92,65000
1999-08-24,11.23,11.23,10.61,11.11,108000
1999-08-25,10.86,11.23,10.86,10.98,112800
1999-08-26,11.08,11.08,10.73,10.92,135500
1999-08-27,10.92,11.05,10.61,10.92,434800
1999-08-30,10.98,11.23,10.86,10.98,88500
1999-08-31,10.98,11.42,10.8,11.42,153000
1999-09-01,11.42,11.92,11.11,11.23,87000
