Date,Open,High,Low,Close,Volume
1987-09-22,0.0,0.08,0.08,0.08,69211800
1987-09-23,0.0,0.08,0.08,0.08,23109300
1987-09-24,0.0,0.08,0.08,0.08,13159800
1987-09-25,0.0,0.08,0.08,0.08,12757500
1987-09-28,0.0,0.08,0.08,0.08,7698900
1987-09-29,0.0,0.08,0.08,0.08,17860500
1987-09-30,0.0,0.08,0.07,0.08,16738500
1987-10-01,0.0,0.08,0.07,0.08,10754100
1987-10-02,0.0,0.08,0.08,0.08,1548300
1987-10-05,0.0,0.08,0.07,0.08,3835200
1987-10-06,0.0,0.08,0.07,0.08,2253000
1987-10-07,0.0,0.08,0.07,0.07,3183300
1987-10-08,0.0,0.08,0.07,0.07,3993300
1987-10-09,0.0,0.07,0.07,0.07,1787400
1987-10-12,0.0,0.07,0.07,0.07,5248800
1987-10-13,0.0,0.07,0.07,0.07,2490600
1987-10-14,0.0,0.07,0.06,0.06,6933600
1987-10-15,0.0,0.07,0.06,0.06,5050200
1987-10-16,0.0,0.07,0.06,0.06,6250500
1987-10-19,0.0,0.06,0.06,0.06,12394200
1987-10-20,0.0,0.06,0.05,0.06,10299000
1987-10-21,0.0,0.06,0.05,0.05,10290900
1987-10-22,0.0,0.05,0.05,0.05,5776500
1987-10-23,0.0,0.04,0.04,0.04,5177100
1987-10-26,0.0,0.04,0.04,0.04,5649600
1987-10-27,0.0,0.04,0.04,0.04,3808200
1987-10-28,0.0,0.04,0.04,0.04,3828600
1987-10-29,0.0,0.03,0.03,0.03,12118800
1987-10-30,0.0,0.04,0.03,0.04,18318000
1987-11-02,0.0,0.04,0.04,0.04,11153700
1987-11-03,0.0,0.04,0.04,0.04,7028100
1987-11-04,0.0,0.04,0.04,0.04,4787100
1987-11-05,0.0,0.04,0.04,0.04,9197400
1987-11-06,0.0,0.04,0.04,0.04,4795200
1987-11-09,0.0,0.04,0.04,0.04,3972900
1987-11-10,0.0,0.04,0.03,0.03,2277300
1987-11-11,0.0,0.04,0.04,0.04,1931700
1987-11-12,0.0,0.04,0.04,0.04,2559600
1987-11-13,0.0,0.04,0.04,0.04,3993300
1987-11-16,0.0,0.04,0.04,0.04,1560600
1987-11-17,0.0,0.04,0.03,0.03,6015600
1987-11-18,0.0,0.04,0.03,0.04,1101600
1987-11-19,0.0,0.04,0.03,0.03,4581900
1987-11-20,0.0,0.03,0.03,0.03,2332800
1987-11-23,0.0,0.04,0.03,0.03,1410600
1987-11-24,0.0,0.04,0.03,0.03,1009800
1987-11-25,0.0,0.03,0.03,0.03,2577000
1987-11-27,0.0,0.03,0.03,0.03,1337700
1987-11-30,0.0,0.03,0.03,0.03,5128500
1987-12-01,0.0,0.03,0.03,0.03,2735100
1987-12-02,0.0,0.03,0.03,0.03,1393200
1987-12-03,0.0,0.03,0.03,0.03,2523000
1987-12-04,0.0,0.03,0.03,0.03,3033300
1987-12-07,0.0,0.03,0.03,0.03,4185000
1987-12-08,0.0,0.03,0.03,0.03,1976400
1987-12-09,0.0,0.03,0.03,0.03,2532600
1987-12-10,0.0,0.03,0.03,0.03,2139600
1987-12-11,0.0,0.03,0.03,0.03,3288600
1987-12-14,0.0,0.03,0.03,0.03,3434400
1987-12-15,0.0,0.03,0.03,0.03,4993500
1987-12-16,0.0,0.03,0.03,0.03,3415500
1987-12-17,0.0,0.03,0.03,0.03,5621400
1987-12-18,0.0,0.03,0.03,0.03,2568900
1987-12-21,0.0,0.03,0.03,0.03,4677600
1987-12-22,0.0,0.03,0.03,0.03,3717900
1987-12-23,0.0,0.03,0.03,0.03,3972900
1987-12-24,0.0,0.03,0.03,0.03,3292500
1987-12-28,0.0,0.03,0.03,0.03,5059800
1987-12-29,0.0,0.03,0.03,0.03,6088500
1987-12-30,0.0,0.03,0.03,0.03,8075700
1987-12-31,0.0,0.03,0.03,0.03,10369200
1988-01-04,0.0,0.03,0.03,0.03,4885500
1988-01-05,0.0,0.03,0.03,0.03,4290300
1988-01-06,0.0,0.03,0.03,0.03,6554100
1988-01-07,0.0,0.03,0.03,0.03,3535500
1988-01-08,0.0,0.03,0.03,0.03,4248300
1988-01-11,0.0,0.03,0.03,0.03,2199000
1988-01-12,0.0,0.03,0.03,0.03,1368900
1988-01-13,0.0,0.03,0.03,0.03,3609900
1988-01-14,0.0,0.03,0.03,0.03,3847500
1988-01-15,0.0,0.03,0.03,0.03,4774800
1988-01-18,0.0,0.03,0.03,0.03,4148400
1988-01-19,0.0,0.03,0.03,0.03,2187000
1988-01-20,0.0,0.03,0.03,0.03,3233100
1988-01-21,0.0,0.03,0.03,0.03,2313900
1988-01-22,0.0,0.03,0.03,0.03,1933200
1988-01-25,0.0,0.03,0.03,0.03,5030100
1988-01-26,0.0,0.03,0.03,0.03,4063500
1988-01-27,0.0,0.03,0.03,0.03,1259400
1988-01-28,0.0,0.03,0.03,0.03,2231400
1988-01-29,0.0,0.03,0.03,0.03,1210800
1988-02-01,0.0,0.03,0.03,0.03,5123100
1988-02-02,0.0,0.03,0.03,0.03,3252000
1988-02-03,0.0,0.03,0.03,0.03,2271900
1988-02-04,0.0,0.03,0.03,0.03,1575300
1988-02-05,0.0,0.03,0.03,0.03,3087300
1988-02-08,0.0,0.03,0.03,0.03,1466100
1988-02-09,0.0,0.03,0.03,0.03,576300
1988-02-10,0.0,0.03,0.03,0.03,1082700
1988-02-11,0.0,0.03,0.03,0.03,1385100
1988-02-12,0.0,0.03,0.03,0.03,1210800
1988-02-16,0.0,0.03,0.03,0.03,1277100
1988-02-17,0.0,0.03,0.03,0.03,712800
1988-02-18,0.0,0.03,0.03,0.03,1113600
1988-02-19,0.0,0.03,0.03,0.03,1775100
1988-02-22,0.0,0.03,0.03,0.03,2872800
1988-02-23,0.0,0.04,0.03,0.04,8445600
1988-02-24,0.0,0.04,0.04,0.04,3456000
1988-02-25,0.0,0.04,0.04,0.04,3616500
1988-02-26,0.0,0.04,0.04,0.04,3555900
1988-02-29,0.0,0.04,0.04,0.04,6095100
1988-03-01,0.0,0.04,0.04,0.04,4691100
1988-03-02,0.0,0.04,0.04,0.04,1506600
1988-03-03,0.0,0.04,0.04,0.04,2425800
1988-03-04,0.0,0.04,0.04,0.04,722100
1988-03-07,0.0,0.04,0.04,0.04,1137900
1988-03-08,0.0,0.04,0.04,0.04,3972900
1988-03-09,0.0,0.05,0.04,0.05,11882700
1988-03-10,0.0,0.05,0.04,0.05,6043800
1988-03-11,0.0,0.05,0.04,0.04,4557600
1988-03-14,0.0,0.04,0.04,0.04,1640100
1988-03-15,0.0,0.04,0.04,0.04,3045600
1988-03-16,0.0,0.04,0.04,0.04,1150200
