Date,Open,High,Low,Close,Volume
1994-10-31,11.42,11.84,11.42,11.6,32800
1994-11-01,11.6,11.6,11.42,11.42,13200
1994-11-02,11.42,11.6,11.36,11.6,7000
1994-11-03,11.6,11.66,11.54,11.54,5400
1994-11-04,11.54,11.6,11.3,11.3,9800
1994-11-07,11.3,11.36,11.23,11.36,7200
1994-11-08,11.36,11.36,11.23,11.23,2200
1994-11-09,11.3,11.36,11.3,11.3,5600
1994-11-10,11.36,11.36,11.3,11.36,82800
1994-11-11,11.36,11.42,11.3,11.36,16400
1994-11-14,11.36,11.42,11.3,11.36,54600
1994-11-15,11.3,11.3,11.3,11.3,1800
1994-11-16,11.3,11.36,11.3,11.36,4600
1994-11-17,11.36,11.72,11.3,11.72,10600
1994-11-18,11.72,11.72,11.54,11.6,8400
1994-11-21,11.6,11.72,11.54,11.66,7000
1994-11-22,11.66,11.79,11.54,11.54,14800
1994-11-23,11.54,11.6,11.54,11.6,8000
1994-11-25,11.54,11.54,11.54,11.54,2000
1994-11-28,11.54,11.66,11.54,11.54,1400
1994-11-29,11.54,11.54,11.48,11.48,1800
1994-11-30,11.48,11.6,11.48,11.48,6000
1994-12-01,11.48,11.54,11.17,11.17,35400
1994-12-02,11.17,11.17,11.11,11.17,12600
1994-12-05,11.17,11.17,11.11,11.11,5400
1994-12-06,11.05,11.05,10.87,10.87,16000
1994-12-07,10.87,10.93,10.74,10.87,11600
1994-12-08,10.87,10.93,10.87,10.93,6000
1994-12-09,10.93,11.05,10.8,10.8,9000
1994-12-12,10.8,10.93,10.68,10.87,7600
1994-12-13,10.87,11.11,10.87,11.11,4600
1994-12-14,11.17,11.72,11.17,11.72,10800
1994-12-15,11.72,12.15,11.72,12.15,13400
1994-12-16,12.15,12.22,11.91,11.97,20400
1994-12-19,11.97,12.09,11.79,11.79,10000
1994-12-20,11.85,11.97,11.85,11.97,8000
1994-12-21,11.97,12.22,11.97,12.22,7800
1994-12-22,12.22,12.28,12.22,12.22,9000
1994-12-23,12.22,12.28,12.22,12.28,5400
1994-12-27,12.22,12.22,12.09,12.15,6000
1994-12-28,12.15,12.22,12.09,12.15,3200
1994-12-29,12.09,12.09,11.54,11.66,9600
1994-12-30,11.66,11.85,11.42,11.79,28000
1995-01-03,11.79,12.03,11.66,11.66,4600
1995-01-04,11.85,11.91,11.85,11.91,3000
1995-01-05,11.85,11.85,11.85,11.85,1600
1995-01-06,11.85,11.91,11.79,11.91,3200
1995-01-09,11.91,11.91,11.79,11.85,5600
