Date,Open,High,Low,Close,Volume
1997-08-15,11.32,11.49,11.15,11.32,6245900
1997-08-18,11.26,11.43,10.75,11.26,687700
1997-08-19,11.2,11.23,11.01,11.03,205500
1997-08-20,10.98,10.98,10.69,10.75,264700
1997-08-21,10.81,10.86,10.41,10.44,302400
1997-08-22,10.24,10.64,10.19,10.64,363700
1997-08-25,10.64,10.64,10.41,10.64,176400
1997-08-26,10.67,10.84,10.64,10.69,293400
1997-08-27,10.75,10.75,10.64,10.64,31200
1997-08-28,10.64,10.72,10.64,10.72,87000
1997-08-29,10.72,10.86,10.67,10.81,139000
1997-09-02,10.78,11.03,10.78,11.03,134700
1997-09-03,11.01,11.03,10.92,11.01,144600
1997-09-04,10.92,11.09,10.92,11.09,76500
1997-09-05,11.06,11.09,10.92,11.03,65100
1997-09-08,10.95,10.98,10.95,10.98,108800
1997-09-09,10.95,11.2,10.95,11.09,169500
1997-09-10,11.03,11.2,10.98,11.18,112600
1997-09-11,11.15,11.15,10.98,11.01,69400
1997-09-12,11.01,11.12,11.01,11.01,74500
1997-09-15,10.98,11.09,10.75,10.86,180500
1997-09-16,11.03,11.54,10.98,11.43,182600
1997-09-17,11.54,11.54,11.12,11.2,97600
1997-09-18,11.26,11.4,11.18,11.37,49700
1997-09-19,11.26,11.37,11.2,11.35,95500
1997-09-22,11.49,11.49,11.43,11.43,85600
1997-09-23,11.43,11.54,11.29,11.29,95600
1997-09-24,11.32,11.35,11.2,11.23,41000
1997-09-25,11.26,11.43,11.26,11.43,66900
1997-09-26,11.37,11.57,11.37,11.54,164600
1997-09-29,11.6,11.71,11.57,11.63,60200
1997-09-30,11.57,11.71,11.54,11.71,126900
1997-10-01,11.71,11.85,11.71,11.71,63500
1997-10-02,11.77,12.11,11.77,11.94,126900
1997-10-03,12.11,12.22,12.02,12.19,62400
1997-10-06,12.19,12.19,11.94,11.94,145400
1997-10-07,11.88,11.88,11.43,11.83,170200
1997-10-08,11.88,12.0,11.83,11.88,76100
1997-10-09,11.83,11.94,11.77,11.77,141200
1997-10-10,11.77,11.83,11.68,11.68,34100
1997-10-13,11.85,11.85,11.66,11.71,48000
1997-10-14,11.77,11.88,11.71,11.8,22000
1997-10-15,11.8,11.8,11.71,11.74,7200
1997-10-16,11.74,11.83,11.66,11.66,52200
1997-10-17,11.66,11.77,11.49,11.54,67600
1997-10-20,11.54,11.54,11.46,11.49,90900
1997-10-21,11.49,11.94,11.49,11.94,77700
1997-10-22,11.94,12.17,11.77,11.77,185800
1997-10-23,11.6,11.66,11.35,11.6,47300
1997-10-24,11.66,11.68,11.6,11.6,171800
1997-10-27,11.66,11.66,10.72,10.72,48800
1997-10-28,10.69,11.63,10.3,11.63,96700
1997-10-29,11.6,11.6,11.37,11.4,96200
1997-10-30,11.32,11.4,11.32,11.32,8500
1997-10-31,11.29,11.37,11.2,11.35,38400
1997-11-03,11.43,11.43,11.26,11.26,54400
1997-11-04,11.23,11.23,10.86,11.06,65800
1997-11-05,11.06,11.35,11.01,11.18,47900
1997-11-06,11.23,11.29,11.03,11.03,29700
1997-11-07,11.03,11.03,10.86,10.98,37300
1997-11-10,11.01,11.29,10.95,11.26,13600
1997-11-11,11.26,11.46,11.26,11.37,33800
1997-11-12,11.43,11.63,11.32,11.6,46000
1997-11-13,11.5,11.53,11.47,11.47,143600
1997-11-14,11.47,11.56,11.47,11.53,37700
1997-11-17,11.53,11.53,11.5,11.5,4900
1997-11-18,11.73,11.73,11.67,11.73,21100
1997-11-19,11.79,11.84,11.67,11.76,95300
1997-11-20,11.79,11.84,11.79,11.84,34900
1997-11-21,11.84,11.9,11.79,11.84,52200
1997-11-24,11.79,11.82,11.62,11.62,14300
1997-11-25,11.56,11.79,11.5,11.7,43200
1997-11-26,11.7,11.84,11.67,11.73,166600
1997-11-28,11.7,11.84,11.7,11.84,23300
1997-12-01,11.84,11.9,11.84,11.84,84800
1997-12-02,11.84,12.01,11.84,11.9,42200
1997-12-03,11.9,11.96,11.7,11.7,19300
1997-12-04,11.7,11.79,11.56,11.73,25200
1997-12-05,11.67,11.84,11.67,11.84,21000
1997-12-08,11.84,11.96,11.73,11.73,124800
1997-12-09,11.79,11.84,11.76,11.84,17400
1997-12-10,11.84,11.84,11.79,11.79,14700
1997-12-11,11.82,11.82,11.76,11.79,10800
1997-12-12,11.82,11.82,11.67,11.7,20300
1997-12-15,11.73,11.84,11.73,11.84,123000
1997-12-16,11.9,12.07,11.9,12.07,27000
1997-12-17,12.07,12.13,11.96,12.13,187700
1997-12-18,12.07,12.19,12.04,12.07,12800
1997-12-19,12.07,12.07,11.9,11.93,86700
1997-12-22,11.93,11.96,11.9,11.9,30600
1997-12-23,11.9,11.96,11.9,11.93,25000
1997-12-24,11.99,12.07,11.96,11.96,5600
1997-12-26,12.0,12.09,12.0,12.06,5800
1997-12-29,12.09,12.12,12.06,12.06,7800
1997-12-30,12.12,12.12,12.06,12.12,18200
1997-12-31,12.0,12.12,11.97,11.97,33800
1998-01-02,12.09,12.09,11.89,11.97,16900
1998-01-05,11.95,12.0,11.95,11.95,71800
1998-01-06,11.95,11.97,11.77,11.89,56600
1998-01-07,11.89,11.89,11.83,11.83,30700
1998-01-08,11.86,11.89,11.74,11.77,69100
1998-01-09,11.83,11.83,11.72,11.77,20100
1998-01-12,11.66,11.66,11.54,11.54,215100
1998-01-13,11.6,11.6,11.48,11.6,9700
1998-01-14,11.6,11.83,11.6,11.8,293600
1998-01-15,11.69,11.69,11.6,11.66,45600
1998-01-16,11.77,11.77,11.77,11.77,82300
1998-01-20,11.83,12.06,11.8,12.0,104300
1998-01-21,12.06,12.35,11.95,12.06,65000
1998-01-22,12.09,12.29,12.09,12.23,122800
1998-01-23,12.23,12.41,12.18,12.23,48700
1998-01-26,12.29,12.44,12.23,12.29,41400
1998-01-27,12.32,12.47,12.32,12.35,19500
1998-01-28,12.47,12.47,12.35,12.35,19500
1998-01-29,12.38,12.47,12.35,12.35,21700
1998-01-30,12.38,12.87,12.35,12.87,60600
1998-02-02,12.87,12.87,12.52,12.67,26400
1998-02-03,12.67,12.93,12.41,12.41,130300
1998-02-04,12.47,12.47,12.26,12.26,25300
1998-02-05,12.32,12.32,12.15,12.21,11000
1998-02-06,12.12,12.23,12.12,12.15,53400
1998-02-09,12.15,12.18,12.0,12.09,37900
1998-02-10,12.09,12.09,11.95,12.0,30400
1998-02-11,12.09,12.29,12.03,12.23,37500
1998-02-12,12.18,12.18,12.06,12.06,8100
1998-02-13,12.06,12.23,12.0,12.23,27100
1998-02-17,12.21,12.29,12.18,12.26,8600
1998-02-18,12.26,12.26,11.97,12.06,26400
1998-02-19,12.06,12.23,12.06,12.12,42500
1998-02-20,12.12,12.29,12.12,12.23,25900
1998-02-23,12.29,12.55,12.29,12.52,62000
1998-02-24,12.52,12.52,12.47,12.47,11200
1998-02-25,12.47,12.49,12.41,12.41,4000
1998-02-26,12.32,12.32,12.23,12.23,29000
1998-02-27,12.29,12.29,12.26,12.26,4700
1998-03-02,12.29,12.29,12.06,12.06,23500
1998-03-03,11.97,11.97,11.89,11.89,5700
1998-03-04,11.95,11.95,11.89,11.95,15700
1998-03-05,11.92,11.95,11.54,11.54,31300
1998-03-06,11.66,11.74,11.66,11.66,29500
1998-03-09,11.66,11.83,11.66,11.83,10300
1998-03-10,11.83,11.83,11.66,11.83,17900
1998-03-11,11.83,11.83,11.54,11.54,19000
1998-03-12,11.6,11.63,11.6,11.63,3700
1998-03-13,11.51,11.51,11.14,11.2,101900
1998-03-16,11.2,11.2,11.08,11.14,103600
1998-03-17,11.22,11.28,11.14,11.25,29800
1998-03-18,11.28,11.28,11.05,11.08,57400
1998-03-19,11.08,11.17,11.08,11.17,2100
1998-03-20,11.25,11.54,11.25,11.48,15300
1998-03-23,11.6,11.69,11.54,11.63,14800
1998-03-24,11.6,11.74,11.6,11.72,10500
1998-03-25,11.72,11.95,11.57,11.57,63700
1998-03-26,11.54,11.66,11.46,11.54,26700
1998-03-27,11.47,11.97,11.44,11.97,68900
1998-03-30,11.97,11.97,11.88,11.88,6400
1998-03-31,11.88,12.0,11.79,11.97,15400
1998-04-01,11.94,12.03,11.94,12.03,2700
1998-04-02,11.97,12.41,11.97,12.29,17800
1998-04-03,12.23,12.44,12.23,12.38,5800
1998-04-06,12.35,12.53,12.35,12.41,16500
1998-04-07,12.53,12.53,12.35,12.41,37600
1998-04-08,12.35,12.35,12.09,12.35,19700
1998-04-09,12.29,12.35,12.29,12.35,54700
1998-04-13,12.29,12.44,12.17,12.17,7600
1998-04-14,12.12,12.32,12.06,12.06,176800
1998-04-15,12.09,12.09,11.94,12.0,16700
1998-04-16,12.03,12.03,11.94,11.94,2900
1998-04-17,11.94,11.94,11.65,11.71,138900
1998-04-20,11.65,11.68,11.53,11.53,44000
1998-04-21,11.41,11.41,11.12,11.12,166500
1998-04-22,11.15,11.18,11.03,11.18,33900
1998-04-23,11.21,11.24,11.12,11.18,7600
1998-04-24,11.21,11.21,10.97,11.03,14400
1998-04-27,11.09,11.09,10.94,10.94,30000
1998-04-28,11.03,11.12,10.94,11.0,19100
1998-04-29,11.06,11.18,11.06,11.15,10000
1998-04-30,11.15,11.24,11.15,11.24,17200
1998-05-01,11.24,11.27,11.21,11.27,1000
1998-05-04,11.24,11.24,11.18,11.24,29400
1998-05-05,11.24,11.24,11.18,11.21,23500
1998-05-06,11.21,11.21,11.0,11.03,29300
1998-05-07,11.03,11.03,10.83,10.83,28300
1998-05-08,10.89,10.89,10.59,10.65,116400
1998-05-11,10.65,10.68,10.3,10.42,239800
1998-05-12,10.48,10.59,10.42,10.42,119500
1998-05-13,10.42,10.54,10.42,10.48,3662200
1998-05-14,10.48,10.48,10.42,10.42,322800
1998-05-15,10.45,10.54,10.45,10.45,252800
1998-05-18,10.45,10.51,10.45,10.51,182200
1998-05-19,10.51,10.62,10.48,10.62,249900
1998-05-20,10.62,10.62,10.54,10.54,138400
1998-05-21,10.54,10.59,10.42,10.42,97300
1998-05-22,10.54,10.54,10.48,10.54,181600
1998-05-26,10.56,10.59,10.51,10.54,197900
1998-05-27,10.54,10.54,10.42,10.42,137200
1998-05-28,10.42,10.48,10.42,10.42,62600
1998-05-29,10.45,10.62,10.45,10.62,136300
1998-06-01,10.56,10.62,10.54,10.56,99500
