Date,Open,High,Low,Close,Volume
1973-02-21,3.64,3.64,3.64,3.64,27000
1973-02-22,3.61,3.61,3.61,3.61,36000
1973-02-23,3.41,3.41,3.41,3.41,64800
1973-02-26,3.39,3.39,3.39,3.39,42600
1973-02-27,3.3,3.3,3.3,3.3,70200
1973-02-28,3.46,3.46,3.46,3.46,115800
1973-03-01,3.49,3.49,3.49,3.49,96600
1973-03-02,3.59,3.59,3.59,3.59,81000
1973-03-05,3.56,3.56,3.56,3.56,163800
1973-03-06,3.52,3.52,3.52,3.52,278400
1973-03-07,3.59,3.59,3.59,3.59,177000
1973-03-08,3.61,3.61,3.61,3.61,85200
1973-03-09,3.59,3.59,3.59,3.59,145800
1973-03-12,3.57,3.57,3.57,3.57,39000
1973-03-13,3.57,3.57,3.57,3.57,90600
1973-03-14,3.59,3.59,3.59,3.59,101400
1973-03-15,3.61,3.61,3.61,3.61,32400
1973-03-16,3.64,3.64,3.64,3.64,45600
1973-03-19,3.61,3.61,3.61,3.61,31200
1973-03-20,3.61,3.61,3.61,3.61,33000
1973-03-21,3.57,3.57,3.57,3.57,54600
1973-03-22,3.47,3.47,3.47,3.47,57000
1973-03-23,3.49,3.49,3.49,3.49,108600
1973-03-26,3.46,3.46,3.46,3.46,100200
1973-03-27,3.49,3.49,3.49,3.49,81600
1973-03-28,3.56,3.56,3.56,3.56,60600
1973-03-29,3.64,3.64,3.64,3.64,58200
1973-03-30,3.64,3.64,3.64,3.64,44400
1973-04-02,3.57,3.57,3.57,3.57,69000
1973-04-03,3.63,3.63,3.63,3.63,54600
1973-04-04,3.64,3.64,3.64,3.64,196800
1973-04-05,3.61,3.61,3.61,3.61,68400
1973-04-06,3.68,3.68,3.68,3.68,43800
1973-04-09,3.69,3.69,3.69,3.69,46800
1973-04-10,3.73,3.73,3.73,3.73,49800
1973-04-11,3.79,3.79,3.79,3.79,55200
1973-04-12,3.78,3.78,3.78,3.78,136200
1973-04-13,3.91,3.91,3.91,3.91,115200
1973-04-16,4.0,4.0,4.0,4.0,229200
1973-04-17,3.88,3.88,3.88,3.88,108600
1973-04-18,3.84,3.84,3.84,3.84,598800
1973-04-19,3.88,3.88,3.88,3.88,43800
1973-04-23,3.83,3.83,3.83,3.83,52200
1973-04-24,3.61,3.61,3.61,3.61,118800
1973-04-25,3.54,3.54,3.54,3.54,252600
1973-04-26,3.51,3.51,3.51,3.51,105600
1973-04-27,3.34,3.34,3.34,3.34,123000
1973-04-30,3.41,3.41,3.41,3.41,102600
1973-05-01,3.52,3.52,3.52,3.52,81600
1973-05-02,3.61,3.61,3.61,3.61,100800
1973-05-03,0.0,3.74,3.68,3.68,52800
1973-05-04,0.0,3.73,3.66,3.66,84600
1973-05-07,0.0,3.64,3.57,3.57,42000
1973-05-08,0.0,3.64,3.57,3.57,46800
1973-05-09,0.0,3.71,3.64,3.64,148800
1973-05-10,0.0,3.71,3.64,3.64,64800
1973-05-11,0.0,3.66,3.59,3.59,37200
1973-05-14,0.0,3.51,3.44,3.44,81000
1973-05-15,0.0,3.61,3.54,3.54,71400
1973-05-16,0.0,3.61,3.54,3.54,47400
1973-05-17,0.0,3.59,3.52,3.52,48600
1973-05-18,0.0,3.59,3.52,3.52,60600
1973-05-21,0.0,3.59,3.52,3.52,60000
1973-05-22,0.0,3.57,3.51,3.51,131400
1973-05-23,0.0,3.56,3.49,3.49,89400
1973-05-24,0.0,3.54,3.47,3.47,27000
1973-05-25,0.0,3.57,3.51,3.51,179400
1973-05-29,0.0,3.52,3.46,3.46,79800
1973-05-30,0.0,3.51,3.44,3.44,100200
1973-05-31,0.0,3.51,3.44,3.44,94800
1973-06-01,0.0,3.49,3.42,3.42,60000
1973-06-04,0.0,3.34,3.27,3.27,157200
1973-06-05,0.0,3.44,3.37,3.37,103200
1973-06-06,0.0,3.49,3.42,3.42,199200
1973-06-07,0.0,3.57,3.51,3.51,75000
1973-06-08,0.0,3.74,3.68,3.68,168000
1973-06-11,0.0,3.71,3.64,3.64,28800
1973-06-12,0.0,3.74,3.68,3.68,81600
1973-06-13,0.0,3.69,3.63,3.63,46800
1973-06-14,0.0,3.69,3.63,3.63,68400
1973-06-15,0.0,3.64,3.57,3.57,59400
1973-06-18,0.0,3.56,3.49,3.49,73200
1973-06-19,0.0,3.61,3.54,3.54,37200
1973-06-20,0.0,3.68,3.61,3.61,112200
1973-06-21,0.0,3.73,3.66,3.66,115800
1973-06-22,0.0,3.81,3.74,3.74,132600
1973-06-25,0.0,3.73,3.66,3.66,67800
1973-06-26,0.0,3.83,3.76,3.76,75000
1973-06-27,0.0,3.84,3.78,3.78,84600
1973-06-28,0.0,3.84,3.78,3.78,31800
1973-06-29,0.0,3.81,3.74,3.74,65400
1973-07-02,0.0,3.71,3.64,3.64,55800
1973-07-03,0.0,3.66,3.59,3.59,16800
1973-07-05,0.0,3.69,3.63,3.63,85800
1973-07-06,0.0,3.64,3.57,3.57,32400
1973-07-09,0.0,3.68,3.61,3.61,44400
1973-07-10,0.0,3.76,3.69,3.69,101400
1973-07-11,0.0,3.88,3.81,3.81,105000
1973-07-12,0.0,3.9,3.83,3.83,75600
1973-07-13,0.0,3.88,3.81,3.81,90000
1973-07-16,0.0,3.88,3.81,3.81,34800
1973-07-17,0.0,3.91,3.84,3.84,106800
1973-07-18,0.0,4.0,3.93,3.93,45600
1973-07-19,0.0,4.03,3.96,3.96,52200
1973-07-20,0.0,4.05,3.98,3.98,47400
1973-07-23,0.0,4.0,3.93,3.93,37800
1973-07-24,0.0,4.0,3.93,3.93,34200
1973-07-25,0.0,3.96,3.9,3.9,113400
1973-07-26,0.0,3.88,3.81,3.81,44400
1973-07-27,0.0,3.83,3.76,3.76,31800
1973-07-30,0.0,3.76,3.69,3.69,43200
1973-07-31,0.0,3.73,3.66,3.66,61800
1973-08-01,0.0,3.69,3.63,3.63,47400
1973-08-02,0.0,3.71,3.64,3.64,59400
1973-08-03,0.0,3.78,3.71,3.71,40200
1973-08-06,0.0,3.91,3.84,3.84,278400
1973-08-07,0.0,3.95,3.88,3.88,37800
1973-08-08,0.0,3.93,3.86,3.86,42000
1973-08-09,0.0,4.0,3.93,3.93,76800
1973-08-10,0.0,3.98,3.91,3.91,20400
1973-08-13,0.0,3.9,3.83,3.83,63600
1973-08-14,0.0,3.88,3.81,3.81,30000
1973-08-15,0.0,3.79,3.73,3.73,287400
1973-08-16,0.0,3.83,3.76,3.76,96000
1973-08-17,0.0,3.88,3.81,3.81,48600
1973-08-20,0.0,3.88,3.81,3.81,20400
1973-08-21,0.0,3.84,3.78,3.78,43200
1973-08-22,0.0,3.84,3.78,3.78,23400
1973-08-23,0.0,3.84,3.78,3.78,46200
1973-08-24,0.0,3.84,3.78,3.78,24000
1973-08-27,0.0,4.01,3.95,3.95,87600
1973-08-28,0.0,4.01,3.95,3.95,84600
1973-08-29,0.0,4.0,3.93,3.93,52200
1973-08-30,0.0,3.98,3.91,3.91,52200
1973-08-31,0.0,4.03,3.96,3.96,66000
1973-09-04,0.0,4.01,3.95,3.95,13800
1973-09-05,0.0,4.0,3.93,3.93,121200
1973-09-06,0.0,3.96,3.9,3.9,173400
1973-09-07,0.0,3.98,3.91,3.91,178200
1973-09-10,0.0,3.98,3.91,3.91,61200
1973-09-11,0.0,3.95,3.88,3.88,31200
1973-09-12,0.0,3.91,3.84,3.84,27000
1973-09-13,0.0,3.96,3.9,3.9,73200
1973-09-14,0.0,3.98,3.91,3.91,28200
1973-09-17,0.0,3.96,3.9,3.9,67800
1973-09-18,0.0,3.95,3.88,3.88,109200
1973-09-19,0.0,4.0,3.93,3.93,43800
1973-09-20,0.0,4.11,4.05,4.05,124800
1973-09-21,0.0,4.35,4.28,4.28,211200
1973-09-24,0.0,4.33,4.27,4.27,136800
1973-09-25,0.0,4.25,4.18,4.18,43800
1973-09-26,0.0,4.3,4.23,4.23,35400
1973-09-27,0.0,4.28,4.22,4.22,50400
1973-09-28,0.0,4.27,4.2,4.2,28200
1973-10-01,0.0,4.18,4.11,4.11,43200
1973-10-02,0.0,4.18,4.11,4.11,54000
1973-10-03,0.0,4.18,4.11,4.11,16800
1973-10-04,0.0,4.06,4.0,4.0,67200
1973-10-05,0.0,4.11,4.05,4.05,66000
1973-10-08,0.0,4.11,4.05,4.05,25200
1973-10-09,0.0,4.11,4.05,4.05,20400
1973-10-10,0.0,4.05,3.98,3.98,33600
1973-10-11,0.0,4.15,4.08,4.08,214800
1973-10-12,0.0,4.28,4.22,4.22,53400
1973-10-15,0.0,4.16,4.1,4.1,52800
1973-10-16,0.0,4.2,4.13,4.13,57600
1973-10-17,0.0,4.18,4.11,4.11,80400
1973-10-18,0.0,4.15,4.08,4.08,126600
1973-10-19,0.0,4.18,4.11,4.11,20400
