Date,Open,High,Low,Close,Volume
1981-12-31,0.05,0.05,0.05,0.05,220900
1982-01-04,0.05,0.05,0.05,0.05,365000
1982-01-05,0.05,0.05,0.05,0.05,666500
1982-01-06,0.05,0.05,0.05,0.05,500900
1982-01-07,0.05,0.05,0.05,0.05,171500
1982-01-08,0.05,0.05,0.05,0.05,261500
1982-01-11,0.05,0.05,0.05,0.05,386300
1982-01-12,0.05,0.05,0.05,0.05,311300
1982-01-13,0.05,0.05,0.05,0.05,436700
1982-01-14,0.05,0.05,0.05,0.05,189500
1982-01-15,0.05,0.05,0.05,0.05,271400
1982-01-18,0.05,0.05,0.05,0.05,391200
1982-01-19,0.05,0.05,0.05,0.05,282200
1982-01-20,0.05,0.05,0.05,0.05,357800
1982-01-21,0.05,0.05,0.05,0.05,941800
1982-01-22,0.05,0.05,0.05,0.05,422900
1982-01-25,0.05,0.05,0.05,0.05,315500
1982-01-26,0.05,0.05,0.05,0.05,642600
1982-01-27,0.05,0.05,0.05,0.05,1529200
1982-01-28,0.05,0.05,0.05,0.05,1475200
1982-01-29,0.05,0.05,0.05,0.05,331900
1982-02-01,0.05,0.05,0.05,0.05,311000
1982-02-02,0.05,0.05,0.05,0.05,300200
1982-02-03,0.05,0.05,0.05,0.05,252700
1982-02-04,0.05,0.05,0.05,0.05,241200
1982-02-05,0.05,0.05,0.05,0.05,215000
1982-02-08,0.05,0.05,0.05,0.05,295600
1982-02-09,0.05,0.05,0.05,0.05,223200
1982-02-10,0.05,0.05,0.05,0.05,171800
1982-02-11,0.05,0.05,0.05,0.05,318200
1982-02-12,0.05,0.05,0.05,0.05,140400
1982-02-16,0.05,0.05,0.05,0.05,382700
1982-02-17,0.05,0.05,0.05,0.05,218000
1982-02-18,0.05,0.05,0.05,0.05,1139300
1982-02-19,0.05,0.05,0.05,0.05,320100
1982-02-22,0.05,0.05,0.05,0.05,428200
1982-02-23,0.05,0.05,0.05,0.05,576100
1982-02-24,0.05,0.05,0.05,0.05,1475200
1982-02-25,0.05,0.05,0.05,0.05,519500
1982-02-26,0.05,0.05,0.05,0.05,217700
1982-03-01,0.05,0.05,0.05,0.05,234700
1982-03-02,0.05,0.05,0.05,0.05,697300
1982-03-03,0.05,0.05,0.05,0.05,506100
1982-03-04,0.05,0.05,0.05,0.05,1009000
1982-03-05,0.05,0.05,0.05,0.05,839700
1982-03-08,0.05,0.05,0.05,0.05,484500
1982-03-09,0.05,0.05,0.05,0.05,619400
1982-03-10,0.05,0.05,0.05,0.05,402000
1982-03-11,0.05,0.05,0.05,0.05,405300
1982-03-12,0.05,0.05,0.05,0.05,299800
1982-03-15,0.05,0.05,0.05,0.05,237300
1982-03-16,0.05,0.05,0.05,0.05,502800
1982-03-17,0.05,0.05,0.05,0.05,339800
1982-03-18,0.05,0.05,0.05,0.05,864900
1982-03-19,0.05,0.05,0.05,0.05,315200
1982-03-22,0.05,0.05,0.05,0.05,1340900
1982-03-23,0.05,0.05,0.05,0.05,505800
1982-03-24,0.05,0.05,0.05,0.05,946100
1982-03-25,0.05,0.05,0.05,0.05,1236800
1982-03-26,0.05,0.05,0.05,0.05,241600
1982-03-29,0.05,0.06,0.05,0.06,375800
1982-03-30,0.06,0.06,0.05,0.06,1638800
1982-03-31,0.06,0.06,0.06,0.06,1935100
1982-04-01,0.06,0.06,0.06,0.06,2327000
1982-04-02,0.06,0.06,0.06,0.06,753900
1982-04-05,0.06,0.06,0.06,0.06,439300
1982-04-06,0.06,0.06,0.06,0.06,749700
1982-04-07,0.06,0.06,0.06,0.06,304400
1982-04-08,0.06,0.06,0.06,0.06,593200
1982-04-12,0.06,0.06,0.06,0.06,403000
1982-04-13,0.06,0.06,0.06,0.06,893100
1982-04-14,0.06,0.06,0.06,0.06,701500
1982-04-15,0.06,0.06,0.06,0.06,647200
1982-04-16,0.06,0.06,0.06,0.06,505400
1982-04-19,0.06,0.06,0.06,0.06,478900
1982-04-20,0.06,0.06,0.06,0.06,655400
1982-04-21,0.06,0.06,0.06,0.06,552200
1982-04-22,0.06,0.06,0.06,0.06,508100
1982-04-23,0.06,0.06,0.06,0.06,1317700
1982-04-26,0.06,0.06,0.06,0.06,1468300
1982-04-27,0.06,0.06,0.06,0.06,2334900
1982-04-28,0.06,0.06,0.06,0.06,252700
1982-04-29,0.06,0.06,0.06,0.06,234000
1982-04-30,0.06,0.06,0.06,0.06,1207300
1982-05-03,0.06,0.06,0.06,0.06,664200
1982-05-04,0.06,0.06,0.06,0.06,283800
1982-05-05,0.06,0.06,0.06,0.06,212400
1982-05-06,0.06,0.06,0.06,0.06,276300
1982-05-07,0.06,0.06,0.06,0.06,499200
1982-05-10,0.06,0.06,0.06,0.06,259200
1982-05-11,0.06,0.06,0.06,0.06,265500
1982-05-12,0.06,0.06,0.06,0.06,489400
1982-05-13,0.06,0.06,0.06,0.06,280200
1982-05-14,0.06,0.06,0.06,0.06,263800
1982-05-17,0.06,0.06,0.06,0.06,441300
1982-05-18,0.06,0.06,0.06,0.06,204900
1982-05-19,0.06,0.06,0.06,0.06,525100
1982-05-20,0.06,0.06,0.05,0.06,576100
1982-05-21,0.06,0.06,0.06,0.06,477000
1982-05-24,0.06,0.06,0.06,0.06,320100
1982-05-25,0.06,0.06,0.06,0.06,575500
1982-05-26,0.06,0.06,0.06,0.06,218000
1982-05-27,0.06,0.06,0.06,0.06,343700
1982-05-28,0.06,0.06,0.06,0.06,481500
1982-06-01,0.06,0.06,0.06,0.06,401300
1982-06-02,0.06,0.06,0.06,0.06,303400
1982-06-03,0.06,0.06,0.06,0.06,276300
1982-06-04,0.06,0.06,0.05,0.05,400000
1982-06-07,0.05,0.05,0.05,0.05,270400
1982-06-08,0.05,0.05,0.05,0.05,305400
1982-06-09,0.05,0.05,0.05,0.05,745700
1982-06-10,0.05,0.05,0.05,0.05,330000
1982-06-11,0.06,0.06,0.05,0.06,238600
1982-06-14,0.06,0.06,0.05,0.06,295600
1982-06-15,0.06,0.06,0.05,0.05,248100
1982-06-16,0.05,0.06,0.05,0.05,251400
1982-06-17,0.05,0.05,0.05,0.05,232100
1982-06-18,0.05,0.05,0.05,0.05,595800
1982-06-21,0.05,0.05,0.05,0.05,816100
1982-06-22,0.05,0.05,0.05,0.05,1013200
1982-06-23,0.05,0.05,0.05,0.05,415700
1982-06-24,0.05,0.05,0.05,0.05,206500
1982-06-25,0.05,0.05,0.05,0.05,145600
1982-06-28,0.05,0.05,0.05,0.05,203600
1982-06-29,0.05,0.06,0.05,0.06,1382200
1982-06-30,0.06,0.06,0.06,0.06,292600
1982-07-01,0.06,0.06,0.05,0.06,621000
1982-07-02,0.06,0.06,0.05,0.06,314900
1982-07-06,0.06,0.06,0.06,0.06,217000
1982-07-07,0.06,0.06,0.05,0.06,286100
1982-07-08,0.06,0.06,0.06,0.06,331900
1982-07-09,0.06,0.06,0.06,0.06,1072800
1982-07-12,0.06,0.06,0.06,0.06,306700
1982-07-13,0.06,0.06,0.06,0.06,868200
1982-07-14,0.06,0.06,0.06,0.06,306700
1982-07-15,0.06,0.06,0.06,0.06,604300
1982-07-16,0.06,0.06,0.06,0.06,346700
1982-07-19,0.06,0.06,0.06,0.06,466800
1982-07-20,0.06,0.06,0.06,0.06,801400
1982-07-21,0.06,0.06,0.06,0.06,540800
1982-07-22,0.06,0.06,0.06,0.06,522500
1982-07-23,0.06,0.06,0.06,0.06,406900
1982-07-26,0.06,0.06,0.06,0.06,1558300
1982-07-27,0.06,0.06,0.06,0.06,2970000
1982-07-28,0.06,0.06,0.06,0.06,625600
1982-07-29,0.06,0.06,0.06,0.06,949700
1982-07-30,0.06,0.06,0.06,0.06,439600
1982-08-02,0.06,0.06,0.06,0.06,430500
1982-08-03,0.06,0.06,0.06,0.06,733000
1982-08-04,0.06,0.06,0.06,0.06,414400
1982-08-05,0.06,0.06,0.06,0.06,779100
1982-08-06,0.06,0.06,0.06,0.06,178400
1982-08-09,0.06,0.06,0.06,0.06,235300
1982-08-10,0.06,0.06,0.06,0.06,1316000
1982-08-11,0.06,0.06,0.06,0.06,1296700
1982-08-12,0.06,0.06,0.06,0.06,733900
1982-08-13,0.06,0.06,0.06,0.06,898000
1982-08-16,0.06,0.06,0.06,0.06,586300
1982-08-17,0.06,0.07,0.06,0.07,1570400
1982-08-18,0.07,0.07,0.06,0.07,2609200
1982-08-19,0.07,0.07,0.06,0.07,808900
1982-08-20,0.07,0.07,0.07,0.07,1697800
1982-08-23,0.07,0.07,0.07,0.07,2057600
1982-08-24,0.07,0.07,0.07,0.07,2456000
1982-08-25,0.07,0.07,0.07,0.07,664200
1982-08-26,0.07,0.07,0.07,0.07,119800
1982-08-27,0.07,0.07,0.07,0.07,763400
1982-08-30,0.07,0.07,0.07,0.07,837700
1982-08-31,0.07,0.07,0.07,0.07,544400
1982-09-01,0.07,0.07,0.07,0.07,865600
1982-09-02,0.07,0.07,0.06,0.07,544100
1982-09-03,0.07,0.07,0.07,0.07,610200
1982-09-07,0.07,0.07,0.07,0.07,451100
1982-09-08,0.07,0.07,0.07,0.07,361400
1982-09-09,0.07,0.07,0.07,0.07,385900
1982-09-10,0.07,0.07,0.07,0.07,1528800
1982-09-13,0.07,0.07,0.07,0.07,324700
1982-09-14,0.07,0.07,0.07,0.07,1106200
1982-09-15,0.07,0.07,0.07,0.07,946400
1982-09-16,0.07,0.07,0.07,0.07,1476100
1982-09-17,0.07,0.07,0.07,0.07,481900
1982-09-20,0.07,0.07,0.07,0.07,742100
1982-09-21,0.07,0.07,0.07,0.07,1320600
1982-09-22,0.07,0.07,0.07,0.07,1435200
1982-09-23,0.07,0.07,0.07,0.07,662900
1982-09-24,0.07,0.07,0.07,0.07,343400
1982-09-27,0.07,0.07,0.07,0.07,435700
1982-09-28,0.07,0.07,0.07,0.07,564000
1982-09-29,0.07,0.07,0.07,0.07,440000
1982-09-30,0.07,0.07,0.07,0.07,546000
1982-10-01,0.07,0.07,0.07,0.07,391200
1982-10-04,0.07,0.07,0.06,0.07,402600
1982-10-05,0.07,0.07,0.07,0.07,370600
1982-10-06,0.07,0.07,0.07,0.07,640600
1982-10-07,0.07,0.07,0.07,0.07,965700
1982-10-08,0.07,0.07,0.07,0.07,4607600
1982-10-11,0.07,0.07,0.07,0.07,1832000
1982-10-12,0.07,0.07,0.07,0.07,801100
1982-10-13,0.07,0.07,0.07,0.07,2035000
1982-10-14,0.07,0.07,0.07,0.07,751600
1982-10-15,0.07,0.07,0.07,0.07,489700
1982-10-18,0.07,0.07,0.07,0.07,536900
1982-10-19,0.07,0.07,0.07,0.07,677600
1982-10-20,0.07,0.07,0.07,0.07,393500
1982-10-21,0.07,0.07,0.07,0.07,419000
1982-10-22,0.07,0.07,0.07,0.07,537200
1982-10-25,0.07,0.07,0.07,0.07,1350400
1982-10-26,0.07,0.07,0.07,0.07,2609200
1982-10-27,0.07,0.07,0.07,0.07,1821900
1982-10-28,0.07,0.07,0.07,0.07,671100
1982-10-29,0.07,0.07,0.07,0.07,354800
1982-11-01,0.07,0.07,0.07,0.07,846200
1982-11-02,0.07,0.07,0.07,0.07,449800
1982-11-03,0.07,0.07,0.07,0.07,985700
1982-11-04,0.07,0.07,0.07,0.07,1267900
1982-11-05,0.07,0.07,0.07,0.07,1191600
1982-11-08,0.07,0.07,0.07,0.07,658700
1982-11-09,0.07,0.07,0.07,0.07,789900
1982-11-10,0.07,0.07,0.07,0.07,1567100
1982-11-11,0.07,0.07,0.07,0.07,470100
1982-11-12,0.07,0.07,0.07,0.07,872800
1982-11-15,0.07,0.07,0.07,0.07,451100
1982-11-16,0.07,0.07,0.07,0.07,1866000
1982-11-17,0.07,0.07,0.07,0.07,2058600
1982-11-18,0.07,0.07,0.07,0.07,1048600
1982-11-19,0.07,0.07,0.07,0.07,579100
1982-11-22,0.07,0.07,0.07,0.07,959500
1982-11-23,0.07,0.07,0.07,0.07,339800
1982-11-24,0.07,0.07,0.07,0.07,1370400
1982-11-26,0.07,0.07,0.07,0.07,282200
1982-11-29,0.07,0.07,0.07,0.07,453700
1982-11-30,0.07,0.07,0.07,0.07,1055800
1982-12-01,0.07,0.07,0.07,0.07,377400
