Date,Open,High,Low,Close,Volume
1993-12-14,5.53,5.53,5.47,5.53,7717200
1993-12-15,5.53,5.53,5.47,5.53,1833700
1993-12-16,5.53,5.56,5.5,5.53,624500
1993-12-17,5.53,5.53,5.5,5.5,490500
1993-12-20,5.5,5.53,5.5,5.53,546000
1993-12-21,5.5,5.53,5.47,5.5,311300
1993-12-22,5.5,5.53,5.5,5.53,274800
1993-12-23,5.53,5.53,5.5,5.53,147200
1993-12-27,5.53,5.53,5.5,5.5,164200
1993-12-28,5.5,5.53,5.5,5.53,283500
1993-12-29,5.53,5.56,5.5,5.53,256500
1993-12-30,5.56,5.56,5.53,5.53,153800
1993-12-31,5.53,5.56,5.5,5.56,200800
1994-01-03,5.53,5.56,5.53,5.53,312000
1994-01-04,5.56,5.56,5.53,5.56,236300
1994-01-05,5.53,5.59,5.53,5.53,240100
1994-01-06,5.53,5.56,5.53,5.53,150500
1994-01-07,5.56,5.59,5.53,5.59,312600
1994-01-10,5.59,5.68,5.56,5.65,436100
1994-01-11,5.62,5.77,5.62,5.71,514500
1994-01-12,5.74,5.74,5.71,5.71,364100
1994-01-13,5.71,5.8,5.71,5.8,420400
1994-01-14,5.8,5.83,5.71,5.77,417000
1994-01-17,5.8,5.8,5.74,5.77,165600
1994-01-18,5.74,5.8,5.74,5.8,343400
1994-01-19,5.77,5.77,5.74,5.77,256300
1994-01-20,5.77,5.8,5.74,5.8,220300
1994-01-21,5.77,5.83,5.74,5.8,252600
1994-01-24,5.77,5.8,5.74,5.74,362800
1994-01-25,5.71,5.8,5.71,5.8,267200
1994-01-26,5.83,5.96,5.83,5.9,852800
1994-01-27,5.93,6.05,5.9,6.02,593200
1994-01-28,6.02,6.05,5.96,6.05,455000
1994-01-31,6.05,6.05,5.99,6.02,377600
1994-02-01,6.05,6.14,6.02,6.14,471900
1994-02-02,6.14,6.14,6.08,6.11,236300
1994-02-03,6.14,6.2,6.08,6.11,1556900
1994-02-04,6.11,6.11,5.93,5.99,623500
1994-02-07,5.99,6.05,5.93,6.02,437300
1994-02-08,6.05,6.14,6.05,6.14,820500
1994-02-09,6.11,6.14,6.05,6.08,510000
1994-02-10,6.08,6.11,5.96,6.05,1031200
1994-02-11,6.08,6.23,6.08,6.2,284800
1994-02-14,6.2,6.39,6.2,6.3,1028200
1994-02-15,6.33,6.36,6.14,6.23,1523900
1994-02-16,6.23,6.3,6.2,6.3,333800
1994-02-17,6.26,6.36,6.26,6.36,340100
1994-02-18,6.33,6.36,6.23,6.36,334800
1994-02-22,6.33,6.42,6.33,6.39,277800
1994-02-23,6.42,6.48,6.36,6.48,407200
1994-02-24,6.48,6.54,6.42,6.54,326100
1994-02-25,6.51,6.54,6.45,6.51,278900
1994-02-28,6.51,6.51,6.33,6.33,276100
1994-03-01,6.26,6.45,6.26,6.42,600800
1994-03-02,6.33,6.45,6.26,6.45,315900
1994-03-03,6.48,6.48,6.33,6.39,367400
1994-03-04,6.39,6.48,6.33,6.39,326400
1994-03-07,6.39,6.51,6.39,6.51,288900
1994-03-08,6.51,6.51,6.48,6.48,241500
1994-03-09,6.48,6.6,6.45,6.51,270600
1994-03-10,6.54,6.63,6.51,6.51,349300
1994-03-11,6.54,6.69,6.51,6.63,317500
1994-03-14,6.63,6.69,6.6,6.66,226900
1994-03-15,6.66,6.76,6.57,6.69,266100
1994-03-16,6.76,6.85,6.69,6.76,243100
1994-03-17,6.76,6.79,6.57,6.57,282300
1994-03-18,6.57,6.79,6.57,6.79,281900
1994-03-21,6.79,6.85,6.72,6.76,138700
1994-03-22,6.87,6.87,6.72,6.87,213600
1994-03-23,6.87,7.0,6.87,7.0,440500
1994-03-24,7.0,7.0,6.84,6.94,181300
1994-03-25,6.91,7.0,6.87,6.94,325000
1994-03-28,6.91,6.91,6.66,6.66,212000
1994-03-29,6.66,6.66,6.44,6.47,482700
1994-03-30,6.31,6.47,6.0,6.47,314200
1994-03-31,6.47,6.53,6.37,6.41,207800
1994-04-04,6.0,6.47,5.91,6.25,224700
1994-04-05,6.31,6.47,6.31,6.41,198500
1994-04-06,6.47,6.56,6.34,6.5,320800
1994-04-07,6.5,6.5,6.47,6.47,177400
1994-04-08,6.5,6.5,6.44,6.47,115800
1994-04-11,6.47,6.47,6.41,6.47,174100
1994-04-12,6.47,6.47,6.41,6.47,153600
1994-04-13,6.47,6.47,6.41,6.44,122100
1994-04-14,6.47,6.56,6.44,6.56,173800
1994-04-15,6.53,6.53,6.41,6.44,95700
1994-04-18,6.47,6.53,6.41,6.5,83700
1994-04-19,6.53,6.53,6.44,6.47,105900
1994-04-20,6.5,6.5,6.41,6.44,78000
1994-04-21,6.47,6.53,6.41,6.44,82900
1994-04-22,6.47,6.53,6.34,6.37,152600
1994-04-25,6.41,6.44,6.37,6.41,180600
1994-04-26,6.44,6.47,6.41,6.41,148300
1994-04-28,6.41,6.47,6.41,6.47,136500
1994-04-29,6.47,6.69,6.44,6.69,148200
1994-05-02,6.69,6.87,6.69,6.81,90500
1994-05-03,6.81,6.84,6.66,6.69,117300
