Date,Open,High,Low,Close,Volume
1973-02-21,0.35,0.35,0.35,0.35,78400
1973-02-22,0.34,0.34,0.34,0.34,198400
1973-02-23,0.35,0.35,0.35,0.35,56000
1973-02-26,0.35,0.35,0.35,0.35,211200
1973-02-27,0.35,0.35,0.35,0.35,110400
1973-02-28,0.35,0.35,0.35,0.35,40000
1973-03-01,0.35,0.35,0.35,0.35,289600
1973-03-02,0.34,0.34,0.34,0.34,94400
1973-03-05,0.34,0.34,0.34,0.34,593600
1973-03-06,0.35,0.35,0.35,0.35,656000
1973-03-07,0.36,0.36,0.36,0.36,86400
1973-03-08,0.34,0.34,0.34,0.34,433600
1973-03-09,0.34,0.34,0.34,0.34,88000
1973-03-12,0.34,0.34,0.34,0.34,46400
1973-03-13,0.34,0.34,0.34,0.34,97600
1973-03-14,0.33,0.33,0.33,0.33,288000
1973-03-15,0.33,0.33,0.33,0.33,251200
1973-03-16,0.32,0.32,0.32,0.32,291200
1973-03-19,0.3,0.3,0.3,0.3,113600
1973-03-20,0.3,0.3,0.3,0.3,208000
1973-03-21,0.3,0.3,0.3,0.3,147200
1973-03-22,0.3,0.3,0.3,0.3,179200
1973-03-23,0.3,0.3,0.3,0.3,113600
1973-03-26,0.3,0.3,0.3,0.3,108800
1973-03-27,0.31,0.31,0.31,0.31,251200
1973-03-28,0.32,0.32,0.32,0.32,78400
1973-03-29,0.32,0.32,0.32,0.32,169600
1973-03-30,0.32,0.32,0.32,0.32,236800
1973-04-02,0.32,0.32,0.32,0.32,121600
1973-04-03,0.31,0.31,0.31,0.31,372800
1973-04-04,0.31,0.31,0.31,0.31,48000
1973-04-05,0.31,0.31,0.31,0.31,78400
1973-04-06,0.31,0.31,0.31,0.31,1032000
1973-04-09,0.31,0.31,0.31,0.31,89600
1973-04-10,0.29,0.29,0.29,0.29,689600
1973-04-11,0.27,0.27,0.27,0.27,302400
1973-04-12,0.28,0.28,0.28,0.28,350400
1973-04-13,0.28,0.28,0.28,0.28,228800
1973-04-16,0.29,0.29,0.29,0.29,76800
1973-04-17,0.29,0.29,0.29,0.29,43200
1973-04-18,0.29,0.29,0.29,0.29,196800
1973-04-19,0.3,0.3,0.3,0.3,84800
1973-04-23,0.29,0.29,0.29,0.29,275200
1973-04-24,0.27,0.27,0.27,0.27,89600
1973-04-25,0.27,0.27,0.27,0.27,62400
1973-04-26,0.27,0.27,0.27,0.27,243200
1973-04-27,0.27,0.27,0.27,0.27,89600
1973-04-30,0.27,0.27,0.27,0.27,176000
1973-05-01,0.25,0.25,0.25,0.25,172800
1973-05-02,0.27,0.27,0.27,0.27,432000
1973-05-03,0.0,0.27,0.27,0.27,236800
1973-05-04,0.0,0.29,0.28,0.28,148800
1973-05-07,0.0,0.29,0.28,0.28,92800
1973-05-08,0.0,0.27,0.27,0.27,97600
1973-05-09,0.0,0.27,0.26,0.27,174400
1973-05-10,0.0,0.26,0.25,0.25,193600
1973-05-11,0.0,0.25,0.25,0.25,326400
1973-05-14,0.0,0.25,0.25,0.25,201600
1973-05-15,0.0,0.25,0.25,0.25,251200
1973-05-16,0.0,0.26,0.24,0.25,201600
1973-05-17,0.0,0.24,0.23,0.24,113600
1973-05-18,0.0,0.23,0.22,0.23,153600
1973-05-21,0.0,0.23,0.22,0.22,366400
1973-05-22,0.0,0.24,0.22,0.24,129600
1973-05-23,0.0,0.24,0.23,0.24,211200
1973-05-24,0.0,0.26,0.24,0.26,233600
1973-05-25,0.0,0.27,0.26,0.27,172800
1973-05-29,0.0,0.27,0.26,0.26,73600
1973-05-30,0.0,0.26,0.26,0.26,32000
1973-05-31,0.0,0.25,0.24,0.24,104000
1973-06-01,0.0,0.25,0.24,0.24,28800
1973-06-04,0.0,0.24,0.23,0.24,118400
1973-06-05,0.0,0.24,0.24,0.24,89600
1973-06-06,0.0,0.24,0.23,0.24,64000
1973-06-07,0.0,0.24,0.23,0.24,92800
1973-06-08,0.0,0.25,0.24,0.25,216000
1973-06-11,0.0,0.25,0.23,0.23,102400
1973-06-12,0.0,0.24,0.23,0.23,59200
1973-06-13,0.0,0.24,0.23,0.23,56000
1973-06-14,0.0,0.24,0.24,0.24,49600
1973-06-15,0.0,0.24,0.23,0.23,1856000
1973-06-18,0.0,0.23,0.23,0.23,652800
1973-06-19,0.0,0.23,0.23,0.23,137600
1973-06-20,0.0,0.23,0.22,0.22,116800
1973-06-21,0.0,0.22,0.22,0.22,80000
1973-06-22,0.0,0.23,0.22,0.22,179200
1973-06-25,0.0,0.22,0.22,0.22,947200
1973-06-26,0.0,0.22,0.21,0.22,156800
1973-06-27,0.0,0.22,0.21,0.22,128000
1973-06-28,0.0,0.22,0.2,0.22,292800
1973-06-29,0.0,0.22,0.21,0.22,124800
1973-07-02,0.0,0.24,0.22,0.24,59200
1973-07-03,0.0,0.25,0.23,0.23,182400
1973-07-05,0.0,0.23,0.22,0.22,113600
1973-07-06,0.0,0.23,0.22,0.22,137600
1973-07-09,0.0,0.22,0.21,0.21,148800
1973-07-10,0.0,0.22,0.21,0.22,83200
1973-07-11,0.0,0.22,0.21,0.22,126400
1973-07-12,0.0,0.23,0.21,0.21,288000
1973-07-13,0.0,0.22,0.21,0.21,70400
1973-07-16,0.0,0.22,0.21,0.22,124800
1973-07-17,0.0,0.23,0.22,0.22,118400
1973-07-18,0.0,0.23,0.22,0.22,204800
1973-07-19,0.0,0.25,0.23,0.24,124800
1973-07-20,0.0,0.25,0.23,0.23,424000
1973-07-23,0.0,0.24,0.24,0.24,291200
