Date,Open,High,Low,Close,Volume
1998-06-29,12.83,13.12,12.69,12.97,6307500
1998-06-30,12.92,12.92,12.6,12.63,1537600
1998-07-01,12.6,12.72,12.32,12.66,593100
1998-07-02,12.6,12.6,12.38,12.58,563600
1998-07-06,12.58,12.58,12.32,12.35,616800
1998-07-07,12.35,12.38,12.24,12.29,623500
1998-07-08,12.29,12.38,12.26,12.38,392300
1998-07-09,12.32,12.35,12.15,12.26,293100
1998-07-10,12.26,12.26,11.95,12.26,384300
1998-07-13,12.15,12.24,11.95,12.21,385500
1998-07-14,12.18,12.32,12.04,12.26,668400
1998-07-15,12.21,12.24,12.07,12.24,232800
1998-07-16,12.18,12.21,12.04,12.09,403600
1998-07-17,12.09,12.09,11.95,12.04,543500
1998-07-20,11.95,11.98,11.81,11.95,542000
1998-07-21,11.9,11.95,11.75,11.81,218800
1998-07-22,11.84,11.84,11.7,11.84,506500
1998-07-23,11.84,11.98,11.84,11.95,446200
1998-07-24,11.87,11.9,11.81,11.87,515800
1998-07-27,11.81,11.92,11.72,11.9,384800
1998-07-28,11.84,11.9,11.53,11.7,816900
1998-07-29,11.61,11.7,11.38,11.58,522200
1998-07-30,11.53,11.78,11.5,11.7,467900
1998-07-31,11.7,11.7,11.36,11.44,386800
1998-08-03,11.36,11.41,11.16,11.3,649200
1998-08-04,11.21,11.21,10.79,10.93,617600
1998-08-05,11.02,11.41,10.96,11.41,501300
1998-08-06,11.41,11.41,11.13,11.24,568500
1998-08-07,11.19,11.27,11.02,11.1,351500
1998-08-10,11.13,11.36,11.13,11.24,749400
1998-08-11,11.13,11.16,10.9,10.99,358400
1998-08-12,10.99,11.41,10.96,11.41,399000
1998-08-13,11.3,11.38,11.21,11.33,206500
1998-08-14,11.21,11.3,11.13,11.24,195700
1998-08-17,11.36,11.5,11.27,11.47,520500
1998-08-18,11.44,11.47,11.24,11.36,450900
1998-08-19,11.33,11.33,11.19,11.3,302700
1998-08-20,11.36,11.41,11.3,11.38,631900
1998-08-21,11.3,11.47,11.27,11.47,459000
1998-08-24,11.53,11.64,11.5,11.53,377900
1998-08-25,11.55,11.7,11.53,11.7,585800
1998-08-26,11.64,11.67,11.58,11.64,346000
1998-08-27,11.64,11.75,11.61,11.61,723600
1998-08-28,11.64,11.64,11.55,11.64,346100
1998-08-31,11.61,11.61,11.3,11.55,1312100
1998-09-01,11.44,11.5,11.16,11.5,446000
1998-09-02,11.38,11.41,11.19,11.38,1301000
1998-09-03,11.27,11.38,11.16,11.36,267200
1998-09-04,11.41,11.47,11.27,11.41,359300
1998-09-08,11.38,11.5,11.24,11.5,198700
1998-09-09,11.5,11.5,11.36,11.47,216700
1998-09-10,11.41,11.53,11.36,11.5,327200
1998-09-11,11.41,11.55,11.33,11.53,232300
1998-09-14,11.58,11.7,11.53,11.7,290300
1998-09-15,11.61,12.01,11.61,11.95,324900
1998-09-16,11.92,12.01,11.84,12.01,1183500
1998-09-17,11.9,12.02,11.87,11.96,1643800
1998-09-18,11.93,12.16,11.9,12.13,341900
1998-09-21,12.13,12.19,12.02,12.13,278200
1998-09-22,12.16,12.22,12.02,12.02,408700
1998-09-23,12.1,12.3,12.04,12.3,371500
1998-09-24,12.3,12.3,12.02,12.1,724100
1998-09-25,11.99,12.19,11.99,12.16,184900
1998-09-28,12.07,12.22,12.02,12.22,414100
1998-09-29,12.19,12.39,12.19,12.33,264200
1998-09-30,12.22,12.22,11.96,12.02,370300
1998-10-01,12.04,12.33,12.02,12.3,425100
1998-10-02,12.33,12.85,12.33,12.82,635000
1998-10-05,12.82,13.25,12.76,13.23,565700
1998-10-06,13.23,13.37,13.05,13.28,691700
1998-10-07,13.31,13.51,13.28,13.46,538800
1998-10-08,13.34,13.34,13.14,13.31,441000
1998-10-09,13.31,13.31,12.74,12.91,239400
1998-10-12,12.79,12.79,11.93,12.07,319500
1998-10-13,12.19,12.51,12.16,12.51,1144600
1998-10-14,12.74,12.91,12.62,12.76,595200
1998-10-15,12.71,12.76,12.39,12.51,751700
1998-10-16,12.45,12.45,12.1,12.33,626600
1998-10-19,12.33,12.33,12.1,12.22,269300
1998-10-20,12.16,12.22,11.61,11.67,594500
1998-10-21,11.73,11.96,11.67,11.7,376500
1998-10-22,11.64,11.99,11.53,11.99,990600
1998-10-23,12.02,12.04,11.79,11.9,502300
1998-10-26,11.84,11.9,11.67,11.79,344200
1998-10-27,11.84,11.96,11.55,11.67,310600
1998-10-28,11.79,11.99,11.79,11.9,332000
1998-10-29,11.9,11.9,11.76,11.81,198600
1998-10-30,11.93,12.02,11.87,11.99,395700
1998-11-02,11.99,12.33,11.99,12.25,427800
1998-11-03,12.25,12.59,12.25,12.59,331100
1998-11-04,12.65,12.71,12.22,12.39,339900
1998-11-05,12.33,12.36,12.22,12.27,322000
1998-11-06,12.22,12.48,12.22,12.25,288900
1998-11-09,12.33,12.33,12.1,12.25,231500
1998-11-10,12.27,12.3,12.13,12.27,624300
1998-11-11,12.25,12.27,12.13,12.13,275400
1998-11-12,12.22,12.33,12.16,12.22,351500
1998-11-13,12.27,12.3,11.86,12.22,611700
1998-11-16,12.27,12.27,12.07,12.13,214500
1998-11-17,12.13,12.25,12.1,12.19,317000
1998-11-18,12.16,12.16,11.9,11.99,312200
1998-11-19,11.99,11.99,11.84,11.9,159000
1998-11-20,11.96,11.96,11.73,11.93,209400
1998-11-23,11.96,12.02,11.9,12.02,230000
1998-11-24,12.02,12.13,11.9,12.04,144700
1998-11-25,11.99,12.07,11.96,11.99,247800
1998-11-27,11.93,11.96,11.79,11.81,117900
1998-11-30,11.64,11.7,11.47,11.47,528400
1998-12-01,11.61,11.76,11.55,11.64,348100
1998-12-02,11.64,11.73,11.61,11.7,232600
1998-12-03,11.67,11.73,11.61,11.64,212800
1998-12-04,11.76,12.02,11.73,11.81,450600
1998-12-07,11.76,11.9,11.76,11.9,149200
1998-12-08,11.96,11.96,11.79,11.9,121200
1998-12-09,11.87,11.93,11.84,11.93,125200
1998-12-10,11.87,11.96,11.76,11.79,184000
1998-12-11,11.79,11.9,11.67,11.76,284500
1998-12-14,11.76,11.76,11.61,11.64,180600
1998-12-15,11.64,11.67,11.55,11.61,192700
1998-12-16,11.67,11.7,11.53,11.58,1162300
1998-12-17,11.65,11.68,11.5,11.53,1926900
1998-12-18,11.5,11.71,11.5,11.71,663800
1998-12-21,11.74,12.18,11.71,11.91,745400
1998-12-22,11.94,11.97,11.77,11.82,373700
1998-12-23,11.85,11.94,11.8,11.91,518800
1998-12-24,11.91,12.0,11.91,11.94,46700
1998-12-28,12.0,12.0,11.74,11.8,216600
1998-12-29,11.82,11.94,11.77,11.91,277200
1998-12-30,11.88,12.0,11.85,11.85,182000
1998-12-31,11.85,11.88,11.8,11.88,248400
1999-01-04,11.85,12.03,11.82,11.97,322800
1999-01-05,12.12,12.18,12.03,12.18,441300
1999-01-06,12.15,12.15,11.91,12.03,441200
1999-01-07,11.97,12.15,11.94,12.03,357200
1999-01-08,12.0,12.06,11.74,11.85,462600
1999-01-11,11.8,11.82,11.44,11.59,457100
1999-01-12,11.59,11.77,11.59,11.77,568600
1999-01-13,11.65,11.91,11.65,11.77,398800
1999-01-14,11.74,11.74,11.53,11.65,497900
1999-01-15,11.71,11.71,11.56,11.59,853900
1999-01-19,11.62,11.65,11.5,11.53,610500
1999-01-20,11.5,11.59,11.3,11.3,625800
1999-01-21,11.41,11.53,11.39,11.53,359800
1999-01-22,11.53,11.56,11.39,11.44,218900
1999-01-25,11.27,11.5,11.27,11.5,280200
1999-01-26,11.5,11.53,11.33,11.41,251000
1999-01-27,11.41,11.47,11.3,11.39,329500
1999-01-28,11.24,11.3,10.95,11.01,531300
1999-01-29,10.98,10.98,10.65,10.77,392800
1999-02-01,10.71,10.74,10.54,10.6,317600
1999-02-02,10.54,10.54,10.33,10.42,488400
1999-02-03,10.39,10.68,10.39,10.68,395300
1999-02-04,10.74,10.74,10.48,10.57,274400
1999-02-05,10.51,10.54,10.24,10.36,341500
1999-02-08,10.33,10.68,10.24,10.6,301400
1999-02-09,10.62,10.65,10.42,10.45,170600
1999-02-10,10.36,10.42,10.19,10.27,286700
1999-02-11,10.16,10.27,10.13,10.19,252800
1999-02-12,10.13,10.21,10.07,10.13,390600
1999-02-16,10.19,10.39,10.16,10.33,533300
1999-02-17,10.33,10.45,10.19,10.19,646800
1999-02-18,10.21,10.45,10.16,10.36,407200
1999-02-19,10.3,10.51,10.27,10.45,602000
1999-02-22,10.45,10.45,9.98,10.1,912000
1999-02-23,10.1,10.1,9.92,10.1,627600
1999-02-24,10.13,10.19,9.95,9.98,508900
1999-02-25,9.98,10.04,9.63,9.81,452500
1999-02-26,9.98,10.01,9.75,9.83,589800
1999-03-01,9.83,9.92,9.78,9.89,598500
1999-03-02,9.89,9.98,9.78,9.86,616300
1999-03-03,9.92,9.95,9.51,9.66,529700
1999-03-04,9.75,9.92,9.63,9.92,884400
1999-03-05,9.92,10.1,9.92,10.07,1155200
1999-03-08,10.1,10.13,9.86,9.95,486900
1999-03-09,9.95,9.98,9.69,9.72,609300
1999-03-10,9.75,9.86,9.6,9.6,1128100
1999-03-11,9.66,9.72,9.51,9.6,941500
1999-03-12,9.66,9.81,9.63,9.81,1338600
1999-03-15,9.81,9.92,9.81,9.89,789600
1999-03-16,9.89,10.04,9.89,10.04,3539200
1999-03-17,10.05,10.05,9.81,9.96,498800
1999-03-18,9.9,9.93,9.81,9.84,506200
1999-03-19,9.84,9.84,9.69,9.72,466200
1999-03-22,9.72,9.78,9.6,9.75,524400
1999-03-23,9.72,9.75,9.51,9.54,630700
1999-03-24,9.63,9.81,9.54,9.75,811500
1999-03-25,9.75,9.75,9.51,9.51,541800
1999-03-26,9.54,9.54,9.39,9.54,674800
1999-03-29,9.45,9.6,9.45,9.48,927900
1999-03-30,9.45,9.48,9.18,9.18,518700
1999-03-31,9.21,9.3,9.12,9.15,717900
1999-04-01,9.09,9.18,9.09,9.18,721100
1999-04-05,9.18,9.21,9.09,9.18,511900
1999-04-06,9.18,9.24,9.09,9.12,442200
1999-04-07,9.12,9.12,8.82,8.82,567000
1999-04-08,8.85,9.12,8.82,9.03,712300
1999-04-09,8.97,9.06,8.91,9.0,559600
1999-04-12,8.97,9.09,8.91,9.09,659000
1999-04-13,9.09,9.18,8.94,9.06,569000
1999-04-14,9.06,9.09,8.94,8.94,381100
1999-04-15,9.12,9.18,9.0,9.06,902000
1999-04-16,9.24,9.3,9.18,9.3,536700
1999-04-19,9.48,9.66,9.33,9.39,641300
1999-04-20,9.45,9.66,9.42,9.66,960300
1999-04-21,9.66,9.81,9.54,9.63,910300
1999-04-22,9.72,9.84,9.66,9.72,517500
1999-04-23,9.72,9.87,9.69,9.72,463100
1999-04-26,9.75,10.05,9.75,10.02,905100
1999-04-27,10.02,10.17,9.87,10.14,588400
1999-04-28,10.17,10.25,10.05,10.14,389900
1999-04-29,10.23,10.3,10.05,10.08,503200
1999-04-30,10.08,10.11,9.78,9.9,480800
1999-05-03,9.96,10.05,9.9,9.96,605700
1999-05-04,9.96,10.02,9.9,10.02,446100
1999-05-05,10.14,10.2,9.9,9.93,614700
1999-05-06,9.93,9.93,9.81,9.84,1010800
1999-05-07,9.84,9.9,9.78,9.87,428600
1999-05-10,9.87,10.14,9.84,10.08,986400
1999-05-11,10.14,10.31,10.08,10.23,975100
1999-05-12,10.23,10.34,10.17,10.26,1011200
1999-05-13,10.23,10.52,10.23,10.43,828100
1999-05-14,10.46,10.46,10.28,10.31,747000
1999-05-17,10.28,10.31,10.17,10.31,502200
1999-05-18,10.28,10.34,10.08,10.23,432500
1999-05-19,10.31,10.31,10.17,10.26,346000
1999-05-20,10.25,10.25,10.14,10.2,526100
1999-05-21,10.2,10.37,10.17,10.31,1256900
1999-05-24,10.31,10.4,10.2,10.34,401600
1999-05-25,10.34,10.55,10.34,10.37,348900
1999-05-26,10.4,10.55,10.31,10.52,1568000
1999-05-27,10.4,10.62,10.37,10.43,1314700
1999-05-28,10.49,10.67,10.26,10.26,798300
1999-06-01,10.31,10.43,10.23,10.43,469800
1999-06-02,10.4,10.43,10.14,10.23,343200
1999-06-03,10.23,10.4,10.23,10.31,427700
1999-06-04,10.31,10.55,10.31,10.52,708300
1999-06-07,10.49,10.64,10.46,10.61,506400
1999-06-08,10.58,10.7,10.55,10.67,898900
1999-06-09,10.67,10.76,10.58,10.61,487100
1999-06-10,10.55,10.55,10.28,10.28,583000
1999-06-11,10.34,10.46,10.31,10.34,389000
1999-06-14,10.43,10.64,10.43,10.64,534500
1999-06-15,10.61,10.88,10.55,10.88,964300
1999-06-16,10.88,10.88,10.7,10.85,3780700
1999-06-17,10.92,10.95,10.8,10.86,417000
1999-06-18,10.71,11.65,10.71,11.62,2964500
1999-06-21,11.98,12.07,11.07,11.07,5272300
1999-06-22,11.04,11.25,10.98,11.1,933100
1999-06-23,11.07,11.13,10.95,10.95,399200
1999-06-24,11.04,11.13,10.89,10.89,286300
1999-06-25,10.86,11.13,10.86,10.92,666700
1999-06-28,10.98,11.22,10.98,11.07,567300
1999-06-29,11.04,11.1,11.01,11.04,403000
1999-06-30,11.01,11.04,10.89,10.98,593400
1999-07-01,10.98,11.01,10.92,10.95,339100
1999-07-02,10.92,10.95,10.86,10.95,306100
1999-07-06,10.89,11.1,10.86,11.01,432900
1999-07-07,10.86,10.98,10.86,10.98,282300
1999-07-08,10.92,10.98,10.86,10.95,348200
1999-07-09,10.92,11.19,10.92,11.19,815500
1999-07-12,11.19,11.22,11.07,11.16,280300
1999-07-13,11.1,11.16,11.04,11.04,813400
1999-07-14,11.04,11.04,10.83,11.01,493800
1999-07-15,11.1,11.19,11.04,11.19,438400
1999-07-16,11.22,11.25,11.16,11.22,470400
1999-07-19,11.19,11.25,11.07,11.19,483400
1999-07-20,11.19,11.22,10.98,11.1,587000
1999-07-21,11.13,11.22,11.07,11.22,245400
1999-07-22,11.16,11.19,11.07,11.19,188500
1999-07-23,11.19,11.19,10.95,11.01,334800
1999-07-26,11.01,11.19,11.01,11.13,139100
1999-07-27,11.1,11.16,10.95,11.13,234200
1999-07-28,11.04,11.04,10.89,10.92,222000
1999-07-29,10.89,10.89,10.68,10.74,203800
1999-07-30,10.74,10.95,10.71,10.77,262900
1999-08-02,10.8,11.04,10.74,10.86,214200
1999-08-03,10.86,10.95,10.83,10.89,224600
1999-08-04,10.89,10.89,10.8,10.8,543800
1999-08-05,10.74,10.83,10.59,10.74,438500
1999-08-06,10.74,10.86,10.59,10.8,293100
1999-08-09,10.74,10.92,10.68,10.74,294300
1999-08-10,10.71,10.74,10.49,10.56,342500
1999-08-11,10.59,10.8,10.59,10.8,354600
1999-08-12,10.74,10.77,10.68,10.77,173700
1999-08-13,10.74,10.74,10.56,10.62,364000
1999-08-16,10.62,10.62,10.49,10.52,577100
1999-08-17,10.59,10.77,10.56,10.74,344900
1999-08-18,10.74,10.74,10.59,10.65,190300
1999-08-19,10.59,10.71,10.49,10.71,320100
1999-08-20,10.68,10.8,10.62,10.8,294400
1999-08-23,10.8,10.89,10.74,10.89,274900
1999-08-24,10.89,10.92,10.74,10.86,198000
1999-08-25,10.95,11.1,10.86,11.1,223800
1999-08-26,11.1,11.16,11.04,11.13,240000
1999-08-27,11.1,11.16,11.07,11.16,274700
1999-08-30,11.22,11.25,10.92,10.92,480100
1999-08-31,10.92,11.01,10.71,10.83,460600
1999-09-01,10.8,10.92,10.74,10.83,380200
1999-09-02,10.77,10.89,10.59,10.83,256300
1999-09-03,10.8,11.01,10.8,10.95,270500
1999-09-07,10.98,10.98,10.71,10.71,421800
1999-09-08,10.74,10.77,10.59,10.65,235700
1999-09-09,10.62,10.83,10.56,10.8,396300
1999-09-10,10.8,10.86,10.77,10.86,155800
1999-09-13,10.74,10.92,10.71,10.86,351300
1999-09-14,10.86,10.89,10.68,10.74,206600
1999-09-15,10.8,10.95,10.8,10.83,824400
1999-09-16,10.93,10.93,10.74,10.84,2606500
