Date,Open,High,Low,Close,Volume
2002-12-11,6.57,6.86,6.43,6.57,36719700
2002-12-12,6.57,6.62,6.3,6.39,9195600
2002-12-13,6.34,6.57,6.26,6.53,7739400
2002-12-16,6.47,6.64,6.36,6.63,3836400
2002-12-17,6.63,6.73,6.54,6.57,2729900
2002-12-18,6.53,6.53,6.36,6.4,2152800
2002-12-19,6.37,6.4,6.12,6.15,6450800
2002-12-20,6.2,6.25,6.03,6.18,2930900
2002-12-23,6.12,6.12,5.83,5.94,3455900
2002-12-24,5.94,5.97,5.71,5.85,3302500
2002-12-26,5.74,5.83,5.71,5.73,2019200
2002-12-27,5.71,5.79,5.63,5.79,1639400
2002-12-30,5.84,6.03,5.71,5.98,2742800
2002-12-31,5.89,6.26,5.89,6.13,3730800
2003-01-02,6.14,6.15,5.86,6.0,3473000
2003-01-03,6.0,6.14,5.9,6.14,1716600
2003-01-06,6.23,6.61,6.2,6.53,4041400
2003-01-07,6.57,7.0,6.51,7.0,6823500
2003-01-08,6.89,6.99,6.83,6.97,4623100
2003-01-09,7.03,7.4,7.0,7.2,9553400
2003-01-10,6.57,6.83,6.11,6.34,7554700
2003-01-13,6.37,6.45,5.8,5.85,2834700
2003-01-14,5.85,5.91,5.71,5.86,1629200
2003-01-15,5.92,6.22,5.82,6.15,2588100
2003-01-16,6.27,6.34,6.16,6.29,1443400
2003-01-17,6.27,6.29,5.94,6.17,2000000
2003-01-21,6.23,6.27,5.83,5.85,1165700
2003-01-22,5.91,5.91,5.31,5.44,3488500
2003-01-23,5.57,5.8,5.49,5.71,2498200
2003-01-24,5.81,5.96,5.6,5.69,2772100
2003-01-27,5.6,5.66,5.33,5.34,1150600
2003-01-28,5.39,5.55,5.37,5.37,1267000
2003-01-29,5.38,5.67,5.37,5.56,1174400
2003-01-30,5.59,5.65,5.37,5.37,720700
2003-01-31,5.31,5.34,5.14,5.25,1402500
2003-02-03,5.27,5.4,5.23,5.24,1002400
2003-02-04,5.25,5.25,5.11,5.17,1087700
2003-02-05,5.21,5.26,5.13,5.17,1233500
2003-02-06,5.2,5.34,5.16,5.17,923500
2003-02-07,5.23,5.24,5.12,5.14,1069500
2003-02-10,5.0,5.0,4.45,4.97,10046400
2003-02-11,4.97,5.1,4.7,5.1,2238900
2003-02-12,5.13,5.13,4.69,4.78,1726000
2003-02-13,4.79,4.84,4.59,4.62,2111000
2003-02-14,4.62,4.82,4.62,4.82,881000
2003-02-18,4.82,5.01,4.81,5.01,2049100
2003-02-19,5.05,5.16,5.01,5.15,1506300
2003-02-20,5.1,5.25,5.09,5.17,760000
2003-02-21,5.18,5.37,5.18,5.27,1519300
2003-02-24,5.3,5.39,5.09,5.16,1055600
2003-02-25,5.16,5.59,5.14,5.55,3049400
2003-02-26,5.53,5.58,5.4,5.46,782300
2003-02-27,5.4,5.56,5.34,5.42,387000
2003-02-28,5.45,5.45,5.26,5.32,808500
2003-03-03,5.3,5.46,5.29,5.33,575800
2003-03-04,5.35,5.38,5.27,5.32,517600
2003-03-05,5.29,5.4,5.24,5.33,1017700
2003-03-06,5.27,5.59,5.27,5.49,1481100
2003-03-07,5.44,5.64,5.38,5.56,898800
2003-03-10,5.42,5.6,5.42,5.6,1837100
2003-03-11,5.56,5.59,5.42,5.48,1960400
2003-03-12,5.36,5.39,5.13,5.18,4556400
2003-03-13,5.18,5.25,5.09,5.19,4223600
2003-03-14,5.17,5.22,5.02,5.14,2401400
2003-03-17,5.14,5.41,5.07,5.36,994400
2003-03-18,5.36,5.48,5.36,5.47,782500
2003-03-19,5.42,5.45,5.26,5.36,874000
