Date,Open,High,Low,Close,Volume
1992-03-17,1.49,1.49,1.46,1.46,156000
1992-03-18,1.48,1.52,1.47,1.52,617600
1992-03-19,1.54,1.56,1.52,1.55,984000
1992-03-20,1.53,1.57,1.53,1.57,260000
1992-03-23,1.58,1.61,1.58,1.58,658400
1992-03-24,1.58,1.65,1.58,1.62,230400
1992-03-25,1.61,1.64,1.61,1.63,388800
1992-03-26,1.62,1.63,1.62,1.62,116000
1992-03-27,1.62,1.62,1.61,1.61,219200
1992-03-30,1.61,1.62,1.6,1.6,128000
1992-03-31,1.6,1.6,1.59,1.6,81600
1992-04-01,1.6,1.61,1.58,1.6,864800
1992-04-02,1.61,1.61,1.59,1.59,146400
1992-04-03,1.61,1.61,1.58,1.58,135200
1992-04-06,1.6,1.6,1.55,1.58,92000
1992-04-07,1.58,1.6,1.58,1.58,197600
1992-04-08,1.56,1.56,1.51,1.53,48800
1992-04-09,1.54,1.62,1.52,1.59,142400
1992-04-10,1.61,1.61,1.6,1.6,67200
1992-04-13,1.61,1.76,1.61,1.76,316800
1992-04-14,1.74,1.85,1.72,1.8,472800
1992-04-15,1.81,1.81,1.77,1.78,226400
1992-04-16,1.76,1.76,1.7,1.73,55200
1992-04-20,1.74,1.74,1.58,1.64,132000
1992-04-21,1.63,1.69,1.63,1.69,224000
1992-04-22,1.67,1.71,1.66,1.7,70400
1992-04-23,1.7,1.71,1.68,1.71,230400
1992-04-24,1.71,1.75,1.71,1.75,72000
1992-04-27,1.73,1.73,1.73,1.73,800
1992-04-28,1.73,1.73,1.72,1.73,159200
1992-04-29,1.73,1.74,1.72,1.74,142400
1992-04-30,1.74,1.82,1.74,1.8,413600
1992-05-01,1.8,1.85,1.78,1.85,484800
1992-05-04,1.84,1.85,1.82,1.85,159200
1992-05-05,1.85,1.85,1.85,1.85,0
1992-05-06,1.98,1.98,1.92,1.92,187200
1992-05-07,1.92,1.93,1.92,1.92,406400
1992-05-08,1.92,1.92,1.9,1.92,24000
1992-05-11,1.9,1.92,1.9,1.9,189600
1992-05-12,1.9,1.91,1.9,1.91,260000
1992-05-13,1.92,1.92,1.88,1.88,292800
1992-05-14,1.9,1.94,1.88,1.92,821600
1992-05-15,1.94,1.94,1.88,1.91,448800
1992-05-18,1.9,1.91,1.88,1.91,34400
1992-05-19,1.91,1.91,1.88,1.9,292800
1992-05-20,1.9,1.91,1.88,1.91,720800
1992-05-21,1.89,1.91,1.88,1.91,183200
1992-05-22,1.9,1.91,1.88,1.91,1551200
1992-05-26,1.9,1.9,1.88,1.89,473600
1992-05-27,1.88,1.88,1.88,1.88,171200
1992-05-28,1.88,1.88,1.76,1.8,513600
1992-05-29,1.8,1.84,1.8,1.84,681600
1992-06-01,1.8,1.84,1.8,1.84,280800
1992-06-02,1.84,1.84,1.8,1.84,84800
1992-06-03,1.82,1.88,1.82,1.88,977600
1992-06-04,1.88,1.9,1.86,1.9,688800
1992-06-05,1.9,1.9,1.86,1.9,852800
1992-06-08,1.9,1.94,1.89,1.92,955200
1992-06-09,1.92,1.92,1.86,1.88,783200
1992-06-10,1.9,1.92,1.88,1.9,1491200
1992-06-11,1.92,1.92,1.9,1.91,668000
1992-06-12,1.92,1.92,1.9,1.9,439200
1992-06-15,1.92,1.92,1.88,1.88,1444800
1992-06-16,1.9,1.9,1.88,1.88,250400
1992-06-17,1.88,1.88,1.78,1.84,761600
1992-06-18,1.78,1.84,1.72,1.74,926400
1992-06-19,1.74,1.78,1.74,1.76,36800
1992-06-22,1.76,1.76,1.7,1.74,172800
1992-06-23,1.72,1.72,1.68,1.72,106400
1992-06-24,1.66,1.66,1.66,1.66,28800
1992-06-25,1.66,1.66,1.64,1.64,77600
1992-06-26,1.64,1.68,1.62,1.64,255200
1992-06-29,1.65,1.74,1.65,1.74,1275200
1992-06-30,1.74,1.74,1.7,1.74,336800
1992-07-01,1.72,1.74,1.7,1.7,113600
1992-07-02,1.74,1.74,1.69,1.69,117600
1992-07-06,1.68,1.68,1.6,1.64,852800
1992-07-07,1.64,1.68,1.59,1.62,202400
1992-07-08,1.64,1.64,1.6,1.64,115200
1992-07-09,1.58,1.64,1.58,1.63,543200
1992-07-10,1.64,1.64,1.62,1.62,345600
1992-07-13,1.6,1.64,1.6,1.62,1306400
1992-07-14,1.6,1.62,1.6,1.61,3024000
1992-07-15,1.62,1.62,1.6,1.61,128000
1992-07-16,1.6,1.62,1.6,1.62,17600
1992-07-17,1.62,1.62,1.6,1.6,117600
1992-07-20,1.62,1.66,1.6,1.64,233600
1992-07-21,1.72,1.75,1.69,1.73,167200
1992-07-22,1.75,1.75,1.69,1.71,18400
1992-07-23,1.72,1.72,1.72,1.72,3200
1992-07-24,1.72,1.72,1.69,1.69,53600
1992-07-27,1.72,1.72,1.69,1.69,204800
1992-07-28,1.69,1.72,1.66,1.69,656800
1992-07-29,1.72,1.75,1.66,1.72,307200
1992-07-30,1.75,1.75,1.69,1.69,77600
1992-07-31,1.72,1.72,1.68,1.72,27200
1992-08-03,1.66,1.72,1.66,1.72,165600
1992-08-04,1.72,1.72,1.72,1.72,117600
1992-08-05,1.72,1.78,1.69,1.78,443200
1992-08-06,1.78,1.78,1.72,1.75,69600
1992-08-07,1.72,1.75,1.72,1.73,367200
1992-08-10,1.72,1.73,1.72,1.72,64800
1992-08-11,1.69,1.72,1.63,1.63,528000
1992-08-12,1.6,1.63,1.6,1.63,56800
1992-08-13,1.63,1.63,1.63,1.63,0
1992-08-14,1.66,1.66,1.6,1.66,5600
1992-08-17,1.63,1.63,1.6,1.6,24800
1992-08-18,1.62,1.66,1.6,1.63,115200
1992-08-19,1.6,1.63,1.6,1.63,629600
1992-08-20,1.63,1.63,1.63,1.63,66400
1992-08-21,1.66,1.66,1.6,1.6,212800
1992-08-24,1.6,1.63,1.6,1.6,110400
1992-08-25,1.63,1.63,1.54,1.63,639200
1992-08-26,1.57,1.6,1.56,1.57,251200
1992-08-27,1.54,1.6,1.54,1.57,64800
1992-08-28,1.54,1.6,1.54,1.6,20800
1992-08-31,1.56,1.6,1.54,1.6,561600
1992-09-01,1.56,1.6,1.54,1.57,176000
1992-09-02,1.54,1.6,1.54,1.54,118400
1992-09-03,1.6,1.6,1.54,1.54,234400
1992-09-04,1.54,1.57,1.54,1.54,319200
1992-09-08,1.54,1.54,1.45,1.54,397600
1992-09-09,1.48,1.54,1.45,1.54,134400
1992-09-10,1.48,1.63,1.48,1.63,1401600
1992-09-11,1.63,1.63,1.54,1.59,398400
1992-09-14,1.57,1.63,1.57,1.63,169600
1992-09-15,1.57,1.63,1.57,1.63,1226400
1992-09-16,1.54,1.6,1.54,1.57,388800
1992-09-17,1.57,1.59,1.53,1.57,1022400
1992-09-18,1.51,1.54,1.48,1.53,324800
1992-09-21,1.48,1.54,1.42,1.54,1413600
1992-09-22,1.47,1.51,1.45,1.48,476000
1992-09-23,1.45,1.54,1.45,1.54,941600
1992-09-24,1.54,1.57,1.5,1.54,626400
1992-09-25,1.51,1.57,1.51,1.54,666400
1992-09-28,1.51,1.54,1.51,1.51,136800
1992-09-29,1.48,1.54,1.48,1.48,403200
1992-09-30,1.54,1.54,1.45,1.45,429600
1992-10-01,1.45,1.51,1.45,1.47,1384000
1992-10-02,1.54,1.54,1.39,1.45,564000
1992-10-05,1.39,1.39,1.29,1.33,792000
1992-10-06,1.28,1.39,1.28,1.36,644000
1992-10-07,1.36,1.42,1.36,1.42,48800
1992-10-08,1.42,1.51,1.39,1.48,3263200
1992-10-09,1.51,1.53,1.48,1.51,128000
1992-10-12,1.48,1.54,1.48,1.54,76800
1992-10-13,1.54,1.54,1.48,1.54,176000
1992-10-14,1.45,1.51,1.45,1.51,1211200
1992-10-15,1.51,1.51,1.42,1.45,71200
1992-10-16,1.51,1.51,1.45,1.45,299200
1992-10-19,1.47,1.57,1.45,1.57,676800
1992-10-20,1.57,1.57,1.54,1.54,28000
1992-10-21,1.54,1.54,1.54,1.54,15200
1992-10-22,1.54,1.57,1.54,1.57,128000
1992-10-23,1.53,1.57,1.53,1.54,40800
1992-10-26,1.57,1.6,1.54,1.6,109600
1992-10-27,1.59,1.6,1.54,1.6,99200
1992-10-28,1.6,1.69,1.57,1.69,311200
1992-10-29,1.69,1.69,1.63,1.69,22400
1992-10-30,1.63,1.69,1.63,1.69,761600
1992-11-02,1.69,1.78,1.66,1.71,859200
1992-11-03,1.69,1.75,1.63,1.69,532000
1992-11-04,1.63,1.69,1.63,1.69,73600
1992-11-05,1.69,1.75,1.63,1.75,569600
1992-11-06,1.84,1.84,1.72,1.76,664800
1992-11-09,1.78,1.78,1.63,1.72,151200
1992-11-10,1.68,1.72,1.66,1.72,152000
1992-11-11,1.66,1.69,1.6,1.66,296000
1992-11-12,1.63,1.72,1.6,1.72,1030400
1992-11-13,1.72,1.72,1.69,1.72,219200
1992-11-16,1.71,1.72,1.69,1.69,264000
1992-11-17,1.72,1.72,1.69,1.69,410400
1992-11-18,1.66,1.69,1.63,1.68,386400
1992-11-19,1.66,1.81,1.66,1.81,2492800
1992-11-20,1.84,1.87,1.78,1.85,2104000
1992-11-23,1.87,1.87,1.78,1.84,542400
1992-11-24,1.82,1.87,1.79,1.87,695200
1992-11-25,1.78,1.84,1.78,1.84,114400
1992-11-27,1.81,1.87,1.81,1.87,230400
1992-11-30,1.78,1.87,1.78,1.87,184800
1992-12-01,1.78,1.84,1.78,1.84,54400
1992-12-02,1.79,1.84,1.79,1.84,43200
1992-12-03,1.81,1.81,1.78,1.81,90400
1992-12-04,1.78,1.81,1.78,1.81,30400
1992-12-07,1.81,1.81,1.75,1.81,193600
1992-12-08,1.75,1.81,1.75,1.81,29600
1992-12-09,1.78,1.78,1.72,1.78,31200
1992-12-10,1.72,1.75,1.71,1.75,777600
1992-12-11,1.71,1.78,1.69,1.78,582400
1992-12-14,1.75,1.78,1.75,1.78,13600
1992-12-15,1.76,1.78,1.72,1.78,444000
1992-12-16,1.78,1.78,1.72,1.78,42400
1992-12-17,1.72,1.78,1.72,1.78,56800
1992-12-18,1.72,1.78,1.72,1.73,391200
1992-12-21,1.78,1.78,1.69,1.76,24800
1992-12-22,1.76,1.76,1.76,1.76,0
1992-12-23,1.73,1.84,1.73,1.84,2260800
1992-12-24,1.84,1.9,1.82,1.9,149600
1992-12-28,1.84,1.9,1.84,1.87,136800
1992-12-29,1.85,1.96,1.84,1.96,1179200
1992-12-30,1.96,1.96,1.9,1.96,284000
1992-12-31,1.93,2.02,1.93,2.02,671200
1993-01-04,2.02,2.05,1.96,2.02,1641600
1993-01-05,1.99,2.02,1.96,1.99,429600
1993-01-06,2.02,2.02,1.99,2.0,98400
1993-01-07,2.05,2.05,1.99,1.99,20800
1993-01-08,1.99,2.02,1.99,1.99,107200
1993-01-11,2.02,2.05,1.99,2.0,135200
1993-01-12,2.02,2.02,1.96,1.97,183200
1993-01-13,1.96,2.02,1.96,2.02,23200
1993-01-14,2.02,2.02,1.96,2.02,40000
1993-01-15,2.02,2.02,1.96,1.99,68800
1993-01-18,1.97,2.09,1.96,2.05,1445600
1993-01-19,2.11,2.11,2.05,2.05,523200
1993-01-20,2.05,2.11,2.05,2.05,265600
1993-01-21,2.08,2.16,2.08,2.16,2756000
1993-01-22,2.16,2.16,2.14,2.16,88000
1993-01-25,2.16,2.19,2.14,2.19,865600
1993-01-26,2.19,2.22,2.14,2.22,375200
1993-01-27,2.22,2.22,2.11,2.15,567200
1993-01-28,2.11,2.14,2.05,2.14,767200
1993-01-29,2.14,2.14,2.02,2.11,259200
1993-02-01,2.02,2.11,2.02,2.11,783200
1993-02-02,2.08,2.11,2.08,2.11,27200
1993-02-03,2.11,2.19,2.08,2.19,328000
1993-02-04,2.16,2.19,2.14,2.19,14400
1993-02-05,2.16,2.19,2.14,2.19,1012000
1993-02-08,2.19,2.19,2.14,2.19,284800
1993-02-09,2.16,2.21,2.15,2.18,97600
1993-02-10,2.14,2.22,2.11,2.14,44000
1993-02-11,2.11,2.18,2.11,2.14,118400
1993-02-12,2.14,2.16,2.11,2.16,154400
1993-02-16,2.11,2.14,2.06,2.08,314400
1993-02-17,2.08,2.08,2.05,2.05,31200
1993-02-18,2.05,2.09,2.05,2.09,16000
1993-02-19,2.05,2.08,2.02,2.02,162400
1993-02-22,2.08,2.08,1.96,2.02,168000
1993-02-23,1.96,1.96,1.78,1.85,585600
1993-02-24,1.87,1.87,1.78,1.84,441600
1993-02-25,1.84,1.93,1.84,1.9,638400
1993-02-26,1.9,1.9,1.87,1.9,600800
1993-03-01,1.9,1.9,1.78,1.78,543200
1993-03-02,1.78,1.87,1.78,1.87,520800
1993-03-03,1.87,1.87,1.81,1.87,304000
1993-03-04,1.87,1.87,1.87,1.87,800
1993-03-05,1.84,1.87,1.81,1.87,238400
1993-03-08,1.87,1.99,1.84,1.96,3236000
1993-03-09,1.99,1.99,1.9,1.96,508000
1993-03-10,1.9,1.96,1.9,1.96,761600
1993-03-11,1.93,1.96,1.84,1.93,672800
1993-03-12,1.87,1.9,1.81,1.84,352000
1993-03-15,1.87,1.87,1.81,1.87,198400
1993-03-16,1.84,1.87,1.82,1.84,1755200
