Date,Open,High,Low,Close,Volume
1980-03-17,0.0,1.48,1.43,1.43,70800
1980-03-18,0.0,1.42,1.39,1.42,100200
1980-03-19,0.0,1.44,1.43,1.43,45000
1980-03-20,0.0,1.44,1.43,1.43,79800
1980-03-21,0.0,1.44,1.42,1.44,288000
1980-03-24,0.0,1.44,1.4,1.4,72600
1980-03-25,0.0,1.41,1.39,1.39,82200
1980-03-26,0.0,1.4,1.37,1.37,62400
1980-03-27,0.0,1.36,1.23,1.25,517200
1980-03-28,0.0,1.34,1.27,1.27,299400
1980-03-31,0.0,1.32,1.28,1.32,85800
1980-04-01,0.0,1.35,1.32,1.35,36600
1980-04-02,0.0,1.42,1.36,1.42,133200
1980-04-03,0.0,1.46,1.43,1.44,60000
1980-04-07,0.0,1.41,1.39,1.39,239400
1980-04-08,0.0,1.4,1.38,1.38,29400
1980-04-09,0.0,1.38,1.32,1.36,423600
1980-04-10,0.0,1.39,1.38,1.38,49800
1980-04-11,0.0,1.39,1.32,1.35,122400
1980-04-14,0.0,1.36,1.34,1.35,176400
1980-04-15,0.0,1.35,1.32,1.32,141600
1980-04-16,0.0,1.34,1.32,1.33,105000
1980-04-17,0.0,1.33,1.31,1.33,97800
1980-04-18,0.0,1.35,1.33,1.34,45000
1980-04-21,0.0,1.33,1.3,1.3,55800
1980-04-22,0.0,1.35,1.32,1.34,36600
1980-04-23,0.0,1.38,1.33,1.33,38400
1980-04-24,0.0,1.34,1.31,1.32,28200
1980-04-25,0.0,1.32,1.31,1.32,49800
1980-04-28,0.0,1.33,1.32,1.33,20400
1980-04-29,0.0,1.33,1.31,1.32,95400
1980-04-30,0.0,1.32,1.29,1.29,36000
1980-05-01,0.0,1.31,1.3,1.31,79800
1980-05-02,0.0,1.32,1.3,1.32,205800
1980-05-05,0.0,1.32,1.3,1.31,46800
1980-05-06,0.0,1.31,1.29,1.3,62400
1980-05-07,0.0,1.32,1.29,1.32,64800
1980-05-08,0.0,1.38,1.32,1.38,176400
1980-05-09,0.0,1.39,1.37,1.38,19800
1980-05-12,0.0,1.36,1.32,1.33,156000
1980-05-13,0.0,1.35,1.3,1.3,88800
1980-05-14,0.0,1.33,1.3,1.31,241800
1980-05-15,0.0,1.33,1.31,1.32,123000
1980-05-16,0.0,1.36,1.33,1.34,85800
1980-05-19,0.0,1.36,1.34,1.36,42000
1980-05-20,0.0,1.37,1.35,1.37,93600
1980-05-21,0.0,1.38,1.34,1.38,161600
1980-05-22,0.0,1.47,1.41,1.47,90000
1980-05-23,0.0,1.55,1.47,1.55,82800
1980-05-27,0.0,1.55,1.48,1.5,81800
1980-05-28,0.0,1.52,1.43,1.46,69800
1980-05-29,0.0,1.46,1.41,1.41,47600
1980-05-30,0.0,1.44,1.41,1.41,28400
1980-06-02,0.0,1.46,1.41,1.46,36000
1980-06-03,0.0,1.49,1.46,1.48,9200
1980-06-04,0.0,1.5,1.46,1.48,41400
1980-06-05,0.0,1.5,1.43,1.49,252800
1980-06-06,0.0,1.49,1.43,1.43,36600
1980-06-09,0.0,1.46,1.43,1.43,21800
1980-06-10,0.0,1.48,1.43,1.47,17600
1980-06-11,0.0,1.48,1.44,1.47,36200
1980-06-12,0.0,1.49,1.46,1.48,179400
1980-06-13,0.0,1.52,1.48,1.51,54800
1980-06-16,0.0,1.56,1.51,1.56,127200
1980-06-17,0.0,1.58,1.55,1.56,64800
1980-06-18,0.0,1.57,1.55,1.55,35400
1980-06-19,0.0,1.56,1.54,1.54,30600
1980-06-20,0.0,1.55,1.51,1.55,78600
1980-06-23,0.0,1.56,1.52,1.56,23000
1980-06-24,0.0,1.66,1.56,1.66,75200
1980-06-25,0.0,1.68,1.61,1.61,81800
1980-06-26,0.0,1.63,1.59,1.59,18800
1980-06-27,0.0,1.63,1.59,1.59,14000
1980-06-30,0.0,1.59,1.55,1.58,70400
1980-07-01,0.0,1.63,1.57,1.61,51200
1980-07-02,0.0,1.59,1.57,1.57,30800
1980-07-03,0.0,1.58,1.55,1.55,50000
1980-07-07,0.0,1.58,1.55,1.58,34800
1980-07-08,0.0,1.61,1.57,1.6,47400
1980-07-09,0.0,1.64,1.6,1.61,141000
1980-07-10,0.0,1.61,1.58,1.59,24000
1980-07-11,0.0,1.63,1.58,1.59,46400
1980-07-14,0.0,1.66,1.61,1.64,65600
1980-07-15,0.0,1.66,1.6,1.63,143600
1980-07-16,0.0,1.65,1.57,1.57,34800
1980-07-17,0.0,1.65,1.57,1.64,109200
1980-07-18,0.0,1.66,1.61,1.63,160200
1980-07-21,0.0,1.65,1.6,1.65,37400
1980-07-22,0.0,1.71,1.64,1.65,90800
1980-07-23,0.0,1.66,1.61,1.64,54600
1980-07-24,0.0,1.67,1.63,1.67,51800
1980-07-25,0.0,1.68,1.66,1.66,137600
1980-07-28,0.0,1.66,1.64,1.64,31800
1980-07-29,0.0,1.67,1.64,1.65,50000
1980-07-30,0.0,1.68,1.65,1.66,33600
1980-07-31,0.0,1.66,1.64,1.66,58800
1980-08-01,0.0,1.72,1.64,1.71,83400
1980-08-04,0.0,1.73,1.71,1.73,75800
1980-08-05,0.0,1.81,1.75,1.76,186000
1980-08-06,0.0,1.81,1.76,1.8,89400
1980-08-07,0.0,1.87,1.79,1.79,144200
1980-08-08,0.0,1.8,1.71,1.73,188600
1980-08-11,0.0,1.77,1.74,1.75,19200
1980-08-12,0.0,1.75,1.69,1.69,36000
1980-08-13,0.0,1.71,1.66,1.68,36200
1980-08-14,0.0,1.73,1.68,1.73,51000
1980-08-15,0.0,1.76,1.73,1.73,45200
1980-08-18,0.0,1.74,1.71,1.72,36600
1980-08-19,0.0,1.71,1.66,1.66,68000
1980-08-20,0.0,1.67,1.64,1.65,29600
1980-08-21,0.0,1.66,1.64,1.65,37400
1980-08-22,0.0,1.67,1.64,1.64,73800
1980-08-25,0.0,1.69,1.64,1.64,41000
1980-08-26,0.0,1.65,1.61,1.61,28200
1980-08-27,0.0,1.59,1.55,1.58,69800
1980-08-28,0.0,1.6,1.55,1.58,76800
1980-08-29,0.0,1.61,1.57,1.61,25400
1980-09-02,0.0,1.63,1.59,1.59,33800
1980-09-03,0.0,1.64,1.58,1.59,126200
1980-09-04,0.0,1.64,1.55,1.61,73800
1980-09-05,0.0,1.64,1.61,1.61,78000
1980-09-08,0.0,1.64,1.61,1.63,91800
1980-09-09,0.0,1.66,1.63,1.63,26600
1980-09-10,0.0,1.71,1.64,1.71,121800
1980-09-11,0.0,1.75,1.68,1.72,46200
1980-09-12,0.0,1.73,1.66,1.68,49400
1980-09-15,0.0,1.72,1.68,1.69,34400
1980-09-16,0.0,1.73,1.68,1.72,54000
1980-09-17,0.0,1.73,1.66,1.66,38400
1980-09-18,0.0,1.71,1.67,1.68,31400
1980-09-19,0.0,1.72,1.68,1.68,478400
1980-09-22,0.0,1.72,1.66,1.68,61800
1980-09-23,0.0,1.68,1.65,1.65,29600
1980-09-24,0.0,1.66,1.64,1.64,29400
1980-09-25,0.0,1.66,1.61,1.61,34400
1980-09-26,0.0,1.64,1.57,1.59,92000
1980-09-29,0.0,1.58,1.55,1.57,65600
1980-09-30,0.0,1.61,1.58,1.59,24800
1980-10-01,0.0,1.61,1.58,1.58,30200
1980-10-02,0.0,1.61,1.57,1.58,50400
1980-10-03,0.0,1.59,1.55,1.55,36800
1980-10-06,0.0,1.59,1.57,1.57,69000
1980-10-07,0.0,1.68,1.57,1.66,75000
1980-10-08,0.0,1.66,1.64,1.64,48200
1980-10-09,0.0,1.65,1.63,1.64,72000
1980-10-10,0.0,1.66,1.64,1.64,26000
1980-10-13,0.0,1.67,1.64,1.65,17000
1980-10-14,0.0,1.68,1.65,1.65,35600
1980-10-15,0.0,1.67,1.64,1.66,89000
1980-10-16,0.0,1.66,1.59,1.61,84800
1980-10-17,0.0,1.65,1.61,1.61,39600
