Date,Open,High,Low,Close,Volume
1984-09-07,5.53,5.53,5.49,5.49,11400
1984-09-10,5.49,5.53,5.3,5.3,7400
1984-09-11,5.3,5.38,5.27,5.34,27000
1984-09-12,5.27,5.27,5.08,5.15,7800
1984-09-13,5.15,5.15,5.08,5.15,10400
1984-09-14,5.19,5.27,5.19,5.27,10800
1984-09-17,5.23,5.23,5.15,5.15,1200
1984-09-18,5.11,5.11,5.04,5.04,10400
1984-09-19,5.04,5.11,5.04,5.04,15200
1984-09-20,5.04,5.08,5.04,5.08,10800
1984-09-21,5.08,5.19,5.04,5.04,9600
1984-09-24,5.0,5.0,4.85,4.85,22400
1984-09-25,4.81,4.81,4.7,4.7,40800
1984-09-26,4.7,4.7,4.55,4.55,14000
1984-09-27,4.55,4.55,4.47,4.51,6800
1984-09-28,4.51,4.58,4.51,4.58,3600
1984-10-01,4.58,4.58,4.58,4.58,2400
1984-10-02,4.55,4.55,4.55,4.55,3800
1984-10-03,4.55,4.58,4.47,4.55,35400
1984-10-04,3.94,3.94,3.6,3.64,156600
1984-10-05,3.64,3.71,3.52,3.67,120000
1984-10-08,3.67,3.67,3.6,3.64,64200
1984-10-09,3.67,3.75,3.67,3.75,79800
1984-10-10,3.75,3.86,3.71,3.79,47000
1984-10-11,3.79,3.83,3.71,3.79,6600
1984-10-12,3.79,3.86,3.79,3.79,19400
1984-10-15,3.83,3.94,3.83,3.86,215400
1984-10-16,3.79,3.79,3.75,3.79,6600
1984-10-17,3.75,3.75,3.71,3.71,3800
1984-10-18,3.71,3.71,3.71,3.71,5400
1984-10-19,3.75,3.83,3.75,3.79,87800
1984-10-22,3.86,3.86,3.86,3.86,200
1984-10-23,3.79,3.79,3.79,3.79,800
1984-10-24,3.79,3.79,3.75,3.79,30600
1984-10-25,3.79,3.79,3.71,3.71,14600
1984-10-26,3.71,3.79,3.71,3.75,32000
1984-10-29,3.75,3.75,3.64,3.75,15600
1984-10-30,3.75,3.75,3.71,3.71,14000
1984-10-31,3.67,3.67,3.67,3.67,6000
1984-11-01,3.67,3.71,3.67,3.67,8400
1984-11-02,3.71,3.75,3.71,3.75,6000
1984-11-05,3.75,3.79,3.75,3.79,7400
1984-11-06,3.86,3.98,3.86,3.98,43200
1984-11-07,3.98,4.09,3.94,4.09,100800
1984-11-08,4.09,4.17,4.05,4.05,8600
1984-11-09,4.05,4.13,4.05,4.13,6000
1984-11-12,4.13,4.13,4.09,4.13,4800
1984-11-13,4.13,4.13,4.02,4.02,11400
1984-11-14,4.02,4.02,4.02,4.02,0
1984-11-15,4.02,4.02,4.02,4.02,6200
1984-11-16,4.05,4.05,4.05,4.05,800
1984-11-19,3.98,3.98,3.9,3.9,1400
1984-11-20,3.83,3.83,3.75,3.75,75800
1984-11-21,3.67,3.67,3.64,3.67,3200
1984-11-23,3.64,3.64,3.49,3.64,43200
1984-11-26,3.64,3.64,3.6,3.6,137600
1984-11-27,3.56,3.56,3.11,3.26,207600
1984-11-28,3.18,3.18,3.07,3.07,232800
1984-11-29,3.07,3.07,2.92,2.92,213600
1984-11-30,2.92,3.03,2.88,3.03,60800
1984-12-03,3.03,3.26,3.03,3.26,57000
1984-12-04,3.18,3.18,3.03,3.07,97200
1984-12-05,3.07,3.11,3.03,3.03,127200
1984-12-06,3.03,3.11,3.03,3.07,7800
1984-12-07,3.03,3.03,3.03,3.03,6000
1984-12-10,3.03,3.03,3.03,3.03,16800
1984-12-11,3.03,3.07,2.95,3.07,23000
1984-12-12,3.07,3.07,2.95,3.07,29600
1984-12-13,3.07,3.07,2.95,3.03,107400
1984-12-14,3.03,3.03,2.99,3.03,34400
1984-12-17,3.03,3.07,2.95,3.07,12000
1984-12-18,3.07,3.18,3.03,3.18,16400
1984-12-19,3.26,3.33,3.26,3.33,31200
1984-12-20,3.33,3.33,3.22,3.22,42000
1984-12-21,3.18,3.18,3.11,3.11,12000
1984-12-24,3.18,3.22,3.18,3.18,48600
