Date,Open,High,Low,Close,Volume
1983-11-21,0.0,0.22,0.22,0.22,3910800
1983-11-22,0.0,0.22,0.22,0.22,2934000
1983-11-23,0.0,0.22,0.22,0.22,1618800
1983-11-25,0.0,0.22,0.22,0.22,3380400
1983-11-28,0.0,0.22,0.21,0.21,4315200
1983-11-29,0.0,0.21,0.21,0.21,2295600
1983-11-30,0.0,0.21,0.21,0.21,3908400
1983-12-01,0.0,0.21,0.21,0.21,9553200
1983-12-02,0.0,0.21,0.21,0.21,1928400
1983-12-05,0.0,0.21,0.21,0.21,1501200
1983-12-06,0.0,0.21,0.21,0.21,2966400
1983-12-07,0.0,0.21,0.21,0.21,6301200
1983-12-08,0.0,0.21,0.21,0.21,6476400
1983-12-09,0.0,0.21,0.21,0.21,6897600
1983-12-12,0.0,0.21,0.21,0.21,3379200
1983-12-13,0.0,0.21,0.21,0.21,7300800
1983-12-14,0.0,0.21,0.21,0.21,4986000
1983-12-15,0.0,0.21,0.21,0.21,3711600
1983-12-16,0.0,0.21,0.21,0.21,3331200
1983-12-19,0.0,0.21,0.21,0.21,3752400
1983-12-20,0.0,0.21,0.21,0.21,2410800
1983-12-21,0.0,0.21,0.21,0.21,7482000
1983-12-22,0.0,0.21,0.21,0.21,7561200
1983-12-23,0.0,0.21,0.21,0.21,3861600
1983-12-27,0.0,0.21,0.21,0.21,2546400
1983-12-28,0.0,0.21,0.21,0.21,5358000
1983-12-29,0.0,0.21,0.21,0.21,4488000
1983-12-30,0.0,0.21,0.21,0.21,2923200
1984-01-03,0.0,0.22,0.21,0.22,2491200
1984-01-04,0.0,0.23,0.22,0.23,6492000
1984-01-05,0.0,0.23,0.23,0.23,4051200
1984-01-06,0.0,0.23,0.22,0.22,4563600
1984-01-09,0.0,0.22,0.22,0.22,3231600
1984-01-10,0.0,0.22,0.22,0.22,3289200
1984-01-11,0.0,0.22,0.22,0.22,4245600
1984-01-12,0.0,0.22,0.22,0.22,2680800
1984-01-13,0.0,0.23,0.22,0.23,4046400
1984-01-16,0.0,0.23,0.22,0.23,3388800
1984-01-17,0.0,0.23,0.23,0.23,2637600
1984-01-18,0.0,0.23,0.23,0.23,4465200
1984-01-19,0.0,0.23,0.23,0.23,3014400
1984-01-20,0.0,0.23,0.23,0.23,2479200
1984-01-23,0.0,0.23,0.23,0.23,1770000
1984-01-24,0.0,0.23,0.23,0.23,2148000
1984-01-25,0.0,0.23,0.23,0.23,1590000
1984-01-26,0.0,0.23,0.22,0.22,3070800
1984-01-27,0.0,0.22,0.22,0.22,4377600
1984-01-30,0.0,0.23,0.22,0.23,4933200
1984-01-31,0.0,0.23,0.22,0.22,2198400
1984-02-01,0.0,0.22,0.22,0.22,1904400
1984-02-02,0.0,0.22,0.22,0.22,4267200
1984-02-03,0.0,0.22,0.22,0.22,3247200
1984-02-06,0.0,0.22,0.22,0.22,2737200
1984-02-07,0.0,0.22,0.22,0.22,3242400
1984-02-08,0.0,0.22,0.22,0.22,2004000
1984-02-09,0.0,0.22,0.21,0.21,2665200
1984-02-10,0.0,0.21,0.21,0.21,2204400
1984-02-13,0.0,0.22,0.21,0.22,3345600
1984-02-14,0.0,0.22,0.22,0.22,3244800
1984-02-15,0.0,0.22,0.22,0.22,4076400
1984-02-16,0.0,0.22,0.21,0.22,3710400
1984-02-17,0.0,0.22,0.21,0.22,1302000
1984-02-21,0.0,0.22,0.21,0.22,3312000
1984-02-22,0.0,0.22,0.21,0.22,3346800
1984-02-23,0.0,0.22,0.21,0.21,5638800
1984-02-24,0.0,0.21,0.21,0.21,5305200
1984-02-27,0.0,0.21,0.21,0.21,3411600
1984-02-28,0.0,0.21,0.21,0.21,1876800
1984-02-29,0.0,0.21,0.21,0.21,4678800
1984-03-01,0.0,0.22,0.21,0.22,3324000
1984-03-02,0.0,0.22,0.22,0.22,2580000
1984-03-05,0.0,0.22,0.21,0.21,1556400
1984-03-06,0.0,0.21,0.21,0.21,2224800
1984-03-07,0.0,0.21,0.21,0.21,2346000
1984-03-08,0.0,0.21,0.21,0.21,2277600
1984-03-09,0.0,0.21,0.21,0.21,1920000
1984-03-12,0.0,0.21,0.21,0.21,2688000
1984-03-13,0.0,0.21,0.21,0.21,3648000
1984-03-14,0.0,0.21,0.21,0.21,3463200
1984-03-15,0.0,0.21,0.21,0.21,3889200
1984-03-16,0.0,0.21,0.21,0.21,3477600
1984-03-19,0.0,0.21,0.21,0.21,2739600
1984-03-20,0.0,0.21,0.21,0.21,6548400
1984-03-21,0.0,0.21,0.21,0.21,3799200
1984-03-22,0.0,0.21,0.21,0.21,8347200
1984-03-23,0.0,0.21,0.2,0.21,4560000
1984-03-26,0.0,0.21,0.21,0.21,3309600
1984-03-27,0.0,0.21,0.21,0.21,4227600
1984-03-28,0.0,0.21,0.21,0.21,2638800
1984-03-29,0.0,0.21,0.21,0.21,1622400
1984-03-30,0.0,0.21,0.21,0.21,4440000
1984-04-02,0.0,0.21,0.21,0.21,4334400
1984-04-03,0.0,0.21,0.2,0.2,4257600
1984-04-04,0.0,0.21,0.2,0.2,4326000
1984-04-05,0.0,0.2,0.2,0.2,2527200
1984-04-06,0.0,0.2,0.2,0.2,1822800
1984-04-09,0.0,0.2,0.2,0.2,1861200
1984-04-10,0.0,0.2,0.2,0.2,3592800
1984-04-11,0.0,0.2,0.2,0.2,2761200
1984-04-12,0.0,0.21,0.2,0.2,3166800
1984-04-13,0.0,0.21,0.2,0.2,4197600
1984-04-16,0.0,0.2,0.2,0.2,2085600
1984-04-17,0.0,0.21,0.2,0.2,2576400
1984-04-18,0.0,0.21,0.2,0.2,3544800
1984-04-19,0.0,0.21,0.2,0.21,2980800
1984-04-23,0.0,0.21,0.21,0.21,1884000
1984-04-24,0.0,0.21,0.21,0.21,3385200
1984-04-25,0.0,0.21,0.21,0.21,2996400
1984-04-26,0.0,0.22,0.21,0.22,2436000
1984-04-27,0.0,0.22,0.21,0.21,1627200
1984-04-30,0.0,0.22,0.21,0.22,2308800
1984-05-01,0.0,0.22,0.22,0.22,3415200
1984-05-02,0.0,0.21,0.21,0.21,10460400
1984-05-03,0.0,0.22,0.21,0.22,4290000
1984-05-04,0.0,0.22,0.21,0.21,3362400
1984-05-07,0.0,0.22,0.21,0.21,3511200
1984-05-08,0.0,0.22,0.21,0.21,1801200
1984-05-09,0.0,0.22,0.21,0.21,1840800
1984-05-10,0.0,0.21,0.21,0.21,3462000
