Date,Open,High,Low,Close,Volume
1975-06-12,0.0,6.94,6.83,6.83,680800
1975-06-13,0.0,7.03,6.91,6.91,434400
1975-06-16,0.0,6.94,6.83,6.83,195800
1975-06-17,0.0,6.8,6.69,6.69,278800
1975-06-18,0.0,7.0,6.89,6.89,178200
1975-06-19,0.0,7.11,7.0,7.0,190400
1975-06-20,0.0,7.14,7.03,7.03,304800
1975-06-23,0.0,7.08,6.97,6.97,119400
1975-06-24,0.0,6.94,6.83,6.83,240000
1975-06-25,0.0,6.89,6.77,6.77,158400
1975-06-26,0.0,6.83,6.72,6.72,121200
1975-06-27,0.0,6.8,6.69,6.69,88000
1975-06-30,0.0,6.94,6.83,6.83,123200
1975-07-01,0.0,6.86,6.75,6.75,87200
1975-07-02,0.0,6.8,6.69,6.69,139400
1975-07-03,0.0,7.08,6.97,6.97,158600
1975-07-07,0.0,6.91,6.8,6.8,112400
1975-07-08,0.0,6.89,6.77,6.77,144000
1975-07-09,0.0,7.05,6.94,6.94,223000
1975-07-10,0.0,7.03,6.91,6.91,227600
1975-07-11,0.0,7.28,7.17,7.17,293400
1975-07-14,0.0,7.64,7.53,7.53,371800
1975-07-15,0.0,7.61,7.5,7.5,281600
1975-07-16,0.0,7.59,7.47,7.47,364600
1975-07-17,0.0,7.7,7.59,7.59,222000
1975-07-18,0.0,8.06,7.95,7.95,351000
1975-07-21,0.0,7.98,7.87,7.87,204800
1975-07-22,0.0,7.7,7.59,7.59,234000
1975-07-23,0.0,7.56,7.45,7.45,176800
1975-07-24,0.0,7.45,7.33,7.33,143400
1975-07-25,0.0,7.25,7.14,7.14,102600
1975-07-28,0.0,7.22,7.11,7.11,96000
1975-07-29,0.0,7.0,6.89,6.89,160200
1975-07-30,0.0,7.08,6.97,6.97,118600
1975-07-31,0.0,6.94,6.83,6.83,88400
1975-08-01,0.0,6.8,6.69,6.69,101600
1975-08-04,6.69,6.69,6.69,6.69,0
1975-08-05,0.0,7.03,6.91,6.91,120200
1975-08-06,0.0,7.31,7.19,7.19,109800
1975-08-07,0.0,7.0,6.89,6.89,127200
1975-08-08,0.0,6.75,6.63,6.63,144600
1975-08-11,0.0,6.89,6.77,6.77,111400
1975-08-12,0.0,6.86,6.75,6.75,81600
1975-08-13,0.0,6.49,6.38,6.38,112400
1975-08-14,0.0,6.49,6.38,6.38,104200
1975-08-15,0.0,6.38,6.27,6.27,73600
1975-08-18,0.0,6.1,5.99,5.99,78400
1975-08-19,0.0,6.1,5.99,5.99,69800
1975-08-20,0.0,6.3,6.19,6.19,83600
1975-08-21,0.0,6.55,6.44,6.44,60400
1975-08-22,0.0,6.72,6.61,6.61,32200
1975-08-25,0.0,6.69,6.58,6.58,48000
1975-08-26,0.0,6.47,6.35,6.35,70200
1975-08-27,0.0,6.58,6.47,6.47,42400
1975-08-28,0.0,6.91,6.8,6.8,83600
1975-08-29,0.0,7.0,6.89,6.89,105200
1975-09-02,0.0,6.69,6.58,6.58,70800
1975-09-03,0.0,6.8,6.69,6.69,69400
1975-09-04,0.0,6.86,6.75,6.75,59600
1975-09-05,0.0,6.66,6.55,6.55,63600
1975-09-08,0.0,6.47,6.35,6.35,50400
1975-09-09,0.0,6.27,6.16,6.16,134600
1975-09-10,0.0,6.1,5.99,5.99,146600
1975-09-11,0.0,6.07,5.96,5.96,144800
1975-09-12,0.0,6.16,6.05,6.05,61000
1975-09-15,0.0,6.21,6.1,6.1,53000
1975-09-16,0.0,6.27,6.16,6.16,57000
1975-09-17,0.0,6.47,6.35,6.35,76000
1975-09-18,0.0,6.91,6.8,6.8,113000
1975-09-19,0.0,7.17,7.05,7.05,144400
1975-09-22,0.0,6.89,6.77,6.77,98400
