Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.77,0.73,0.73,66600
1980-03-18,0.0,0.73,0.7,0.73,106200
1980-03-19,0.0,0.74,0.73,0.73,10800
1980-03-20,0.0,0.73,0.73,0.73,12600
1980-03-21,0.0,0.65,0.61,0.61,264600
1980-03-24,0.0,0.62,0.57,0.58,160200
1980-03-25,0.0,0.58,0.55,0.56,318600
1980-03-26,0.0,0.57,0.54,0.55,266400
1980-03-27,0.0,0.55,0.49,0.53,279000
1980-03-28,0.0,0.58,0.54,0.58,59400
1980-03-31,0.0,0.66,0.6,0.65,120600
1980-04-01,0.0,0.67,0.64,0.66,43200
1980-04-02,0.0,0.69,0.67,0.68,55800
1980-04-03,0.0,0.67,0.65,0.67,73800
1980-04-07,0.0,0.65,0.63,0.63,41400
1980-04-08,0.0,0.65,0.63,0.65,27000
1980-04-09,0.0,0.67,0.65,0.66,30600
1980-04-10,0.0,0.65,0.65,0.65,7200
1980-04-11,0.0,0.66,0.64,0.64,41400
1980-04-14,0.0,0.65,0.62,0.63,66600
1980-04-15,0.0,0.64,0.62,0.63,34200
1980-04-16,0.0,0.64,0.62,0.62,59400
1980-04-17,0.0,0.61,0.6,0.6,32400
1980-04-18,0.0,0.6,0.59,0.59,5400
1980-04-21,0.0,0.58,0.55,0.55,39600
1980-04-22,0.0,0.61,0.56,0.61,108000
1980-04-23,0.0,0.61,0.59,0.59,52200
1980-04-24,0.0,0.62,0.6,0.62,70200
1980-04-25,0.0,0.62,0.6,0.61,63000
1980-04-28,0.0,0.63,0.61,0.62,57600
1980-04-29,0.0,0.65,0.63,0.64,48600
1980-04-30,0.0,0.65,0.64,0.65,59400
1980-05-01,0.0,0.65,0.64,0.64,16200
1980-05-02,0.0,0.63,0.62,0.63,16200
1980-05-05,0.0,0.62,0.61,0.62,25200
1980-05-06,0.0,0.61,0.61,0.61,23400
1980-05-07,0.0,0.61,0.6,0.61,36000
1980-05-08,0.0,0.6,0.59,0.59,18000
1980-05-09,0.0,0.59,0.58,0.59,7200
1980-05-12,0.0,0.59,0.58,0.58,23400
1980-05-13,0.0,0.59,0.58,0.59,25200
1980-05-14,0.0,0.61,0.6,0.6,93600
1980-05-15,0.0,0.59,0.58,0.59,34200
1980-05-16,0.0,0.59,0.59,0.59,28800
1980-05-19,0.0,0.58,0.53,0.57,543600
1980-05-20,0.0,0.58,0.56,0.58,50400
1980-05-21,0.0,0.59,0.57,0.58,41400
1980-05-22,0.0,0.61,0.58,0.61,99000
1980-05-23,0.0,0.61,0.61,0.61,55800
1980-05-27,0.0,0.65,0.61,0.65,120600
1980-05-28,0.0,0.69,0.65,0.69,108000
1980-05-29,0.0,0.71,0.68,0.68,120600
1980-05-30,0.0,0.68,0.67,0.67,93600
1980-06-02,0.0,0.67,0.65,0.66,81000
1980-06-03,0.0,0.66,0.64,0.65,72000
1980-06-04,0.0,0.66,0.65,0.66,34200
1980-06-05,0.0,0.68,0.67,0.67,25200
1980-06-06,0.0,0.68,0.66,0.67,61200
1980-06-09,0.0,0.68,0.67,0.67,50400
1980-06-10,0.0,0.67,0.66,0.66,117000
1980-06-11,0.0,0.67,0.67,0.67,34200
1980-06-12,0.0,0.68,0.67,0.67,28800
1980-06-13,0.0,0.67,0.66,0.67,50400
1980-06-16,0.0,0.68,0.66,0.68,34200
1980-06-17,0.0,0.68,0.66,0.66,32400
1980-06-18,0.0,0.66,0.65,0.66,34200
1980-06-19,0.0,0.66,0.65,0.65,28800
1980-06-20,0.0,0.65,0.64,0.64,27000
1980-06-23,0.0,0.65,0.64,0.64,19800
1980-06-24,0.0,0.65,0.64,0.64,19800
1980-06-25,0.0,0.66,0.65,0.66,46800
1980-06-26,0.0,0.66,0.64,0.64,21600
1980-06-27,0.0,0.65,0.65,0.65,32400
1980-06-30,0.0,0.65,0.64,0.65,32400
1980-07-01,0.0,0.65,0.65,0.65,3600
1980-07-02,0.0,0.66,0.64,0.65,59400
1980-07-03,0.0,0.67,0.65,0.67,28800
1980-07-07,0.0,0.68,0.67,0.67,43200
1980-07-08,0.0,0.67,0.66,0.66,46800
1980-07-09,0.0,0.67,0.66,0.66,41400
1980-07-10,0.0,0.66,0.64,0.65,61200
1980-07-11,0.0,0.65,0.64,0.65,181800
1980-07-14,0.0,0.71,0.66,0.71,214200
1980-07-15,0.0,0.76,0.73,0.75,253800
1980-07-16,0.0,0.79,0.76,0.77,291600
1980-07-17,0.0,0.78,0.75,0.77,145800
1980-07-18,0.0,0.8,0.76,0.76,235800
1980-07-21,0.0,0.79,0.75,0.78,163800
1980-07-22,0.0,0.8,0.79,0.79,156600
1980-07-23,0.0,0.8,0.78,0.8,104400
1980-07-24,0.0,0.8,0.79,0.8,68400
1980-07-25,0.0,0.8,0.79,0.79,64800
1980-07-28,0.0,0.8,0.79,0.8,46800
1980-07-29,0.0,0.85,0.81,0.85,244800
1980-07-30,0.0,0.91,0.86,0.9,329400
1980-07-31,0.0,0.9,0.85,0.88,189000
1980-08-01,0.0,0.89,0.87,0.89,97200
1980-08-04,0.0,0.91,0.87,0.87,91800
1980-08-05,0.0,0.88,0.86,0.86,64800
1980-08-06,0.0,0.87,0.84,0.87,63000
1980-08-07,0.0,0.91,0.88,0.91,117000
1980-08-08,0.0,0.93,0.91,0.92,124200
1980-08-11,0.0,0.93,0.9,0.93,127800
1980-08-12,0.0,0.94,0.91,0.91,82800
1980-08-13,0.0,0.92,0.9,0.91,109800
1980-08-14,0.0,0.92,0.89,0.9,82800
1980-08-15,0.0,0.9,0.88,0.89,84600
1980-08-18,0.0,0.9,0.85,0.87,100800
1980-08-19,0.0,0.86,0.85,0.85,59400
1980-08-20,0.0,0.86,0.84,0.86,57600
1980-08-21,0.0,0.91,0.87,0.91,88200
1980-08-22,0.0,0.95,0.92,0.94,145800
1980-08-25,0.0,0.95,0.93,0.94,75600
1980-08-26,0.0,0.94,0.92,0.92,70200
1980-08-27,0.0,0.94,0.92,0.92,50400
1980-08-28,0.0,0.92,0.91,0.91,73800
1980-08-29,0.0,0.92,0.89,0.91,93600
1980-09-02,0.0,0.91,0.9,0.91,48600
1980-09-03,0.0,0.92,0.9,0.92,41400
1980-09-04,0.0,0.92,0.9,0.91,72000
1980-09-05,0.0,0.92,0.91,0.91,120600
1980-09-08,0.0,0.92,0.9,0.9,75600
