Date,Open,High,Low,Close,Volume
1987-05-05,0.0,1.29,1.29,1.29,13702400
1987-05-06,0.0,1.29,1.28,1.29,8601600
1987-05-07,0.0,1.28,1.24,1.26,1852800
1987-05-08,0.0,1.26,1.21,1.23,1464800
1987-05-11,0.0,1.27,1.22,1.22,852800
1987-05-12,0.0,1.23,1.18,1.19,684000
1987-05-13,0.0,1.25,1.19,1.24,739200
1987-05-14,0.0,1.29,1.24,1.28,1886400
1987-05-15,0.0,1.28,1.25,1.26,509600
1987-05-18,0.0,1.25,1.17,1.17,339200
1987-05-19,0.0,1.23,1.16,1.2,247200
1987-05-20,0.0,1.22,1.17,1.22,422400
1987-05-21,0.0,1.23,1.22,1.23,141600
1987-05-22,0.0,1.25,1.22,1.22,228000
1987-05-26,0.0,1.23,1.2,1.22,77600
1987-05-27,0.0,1.24,1.22,1.24,266400
1987-05-28,0.0,1.24,1.22,1.23,60000
1987-05-29,0.0,1.24,1.22,1.22,220800
1987-06-01,0.0,1.22,1.2,1.2,92000
1987-06-02,0.0,1.23,1.18,1.21,245600
1987-06-03,0.0,1.24,1.23,1.24,132800
1987-06-04,0.0,1.26,1.23,1.25,408000
1987-06-05,0.0,1.27,1.25,1.27,57600
1987-06-08,0.0,1.28,1.27,1.27,74400
1987-06-09,0.0,1.27,1.27,1.27,64800
1987-06-10,0.0,1.29,1.28,1.29,453600
1987-06-11,0.0,1.28,1.28,1.28,151200
1987-06-12,0.0,1.29,1.27,1.28,164000
1987-06-15,0.0,1.28,1.27,1.28,106400
1987-06-16,0.0,1.29,1.26,1.27,218400
1987-06-17,0.0,1.27,1.26,1.26,139200
1987-06-18,0.0,1.28,1.24,1.28,166400
1987-06-19,0.0,1.28,1.27,1.28,58400
1987-06-22,0.0,1.29,1.26,1.29,195200
1987-06-23,0.0,1.32,1.28,1.3,360800
1987-06-24,0.0,1.3,1.27,1.28,36800
1987-06-25,0.0,1.29,1.28,1.28,12800
1987-06-26,0.0,1.29,1.27,1.27,132800
1987-06-29,0.0,1.29,1.27,1.29,163200
1987-06-30,0.0,1.31,1.29,1.3,375200
1987-07-01,0.0,1.33,1.3,1.32,268800
1987-07-02,0.0,1.31,1.29,1.29,34400
1987-07-06,0.0,1.31,1.29,1.31,168800
1987-07-07,0.0,1.31,1.29,1.31,183200
1987-07-08,0.0,1.31,1.29,1.29,331200
1987-07-09,0.0,1.3,1.29,1.29,74400
1987-07-10,0.0,1.31,1.29,1.31,316800
1987-07-13,0.0,1.32,1.31,1.31,220800
1987-07-14,0.0,1.31,1.29,1.31,172800
1987-07-15,0.0,1.31,1.3,1.31,223200
1987-07-16,0.0,1.44,1.32,1.43,1736000
1987-07-17,0.0,1.48,1.43,1.45,1768800
1987-07-20,0.0,1.54,1.4,1.5,1204800
1987-07-21,0.0,1.52,1.48,1.5,604800
1987-07-22,0.0,1.54,1.47,1.5,376800
1987-07-23,0.0,1.52,1.48,1.5,147200
1987-07-24,0.0,1.54,1.47,1.54,604800
1987-07-27,0.0,1.53,1.51,1.52,802400
1987-07-28,0.0,1.64,1.5,1.64,1824000
1987-07-29,0.0,1.63,1.59,1.62,408800
1987-07-30,0.0,1.62,1.59,1.61,214400
1987-07-31,0.0,1.64,1.6,1.64,1058400
1987-08-03,0.0,1.71,1.63,1.68,1037600
1987-08-04,0.0,1.75,1.69,1.72,1436000
1987-08-05,0.0,1.72,1.69,1.7,389600
1987-08-06,0.0,1.71,1.67,1.69,232800
1987-08-07,0.0,1.68,1.62,1.66,400800
