Date,Open,High,Low,Close,Volume
1987-06-26,0.0,0.28,0.26,0.27,46172800
1987-06-29,0.0,0.27,0.27,0.27,6297600
1987-06-30,0.0,0.29,0.28,0.28,15328000
1987-07-01,0.0,0.29,0.28,0.29,5788800
1987-07-02,0.0,0.29,0.29,0.29,2870400
1987-07-06,0.0,0.31,0.29,0.3,9600000
1987-07-07,0.0,0.31,0.29,0.29,7187200
1987-07-08,0.0,0.3,0.29,0.29,1392000
1987-07-09,0.0,0.32,0.29,0.31,7923200
1987-07-10,0.0,0.32,0.3,0.31,4115200
1987-07-13,0.0,0.31,0.31,0.31,796800
1987-07-14,0.0,0.31,0.3,0.3,2032000
1987-07-15,0.0,0.3,0.29,0.29,2009600
1987-07-16,0.0,0.3,0.29,0.29,1497600
1987-07-17,0.0,0.29,0.29,0.29,1084800
1987-07-20,0.0,0.29,0.28,0.28,1344000
1987-07-21,0.0,0.28,0.28,0.28,5465600
1987-07-22,0.0,0.28,0.28,0.28,2220800
1987-07-23,0.0,0.28,0.28,0.28,1318400
1987-07-24,0.0,0.28,0.28,0.28,2217600
1987-07-27,0.0,0.29,0.28,0.29,771200
1987-07-28,0.0,0.29,0.28,0.28,1510400
1987-07-29,0.0,0.29,0.27,0.28,2720000
1987-07-30,0.0,0.29,0.28,0.29,4124800
1987-07-31,0.0,0.29,0.28,0.28,1155200
1987-08-03,0.0,0.28,0.28,0.28,2064000
1987-08-04,0.0,0.28,0.28,0.28,793600
1987-08-05,0.0,0.29,0.28,0.29,1100800
1987-08-06,0.0,0.3,0.29,0.3,2630400
1987-08-07,0.0,0.3,0.29,0.3,1011200
1987-08-10,0.0,0.3,0.29,0.3,5081600
1987-08-11,0.0,0.3,0.29,0.3,835200
1987-08-12,0.0,0.3,0.29,0.29,854400
1987-08-13,0.0,0.3,0.29,0.29,742400
1987-08-14,0.0,0.29,0.28,0.29,1420800
1987-08-17,0.0,0.29,0.27,0.28,3948800
1987-08-18,0.0,0.28,0.26,0.27,3164800
1987-08-19,0.0,0.28,0.27,0.28,2752000
1987-08-20,0.0,0.28,0.28,0.28,2534400
1987-08-21,0.0,0.29,0.28,0.29,342400
1987-08-24,0.0,0.29,0.28,0.28,291200
1987-08-25,0.0,0.29,0.28,0.29,608000
1987-08-26,0.0,0.3,0.29,0.29,2844800
1987-08-27,0.0,0.29,0.29,0.29,1852800
1987-08-28,0.0,0.29,0.28,0.28,2803200
1987-08-31,0.0,0.29,0.28,0.29,992000
1987-09-01,0.0,0.29,0.28,0.29,2016000
1987-09-02,0.0,0.29,0.28,0.29,2310400
1987-09-03,0.0,0.29,0.29,0.29,1619200
1987-09-04,0.0,0.3,0.29,0.29,1600000
