Date,Open,High,Low,Close,Volume
1980-03-17,0.0,1.76,1.7,1.7,150700
1980-03-18,0.0,1.72,1.67,1.67,435600
1980-03-19,0.0,1.79,1.74,1.74,234100
1980-03-20,0.0,1.76,1.7,1.7,59500
1980-03-21,0.0,1.76,1.7,1.7,52800
1980-03-24,0.0,1.65,1.59,1.59,311800
1980-03-25,0.0,1.69,1.63,1.63,170200
1980-03-26,0.0,1.69,1.63,1.63,195700
1980-03-27,0.0,1.5,1.45,1.45,298900
1980-03-28,0.0,1.7,1.65,1.65,264600
1980-03-31,0.0,1.79,1.74,1.74,344400
1980-04-01,0.0,1.78,1.72,1.72,241800
1980-04-02,0.0,1.78,1.72,1.72,60900
1980-04-03,0.0,1.76,1.7,1.7,130500
1980-04-07,0.0,1.67,1.61,1.61,136900
1980-04-08,0.0,1.69,1.63,1.63,97300
1980-04-09,0.0,1.76,1.7,1.7,204700
1980-04-10,0.0,1.83,1.78,1.78,213900
1980-04-11,0.0,1.83,1.78,1.78,264100
1980-04-14,0.0,1.76,1.7,1.7,130500
1980-04-15,0.0,1.74,1.69,1.69,122800
1980-04-16,0.0,1.76,1.7,1.7,64000
1980-04-17,0.0,1.74,1.69,1.69,103200
1980-04-18,0.0,1.72,1.67,1.67,124800
1980-04-21,0.0,1.69,1.63,1.63,135000
1980-04-22,0.0,1.78,1.72,1.72,180400
1980-04-23,0.0,1.79,1.74,1.74,173400
1980-04-24,0.0,1.87,1.81,1.81,96000
1980-04-25,0.0,1.83,1.78,1.78,27100
1980-04-28,0.0,1.87,1.81,1.81,63600
1980-04-29,0.0,1.9,1.85,1.85,77100
1980-04-30,0.0,1.92,1.87,1.87,125700
1980-05-01,0.0,1.87,1.81,1.81,198600
1980-05-02,0.0,1.87,1.81,1.81,79200
1980-05-05,0.0,1.88,1.83,1.83,42700
1980-05-06,0.0,1.87,1.81,1.81,157900
1980-05-07,0.0,1.81,1.76,1.76,166000
1980-05-08,0.0,1.74,1.69,1.69,103200
1980-05-09,0.0,1.76,1.7,1.7,13500
1980-05-12,0.0,1.76,1.7,1.7,7300
1980-05-13,0.0,1.79,1.74,1.74,94000
1980-05-14,0.0,1.83,1.78,1.78,581400
1980-05-15,0.0,1.83,1.78,1.78,66700
1980-05-16,0.0,1.88,1.83,1.83,197700
1980-05-19,0.0,1.9,1.85,1.85,60900
1980-05-20,0.0,1.83,1.78,1.78,200700
1980-05-21,0.0,1.83,1.78,1.78,77100
1980-05-22,0.0,1.87,1.81,1.81,106600
1980-05-23,0.0,1.9,1.85,1.85,115600
1980-05-27,0.0,1.9,1.85,1.85,143100
1980-05-28,0.0,1.88,1.83,1.83,121500
1980-05-29,0.0,1.85,1.79,1.79,136500
1980-05-30,0.0,1.87,1.81,1.81,832200
1980-06-02,0.0,1.87,1.81,1.81,93100
1980-06-03,0.0,1.85,1.79,1.79,79200
1980-06-04,0.0,1.85,1.79,1.79,212500
1980-06-05,0.0,1.83,1.78,1.78,236800
1980-06-06,0.0,1.88,1.83,1.83,175000
1980-06-09,0.0,1.88,1.83,1.83,157900
1980-06-10,0.0,2.01,1.96,1.96,357300
1980-06-11,0.0,2.12,2.07,2.07,448300
1980-06-12,0.0,2.1,2.05,2.05,441600
1980-06-13,0.0,2.14,2.08,2.08,289800
1980-06-16,0.0,2.1,2.05,2.05,148600
1980-06-17,0.0,2.03,1.98,1.98,168900
1980-06-18,0.0,2.01,1.96,1.96,260100
1980-06-19,0.0,1.79,1.74,1.74,440200
1980-06-20,0.0,1.88,1.83,1.83,252400
1980-06-23,0.0,1.88,1.83,1.83,202500
1980-06-24,0.0,1.87,1.81,1.81,125700
1980-06-25,0.0,1.99,1.94,1.94,286800
1980-06-26,0.0,1.98,1.92,1.92,179500
1980-06-27,0.0,1.96,1.9,1.9,68800
1980-06-30,0.0,1.87,1.81,1.81,206700
1980-07-01,0.0,1.85,1.79,1.79,64000
1980-07-02,0.0,1.92,1.87,1.87,162100
1980-07-03,0.0,2.01,1.96,1.96,171400
1980-07-07,0.0,1.99,1.96,1.96,135000
1980-07-08,0.0,1.98,1.96,1.96,102100
1980-07-09,0.0,1.98,1.94,1.94,118800
1980-07-10,0.0,1.94,1.92,1.92,86400
1980-07-11,0.0,1.98,1.96,1.96,155200
1980-07-14,0.0,2.07,2.05,2.05,232200
1980-07-15,0.0,2.05,2.01,2.01,332200
1980-07-16,0.0,1.99,1.98,1.98,178200
