Date,Open,High,Low,Close,Volume
1975-11-17,0.0,0.98,0.98,0.98,53200
1975-11-18,0.0,1.01,1.01,1.01,106800
1975-11-19,0.0,0.97,0.97,0.97,170400
1975-11-20,0.0,0.95,0.95,0.95,61200
1975-11-21,0.0,0.95,0.95,0.95,64000
1975-11-24,0.0,0.95,0.95,0.95,88400
1975-11-25,0.0,0.94,0.94,0.94,75200
1975-11-26,0.0,0.95,0.95,0.95,89200
1975-11-28,0.0,0.96,0.96,0.96,95600
1975-12-01,0.0,0.93,0.93,0.93,102400
1975-12-02,0.0,0.89,0.89,0.89,78400
1975-12-03,0.0,0.85,0.85,0.85,86400
1975-12-04,0.0,0.85,0.85,0.85,48800
1975-12-05,0.0,0.84,0.84,0.84,62800
1975-12-08,0.0,0.84,0.84,0.84,87600
1975-12-09,0.0,0.84,0.84,0.84,158800
1975-12-10,0.0,0.84,0.84,0.84,99600
1975-12-11,0.0,0.85,0.85,0.85,62400
1975-12-12,0.0,0.89,0.89,0.89,116400
1975-12-15,0.0,0.88,0.88,0.88,170800
1975-12-16,0.0,0.9,0.9,0.9,110400
1975-12-17,0.0,0.91,0.91,0.91,92800
1975-12-18,0.0,0.91,0.91,0.91,81200
1975-12-19,0.0,0.9,0.9,0.9,130800
1975-12-22,0.0,0.9,0.9,0.9,67200
1975-12-23,0.0,0.91,0.91,0.91,59600
1975-12-24,0.0,0.88,0.88,0.88,135200
1975-12-26,0.0,0.88,0.88,0.88,46800
1975-12-29,0.0,0.87,0.87,0.87,52800
1975-12-30,0.0,0.87,0.87,0.87,54000
1975-12-31,0.0,0.87,0.87,0.87,34800
1976-01-02,0.0,0.89,0.89,0.89,71600
1976-01-05,0.0,0.9,0.9,0.9,104400
1976-01-06,0.0,0.94,0.94,0.94,132800
1976-01-07,0.0,0.92,0.92,0.92,120000
1976-01-08,0.0,0.92,0.92,0.92,85200
1976-01-09,0.0,0.92,0.92,0.92,59600
1976-01-12,0.0,0.92,0.92,0.92,48800
1976-01-13,0.0,0.91,0.91,0.91,112400
1976-01-14,0.0,0.92,0.92,0.92,90000
1976-01-15,0.0,0.9,0.9,0.9,174000
1976-01-16,0.0,0.9,0.9,0.9,14400
1976-01-19,0.0,0.91,0.91,0.91,56000
1976-01-20,0.0,0.91,0.91,0.91,59200
1976-01-21,0.0,0.9,0.9,0.9,62000
1976-01-22,0.0,0.9,0.9,0.9,52800
1976-01-23,0.0,0.89,0.89,0.89,42800
1976-01-26,0.0,0.85,0.85,0.85,84400
1976-01-27,0.0,0.85,0.85,0.85,272000
1976-01-28,0.0,0.87,0.87,0.87,212000
1976-01-29,0.0,0.94,0.92,0.92,158400
1976-01-30,0.0,0.92,0.9,0.9,304400
1976-02-02,0.0,0.93,0.92,0.92,73600
1976-02-03,0.0,0.93,0.92,0.92,66800
1976-02-04,0.0,0.94,0.93,0.93,184000
1976-02-05,0.0,0.94,0.92,0.92,64800
1976-02-06,0.0,0.92,0.91,0.91,72000
1976-02-09,0.0,0.93,0.92,0.92,42800
1976-02-10,0.0,0.92,0.91,0.91,91200
1976-02-11,0.0,0.92,0.91,0.91,28800
1976-02-12,0.0,0.93,0.92,0.92,131200
1976-02-13,0.0,0.93,0.92,0.92,20400
1976-02-17,0.0,0.92,0.91,0.91,36000
1976-02-18,0.0,0.92,0.91,0.91,79600
1976-02-19,0.0,0.9,0.88,0.88,159600
1976-02-20,0.0,0.91,0.9,0.9,388000
1976-02-23,0.0,0.91,0.9,0.9,223600
1976-02-24,0.0,0.92,0.91,0.91,114800
1976-02-25,0.0,0.93,0.92,0.92,96400
1976-02-26,0.0,0.92,0.9,0.9,248400
1976-02-27,0.0,0.9,0.88,0.88,124000
1976-03-01,0.0,0.9,0.88,0.88,76000
1976-03-02,0.0,0.9,0.88,0.88,70800
1976-03-03,0.0,0.88,0.87,0.87,44400
1976-03-04,0.0,0.88,0.87,0.87,57200
1976-03-05,0.0,0.88,0.87,0.87,45200
1976-03-08,0.0,0.89,0.88,0.88,27600
1976-03-09,0.0,0.91,0.9,0.9,37200
1976-03-10,0.0,0.92,0.91,0.91,85200
1976-03-11,0.0,0.95,0.94,0.94,150800
1976-03-12,0.0,0.95,0.94,0.94,92400
1976-03-15,0.0,0.93,0.92,0.92,89200
1976-03-16,0.0,0.94,0.92,0.92,50800
1976-03-17,0.0,0.94,0.92,0.92,86400
1976-03-18,0.0,0.94,0.92,0.92,93600
1976-03-19,0.0,0.94,0.92,0.92,26800
1976-03-22,0.0,0.94,0.92,0.92,28800
1976-03-23,0.0,0.97,0.96,0.96,210000
1976-03-24,0.0,0.98,0.96,0.96,137600
1976-03-25,0.0,0.99,0.98,0.98,124000
1976-03-26,0.0,0.97,0.96,0.96,70000
1976-03-29,0.0,0.96,0.94,0.94,33600
1976-03-30,0.0,0.95,0.94,0.94,41200
1976-03-31,0.0,0.95,0.94,0.94,18800
1976-04-01,0.0,0.95,0.94,0.94,30800
1976-04-02,0.0,0.96,0.94,0.94,10000
1976-04-05,0.0,0.98,0.97,0.97,79200
1976-04-06,0.0,0.98,0.97,0.97,110400
1976-04-07,0.0,0.97,0.96,0.96,32800
1976-04-08,0.0,0.96,0.94,0.94,55200
1976-04-09,0.0,0.93,0.92,0.92,104400
1976-04-12,0.0,0.92,0.91,0.91,71600
1976-04-13,0.0,0.92,0.9,0.9,201600
1976-04-14,0.0,0.92,0.91,0.91,51600
1976-04-15,0.0,0.9,0.89,0.89,129600
1976-04-19,0.0,0.91,0.9,0.9,36400
1976-04-20,0.0,0.91,0.89,0.89,53600
1976-04-21,0.0,0.89,0.87,0.87,40400
1976-04-22,0.0,0.89,0.88,0.88,12800
1976-04-23,0.0,0.88,0.87,0.87,105200
1976-04-26,0.0,0.88,0.86,0.86,72800
1976-04-27,0.0,0.88,0.87,0.87,89600
1976-04-28,0.0,0.89,0.87,0.87,45200
1976-04-29,0.0,0.86,0.85,0.85,180000
1976-04-30,0.0,0.83,0.81,0.81,114000
1976-05-03,0.0,0.79,0.78,0.78,70800
1976-05-04,0.0,0.79,0.77,0.77,60000
1976-05-05,0.0,0.79,0.77,0.77,46000
1976-05-06,0.0,0.8,0.79,0.79,29200
1976-05-07,0.0,0.82,0.81,0.81,150400
1976-05-10,0.0,0.82,0.8,0.8,108800
1976-05-11,0.0,0.81,0.8,0.8,90000
1976-05-12,0.0,0.84,0.83,0.83,283600
1976-05-13,0.0,0.85,0.83,0.83,20400
1976-05-14,0.0,0.84,0.82,0.82,36000
1976-05-17,0.0,0.81,0.79,0.79,86000
1976-05-18,0.0,0.81,0.79,0.79,58000
1976-05-19,0.0,0.81,0.8,0.8,7200
1976-05-20,0.0,0.81,0.8,0.8,67600
1976-05-21,0.0,0.8,0.79,0.79,91200
1976-05-24,0.0,0.78,0.76,0.76,56400
1976-05-25,0.0,0.78,0.77,0.77,46400
1976-05-26,0.0,0.78,0.77,0.77,43200
1976-05-27,0.0,0.78,0.76,0.76,6000
1976-05-28,0.0,0.78,0.76,0.76,7600
1976-06-01,0.0,0.78,0.76,0.76,21600
1976-06-02,0.0,0.78,0.76,0.76,36800
1976-06-03,0.0,0.78,0.76,0.76,4400
1976-06-04,0.0,0.77,0.75,0.75,41200
1976-06-07,0.0,0.75,0.73,0.73,31600
1976-06-08,0.0,0.74,0.73,0.73,46000
1976-06-09,0.0,0.73,0.72,0.72,39200
1976-06-10,0.0,0.73,0.72,0.72,19600
1976-06-11,0.0,0.72,0.71,0.71,72400
1976-06-14,0.0,0.72,0.71,0.71,11200
1976-06-15,0.0,0.73,0.72,0.72,95200
1976-06-16,0.0,0.75,0.73,0.73,139600
1976-06-17,0.0,0.78,0.77,0.77,114800
1976-06-18,0.0,0.79,0.78,0.78,87600
