Date,Open,High,Low,Close,Volume
1980-03-17,0.0,1.64,1.47,1.47,10800
1980-03-18,0.0,1.64,1.47,1.47,8100
1980-03-19,0.0,1.64,1.47,1.47,3000
1980-03-20,0.0,1.64,1.47,1.47,9900
1980-03-21,0.0,1.55,1.39,1.39,9900
1980-03-24,0.0,1.51,1.35,1.35,24300
1980-03-25,0.0,1.51,1.35,1.35,21000
1980-03-26,0.0,1.51,1.35,1.35,900
1980-03-27,0.0,1.43,1.27,1.27,22800
1980-03-28,0.0,1.47,1.31,1.31,6600
1980-03-31,0.0,1.47,1.31,1.31,7200
1980-04-01,0.0,1.47,1.31,1.31,1800
1980-04-02,0.0,1.47,1.31,1.31,5700
1980-04-03,0.0,1.47,1.31,1.31,6300
1980-04-07,0.0,1.43,1.27,1.27,5700
1980-04-08,0.0,1.39,1.23,1.23,18300
1980-04-09,0.0,1.39,1.23,1.23,14400
1980-04-10,0.0,1.47,1.31,1.31,13500
1980-04-11,0.0,1.55,1.39,1.39,16500
1980-04-14,0.0,1.47,1.31,1.31,10200
1980-04-15,0.0,1.39,1.23,1.23,4800
1980-04-16,0.0,1.39,1.23,1.23,6300
1980-04-17,1.23,1.23,1.23,1.23,0
1980-04-18,0.0,1.39,1.23,1.23,1200
1980-04-21,0.0,1.35,1.19,1.19,14400
1980-04-22,0.0,1.43,1.27,1.27,13500
1980-04-23,0.0,1.55,1.39,1.39,21900
1980-04-24,0.0,1.51,1.35,1.35,20100
1980-04-25,0.0,1.47,1.31,1.31,5400
1980-04-28,0.0,1.47,1.31,1.31,4500
1980-04-29,0.0,1.47,1.31,1.31,12900
1980-04-30,0.0,1.47,1.31,1.31,9900
1980-05-01,0.0,1.47,1.31,1.31,20700
1980-05-02,0.0,1.47,1.31,1.31,6600
1980-05-05,0.0,1.43,1.27,1.27,23700
1980-05-06,0.0,1.47,1.31,1.31,47700
1980-05-07,0.0,1.51,1.35,1.35,32400
1980-05-08,0.0,1.51,1.35,1.35,52500
1980-05-09,0.0,1.47,1.31,1.31,32700
1980-05-12,0.0,1.47,1.31,1.31,19800
1980-05-13,0.0,1.51,1.35,1.35,36000
1980-05-14,0.0,1.64,1.47,1.47,17100
1980-05-15,0.0,1.68,1.51,1.51,10800
1980-05-16,0.0,1.8,1.64,1.64,36900
1980-05-19,0.0,1.76,1.6,1.6,1200
1980-05-20,0.0,1.72,1.55,1.55,4800
1980-05-21,0.0,1.72,1.55,1.55,9000
1980-05-22,0.0,1.72,1.55,1.55,4500
1980-05-23,0.0,1.72,1.55,1.55,4500
1980-05-27,0.0,1.76,1.6,1.6,900
1980-05-28,0.0,1.76,1.6,1.6,3600
1980-05-29,0.0,1.8,1.64,1.64,16200
1980-05-30,0.0,1.92,1.76,1.76,17100
1980-06-02,0.0,1.84,1.68,1.68,1800
1980-06-03,0.0,1.84,1.68,1.68,4800
1980-06-04,0.0,1.8,1.64,1.64,1800
1980-06-05,0.0,1.8,1.64,1.64,8100
1980-06-06,0.0,1.8,1.64,1.64,2100
1980-06-09,0.0,1.76,1.6,1.6,12000
1980-06-10,0.0,1.72,1.55,1.55,1800
1980-06-11,1.55,1.55,1.55,1.55,0
1980-06-12,0.0,1.72,1.55,1.55,3600
1980-06-13,0.0,1.72,1.55,1.55,9900
1980-06-16,0.0,1.72,1.55,1.55,1200
1980-06-17,0.0,1.72,1.55,1.55,5700
1980-06-18,0.0,1.72,1.55,1.55,5400
1980-06-19,0.0,1.72,1.55,1.55,5400
1980-06-20,0.0,1.84,1.68,1.68,64200
1980-06-23,0.0,1.84,1.68,1.68,21600
1980-06-24,0.0,1.84,1.68,1.68,15300
1980-06-25,0.0,1.84,1.68,1.68,24600
1980-06-26,0.0,1.84,1.68,1.68,6600
1980-06-27,0.0,1.8,1.64,1.64,3600
1980-06-30,0.0,1.8,1.64,1.64,5700
1980-07-01,0.0,1.8,1.64,1.64,12600
1980-07-02,0.0,1.8,1.64,1.64,1200
1980-07-03,0.0,1.88,1.72,1.72,40800
1980-07-07,0.0,1.96,1.88,1.88,39600
1980-07-08,0.0,2.01,1.92,1.92,64800
1980-07-09,0.0,1.96,1.92,1.92,107400
1980-07-10,0.0,1.96,1.92,1.92,4800
1980-07-11,0.0,2.01,1.92,1.92,104400
1980-07-14,0.0,2.01,1.96,1.96,13500
1980-07-15,0.0,2.01,1.96,1.96,20100
1980-07-16,0.0,2.01,1.96,1.96,17400
1980-07-17,0.0,2.13,2.09,2.09,73800
1980-07-18,0.0,2.13,2.09,2.09,38100
1980-07-21,0.0,2.21,2.13,2.13,42600
1980-07-22,0.0,2.17,2.13,2.13,17400
1980-07-23,0.0,2.17,2.09,2.09,13500
1980-07-24,0.0,2.17,2.13,2.13,34200
