Date,Open,High,Low,Close,Volume
1981-07-09,0.0,1.16,1.14,1.14,4216000
1981-07-10,0.0,1.13,1.11,1.11,3552000
1981-07-13,0.0,1.11,1.1,1.1,422400
1981-07-14,0.0,1.11,1.09,1.09,616000
1981-07-15,0.0,1.08,1.06,1.06,366400
1981-07-16,0.0,1.08,1.06,1.06,336000
1981-07-17,0.0,1.08,1.06,1.06,80000
1981-07-20,0.0,1.03,1.02,1.02,283200
1981-07-21,0.0,1.01,1.0,1.0,446400
1981-07-22,0.0,1.02,1.0,1.0,132800
1981-07-23,0.0,1.02,1.0,1.0,62400
1981-07-24,0.0,1.03,1.02,1.02,84800
1981-07-27,0.0,1.06,1.04,1.04,177600
1981-07-28,0.0,1.08,1.06,1.06,84800
1981-07-29,0.0,1.08,1.06,1.06,184000
1981-07-30,0.0,1.09,1.06,1.06,464000
1981-07-31,0.0,1.08,1.06,1.06,134400
1981-08-03,0.0,1.09,1.06,1.06,289600
1981-08-04,0.0,1.09,1.06,1.06,216000
1981-08-05,0.0,1.09,1.06,1.06,75200
1981-08-06,0.0,1.08,1.06,1.06,126400
1981-08-07,0.0,1.05,1.03,1.03,216000
1981-08-10,1.03,1.03,1.03,1.03,0
1981-08-11,0.0,1.04,1.03,1.03,81600
1981-08-12,0.0,1.04,1.03,1.03,62400
1981-08-13,0.0,1.04,1.03,1.03,243200
1981-08-14,0.0,1.04,1.02,1.02,84800
1981-08-17,0.0,1.04,1.02,1.02,83200
1981-08-18,0.0,0.97,0.95,0.95,320000
1981-08-19,0.0,0.97,0.96,0.96,216000
1981-08-20,0.0,0.97,0.96,0.96,406400
1981-08-21,0.0,0.94,0.93,0.93,128000
1981-08-24,0.0,0.9,0.88,0.88,190400
1981-08-25,0.0,0.89,0.87,0.87,91200
1981-08-26,0.0,0.86,0.85,0.85,99200
1981-08-27,0.0,0.84,0.82,0.82,137600
1981-08-28,0.0,0.85,0.83,0.83,96000
1981-08-31,0.0,0.86,0.85,0.85,227200
1981-09-01,0.0,0.86,0.85,0.85,225600
1981-09-02,0.0,0.86,0.83,0.83,81600
1981-09-03,0.0,0.85,0.83,0.83,20800
1981-09-04,0.0,0.83,0.81,0.81,107200
1981-09-08,0.0,0.8,0.79,0.79,94400
1981-09-09,0.0,0.8,0.79,0.79,76800
1981-09-10,0.0,0.82,0.8,0.8,96000
1981-09-11,0.0,0.86,0.84,0.84,206400
1981-09-14,0.0,0.86,0.84,0.84,96000
1981-09-15,0.0,0.87,0.86,0.86,129600
1981-09-16,0.0,0.87,0.86,0.86,51200
1981-09-17,0.0,0.89,0.87,0.87,88000
1981-09-18,0.0,0.89,0.87,0.87,27200
1981-09-21,0.0,0.89,0.87,0.87,16000
1981-09-22,0.0,0.84,0.82,0.82,305600
1981-09-23,0.0,0.8,0.79,0.79,91200
1981-09-24,0.0,0.8,0.78,0.78,161600
1981-09-25,0.0,0.78,0.75,0.75,230400
1981-09-28,0.0,0.75,0.73,0.73,65600
1981-09-29,0.0,0.78,0.75,0.75,164800
1981-09-30,0.0,0.78,0.76,0.76,22400
1981-10-01,0.0,0.78,0.76,0.76,24000
1981-10-02,0.0,0.8,0.79,0.79,96000
1981-10-05,0.0,0.87,0.85,0.85,123200
1981-10-06,0.0,0.91,0.9,0.9,88000
1981-10-07,0.0,0.91,0.9,0.9,171200
1981-10-08,0.0,0.96,0.94,0.94,340800
1981-10-09,0.0,0.97,0.96,0.96,137600
1981-10-12,0.0,0.97,0.96,0.96,35200
1981-10-13,0.0,0.99,0.96,0.96,19200
1981-10-14,0.0,0.97,0.94,0.94,75200
1981-10-15,0.0,0.96,0.94,0.94,64000
1981-10-16,0.0,0.96,0.95,0.95,16000
1981-10-19,0.0,0.96,0.94,0.94,67200
1981-10-20,0.0,0.96,0.95,0.95,139200
1981-10-21,0.0,1.04,1.02,1.02,310400
1981-10-22,0.0,1.05,1.04,1.04,252800
1981-10-23,0.0,1.04,1.03,1.03,200000
1981-10-26,0.0,1.04,1.03,1.03,184000
1981-10-27,0.0,1.1,1.09,1.09,246400
1981-10-28,0.0,1.16,1.14,1.14,254400
1981-10-29,0.0,1.16,1.14,1.14,315200
1981-10-30,0.0,1.21,1.2,1.2,532800
1981-11-02,0.0,1.23,1.23,1.23,238400
1981-11-03,0.0,1.24,1.23,1.23,486400
1981-11-04,0.0,1.23,1.22,1.22,180800
1981-11-05,0.0,1.2,1.18,1.18,972800
1981-11-06,0.0,1.19,1.18,1.18,118400
1981-11-09,0.0,1.18,1.17,1.17,25600
1981-11-10,0.0,1.16,1.14,1.14,139200
1981-11-11,0.0,1.14,1.13,1.13,43200
1981-11-12,0.0,1.15,1.13,1.13,44800
1981-11-13,0.0,1.14,1.12,1.12,57600
1981-11-16,0.0,1.13,1.11,1.11,72000
1981-11-17,0.0,1.13,1.11,1.11,57600
1981-11-18,0.0,1.13,1.12,1.12,91200
1981-11-19,0.0,1.12,1.11,1.11,140800
1981-11-20,0.0,1.12,1.11,1.11,112000
1981-11-23,0.0,1.15,1.14,1.14,182400
1981-11-24,0.0,1.16,1.14,1.14,68800
1981-11-25,0.0,1.15,1.14,1.14,75200
1981-11-27,0.0,1.15,1.14,1.14,44800
1981-11-30,0.0,1.16,1.16,1.16,214400
1981-12-01,0.0,1.25,1.24,1.24,369600
1981-12-02,0.0,1.38,1.37,1.37,1123200
1981-12-03,0.0,1.4,1.38,1.38,296000
1981-12-04,0.0,1.4,1.37,1.37,244800
1981-12-07,0.0,1.35,1.33,1.33,179200
1981-12-08,0.0,1.21,1.21,1.21,374400
1981-12-09,0.0,1.23,1.21,1.21,329600
1981-12-10,0.0,1.24,1.22,1.22,113600
1981-12-11,0.0,1.24,1.22,1.22,112000
1981-12-14,0.0,1.18,1.17,1.17,179200
1981-12-15,0.0,1.14,1.11,1.11,227200
1981-12-16,0.0,1.14,1.12,1.12,97600
1981-12-17,0.0,1.2,1.18,1.18,505600
1981-12-18,0.0,1.21,1.18,1.18,107200
1981-12-21,0.0,1.21,1.18,1.18,25600
1981-12-22,0.0,1.2,1.18,1.18,73600
1981-12-23,0.0,1.17,1.16,1.16,144000
1981-12-24,0.0,1.17,1.16,1.16,22400
1981-12-28,0.0,1.16,1.15,1.15,28800
1981-12-29,0.0,1.15,1.13,1.13,1059200
1981-12-30,0.0,1.14,1.12,1.12,609600
1981-12-31,0.0,1.14,1.12,1.12,382400
1982-01-04,0.0,1.15,1.13,1.13,62400
1982-01-05,0.0,1.15,1.13,1.13,8000
1982-01-06,0.0,1.15,1.13,1.13,46400
1982-01-07,0.0,1.14,1.13,1.13,11200
1982-01-08,0.0,1.14,1.12,1.12,51200
1982-01-11,0.0,1.07,1.06,1.06,112000
1982-01-12,0.0,1.04,1.02,1.02,126400
1982-01-13,0.0,1.04,1.02,1.02,24000
1982-01-14,0.0,1.04,1.02,1.02,6400
1982-01-15,0.0,1.04,1.03,1.03,30400
1982-01-18,0.0,1.04,1.03,1.03,24000
1982-01-19,0.0,1.04,1.03,1.03,40000
1982-01-20,0.0,1.04,1.03,1.03,41600
1982-01-21,0.0,1.07,1.06,1.06,225600
1982-01-22,0.0,1.07,1.06,1.06,648000
1982-01-25,0.0,1.07,1.05,1.05,25600
1982-01-26,0.0,1.07,1.04,1.04,1241600
1982-01-27,0.0,1.06,1.05,1.05,86400
1982-01-28,0.0,1.07,1.05,1.05,105600
1982-01-29,0.0,1.09,1.06,1.06,172800
1982-02-01,0.0,1.09,1.06,1.06,60800
1982-02-02,0.0,1.1,1.09,1.09,56000
1982-02-03,0.0,1.1,1.09,1.09,81600
1982-02-04,0.0,1.1,1.09,1.09,17600
1982-02-05,0.0,1.1,1.09,1.09,76800
1982-02-08,0.0,1.1,1.09,1.09,144000
1982-02-09,0.0,1.07,1.05,1.05,86400
1982-02-10,0.0,1.06,1.05,1.05,52800
1982-02-11,0.0,1.06,1.05,1.05,6400
1982-02-12,0.0,1.06,1.05,1.05,49600
1982-02-16,0.0,1.06,1.04,1.04,33600
1982-02-17,0.0,1.06,1.04,1.04,16000
1982-02-18,0.0,1.04,1.03,1.03,115200
1982-02-19,0.0,1.03,1.02,1.02,475200
1982-02-22,0.0,1.05,1.03,1.03,92800
1982-02-23,0.0,1.05,1.03,1.03,112000
1982-02-24,0.0,1.06,1.04,1.04,59200
1982-02-25,0.0,1.08,1.06,1.06,142400
1982-02-26,0.0,1.09,1.06,1.06,41600
1982-03-01,0.0,1.09,1.06,1.06,44800
1982-03-02,0.0,1.09,1.09,1.09,284800
