Date,Open,High,Low,Close,Volume
1986-11-06,2.1,2.12,2.04,2.08,17902800
1986-11-07,2.08,2.08,2.03,2.07,6288000
1986-11-10,2.05,2.05,2.0,2.01,3060000
1986-11-11,2.01,2.04,2.01,2.04,1130000
1986-11-12,2.04,2.06,2.02,2.04,2082800
1986-11-13,2.03,2.03,2.02,2.02,891200
1986-11-14,2.02,2.04,2.01,2.04,952000
1986-11-17,2.02,2.03,2.0,2.0,1055200
1986-11-18,2.0,2.01,1.96,1.97,2426400
1986-11-19,1.97,1.97,1.93,1.94,2026000
1986-11-20,1.96,1.97,1.94,1.97,3253600
1986-11-21,1.99,1.99,1.97,1.99,639600
1986-11-24,1.98,1.99,1.97,1.97,660000
1986-11-25,1.97,1.99,1.95,1.98,1080000
1986-11-26,1.98,2.0,1.95,1.98,963200
1986-11-28,1.98,1.99,1.97,1.99,521600
1986-12-01,1.98,2.0,1.98,2.0,662000
1986-12-02,2.0,2.04,2.0,2.04,1161200
1986-12-03,2.04,2.1,2.04,2.07,1210400
1986-12-04,2.07,2.07,2.04,2.05,1446400
1986-12-05,2.04,2.05,2.03,2.03,737600
1986-12-08,2.02,2.03,2.0,2.0,703600
1986-12-09,2.0,2.01,2.0,2.0,444800
1986-12-10,2.0,2.01,1.99,1.99,902400
1986-12-11,2.0,2.01,1.96,1.98,550400
1986-12-12,1.98,2.0,1.97,2.0,356800
1986-12-15,1.99,2.0,1.97,1.99,521200
1986-12-16,1.98,1.99,1.97,1.97,835600
1986-12-17,1.97,1.97,1.97,1.97,803600
1986-12-18,1.97,1.97,1.94,1.96,1108000
1986-12-19,1.93,1.97,1.93,1.97,556000
1986-12-22,1.95,1.95,1.93,1.95,1456000
1986-12-23,1.94,1.95,1.93,1.95,574000
1986-12-24,1.98,1.98,1.93,1.94,322400
1986-12-26,1.93,1.95,1.93,1.95,486000
1986-12-29,1.94,1.94,1.92,1.94,693200
1986-12-30,1.94,1.95,1.91,1.95,910000
1986-12-31,1.93,1.99,1.93,1.99,841600
1987-01-02,1.98,2.02,1.97,2.02,264800
1987-01-05,2.02,2.07,2.02,2.06,668400
1987-01-06,2.04,2.07,2.03,2.07,554400
1987-01-07,2.06,2.12,2.06,2.12,748400
1987-01-08,2.11,2.24,2.1,2.24,596800
1987-01-09,2.23,2.3,2.2,2.26,759600
1987-01-12,2.24,2.31,2.24,2.26,1196800
1987-01-13,2.24,2.25,2.18,2.2,504800
1987-01-14,2.22,2.25,2.21,2.23,611600
1987-01-15,2.22,2.25,2.22,2.23,463200
1987-01-16,2.23,2.27,2.21,2.26,412800
1987-01-19,2.24,2.26,2.23,2.24,161600
1987-01-20,2.31,2.32,2.3,2.31,642000
1987-01-21,2.3,2.32,2.3,2.3,505200
1987-01-22,2.3,2.3,2.25,2.27,618000
1987-01-23,2.28,2.32,2.27,2.32,573200
1987-01-26,2.29,2.29,2.25,2.25,594800
1987-01-27,2.23,2.29,2.22,2.28,488400
1987-01-28,2.27,2.3,2.27,2.27,462000
1987-01-29,2.26,2.29,2.25,2.25,574000
1987-01-30,2.25,2.28,2.24,2.25,265600
1987-02-02,2.29,2.3,2.24,2.3,900000
