Date,Open,High,Low,Close,Volume
1999-11-10,39.95,43.21,39.64,41.94,80793700
1999-11-11,42.25,47.28,42.25,46.09,28309000
1999-11-12,46.71,47.09,42.56,43.33,14768100
1999-11-15,43.33,43.56,41.37,42.4,8675100
1999-11-16,41.71,41.79,39.95,40.56,6978600
1999-11-17,40.29,41.9,40.02,41.6,5806900
1999-11-18,41.75,42.37,40.64,40.75,4718700
1999-11-19,40.75,40.75,39.49,39.95,5091100
1999-11-22,39.37,39.49,37.49,38.79,4785400
1999-11-23,38.95,41.18,38.87,40.68,2832200
1999-11-24,40.75,42.1,40.71,41.79,2179400
1999-11-26,42.25,42.87,42.1,42.67,1322500
1999-11-29,43.21,43.37,41.36,42.06,1987000
1999-11-30,41.59,41.75,40.78,40.78,1686100
1999-12-01,40.9,41.59,40.51,40.67,1405700
1999-12-02,40.75,41.4,40.67,41.4,1391000
1999-12-03,41.63,41.79,40.94,41.02,1753500
1999-12-06,41.05,41.05,40.36,40.9,1398900
1999-12-07,40.71,41.98,40.67,41.98,1793100
1999-12-08,41.98,42.21,41.21,42.21,1774000
1999-12-09,42.21,42.44,41.13,41.67,1713600
1999-12-10,40.98,41.36,40.36,40.82,1248600
1999-12-13,40.98,41.32,40.05,40.75,1417800
1999-12-14,40.75,40.75,39.97,40.13,1886600
1999-12-15,40.13,40.17,39.32,39.36,1602800
1999-12-16,39.36,39.55,39.05,39.51,1364600
1999-12-17,39.97,41.75,39.93,41.13,1980800
1999-12-20,41.79,42.29,41.32,42.29,1501300
1999-12-21,42.13,42.6,41.67,42.6,1265200
1999-12-22,42.56,42.56,40.78,41.36,1264700
1999-12-23,41.05,41.9,40.51,41.83,1180600
1999-12-27,42.29,43.02,41.67,43.02,1478800
1999-12-28,42.91,43.02,42.02,42.6,1051400
1999-12-29,42.6,42.83,41.71,41.98,904700
1999-12-30,42.75,42.91,41.98,41.98,926700
1999-12-31,42.52,42.91,42.21,42.6,649300
2000-01-03,43.02,43.06,41.36,41.4,1273200
2000-01-04,41.36,41.36,39.9,40.09,1385800
2000-01-05,40.05,41.98,39.97,41.98,1401700
2000-01-06,40.67,42.06,40.13,41.98,1959100
2000-01-07,41.75,41.75,40.59,40.98,996000
2000-01-10,41.29,41.63,41.02,41.4,1191700
2000-01-11,41.44,41.63,40.28,40.28,1020000
2000-01-12,40.82,41.67,40.4,41.59,1097700
2000-01-13,41.75,42.29,41.59,42.17,1071200
2000-01-14,42.52,42.75,42.17,42.64,1160000
2000-01-18,42.6,42.6,41.59,42.4,980500
2000-01-19,42.29,42.33,41.63,42.13,1087300
2000-01-20,42.06,42.67,42.06,42.52,1972000
2000-01-21,42.52,42.52,41.17,41.52,1270100
2000-01-24,41.9,42.13,40.75,40.75,831400
2000-01-25,40.51,41.13,39.97,40.67,1263000
2000-01-26,40.28,40.51,39.82,40.21,933400
2000-01-27,40.32,40.36,39.51,40.21,1128400
2000-01-28,40.21,40.67,39.51,40.09,1324700
2000-01-31,38.89,39.51,36.42,37.04,5745800
2000-02-01,36.85,37.97,36.0,37.89,4761000
2000-02-02,36.89,37.0,35.3,35.96,4740600
2000-02-03,36.58,36.73,35.42,35.57,1951900
2000-02-04,35.92,35.92,34.61,34.8,1745200
2000-02-07,34.96,35.07,34.26,34.42,1480200
2000-02-08,34.73,36.66,34.42,36.66,2055100
2000-02-09,36.73,36.81,35.81,35.81,1209400
2000-02-10,35.85,36.12,34.88,35.23,995700
2000-02-11,35.07,35.19,34.03,34.03,1013900
2000-02-14,34.15,34.26,33.41,33.57,2052800
2000-02-15,33.61,33.95,33.07,33.92,1182900
2000-02-16,34.07,34.84,33.65,34.57,1530000
2000-02-17,34.88,35.96,34.65,35.81,1036000
2000-02-18,35.81,36.69,34.11,35.15,1529200
2000-02-22,35.15,35.15,33.68,33.95,1226000
2000-02-23,33.99,34.73,33.38,33.92,855700
2000-02-24,34.06,34.06,33.32,33.48,1049300
2000-02-25,34.02,34.52,33.48,34.37,961700
2000-02-28,34.41,34.45,33.75,34.06,565600
2000-02-29,34.06,34.25,33.75,33.83,750900
2000-03-01,33.83,33.87,32.12,32.51,1471000
2000-03-02,32.28,33.21,32.24,33.01,1136600
2000-03-03,33.01,33.13,32.55,32.63,1030700
2000-03-06,33.67,33.67,32.51,32.67,1431500
2000-03-07,32.67,32.71,30.34,31.35,2319100
2000-03-08,32.67,33.75,31.78,33.63,2275300
2000-03-09,33.75,33.75,32.47,32.82,1199700
2000-03-10,33.29,33.67,32.86,33.09,776700
2000-03-13,32.36,33.56,32.28,32.67,671700
2000-03-14,32.51,33.13,32.4,32.55,1072500
2000-03-15,32.78,34.29,31.97,34.02,2274800
2000-03-16,34.6,35.69,34.1,34.83,1635300
2000-03-17,35.34,35.34,34.37,34.37,622400
2000-03-20,34.99,35.22,34.21,35.03,843400
2000-03-21,34.87,36.15,34.21,36.03,889000
2000-03-22,36.03,36.58,35.18,35.22,763100
2000-03-23,35.18,37.12,34.68,36.92,1472900
2000-03-24,37.16,39.71,37.04,39.48,2148200
2000-03-27,39.01,39.63,38.78,39.13,960400
2000-03-28,38.7,39.01,37.19,37.31,639300
2000-03-29,37.93,37.93,36.11,36.58,869700
2000-03-30,36.42,37.23,36.11,36.27,682400
2000-03-31,36.89,39.01,36.03,39.0,727100
2000-04-03,38.39,38.39,36.54,36.77,830000
2000-04-04,36.77,37.0,34.29,35.8,1309000
2000-04-05,35.18,36.07,35.18,36.03,478000
2000-04-06,36.11,37.27,36.11,37.08,800700
2000-04-07,37.08,38.05,36.61,37.7,778200
2000-04-10,37.85,39.63,37.78,39.63,1275600
2000-04-11,39.21,39.21,38.47,39.13,616700
2000-04-12,38.9,38.94,37.93,38.09,608700
2000-04-13,38.09,38.09,36.81,37.31,566300
2000-04-14,36.23,36.38,34.06,34.06,859800
2000-04-17,35.3,36.85,34.06,35.92,1152900
2000-04-18,35.92,37.89,35.92,37.58,714900
2000-04-19,37.27,37.47,36.38,36.58,510200
2000-04-20,37.78,39.56,37.54,39.32,1730600
2000-04-24,39.01,39.17,38.39,38.78,1071000
2000-04-25,39.83,41.14,39.52,41.14,1644600
2000-04-26,41.18,41.45,40.21,40.99,1239300
2000-04-27,40.56,41.22,40.37,40.83,689400
2000-04-28,41.3,41.34,40.56,41.18,1011200
2000-05-01,41.26,41.45,39.79,39.79,904600
2000-05-02,39.67,39.9,39.17,39.52,1565300
2000-05-03,39.67,39.67,38.59,38.63,566400
2000-05-04,38.47,38.47,37.16,37.74,669000
2000-05-05,37.0,37.7,36.54,37.08,834300
2000-05-08,36.54,38.24,36.11,37.81,1726400
2000-05-09,38.09,39.25,37.66,38.7,859200
2000-05-10,38.39,38.63,37.54,37.66,880400
2000-05-11,37.7,38.2,37.7,37.93,934200
2000-05-12,38.09,38.78,38.01,38.12,603600
2000-05-15,38.12,39.63,37.58,39.21,1110200
2000-05-16,39.63,39.63,38.32,38.39,526500
2000-05-17,38.24,38.94,37.89,38.59,466300
2000-05-18,38.55,38.55,38.01,38.47,626500
2000-05-19,38.32,38.51,37.47,38.32,754800
2000-05-22,38.16,38.32,37.08,38.05,701700
2000-05-23,37.89,38.55,37.85,38.32,669500
2000-05-24,37.78,38.01,36.61,36.92,592700
2000-05-25,36.91,37.42,36.02,36.56,795300
2000-05-26,36.64,36.84,35.24,35.52,1003100
2000-05-30,35.4,36.84,35.4,36.68,602100
2000-05-31,37.22,37.84,37.03,37.18,794000
2000-06-01,37.77,38.54,37.65,38.19,1261000
2000-06-02,38.62,38.78,37.84,37.88,745100
2000-06-05,37.81,38.81,37.77,38.23,812100
2000-06-06,38.23,38.43,37.73,38.35,585000
2000-06-07,38.35,38.62,38.16,38.54,729800
2000-06-08,38.5,38.58,37.42,37.42,606300
2000-06-09,37.42,37.42,36.84,36.84,505500
2000-06-12,36.64,37.18,35.71,36.85,1105100
2000-06-13,36.95,38.54,36.8,38.08,958400
2000-06-14,38.0,38.43,37.81,38.04,898600
2000-06-15,38.19,38.81,38.16,38.74,1076100
2000-06-16,38.78,38.97,38.12,38.35,721300
2000-06-19,38.35,38.62,37.42,38.58,1019300
2000-06-20,38.43,38.5,37.81,38.16,630200
2000-06-21,37.84,38.39,37.61,38.35,627200
2000-06-22,38.23,39.09,38.04,39.09,1331900
2000-06-23,39.01,39.01,38.08,38.16,672500
2000-06-26,37.73,37.88,37.46,37.73,596300
2000-06-27,37.73,37.84,37.03,37.34,1001700
2000-06-28,37.38,37.77,36.99,37.03,754100
2000-06-29,37.03,37.46,36.41,37.42,1002300
2000-06-30,37.46,38.5,36.58,36.58,1990200
2000-07-03,36.95,37.18,36.84,36.91,375000
2000-07-05,37.03,38.08,36.95,37.88,829500
2000-07-06,37.88,38.16,37.88,38.08,570100
2000-07-07,37.5,37.88,37.34,37.69,733000
2000-07-10,37.26,37.92,37.18,37.88,596000
2000-07-11,37.46,37.84,37.46,37.77,469800
2000-07-12,37.57,37.92,37.38,37.69,613300
2000-07-13,37.61,37.73,37.3,37.46,631200
2000-07-14,37.69,37.88,37.53,37.81,678100
2000-07-17,37.84,38.12,37.3,37.53,944800
2000-07-18,37.38,37.81,37.38,37.73,565500
2000-07-19,37.73,38.19,37.65,38.04,1013500
2000-07-20,37.81,37.84,36.76,36.99,1154700
2000-07-21,36.84,37.26,36.64,36.95,1013100
2000-07-24,36.49,36.95,36.33,36.64,930800
2000-07-25,36.37,36.68,36.37,36.45,572700
2000-07-26,36.41,36.45,35.75,36.1,868000
