Date,Open,High,Low,Close,Volume
1970-01-02,0.01,0.01,0.01,0.01,243200
1970-01-05,0.01,0.01,0.01,0.01,172800
1970-01-06,0.01,0.01,0.01,0.01,281600
1970-01-07,0.01,0.01,0.01,0.01,124800
1970-01-08,0.01,0.01,0.01,0.01,102400
1970-01-09,0.01,0.01,0.01,0.01,134400
1970-01-12,0.01,0.01,0.01,0.01,80000
1970-01-13,0.01,0.01,0.01,0.01,608000
1970-01-14,0.01,0.01,0.01,0.01,745600
1970-01-15,0.01,0.01,0.01,0.01,694400
1970-01-16,0.01,0.01,0.01,0.01,700800
1970-01-19,0.01,0.01,0.01,0.01,473600
1970-01-20,0.01,0.01,0.01,0.01,912000
1970-01-21,0.01,0.01,0.01,0.01,512000
1970-01-22,0.01,0.01,0.01,0.01,457600
1970-01-23,0.01,0.01,0.01,0.01,387200
1970-01-26,0.01,0.01,0.01,0.01,528000
1970-01-27,0.01,0.01,0.01,0.01,700800
1970-01-28,0.01,0.01,0.01,0.01,457600
1970-01-29,0.01,0.01,0.01,0.01,982400
1970-01-30,0.01,0.01,0.01,0.01,272000
1970-02-02,0.01,0.01,0.01,0.01,275200
1970-02-03,0.01,0.01,0.01,0.01,515200
1970-02-04,0.01,0.01,0.01,0.01,492800
1970-02-05,0.01,0.01,0.01,0.01,160000
1970-02-06,0.01,0.01,0.01,0.01,633600
1970-02-09,0.01,0.01,0.01,0.01,406400
1970-02-10,0.01,0.01,0.01,0.01,652800
1970-02-11,0.01,0.01,0.01,0.01,873600
1970-02-12,0.01,0.01,0.01,0.01,1296000
1970-02-13,0.01,0.01,0.01,0.01,608000
1970-02-16,0.01,0.01,0.01,0.01,924800
1970-02-17,0.01,0.01,0.01,0.01,755200
1970-02-18,0.01,0.01,0.01,0.01,1075200
1970-02-19,0.01,0.01,0.01,0.01,992000
1970-02-20,0.01,0.01,0.01,0.01,1177600
1970-02-24,0.01,0.01,0.01,0.01,841600
1970-02-25,0.01,0.01,0.01,0.01,2160000
1970-02-26,0.01,0.01,0.01,0.01,828800
1970-02-27,0.01,0.01,0.01,0.01,1897600
1970-03-02,0.01,0.01,0.01,0.01,1737600
1970-03-03,0.01,0.01,0.01,0.01,464000
1970-03-04,0.01,0.01,0.01,0.01,620800
1970-03-05,0.01,0.01,0.01,0.01,396800
1970-03-06,0.01,0.01,0.01,0.01,880000
1970-03-09,0.01,0.01,0.01,0.01,361600
1970-03-10,0.01,0.01,0.01,0.01,563200
1970-03-11,0.01,0.01,0.01,0.01,313600
1970-03-12,0.01,0.01,0.01,0.01,227200
1970-03-13,0.01,0.01,0.01,0.01,441600
1970-03-16,0.01,0.01,0.01,0.01,316800
1970-03-17,0.01,0.01,0.01,0.01,556800
1970-03-18,0.01,0.01,0.01,0.01,230400
1970-03-19,0.01,0.01,0.01,0.01,227200
1970-03-20,0.01,0.01,0.01,0.01,140800
1970-03-23,0.01,0.01,0.01,0.01,230400
1970-03-24,0.01,0.01,0.01,0.01,448000
1970-03-25,0.01,0.01,0.01,0.01,1049600
1970-03-26,0.01,0.01,0.01,0.01,281600
1970-03-30,0.01,0.01,0.01,0.01,710400
1970-03-31,0.01,0.01,0.01,0.01,204800
1970-04-01,0.01,0.01,0.01,0.01,560000
1970-04-02,0.01,0.01,0.01,0.01,364800
1970-04-03,0.01,0.01,0.01,0.01,371200
1970-04-06,0.01,0.01,0.01,0.01,108800
1970-04-07,0.01,0.01,0.01,0.01,201600
1970-04-08,0.01,0.01,0.01,0.01,249600
1970-04-09,0.01,0.01,0.01,0.01,272000
1970-04-10,0.01,0.01,0.01,0.01,128000
1970-04-13,0.01,0.01,0.01,0.01,201600
1970-04-14,0.01,0.01,0.01,0.01,326400
1970-04-15,0.01,0.01,0.01,0.01,211200
1970-04-16,0.01,0.01,0.01,0.01,144000
1970-04-17,0.01,0.01,0.01,0.01,300800
1970-04-20,0.01,0.01,0.01,0.01,201600
