Date,Open,High,Low,Close,Volume
1980-03-17,0.0,0.04,0.03,0.03,319700
1980-03-18,0.0,0.04,0.03,0.03,643800
1980-03-19,0.0,0.04,0.03,0.04,404700
1980-03-20,0.0,0.04,0.04,0.04,153500
1980-03-21,0.0,0.04,0.04,0.04,415300
1980-03-24,0.0,0.04,0.04,0.04,184500
1980-03-25,0.0,0.04,0.03,0.03,269900
1980-03-26,0.0,0.03,0.03,0.03,203400
1980-03-27,0.0,0.03,0.02,0.03,674900
1980-03-28,0.0,0.03,0.03,0.03,604200
1980-03-31,0.0,0.04,0.03,0.03,500300
1980-04-01,0.0,0.04,0.03,0.04,250900
1980-04-02,0.0,0.04,0.04,0.04,232500
1980-04-03,0.0,0.04,0.04,0.04,195000
1980-04-07,0.0,0.04,0.04,0.04,215800
1980-04-08,0.0,0.04,0.03,0.03,215800
1980-04-09,0.0,0.04,0.03,0.04,249100
1980-04-10,0.0,0.04,0.04,0.04,317500
1980-04-11,0.0,0.04,0.04,0.04,182700
1980-04-14,0.0,0.04,0.04,0.04,134700
1980-04-15,0.0,0.04,0.04,0.04,141100
1980-04-16,0.0,0.04,0.03,0.03,134700
1980-04-17,0.0,0.04,0.03,0.03,112000
1980-04-18,0.0,0.03,0.03,0.03,24800
1980-04-21,0.0,0.03,0.03,0.03,43400
1980-04-22,0.0,0.04,0.03,0.04,282200
1980-04-23,0.0,0.04,0.04,0.04,178400
1980-04-24,0.0,0.04,0.03,0.04,130600
1980-04-25,0.0,0.04,0.04,0.04,70500
1980-04-28,0.0,0.04,0.04,0.04,294900
1980-04-29,0.0,0.04,0.04,0.04,232500
1980-04-30,0.0,0.04,0.04,0.04,674900
1980-05-01,0.0,0.04,0.04,0.04,712200
1980-05-02,0.0,0.04,0.04,0.04,344600
1980-05-05,0.0,0.05,0.04,0.04,257400
1980-05-06,0.0,0.04,0.04,0.04,286600
1980-05-07,0.0,0.04,0.04,0.04,113900
1980-05-08,0.0,0.04,0.04,0.04,130600
1980-05-09,0.0,0.04,0.04,0.04,99500
1980-05-12,0.0,0.04,0.04,0.04,504400
1980-05-13,0.0,0.04,0.04,0.04,300900
1980-05-14,0.0,0.04,0.04,0.04,170200
1980-05-15,0.0,0.04,0.04,0.04,166000
1980-05-16,0.0,0.04,0.04,0.04,64200
1980-05-19,0.0,0.04,0.04,0.04,186700
1980-05-20,0.0,0.04,0.04,0.04,153500
1980-05-21,0.0,0.04,0.04,0.04,167900
1980-05-22,0.0,0.04,0.04,0.04,120300
1980-05-23,0.0,0.04,0.04,0.04,296800
1980-05-27,0.0,0.04,0.04,0.04,137000
1980-05-28,0.0,0.04,0.04,0.04,261500
1980-05-29,0.0,0.04,0.04,0.04,170200
1980-05-30,0.0,0.04,0.04,0.04,137000
1980-06-02,0.0,0.04,0.04,0.04,182700
1980-06-03,0.0,0.04,0.04,0.04,222000
1980-06-04,0.0,0.04,0.04,0.04,167900
1980-06-05,0.0,0.04,0.04,0.04,147300
1980-06-06,0.0,0.04,0.04,0.04,265800
1980-06-09,0.0,0.04,0.04,0.04,161900
1980-06-10,0.0,0.04,0.04,0.04,47500
1980-06-11,0.0,0.04,0.04,0.04,80700
1980-06-12,0.0,0.04,0.04,0.04,109800
1980-06-13,0.0,0.04,0.04,0.04,170200
1980-06-16,0.0,0.04,0.04,0.04,101400
1980-06-17,0.0,0.04,0.04,0.04,163700
1980-06-18,0.0,0.04,0.04,0.04,554200
1980-06-19,0.0,0.04,0.04,0.04,240700
1980-06-20,0.0,0.04,0.04,0.04,93100
1980-06-23,0.0,0.04,0.04,0.04,298900
1980-06-24,0.0,0.04,0.04,0.04,354800
1980-06-25,0.0,0.05,0.05,0.05,325900
1980-06-26,0.0,0.05,0.04,0.04,128600
1980-06-27,0.0,0.04,0.04,0.04,211700
1980-06-30,0.0,0.04,0.04,0.04,257400
1980-07-01,0.0,0.05,0.04,0.05,276000
1980-07-02,0.0,0.05,0.04,0.04,257400
1980-07-03,0.0,0.04,0.04,0.04,213700
1980-07-07,0.0,0.05,0.04,0.04,107800
1980-07-08,0.0,0.04,0.04,0.04,365400
1980-07-09,0.0,0.05,0.04,0.04,190900
1980-07-10,0.0,0.04,0.04,0.04,80700
1980-07-11,0.0,0.04,0.04,0.04,58000
1980-07-14,0.0,0.05,0.04,0.05,282200
1980-07-15,0.0,0.05,0.04,0.04,174200
1980-07-16,0.0,0.05,0.04,0.05,236600
1980-07-17,0.0,0.05,0.05,0.05,113900
1980-07-18,0.0,0.05,0.05,0.05,477600
1980-07-21,0.0,0.05,0.05,0.05,211700
1980-07-22,0.0,0.05,0.04,0.05,357100
1980-07-23,0.0,0.05,0.04,0.05,481800
1980-07-24,0.0,0.04,0.04,0.04,278200
1980-07-25,0.0,0.04,0.04,0.04,454700
1980-07-28,0.0,0.04,0.04,0.04,269900
1980-07-29,0.0,0.04,0.04,0.04,209400
1980-07-30,0.0,0.05,0.04,0.04,145200
1980-07-31,0.0,0.05,0.04,0.04,166000
1980-08-01,0.0,0.04,0.04,0.04,205300
1980-08-04,0.0,0.04,0.04,0.04,383900
1980-08-05,0.0,0.05,0.05,0.05,602200
1980-08-06,0.0,0.05,0.05,0.05,300900
1980-08-07,0.0,0.05,0.05,0.05,238600
1980-08-08,0.0,0.05,0.05,0.05,315600
1980-08-11,0.0,0.05,0.05,0.05,142900
1980-08-12,0.0,0.05,0.05,0.05,116200
1980-08-13,0.0,0.05,0.04,0.05,182700
1980-08-14,0.0,0.05,0.05,0.05,174200
1980-08-15,0.0,0.05,0.05,0.05,259300
1980-08-18,0.0,0.05,0.04,0.04,282200
1980-08-19,0.0,0.05,0.04,0.05,93100
1980-08-20,0.0,0.05,0.04,0.04,271700
1980-08-21,0.0,0.05,0.04,0.05,166000
1980-08-22,0.0,0.05,0.05,0.05,519100
1980-08-25,0.0,0.05,0.04,0.05,373800
1980-08-26,0.0,0.05,0.04,0.04,184500
1980-08-27,0.0,0.04,0.04,0.04,122200
1980-08-28,0.0,0.04,0.04,0.04,176200
1980-08-29,0.0,0.04,0.04,0.04,178400
1980-09-02,0.0,0.04,0.04,0.04,172100
1980-09-03,0.0,0.05,0.04,0.05,323800
1980-09-04,0.0,0.05,0.05,0.05,101400
1980-09-05,0.0,0.05,0.05,0.05,215800
1980-09-08,0.0,0.05,0.04,0.04,290600
1980-09-09,0.0,0.05,0.04,0.04,97300
1980-09-10,0.0,0.05,0.05,0.05,176200
1980-09-11,0.0,0.05,0.04,0.05,116200
1980-09-12,0.0,0.04,0.04,0.04,142900
1980-09-15,0.0,0.04,0.04,0.04,122200
1980-09-16,0.0,0.05,0.04,0.05,471100
1980-09-17,0.0,0.05,0.05,0.05,342500
1980-09-18,0.0,0.05,0.05,0.05,365400
1980-09-19,0.0,0.05,0.05,0.05,816000
1980-09-22,0.0,0.05,0.05,0.05,292500
1980-09-23,0.0,0.05,0.05,0.05,290600
1980-09-24,0.0,0.05,0.05,0.05,423600
1980-09-25,0.0,0.05,0.05,0.05,286600
1980-09-26,0.0,0.05,0.05,0.05,217800
1980-09-29,0.0,0.05,0.04,0.04,444400
1980-09-30,0.0,0.04,0.04,0.04,323800
1980-10-01,0.0,0.04,0.04,0.04,99500
1980-10-02,0.0,0.04,0.04,0.04,118100
1980-10-03,0.0,0.04,0.04,0.04,178400
1980-10-06,0.0,0.05,0.04,0.05,280100
1980-10-07,0.0,0.05,0.04,0.04,128600
1980-10-08,0.0,0.04,0.04,0.04,205300
1980-10-09,0.0,0.04,0.04,0.04,224200
1980-10-10,0.0,0.04,0.04,0.04,436000
1980-10-13,0.0,0.04,0.04,0.04,97300
1980-10-14,0.0,0.04,0.04,0.04,80700
1980-10-15,0.0,0.04,0.04,0.04,246900
1980-10-16,0.0,0.04,0.04,0.04,292500
1980-10-17,0.0,0.04,0.04,0.04,80700
1980-10-20,0.0,0.04,0.04,0.04,62000
1980-10-21,0.0,0.04,0.04,0.04,357100
1980-10-22,0.0,0.04,0.04,0.04,124400
1980-10-23,0.0,0.04,0.04,0.04,645700
1980-10-24,0.0,0.04,0.04,0.04,236600
1980-10-27,0.0,0.04,0.04,0.04,91200
1980-10-28,0.0,0.04,0.04,0.04,222000
1980-10-29,0.0,0.04,0.04,0.04,234500
1980-10-30,0.0,0.04,0.04,0.04,442200
1980-10-31,0.0,0.04,0.04,0.04,338300
1980-11-03,0.0,0.04,0.04,0.04,215800
1980-11-05,0.0,0.04,0.04,0.04,313300
1980-11-06,0.0,0.04,0.04,0.04,147300
1980-11-07,0.0,0.04,0.04,0.04,390300
1980-11-10,0.0,0.04,0.04,0.04,132800
1980-11-11,0.0,0.04,0.04,0.04,471100
1980-11-12,0.0,0.04,0.04,0.04,197000
1980-11-13,0.0,0.04,0.04,0.04,188600
1980-11-14,0.0,0.04,0.04,0.04,3055300
1980-11-17,0.0,0.04,0.04,0.04,172100
1980-11-18,0.0,0.04,0.04,0.04,282200
1980-11-19,0.0,0.04,0.04,0.04,674900
1980-11-20,0.0,0.04,0.04,0.04,425500
1980-11-21,0.0,0.04,0.04,0.04,230200
1980-11-24,0.0,0.04,0.04,0.04,415300
1980-11-25,0.0,0.04,0.04,0.04,371500
1980-11-26,0.0,0.04,0.04,0.04,246900
1980-11-28,0.0,0.04,0.04,0.04,138900
1980-12-01,0.0,0.04,0.04,0.04,167900
1980-12-02,0.0,0.04,0.04,0.04,142900
1980-12-03,0.0,0.04,0.04,0.04,205300
1980-12-04,0.0,0.04,0.04,0.04,55700
1980-12-05,0.0,0.04,0.04,0.04,113900
1980-12-08,0.0,0.03,0.03,0.03,1129800
1980-12-09,0.0,0.03,0.03,0.03,367300
1980-12-10,0.0,0.03,0.03,0.03,242800
1980-12-11,0.0,0.03,0.03,0.03,502400
1980-12-12,0.0,0.03,0.03,0.03,236600
1980-12-15,0.0,0.03,0.03,0.03,66400
1980-12-16,0.0,0.03,0.03,0.03,411100
1980-12-17,0.0,0.03,0.03,0.03,550200
1980-12-18,0.0,0.03,0.03,0.03,722700
1980-12-19,0.0,0.03,0.03,0.03,142900
1980-12-22,0.0,0.03,0.03,0.03,328100
1980-12-23,0.0,0.03,0.03,0.03,805700
1980-12-24,0.0,0.04,0.03,0.03,209400
1980-12-26,0.0,0.04,0.03,0.03,58000
1980-12-29,0.0,0.03,0.03,0.03,217800
1980-12-30,0.0,0.03,0.03,0.03,280100
1980-12-31,0.0,0.04,0.03,0.04,544000
1981-01-02,0.0,0.03,0.03,0.03,39200
1981-01-05,0.0,0.04,0.04,0.04,236600
1981-01-06,0.0,0.04,0.04,0.04,203400
1981-01-07,0.0,0.03,0.03,0.03,292500
1981-01-08,0.0,0.03,0.03,0.03,70500
1981-01-09,0.0,0.03,0.03,0.03,188600
1981-01-12,0.0,0.03,0.03,0.03,120300
1981-01-13,0.0,0.03,0.03,0.03,78700
1981-01-14,0.0,0.03,0.03,0.03,116200
1981-01-15,0.0,0.03,0.03,0.03,130600
1981-01-16,0.0,0.03,0.03,0.03,180400
1981-01-19,0.0,0.03,0.03,0.03,45600
1981-01-20,0.0,0.03,0.03,0.03,107800
1981-01-21,0.0,0.03,0.03,0.03,575000
1981-01-22,0.0,0.03,0.03,0.03,386100
1981-01-23,0.0,0.03,0.03,0.03,97300
1981-01-26,0.0,0.03,0.03,0.03,361300
1981-01-27,0.0,0.03,0.03,0.03,118100
1981-01-28,0.0,0.03,0.03,0.03,118100
1981-01-29,0.0,0.03,0.03,0.03,82800
1981-01-30,0.0,0.03,0.03,0.03,188600
1981-02-02,0.0,0.03,0.03,0.03,188600
1981-02-03,0.0,0.03,0.03,0.03,359100
1981-02-04,0.0,0.03,0.03,0.03,142900
1981-02-05,0.0,0.03,0.03,0.03,375600
1981-02-06,0.0,0.03,0.03,0.03,257400
1981-02-09,0.0,0.03,0.03,0.03,433900
1981-02-10,0.0,0.03,0.03,0.03,267600
1981-02-11,0.0,0.03,0.03,0.03,138900
1981-02-12,0.0,0.03,0.03,0.03,153500
1981-02-13,0.0,0.03,0.03,0.03,311400
1981-02-17,0.0,0.03,0.03,0.03,72300
1981-02-18,0.0,0.03,0.03,0.03,68200
1981-02-19,0.0,0.03,0.03,0.03,469300
1981-02-20,0.0,0.03,0.03,0.03,242800
1981-02-23,0.0,0.03,0.03,0.03,112000
1981-02-24,0.0,0.03,0.03,0.03,344600
1981-02-25,0.0,0.03,0.03,0.03,51500
1981-02-26,0.0,0.03,0.03,0.03,234500
1981-02-27,0.0,0.03,0.03,0.03,113900
1981-03-02,0.0,0.03,0.03,0.03,325900
1981-03-03,0.0,0.03,0.03,0.03,159600
1981-03-04,0.0,0.03,0.03,0.03,68200
1981-03-05,0.0,0.03,0.03,0.03,151400
1981-03-06,0.0,0.03,0.03,0.03,425500
1981-03-09,0.0,0.03,0.03,0.03,313300
1981-03-10,0.0,0.03,0.03,0.03,238600
1981-03-11,0.0,0.03,0.03,0.03,107800
1981-03-12,0.0,0.03,0.03,0.03,192900
1981-03-13,0.0,0.03,0.03,0.03,180400
1981-03-16,0.0,0.03,0.03,0.03,70500
1981-03-17,0.0,0.03,0.03,0.03,438000
1981-03-18,0.0,0.03,0.03,0.03,113900
1981-03-19,0.0,0.03,0.03,0.03,284300
1981-03-20,0.0,0.03,0.03,0.03,207500
1981-03-23,0.0,0.03,0.03,0.03,188600
1981-03-24,0.0,0.03,0.03,0.03,215800
1981-03-25,0.0,0.03,0.03,0.03,353000
1981-03-26,0.0,0.03,0.03,0.03,550200
1981-03-27,0.0,0.03,0.03,0.03,292500
1981-03-30,0.0,0.03,0.03,0.03,58000
1981-03-31,0.0,0.03,0.03,0.03,282200
1981-04-01,0.0,0.03,0.03,0.03,166000
1981-04-02,0.0,0.03,0.03,0.03,113900
1981-04-03,0.0,0.03,0.03,0.03,62000
1981-04-06,0.0,0.03,0.03,0.03,192900
1981-04-07,0.0,0.03,0.03,0.03,68200
1981-04-08,0.0,0.03,0.03,0.03,166000
1981-04-09,0.0,0.03,0.03,0.03,870100
1981-04-10,0.0,0.04,0.03,0.03,6921300
1981-04-13,0.0,0.04,0.04,0.04,575000
1981-04-14,0.0,0.04,0.03,0.04,454700
1981-04-15,0.0,0.04,0.03,0.04,174200
1981-04-16,0.0,0.04,0.04,0.04,425500
1981-04-20,0.0,0.04,0.04,0.04,718500
1981-04-21,0.0,0.04,0.04,0.04,292500
1981-04-22,0.0,0.04,0.04,0.04,305100
1981-04-23,0.0,0.04,0.03,0.03,186700
1981-04-24,0.0,0.04,0.03,0.04,687200
1981-04-27,0.0,0.04,0.04,0.04,398600
1981-04-28,0.0,0.04,0.04,0.04,118100
1981-04-29,0.0,0.04,0.03,0.03,284300
1981-04-30,0.0,0.03,0.03,0.03,107800
1981-05-01,0.0,0.03,0.03,0.03,35000
1981-05-04,0.0,0.03,0.03,0.03,116200
1981-05-05,0.0,0.03,0.03,0.03,80700
