Date,Open,High,Low,Close,Volume
1997-05-05,7.3,7.43,7.28,7.38,907000
1997-05-06,7.41,7.45,7.36,7.41,536600
1997-05-07,6.89,7.02,6.78,6.87,747300
1997-05-08,6.8,6.93,6.37,6.5,2761400
1997-05-09,6.46,6.63,6.46,6.5,880900
1997-05-12,6.5,6.63,6.46,6.5,501600
1997-05-13,6.46,6.54,6.46,6.46,420600
1997-05-14,6.54,6.63,6.54,6.59,391900
1997-05-15,6.59,6.76,6.59,6.76,580000
1997-05-16,6.72,6.8,6.67,6.67,189800
1997-05-19,6.67,6.76,6.67,6.76,728400
1997-05-20,6.72,6.85,6.72,6.85,201000
1997-05-21,6.85,6.89,6.8,6.89,322000
1997-05-22,6.93,6.93,6.82,6.89,625400
1997-05-23,6.91,7.02,6.89,6.93,216400
1997-05-27,6.98,7.02,6.93,6.98,212000
1997-05-28,6.98,7.02,6.98,7.0,183500
1997-05-29,6.98,7.02,6.93,6.98,192100
1997-05-30,6.85,7.02,6.8,7.02,188900
1997-06-02,7.06,7.23,7.02,7.23,260700
1997-06-03,7.23,7.36,7.19,7.32,590000
1997-06-04,7.32,7.32,7.23,7.23,350900
1997-06-05,7.23,7.36,7.23,7.36,338300
1997-06-06,7.34,7.47,7.34,7.43,482600
1997-06-09,7.41,7.54,7.41,7.54,149300
1997-06-10,7.54,7.62,7.49,7.54,475300
1997-06-11,7.54,7.54,7.32,7.32,287900
1997-06-12,7.28,7.32,7.19,7.23,380500
1997-06-13,7.32,7.36,7.23,7.28,508700
1997-06-16,7.32,7.32,7.19,7.19,285100
1997-06-17,7.13,7.19,7.1,7.19,708000
1997-06-18,7.21,7.3,7.17,7.21,418700
1997-06-19,7.23,7.58,7.23,7.54,223100
1997-06-20,7.66,7.66,7.49,7.54,632400
1997-06-23,7.58,7.75,7.54,7.62,315400
1997-06-24,7.62,7.71,7.47,7.47,487400
1997-06-25,7.47,7.49,7.31,7.41,232900
1997-06-26,7.45,7.47,7.32,7.38,141500
1997-06-27,7.36,7.38,7.28,7.28,97700
1997-06-30,7.26,7.49,7.26,7.28,275600
1997-07-01,7.32,7.6,7.32,7.54,174900
1997-07-02,7.28,7.41,7.28,7.41,275300
1997-07-03,7.41,7.41,7.32,7.34,212900
1997-07-07,7.36,7.41,7.32,7.36,419100
1997-07-08,7.36,7.36,7.23,7.23,222000
1997-07-09,7.41,7.41,7.15,7.15,340600
1997-07-10,7.21,7.34,7.13,7.34,513300
1997-07-11,7.34,7.36,7.28,7.32,306300
1997-07-14,7.32,7.34,7.27,7.29,206300
1997-07-15,7.27,7.36,7.27,7.32,188400
1997-07-16,7.23,7.41,7.23,7.27,189800
1997-07-17,7.27,7.28,7.08,7.2,322700
1997-07-18,7.23,7.26,6.93,7.07,228200
1997-07-21,7.06,7.06,6.8,6.85,623400
1997-07-22,6.85,6.93,6.82,6.93,777900
1997-07-23,6.98,7.45,6.98,7.41,958500
1997-07-24,7.41,7.41,7.08,7.26,373500
1997-07-25,7.23,7.3,7.17,7.26,178800
1997-07-28,7.21,7.23,7.13,7.13,103600
1997-07-29,7.13,7.13,6.91,6.93,246400
1997-07-30,6.93,7.1,6.93,7.1,658100
1997-07-31,7.1,7.13,6.89,6.93,194000
1997-08-01,6.95,6.95,6.76,6.8,209400
1997-08-04,6.8,6.82,6.63,6.74,424700
1997-08-05,6.74,6.78,6.54,6.74,737600
1997-08-06,6.74,6.89,6.74,6.82,406300
1997-08-07,6.85,6.85,6.61,6.67,704200
1997-08-08,6.67,6.82,6.65,6.78,319900
1997-08-11,6.76,6.82,6.74,6.8,852700
1997-08-12,6.8,6.82,6.7,6.7,801000
1997-08-13,6.72,6.74,6.63,6.65,379100
1997-08-14,6.63,6.67,6.63,6.67,190500
1997-08-15,6.67,6.74,6.63,6.63,123200
1997-08-18,6.65,6.65,6.44,6.57,387400
1997-08-19,6.61,6.8,6.57,6.63,629800
1997-08-20,6.76,6.89,6.7,6.89,231500
1997-08-21,6.89,6.91,6.76,6.8,212000
1997-08-22,6.82,6.82,6.78,6.82,174600
1997-08-25,6.87,6.93,6.85,6.91,363500
1997-08-26,6.89,6.93,6.87,6.89,120100
1997-08-27,6.89,6.92,6.88,6.91,246200
1997-08-28,6.89,6.93,6.87,6.91,269300
1997-08-29,6.91,6.93,6.91,6.91,311900
1997-09-02,6.95,7.13,6.95,7.13,418200
1997-09-03,7.15,7.26,7.15,7.19,508900
1997-09-04,7.17,7.21,7.1,7.13,177700
1997-09-05,7.17,7.26,7.17,7.23,218200
1997-09-08,7.21,7.23,7.19,7.23,177500
1997-09-09,7.23,7.32,7.23,7.28,118700
1997-09-10,7.21,7.4,7.21,7.31,439200
1997-09-11,7.3,7.32,7.22,7.26,204500
1997-09-12,7.28,7.41,7.26,7.41,289800
1997-09-15,7.38,7.49,7.37,7.43,276500
1997-09-16,7.45,7.47,7.43,7.46,295400
1997-09-17,7.46,7.64,7.46,7.63,465100
1997-09-18,7.63,7.64,7.32,7.37,427300
1997-09-19,7.4,7.58,7.37,7.57,264200
1997-09-22,7.57,7.62,7.49,7.6,300100
1997-09-23,7.6,7.6,7.32,7.34,178100
1997-09-24,7.19,7.21,6.91,7.01,936800
1997-09-25,7.02,7.02,6.71,6.72,2000400
1997-09-26,6.76,6.82,6.76,6.76,653400
1997-09-29,6.78,7.0,6.7,7.0,710300
1997-09-30,6.95,7.1,6.89,7.1,278600
