Date,Open,High,Low,Close,Volume
1983-11-21,1.39,1.39,1.29,1.38,5020600
1983-11-22,1.38,1.4,1.37,1.37,2666700
1983-11-23,1.37,1.38,1.36,1.37,1151900
1983-11-25,1.37,1.37,1.35,1.35,1771800
1983-11-28,1.34,1.34,1.31,1.31,2367800
1983-11-29,1.31,1.31,1.3,1.3,1630400
1983-11-30,1.3,1.31,1.3,1.3,2423100
1983-12-01,1.3,1.31,1.29,1.3,6249000
1983-12-02,1.3,1.31,1.29,1.3,1763800
1983-12-05,1.3,1.3,1.28,1.28,1084300
1983-12-06,1.28,1.29,1.28,1.29,2176500
1983-12-07,1.29,1.31,1.29,1.3,4855900
1983-12-08,1.3,1.31,1.3,1.3,7360000
1983-12-09,1.3,1.31,1.3,1.31,5222400
1983-12-12,1.31,1.31,1.3,1.31,2834900
1983-12-13,1.31,1.33,1.31,1.33,6692900
1983-12-14,1.33,1.34,1.33,1.33,2520800
1983-12-15,1.33,1.33,1.32,1.32,2323400
1983-12-16,1.32,1.33,1.32,1.33,2452400
1983-12-19,1.33,1.33,1.32,1.32,1610800
1983-12-20,1.32,1.33,1.31,1.32,1937400
1983-12-21,1.32,1.32,1.31,1.31,1935600
1983-12-22,1.31,1.31,1.29,1.29,4871100
1983-12-23,1.29,1.3,1.28,1.29,2338500
1983-12-27,1.28,1.28,1.28,1.28,3004800
1983-12-28,1.28,1.29,1.28,1.29,4580100
1983-12-29,1.29,1.29,1.29,1.29,2998600
1983-12-30,1.29,1.29,1.28,1.28,1745100
1984-01-03,1.29,1.32,1.29,1.32,1973700
1984-01-04,1.32,1.38,1.32,1.36,3632800
1984-01-05,1.37,1.4,1.37,1.37,3759100
1984-01-06,1.36,1.4,1.36,1.39,4508100
1984-01-09,1.39,1.39,1.38,1.38,1791400
1984-01-10,1.38,1.38,1.37,1.38,1571700
1984-01-11,1.38,1.39,1.38,1.38,1258500
1984-01-12,1.38,1.39,1.38,1.39,1421300
1984-01-13,1.4,1.42,1.4,1.4,3148000
1984-01-16,1.41,1.44,1.41,1.42,2448900
1984-01-17,1.42,1.43,1.42,1.43,2151700
1984-01-18,1.43,1.43,1.42,1.43,2929200
1984-01-19,1.43,1.44,1.43,1.43,1812700
1984-01-20,1.43,1.44,1.43,1.44,2088500
1984-01-23,1.44,1.44,1.44,1.44,1159800
1984-01-24,1.44,1.44,1.43,1.43,1173100
1984-01-25,1.43,1.44,1.43,1.44,1711300
1984-01-26,1.44,1.44,1.43,1.43,2941600
1984-01-27,1.43,1.47,1.43,1.45,3006600
1984-01-30,1.45,1.45,1.44,1.44,2378600
1984-01-31,1.44,1.45,1.44,1.45,1618900
1984-02-01,1.45,1.46,1.44,1.45,1755800
1984-02-02,1.45,1.47,1.45,1.47,3180900
1984-02-03,1.47,1.47,1.44,1.44,2632000
1984-02-06,1.44,1.44,1.43,1.44,1496100
1984-02-07,1.44,1.44,1.42,1.44,2166000
1984-02-08,1.43,1.43,1.38,1.38,3898000
1984-02-09,1.38,1.4,1.38,1.39,2035200
1984-02-10,1.38,1.38,1.37,1.38,1963100
1984-02-13,1.38,1.38,1.37,1.38,2589400
1984-02-14,1.38,1.4,1.38,1.39,2308300
1984-02-15,1.39,1.4,1.38,1.4,3431800
1984-02-16,1.41,1.42,1.41,1.42,2198000
1984-02-17,1.42,1.44,1.42,1.42,2092100
1984-02-21,1.42,1.42,1.41,1.41,901900
1984-02-22,1.41,1.41,1.39,1.39,2301900
1984-02-23,1.39,1.39,1.36,1.38,3991400
1984-02-24,1.38,1.4,1.37,1.4,2882900
1984-02-27,1.39,1.39,1.38,1.39,1392900
1984-02-28,1.39,1.4,1.36,1.37,1844000
1984-02-29,1.37,1.39,1.37,1.39,1538700
1984-03-01,1.39,1.41,1.39,1.41,1686500
1984-03-02,1.42,1.44,1.42,1.43,2618700
1984-03-05,1.43,1.43,1.4,1.4,1004100
1984-03-06,1.4,1.41,1.4,1.41,1658000
1984-03-07,1.41,1.41,1.4,1.4,1157200
1984-03-08,1.4,1.41,1.39,1.4,1531700
1984-03-09,1.4,1.4,1.38,1.39,1591300
1984-03-12,1.39,1.4,1.38,1.39,2020000
1984-03-13,1.39,1.4,1.38,1.39,3405000
1984-03-14,1.39,1.4,1.38,1.39,2823300
1984-03-15,1.39,1.41,1.39,1.39,2071600
1984-03-16,1.4,1.41,1.4,1.41,2681000
1984-03-19,1.4,1.4,1.39,1.39,2359000
1984-03-20,1.39,1.4,1.38,1.4,1939900
1984-03-21,1.4,1.4,1.39,1.4,1823500
1984-03-22,1.4,1.4,1.39,1.39,3875700
1984-03-23,1.39,1.4,1.38,1.4,2400800
1984-03-26,1.41,1.42,1.41,1.41,2479000
1984-03-27,1.41,1.42,1.41,1.41,2479000
1984-03-28,1.41,1.42,1.41,1.41,1105600
1984-03-29,1.41,1.42,1.41,1.42,1230200
1984-03-30,1.42,1.43,1.41,1.41,1709600
1984-04-02,1.41,1.41,1.39,1.4,3476200
1984-04-03,1.4,1.4,1.39,1.4,3167600
1984-04-04,1.4,1.41,1.38,1.38,1837600
