Date,Open,High,Low,Close,Volume
1995-06-16,6.76,7.21,6.7,6.76,6212400
1995-06-19,6.82,6.87,6.37,6.48,1528200
1995-06-20,6.53,6.59,6.48,6.48,863000
1995-06-21,6.53,6.53,6.31,6.37,629000
1995-06-22,6.37,6.82,6.31,6.59,546200
1995-06-23,6.65,6.7,6.53,6.59,365000
1995-06-26,6.59,6.65,6.31,6.37,515400
1995-06-27,6.42,6.42,6.31,6.31,270800
1995-06-28,6.37,6.37,6.31,6.31,500400
1995-06-29,6.31,6.42,6.31,6.31,309200
1995-06-30,6.37,6.48,6.37,6.42,95000
1995-07-03,6.37,6.42,6.37,6.37,9200
1995-07-05,6.42,6.42,6.37,6.37,75600
1995-07-06,6.37,6.42,6.37,6.37,81400
1995-07-07,6.37,6.87,6.37,6.82,475000
1995-07-10,6.76,6.99,6.76,6.99,241400
1995-07-11,6.87,7.72,6.87,7.66,538600
1995-07-12,7.66,8.17,7.55,8.11,496200
1995-07-13,8.11,8.11,7.94,8.06,384000
1995-07-14,8.06,8.06,7.89,8.06,102200
1995-07-17,8.17,8.56,8.17,8.51,480200
1995-07-18,8.51,8.51,8.11,8.17,359200
1995-07-19,8.11,8.11,7.94,8.0,101600
1995-07-20,7.89,7.89,7.6,7.83,119600
1995-07-21,7.89,7.89,7.83,7.83,13000
1995-07-24,7.83,7.94,7.72,7.72,112000
1995-07-25,7.72,7.94,7.72,7.89,201000
1995-07-26,8.0,8.28,8.0,8.22,287800
1995-07-27,8.28,8.45,8.28,8.39,101600
1995-07-28,8.45,8.51,8.39,8.39,100400
1995-07-31,8.45,8.45,8.17,8.34,60800
1995-08-01,8.28,8.28,8.11,8.17,57600
1995-08-02,8.11,8.11,8.0,8.0,41000
1995-08-03,7.94,7.94,7.89,7.89,12600
1995-08-04,7.77,7.83,7.72,7.77,9000
1995-08-07,7.72,7.89,7.72,7.83,12200
1995-08-08,7.77,7.83,7.72,7.72,3200
1995-08-09,7.6,7.6,7.38,7.38,24000
