Date,Open,High,Low,Close,Volume
1973-02-21,0.0,5.41,5.22,5.24,69200.0
1973-02-22,0.0,5.24,5.18,5.18,79600.0
1973-02-23,0.0,5.22,4.94,5.0,158000.0
1973-02-26,0.0,5.0,4.91,5.0,50200.0
1973-02-27,0.0,5.04,4.87,4.87,17800.0
1973-02-28,0.0,5.04,4.91,4.96,103800.0
1973-03-01,0.0,5.0,4.91,4.98,81000.0
1973-03-02,0.0,4.98,4.87,4.98,16600.0
1973-03-05,0.0,5.06,4.96,5.0,10200.0
1973-03-06,0.0,5.28,5.04,5.2,47000.0
1973-03-07,0.0,5.3,5.12,5.3,43200.0
1973-03-08,0.0,5.34,5.28,5.34,12600.0
1973-03-09,0.0,5.34,5.3,5.3,10800.0
1973-03-12,0.0,5.34,5.24,5.34,8400.0
1973-03-13,0.0,5.47,5.37,5.47,18600.0
1973-03-14,0.0,5.57,5.51,5.57,43400.0
1973-03-15,0.0,5.57,5.47,5.51,11800.0
1973-03-16,0.0,5.49,5.3,5.37,69200.0
1973-03-19,0.0,5.32,5.12,5.12,8200.0
1973-03-20,0.0,5.08,4.96,5.08,76400.0
1973-03-21,0.0,5.12,5.0,5.0,11000.0
1973-03-22,0.0,5.04,4.96,4.96,13400.0
1973-03-23,0.0,4.98,4.91,4.94,30400.0
1973-03-26,0.0,4.98,4.91,4.98,26400.0
1973-03-27,0.0,5.37,5.0,5.28,30200.0
1973-03-28,0.0,5.41,5.24,5.41,33800.0
1973-03-29,0.0,5.41,5.34,5.34,38800.0
1973-03-30,0.0,5.26,5.16,5.18,24400.0
1973-04-02,0.0,5.08,5.06,5.06,20800.0
1973-04-03,0.0,5.04,4.91,4.94,33200.0
1973-04-04,0.0,4.96,4.83,4.91,16800.0
1973-04-05,0.0,4.94,4.79,4.91,27200.0
1973-04-06,0.0,5.08,4.83,4.91,29600.0
1973-04-09,0.0,4.94,4.87,4.87,46200.0
1973-04-10,0.0,5.04,4.91,5.0,34600.0
1973-04-11,0.0,5.16,5.04,5.16,18200.0
1973-04-12,0.0,5.41,5.18,5.28,20200.0
1973-04-13,0.0,5.45,5.24,5.43,14800.0
1973-04-16,0.0,5.47,5.28,5.28,18200.0
1973-04-17,0.0,5.41,5.32,5.41,16000.0
1973-04-18,0.0,5.41,5.37,5.37,16600.0
1973-04-19,0.0,5.49,5.41,5.41,19800.0
1973-04-23,0.0,5.24,5.2,5.2,59200.0
1973-04-24,0.0,5.22,5.16,5.16,6200.0
1973-04-25,0.0,5.16,4.91,4.91,57000.0
1973-04-26,0.0,4.96,4.83,4.85,65400.0
1973-04-27,0.0,4.85,4.67,4.67,64000.0
1973-04-30,0.0,4.59,4.42,4.51,92800.0
1973-05-01,0.0,4.55,4.26,4.26,62600.0
1973-05-02,0.0,4.42,4.22,4.38,79800.0
1973-05-03,0.0,4.46,4.26,4.42,48400.0
1973-05-04,0.0,4.71,4.63,4.65,32600.0
1973-05-07,0.0,4.75,4.67,4.71,6800.0
1973-05-08,0.0,4.67,4.59,4.63,35000.0
1973-05-09,0.0,4.67,4.46,4.55,58600.0
1973-05-10,0.0,4.51,4.42,4.51,4600.0
1973-05-11,0.0,4.44,4.26,4.26,5800.0
1973-05-14,0.0,4.18,4.1,4.12,76600.0
1973-05-15,0.0,4.2,4.01,4.2,41000.0
1973-05-16,0.0,4.3,4.1,4.3,21400.0
1973-05-17,0.0,4.42,4.26,4.28,41800.0
1973-05-18,0.0,4.26,4.24,4.26,56400.0
1973-05-21,0.0,4.26,4.18,4.18,42400.0
1973-05-22,0.0,4.3,4.18,4.2,52600.0
1973-05-23,0.0,4.3,4.18,4.26,115000.0
1973-05-24,0.0,4.59,4.3,4.53,50400.0
1973-05-25,0.0,4.59,4.51,4.55,27400.0
1973-05-29,0.0,4.55,4.3,4.34,20800.0
1973-05-30,0.0,4.38,4.3,4.32,29800.0
1973-05-31,0.0,4.38,4.3,4.34,16200.0
1973-06-01,0.0,4.34,4.26,4.26,15000.0
1973-06-04,0.0,4.22,4.05,4.1,38400.0
1973-06-05,0.0,4.18,4.1,4.18,11600.0
1973-06-06,0.0,4.18,3.91,3.97,87600.0
1973-06-07,0.0,4.05,3.97,4.01,23000.0
1973-06-08,0.0,4.18,4.01,4.14,18600.0
1973-06-11,0.0,4.14,4.05,4.05,16600.0
1973-06-12,0.0,4.22,4.05,4.22,24200.0
1973-06-13,0.0,4.24,4.14,4.24,48200.0
1973-06-14,0.0,4.34,4.18,4.2,45800.0
1973-06-15,0.0,4.14,4.1,4.1,78000.0
1973-06-18,0.0,4.1,3.89,3.89,28800.0
1973-06-19,0.0,3.97,3.89,3.97,24400.0
1973-06-20,0.0,4.14,4.1,4.12,24400.0
1973-06-21,0.0,4.22,4.05,4.18,22400.0
1973-06-22,0.0,4.3,4.18,4.28,79000.0
1973-06-25,0.0,4.28,4.18,4.18,3000.0
1973-06-26,0.0,4.34,4.18,4.34,47600.0
1973-06-27,0.0,4.42,4.3,4.32,21400.0
1973-06-28,0.0,4.67,4.3,4.55,40200.0
1973-06-29,0.0,4.59,4.44,4.55,17000.0
1973-07-02,0.0,4.59,4.42,4.55,18200.0
1973-07-03,0.0,4.51,4.38,4.38,22800.0
1973-07-05,0.0,4.34,4.3,4.34,24000.0
1973-07-06,0.0,4.34,4.22,4.24,15600.0
1973-07-09,0.0,4.42,4.22,4.42,6800.0
1973-07-10,0.0,4.63,4.46,4.46,63400.0
1973-07-11,0.0,4.67,4.55,4.65,48000.0
1973-07-12,0.0,4.67,4.59,4.67,18400.0
1973-07-13,0.0,4.69,4.61,4.69,4800.0
1973-07-16,0.0,5.0,4.71,5.0,19600.0
1973-07-17,0.0,5.2,5.08,5.12,25600.0
1973-07-18,0.0,5.16,5.04,5.16,34800.0
1973-07-19,0.0,5.2,5.1,5.12,25600.0
1973-07-20,0.0,5.32,5.12,5.28,36000.0
1973-07-23,0.0,5.37,5.12,5.12,62200.0
1973-07-24,0.0,5.12,4.87,5.12,26600.0
1973-07-25,0.0,5.28,5.16,5.28,35200.0
1973-07-26,0.0,5.32,5.24,5.32,41400.0
1973-07-27,0.0,5.28,5.04,5.1,28400.0
1973-07-30,0.0,5.22,5.04,5.16,5800.0
1973-07-31,0.0,5.16,5.0,5.0,12600.0
1973-08-01,0.0,5.04,4.75,4.87,24400.0
1973-08-02,0.0,4.91,4.83,4.91,11600.0
1973-08-03,0.0,5.12,4.96,5.12,23400.0
1973-08-06,0.0,5.16,5.0,5.08,13200.0
1973-08-07,0.0,5.2,5.08,5.08,26600.0
1973-08-08,0.0,5.04,4.83,4.83,4600.0
1973-08-09,0.0,5.04,4.91,5.04,10600.0
1973-08-10,0.0,5.0,4.94,4.94,8800.0
1973-08-13,0.0,4.91,4.79,4.79,29400.0
1973-08-14,0.0,4.83,4.75,4.79,18000.0
1973-08-15,0.0,4.79,4.75,4.75,26600.0
1973-08-16,0.0,4.83,4.75,4.75,5000.0
1973-08-17,0.0,4.79,4.75,4.79,1200.0
1973-08-20,0.0,4.79,4.63,4.63,33400.0
1973-08-21,0.0,4.67,4.59,4.63,40000.0
1973-08-22,0.0,4.63,4.59,4.63,14400.0
1973-08-23,0.0,4.75,4.67,4.75,45400.0
1973-08-24,0.0,4.87,4.75,4.83,42200.0
1973-08-27,0.0,4.83,4.79,4.83,131200.0
1973-08-28,0.0,4.85,4.83,4.85,51400.0
1973-08-29,0.0,4.96,4.87,4.94,10400.0
1973-08-30,0.0,4.96,4.87,4.87,144800.0
1973-08-31,0.0,4.85,4.81,4.85,26400.0
1973-09-04,0.0,4.91,4.87,4.89,26800.0
1973-09-05,0.0,4.91,4.87,4.87,21200.0
1973-09-06,0.0,4.96,4.87,4.96,38200.0
1973-09-07,0.0,4.98,4.91,4.98,19800.0
1973-09-10,0.0,5.02,4.96,4.96,5400.0
1973-09-11,0.0,5.06,4.96,5.06,36600.0
1973-09-12,0.0,5.16,5.04,5.12,23000.0
1973-09-13,0.0,5.24,5.04,5.18,35200.0
1973-09-14,0.0,5.28,5.16,5.24,25400.0
1973-09-17,0.0,5.32,5.24,5.3,19000.0
1973-09-18,0.0,5.3,5.12,5.2,14600.0
1973-09-19,0.0,5.32,5.24,5.28,89000.0
1973-09-20,0.0,5.41,5.32,5.39,61400.0
1973-09-21,0.0,5.57,5.43,5.57,39400.0
1973-09-24,0.0,5.53,5.45,5.45,26800.0
1973-09-25,0.0,5.57,5.45,5.53,38600.0
1973-09-26,0.0,5.57,5.53,5.53,15800.0
1973-09-27,0.0,5.57,5.45,5.49,28000.0
1973-09-28,0.0,5.41,5.24,5.28,119200.0
1973-10-01,0.0,5.37,5.28,5.32,3400.0
1973-10-02,0.0,5.32,5.24,5.24,10800.0
1973-10-03,0.0,5.32,5.16,5.16,37400.0
1973-10-04,0.0,5.18,5.16,5.18,20400.0
1973-10-05,0.0,5.28,5.18,5.28,98600.0
1973-10-08,0.0,5.28,5.24,5.28,22800.0
1973-10-09,0.0,5.28,5.2,5.28,24400.0
1973-10-10,0.0,5.3,5.26,5.26,55000.0
1973-10-11,0.0,5.32,5.28,5.28,21800.0
1973-10-12,0.0,5.28,5.26,5.28,74800.0
1973-10-15,0.0,5.26,5.2,5.26,30000.0
1973-10-16,0.0,5.28,5.2,5.28,74200.0
1973-10-17,0.0,5.3,5.24,5.3,29800.0
1973-10-18,0.0,5.3,5.22,5.22,22400.0
1973-10-19,0.0,5.28,5.22,5.24,26200.0
1973-10-22,0.0,5.28,5.18,5.28,32600.0
1973-10-23,0.0,5.28,5.24,5.24,43800.0
1973-10-24,0.0,5.24,5.22,5.24,17000.0
1973-10-25,0.0,5.24,5.12,5.12,41400.0
1973-10-26,0.0,5.16,5.1,5.14,57000.0
1973-10-29,0.0,5.12,4.89,4.91,26600.0
1973-10-30,0.0,4.96,4.87,4.96,40800.0
1973-10-31,0.0,4.94,4.87,4.91,13000.0
1973-11-01,0.0,4.91,4.83,4.91,13400.0
1973-11-02,0.0,5.02,4.91,4.96,74200.0
1973-11-05,0.0,5.0,4.91,5.0,48400.0
1973-11-06,0.0,5.04,4.83,4.87,132000.0
1973-11-07,0.0,4.96,4.75,4.96,48000.0
1973-11-08,0.0,5.0,4.87,4.91,17400.0
1973-11-09,0.0,4.89,4.83,4.83,31800.0
1973-11-12,0.0,4.91,4.79,4.87,11600.0
