Date,Open,High,Low,Close,Volume
2001-06-12,28.74,29.7,27.87,28.91,3894400
2001-06-13,28.83,29.09,28.74,28.83,758000
2001-06-14,28.74,28.74,27.87,28.22,501000
2001-06-15,28.13,28.65,27.87,28.65,382800
2001-06-18,29.61,30.31,28.83,29.68,358300
2001-06-19,29.61,30.22,29.17,30.22,232800
2001-06-20,30.31,32.22,30.31,31.0,176100
2001-06-21,31.0,31.35,30.92,31.0,79100
2001-06-22,30.97,30.97,30.22,30.45,109800
2001-06-25,30.05,31.35,28.74,30.74,142500
2001-06-26,30.62,30.62,29.57,29.61,109300
2001-06-27,29.61,30.39,29.17,30.13,96100
2001-06-28,30.48,31.09,30.31,30.48,102500
2001-06-29,30.48,31.26,30.05,30.92,222800
2001-07-02,30.92,31.0,30.05,30.48,46300
2001-07-03,30.74,30.74,30.05,30.31,54300
2001-07-05,30.48,31.07,30.31,30.95,74800
2001-07-06,30.93,31.09,30.74,30.88,60500
2001-07-09,30.65,30.65,29.61,29.78,117300
2001-07-10,29.87,29.98,29.17,29.44,148900
2001-07-11,29.7,30.92,29.37,30.05,151900
2001-07-12,30.05,30.48,29.35,29.38,198900
2001-07-13,29.37,30.05,29.37,30.05,112200
2001-07-16,30.13,30.27,30.05,30.22,48800
2001-07-17,30.22,30.48,29.44,30.22,64900
2001-07-18,30.13,30.13,29.61,29.87,80500
2001-07-19,29.61,29.78,29.26,29.61,128200
2001-07-20,29.52,29.61,29.38,29.52,38700
2001-07-23,29.52,29.52,29.35,29.52,59900
2001-07-24,29.52,29.52,28.39,28.56,221400
2001-07-25,28.39,28.39,27.0,28.3,371700
2001-07-26,28.3,28.91,28.3,28.67,96100
2001-07-27,28.74,29.96,28.74,29.96,118800
2001-07-30,29.7,30.46,29.61,29.61,91200
2001-07-31,30.48,30.92,29.44,30.05,267200
2001-08-01,30.22,30.48,30.08,30.08,139500
2001-08-02,30.08,30.13,29.0,29.17,153100
2001-08-03,29.17,30.92,29.17,30.74,177000
2001-08-06,30.92,31.35,30.76,31.35,46500
2001-08-07,31.18,31.44,30.48,30.48,130000
2001-08-08,30.65,30.65,29.96,30.57,67300
2001-08-09,30.48,30.57,30.05,30.32,58600
2001-08-10,30.32,30.83,30.32,30.83,25700
2001-08-13,30.65,31.79,30.57,31.19,34900
2001-08-14,31.09,32.22,31.09,31.61,72000
2001-08-15,31.87,31.87,31.35,31.79,61400
2001-08-16,31.79,32.15,31.63,32.07,68700
2001-08-17,32.05,32.69,32.05,32.4,9200
2001-08-20,32.66,33.96,32.66,33.96,174900
2001-08-21,33.53,33.7,33.09,33.18,108000
2001-08-22,33.44,35.18,33.44,34.75,180200
2001-08-23,34.83,34.83,34.31,34.31,44300
2001-08-24,33.88,33.88,33.27,33.44,154300
2001-08-27,33.53,33.62,32.92,33.09,59500
2001-08-28,33.09,33.18,32.69,33.09,99900
2001-08-29,33.09,33.27,32.66,33.09,127000
2001-08-30,33.18,33.27,32.66,32.69,31200
2001-08-31,32.74,33.01,32.74,32.76,15700
2001-09-04,32.66,32.73,32.05,32.48,48800
2001-09-05,32.4,32.4,31.96,31.96,55500
2001-09-06,31.8,31.84,31.28,31.28,6900
2001-09-07,31.0,31.56,30.83,30.93,38700
2001-09-10,31.0,31.0,30.5,30.65,74400
2001-09-17,30.22,35.71,30.22,33.53,726000
