Date,Open,High,Low,Close,Volume
1973-05-03,1.56,1.6,1.53,1.58,116700
1973-05-04,1.62,1.65,1.62,1.63,256800
1973-05-07,1.63,1.63,1.62,1.62,55800
1973-05-08,1.62,1.62,1.61,1.62,80100
1973-05-09,1.62,1.64,1.62,1.63,66900
1973-05-10,1.63,1.63,1.61,1.61,61800
1973-05-11,1.61,1.61,1.56,1.59,76500
1973-05-14,1.56,1.56,1.54,1.56,46200
1973-05-15,1.56,1.58,1.54,1.58,90300
1973-05-16,1.58,1.6,1.58,1.6,39900
1973-05-17,1.6,1.6,1.58,1.6,56100
1973-05-18,1.59,1.59,1.56,1.59,85200
1973-05-21,1.58,1.58,1.55,1.56,138300
1973-05-22,1.56,1.58,1.56,1.56,51300
1973-05-23,1.56,1.59,1.56,1.59,91500
1973-05-24,1.59,1.62,1.59,1.62,45300
1973-05-25,1.63,1.66,1.63,1.65,82800
1973-05-29,1.64,1.64,1.6,1.6,25500
1973-05-30,1.6,1.6,1.59,1.6,16800
1973-05-31,1.59,1.59,1.56,1.56,82800
1973-06-01,1.56,1.59,1.55,1.57,70800
1973-06-04,1.57,1.57,1.56,1.56,31800
1973-06-05,1.56,1.59,1.55,1.56,85500
1973-06-06,1.56,1.58,1.56,1.56,27000
1973-06-07,1.56,1.59,1.56,1.57,47100
1973-06-08,1.58,1.62,1.58,1.62,83400
1973-06-11,1.63,1.65,1.63,1.64,39600
1973-06-12,1.64,1.66,1.63,1.66,144600
1973-06-13,1.66,1.68,1.62,1.64,80400
1973-06-14,1.64,1.64,1.63,1.64,138900
1973-06-15,1.63,1.63,1.62,1.63,26400
1973-06-18,1.63,1.63,1.59,1.59,131400
1973-06-19,1.59,1.61,1.57,1.6,88800
1973-06-20,1.6,1.6,1.58,1.6,91200
1973-06-21,1.6,1.6,1.59,1.59,118200
1973-06-22,1.59,1.63,1.59,1.59,43500
1973-06-25,1.59,1.6,1.58,1.58,16800
1973-06-26,1.58,1.59,1.57,1.59,18900
1973-06-27,1.59,1.6,1.57,1.59,86400
1973-06-28,1.6,1.62,1.6,1.62,21900
1973-06-29,1.62,1.62,1.61,1.62,75300
1973-07-02,1.62,1.63,1.61,1.62,39300
1973-07-03,1.62,1.66,1.62,1.65,63000
1973-07-05,1.65,1.68,1.64,1.67,60900
1973-07-06,1.67,1.68,1.67,1.68,32400
1973-07-09,1.68,1.71,1.68,1.7,39600
1973-07-10,1.73,1.78,1.73,1.74,81600
